Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP111002	91	68	0	17	0	18	18	22	27	0	49	13	37	7	0	25	0
SP110866	164	205	366	0	0	227	60	13	95	0	61	3	0	34	0	0	0
SP111035	713	859	76	330	0	312	160	0	66	0	0	14	40	5	1	0	0
SP111009	660	333	0	116	0	0	60	6	86	0	137	153	0	6	3	0	0
SP111114	1558	866	162	314	0	225	194	94	176	0	0	33	5	0	0	0	0
SP111000	601	626	0	130	0	295	44	0	125	0	0	0	0	19	0	0	0
SP111045	802	765	0	263	0	93	26	0	32	0	0	53	75	17	73	17	0
SP110861	223	114	0	0	39	402	80	76	2	0	106	16	59	14	9	0	0
SP111047	366	282	0	26	0	32	11	82	58	0	383	51	24	33	30	3	0
SP111088	542	384	71	97	0	0	94	56	26	0	257	25	29	15	0	0	0
SP111056	423	248	0	70	0	313	122	87	69	0	0	32	2	45	22	87	0
SP111089	186	88	0	43	42	11	19	89	15	0	174	23	18	21	14	0	0
SP111038	1129	829	855	39	0	396	35	35	20	0	0	16	33	32	0	0	0
SP110849	710	465	0	66	0	106	18	8	75	0	29	0	29	0	43	59	0
SP111164	753	425	0	183	0	239	31	69	112	0	82	18	0	9	0	0	0
SP111057	351	371	120	32	0	338	8	37	16	0	0	24	0	0	0	0	0
SP111119	2332	338	0	570	0	0	116	90	66	0	332	6	0	0	0	0	0
SP111095	924	582	0	224	0	375	51	30	43	0	49	22	44	4	0	0	0
SP111064	626	595	0	117	0	476	51	49	8	0	10	22	14	36	0	0	0
CPCT02030245T	28	0	0	0	42	0	31	0	12	100	155	129	26	0	162	0	87
CPCT02030257T	917	650	511	0	252	145	35	126	0	47	39	34	59	35	12	0	0
CPCT02070015T	680	651	1417	0	221	0	202	0	114	64	0	0	0	25	0	0	0
CPCT02040043T	171	107	0	0	63	231	30	3	21	118	101	30	6	41	18	79	94
CPCT02100032T	0	394	0	45	158	0	7	135	5	61	52	105	39	54	0	2	121
CPCT02160007T	83	137	63	0	130	5	8	16	61	18	0	77	281	48	23	17	0
CPCT02030286T	497	370	477	0	320	10	39	54	35	86	84	20	41	22	30	0	0
CPCT02100140T	770	2021	0	0	0	43	148	29	20	119	0	79	31	16	53	2	218
CPCT02100141T	1053	637	906	0	189	30	78	87	47	79	0	33	34	27	14	0	0
CPCT02330072TII	605	271	1198	0	329	483	201	10	58	39	95	21	0	37	61	0	0
CPCT02330132T	1293	348	803	0	204	0	38	55	0	50	0	67	390	24	0	0	0
CPCT02130030T	142	427	0	0	239	91	51	0	7	136	18	23	35	25	22	0	222
CPCT02060183T	904	377	1060	0	389	263	170	57	128	35	0	55	78	16	20	0	0
CPCT02130033T	582	283	178	0	264	237	35	9	43	92	35	21	0	9	3	0	0
CPCT02300031T	371	276	321	0	196	313	46	38	0	117	0	22	67	27	0	0	0
CPCT02180054T	444	556	860	0	652	178	99	1	10	196	0	16	0	36	36	0	0
CPCT02090037T	706	243	0	0	385	261	92	128	54	95	46	74	0	59	37	0	0
CPCT02130041T	388	99	521	0	138	185	187	36	119	179	28	17	126	36	56	0	0
CPCT02060200T	341	78	30	0	158	0	813	66	0	164	157	14	0	9	70	0	0
WIDE01010009T	573	363	338	0	324	0	9	0	0	37	110	29	0	0	23	0	0
CPCT02330094T	184	136	0	0	172	0	2	109	0	129	131	30	117	15	48	0	0
CPCT02110061T	106	79	0	0	375	3	29	77	0	146	55	155	54	8	48	0	483
WIDE01010016T	207	105	182	0	167	18	76	39	221	7	0	36	0	25	2	64	0
CPCT02230070T	740	609	1171	0	439	0	62	112	31	54	0	4	46	31	3	0	0
CPCT02340070T	986	225	0	115	171	170	33	18	55	68	34	20	0	6	12	0	0
CPCT02340073T	39	350	0	12	0	0	1	21	7	113	28	45	72	15	0	0	0
CPCT02050330T	278	188	90	0	120	0	0	177	0	111	0	35	1	50	230	0	0
CPCT02340077T	340	178	92	0	154	237	15	66	6	62	0	23	59	32	0	0	0
WIDE01010064T	1743	694	216	0	1248	0	170	342	54	1	0	0	0	135	43	0	0
CPCT02050314T	118	45	0	17	85	0	10	39	19	137	36	28	67	26	146	0	0
CPCT02220037T	483	196	280	0	446	11	54	100	45	51	151	32	65	35	7	0	0
WIDE01010073T	0	153	162	0	340	0	18	19	40	45	114	124	25	29	215	0	0
CPCT02210045T	1075	334	640	0	0	411	70	92	16	168	19	37	39	0	0	11	0
CPCT02100163T	337	164	352	0	57	223	37	59	27	157	17	38	30	25	0	0	0
CPCT02130049T	1483	378	879	0	543	0	125	103	233	258	28	182	431	138	72	0	0
CPCT02050343T	160	70	0	0	70	243	2	41	21	104	49	126	69	16	133	0	1
CPCT02020712T	492	0	0	0	24	595	222	12	95	177	0	124	181	119	9	0	0
CPCT02130070T	0	202	418	0	476	32	28	0	36	201	0	114	139	54	198	0	0
CPCT02130071T	212	161	0	104	168	0	11	181	0	121	0	39	0	44	130	0	0
DRUP01020027T	398	29	0	46	0	381	118	162	74	240	0	107	339	191	16	19	0
CPCT02050349T	0	21	0	65	0	0	33	0	133	154	0	26	0	1941	140	0	0
CPCT02040242T	493	314	414	0	85	112	11	0	0	50	0	447	120	0	22	0	0
CPCT02300039T	483	210	0	0	231	198	44	47	0	115	0	18	83	27	17	0	0
CPCT02010815T	860	198	1534	36	0	0	26	211	78	157	0	37	85	4	0	0	0
CPCT02010813T	482	303	0	0	190	0	20	40	43	126	14	21	70	29	5	0	0
WIDE01010355T	379	201	0	0	132	48	154	91	31	60	200	100	18	29	0	0	398
CPCT02330072T	348	437	1088	0	0	42	36	63	70	60	89	16	10	21	18	0	0
CPCT02130091T	215	191	333	70	0	0	634	562	211	153	0	84	316	114	0	221	0
CPCT02230097T	231	127	0	92	0	73	21	81	31	47	18	25	37	45	14	14	0
CPCT02050357T	260	142	0	35	120	0	33	106	22	100	139	95	92	50	159	22	66
CPCT02010833T	580	135	400	0	185	507	23	104	0	70	0	48	161	23	30	0	0
CPCT02060213T	551	97	0	10	0	259	17	45	17	95	25	19	0	0	0	0	0
CPCT02130107T	353	332	0	129	252	54	10	11	3	83	10	46	99	23	87	158	0
CPCT02070342T	57	137	193	29	50	0	7	1	0	212	118	14	83	0	5	0	0
CPCT02050362T	886	438	429	0	273	202	94	7	143	88	0	24	3	0	0	0	0
CPCT02150012T	646	98	964	24	814	148	71	372	93	109	82	306	166	99	0	0	0
DRUP01210002T	850	280	748	0	88	329	50	72	0	167	0	30	73	0	0	0	0
CPCT02130105T	62	86	0	58	0	0	11	1	17	155	0	79	12	6	178	32	0
CPCT02100176T	464	298	119	0	0	149	67	122	91	109	61	49	157	35	29	0	126
CPCT02230106T	526	179	23	0	31	450	184	12	28	66	8	98	371	47	74	0	96
CPCT02060199T	87	61	0	1	0	0	5	3	14	38	52	5	13	3	22	8	9
DRUP01330005T	719	456	864	0	443	0	186	159	44	120	258	78	87	21	0	0	0
CPCT02120150T	1051	229	264	0	0	323	12	3	66	25	0	42	234	50	20	45	0
CPCT02060248T	222	244	356	0	121	0	33	4	18	119	89	24	0	65	0	0	138
CPCT02060255T	491	134	107	0	285	0	167	36	88	27	0	2	22	2	28	0	0
DRUP01010088T	227	27	27	0	218	290	3	20	0	65	172	31	11	53	16	6	0
CPCT02440014T	782	608	1013	0	213	0	130	180	159	65	13	31	30	55	41	7	0
CPCT02050384T	426	169	68	0	236	174	54	0	14	175	14	57	52	29	32	0	0
CPCT02030519T	503	389	1357	0	595	0	132	0	0	218	0	33	24	0	0	0	0
CPCT02050380T	1335	536	1475	0	490	0	21	270	25	76	0	60	122	5	27	0	0
CPCT02130140T	34898	5208	0	34602	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02220056T	420	253	387	0	139	80	50	95	8	84	115	12	17	12	0	0	0
DRUP01210003T	701	161	285	0	408	449	193	29	28	72	0	18	0	15	26	0	0
DRUP01050030T	185	92	0	0	150	0	8	101	16	95	35	39	55	32	188	0	0
CPCT02210067T	1015	183	0	287	0	238	54	47	47	103	0	12	16	0	0	0	0
CPCT02150021T	1190	756	0	121	399	0	72	2	50	200	88	75	12	0	65	28	0
CPCT02080255T	1032	654	393	0	0	122	120	122	77	83	29	53	52	78	118	0	0
CPCT02330124T	643	350	0	88	176	303	119	4	27	119	0	11	0	17	71	50	0
CPCT02100186T	473	419	759	0	56	79	43	133	59	47	0	20	112	34	20	0	0
CPCT02050403T	15	104	259	0	0	19	54	20	60	161	73	24	43	5	12	0	0
DRUP01330013T	590	377	594	0	350	0	123	165	24	65	165	47	87	109	0	0	0
DRUP01050033T	201	145	162	0	147	0	0	177	0	122	0	25	0	46	218	0	0
DRUP01440001T	824	522	846	0	214	41	141	167	164	144	0	44	74	72	56	0	299
CPCT02040156T	221	324	598	0	474	0	4	23	0	169	26	0	88	14	27	0	0
DRUP01340013T	1297	330	680	0	46	226	195	64	106	107	209	104	44	29	0	0	0
CPCT02080141T	804	371	412	0	92	0	92	53	111	153	0	61	102	11	1	0	0
CPCT02010662T	371	122	0	0	508	289	628	0	309	126	0	0	0	0	183	0	0
CPCT02120069T	155	0	346	0	649	0	61	66	12	33	136	18	185	80	39	0	0
CPCT02100126T	946	423	485	0	714	0	227	5	133	128	0	0	0	32	15	162	121
CPCT02380021T	815	483	393	0	255	248	62	0	31	115	0	39	40	12	48	0	0
CPCT02020622T	917	103	818	0	739	962	51	110	23	195	0	370	0	9	0	19	0
CPCT02340034T	381	347	504	0	0	0	29	0	15	105	233	77	108	0	36	22	0
CPCT02210033T	730	148	404	0	561	326	195	85	30	220	0	49	0	17	25	0	0
CPCT02050163T	566	109	295	23	0	322	182	43	35	268	0	60	97	34	0	0	0
