MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027	CPCT02060044T	CPCT02030247T	CPCT02050043T	CPCT02020342T	CPCT02010371T	CPCT02030256T	CPCT02050045T	CPCT02050047T	CPCT02010393T	CPCT02020358T	CPCT02090002T	CPCT02010403T	CPCT02030272T	CPCT02020373T	CPCT02050052T	CPCT02030270T	CPCT02050056T	CPCT02050055T	CPCT02030279T	CPCT02020320T	CPCT02060037T	CPCT02100033T	CPCT02010436T	CPCT02010439T	CPCT02060043T	CPCT02030284T	CPCT02020410T	CPCT02020408T	CPCT02030291T	CPCT02050079T	CPCT02050073T	CPCT02220001T	CPCT02010440T	CPCT02011020T	CPCT02340050T	CPCT02080280T	CPCT02080282T	CPCT02060163T	CPCT02011025T	CPCT02010754TII	CPCT02010716T	CPCT02170039T	CPCT02080284T	CPCT02030555T	CPCT02011037T	CPCT02120180T	CPCT02050304T	CPCT02020895T	CPCT02090032T	CPCT02020662T	DRUP01080025T	CPCT02020891T	CPCT02080266TII	CPCT02020901T	CPCT02080287T	CPCT02011045T	CPCT02020897T	CPCT02120101T	CPCT02020910T	CPCT02120095T	CPCT02080294T	CPCT02080292T	CPCT02120098T	CPCT02120105T	CPCT02020914T	CPCT02160035T	CPCT02050310T	CPCT02290061T	CPCT02050308T	CPCT02090035T	CPCT02020933T	CPCT02020930T	CPCT02020934T	CPCT02020939T	CPCT02020670T	CPCT02020837TII	CPCT02030459T	CPCT02350019T	CPCT02050424T	CPCT02340064T	CPCT02011045TII	CPCT02120189T	CPCT02010754T	CPCT02020868T	CPCT02060286T	CPCT02060288T	CPCT02120193T	CPCT02120187T	CPCT02120191T	CPCT02080304T	CPCT02080307T	CPCT02080303T	CPCT02340067T	CPCT02030461T	CPCT02020919T	CPCT02050432T	CPCT02120110T	CPCT02080308T	CPCT02020951T	DRUP01060009T	CPCT02020949T	CPCT02020960T	WIDE01010033T	CPCT02340115T	CPCT02050322T	CPCT02050046T	CPCT02050331T	WIDE01010071T	CPCT02020895TII	CPCT02030468T	CPCT02020959T	CPCT02080313T	CPCT02080311T	CPCT02011108T	CPCT02080314T	CPCT02020694T	CPCT02020672T	WIDE01010123T	CPCT02020665T	CPCT02080207T	CPCT02060291T	CPCT02050441T	CPCT02050440T	CPCT02050438T	DRUP01230001T	CPCT02080205T	CPCT02020714T	WIDE01010172T	CPCT02340081T	CPCT02010801T	CPCT02010794T	CPCT02340083T	CPCT02050347T	CPCT02120198T	CPCT02120199T	WIDE01010255T	CPCT02040241T	WIDE01010305T	WIDE01010314T	CPCT02060228T	WIDE01010328T	CPCT02030479T	CPCT02040246T	WIDE01010376T	WIDE01010381T	WIDE01010392T	CPCT02080221T	CPCT02020723T	CPCT02020736T	CPCT02020743T	CPCT02020739T	CPCT02050365T	CPCT02020670TII	CPCT02030490T	CPCT02300042T	CPCT02020700T	CPCT02220050T	CPCT02050370T	CPCT02050373T	CPCT02080234T	CPCT02030499T	CPCT02020770T	CPCT02050376T	CPCT02080239T	CPCT02050301T	CPCT02080242T	CPCT02020789T	CPCT02020796T	CPCT02220057T	CPCT02340098T	CPCT02340097T	CPCT02170038T	CPCT02010920T	CPCT02050399T	CPCT02050404T	CPCT02050402T	CPCT02060256T	CPCT02080259T	CPCT02020813T	CPCT02020785T	CPCT02020810T	CPCT02020821T	CPCT02340100T	CPCT02080266T	CPCT02010941T	CPCT02020822T	CPCT02020819T	CPCT02050405T	CPCT02020837T	CPCT02340102T	DRUP01060021T	DRUP01060019T	DRUP01060018T	CPCT02070394T	CPCT02080269T	CPCT02030459TII	CPCT02050411T	CPCT02030547T	CPCT02020828T	CPCT02080270T	CPCT02060133T	CPCT02050276TII	CPCT02080271T	CPCT02050243T	CPCT02060126T	DRUP01010106T	CPCT02050245T	CPCT02030548T	CPCT02050415T	CPCT02020853T	CPCT02020506TII	DRUP01080021T	CPCT02020854T	CPCT02010994T	DRUP01080022T	CPCT02020863T	CPCT02050276T	CPCT02030552T	CPCT02080275T	CPCT02030553T	CPCT02120062T	CPCT02020615T	CPCT02050421T	CPCT02120053T	CPCT02020626T	CPCT02120055T	CPCT02070422T	CPCT02120058T	CPCT02170017T	CPCT02020609T	CPCT02050249T	CPCT02060146T	CPCT02060049T	CPCT02050159T	CPCT02010550T	CPCT02010534T	CPCT02050079TII	CPCT02050170T	CPCT02050168T	CPCT02020509T	CPCT02050073TII	CPCT02020511T	CPCT02010565T	CPCT02020517T	CPCT02010393TII	CPCT02050181T	CPCT02020519T	CPCT02020520T	CPCT02060092T	CPCT02080116T	CPCT02080113T	CPCT02050194T	CPCT02050193T	CPCT02030350T	CPCT02080123T	CPCT02020542T	CPCT02010505T	CPCT02020553T	CPCT02170006T	CPCT02050212T	CPCT02050214T	CPCT02050217T	CPCT02020573T	CPCT02180032T	CPCT02010503TII	CPCT02010622T	CPCT02030370T	CPCT02030339TII	CPCT02040142T	CPCT02120050T	CPCT02120037T	CPCT02050235T	CPCT02050236T	CPCT02050232T	CPCT02050240T	CPCT02020574T	CPCT02020578T	CPCT02090005T	CPCT02020423T	CPCT02020426T	CPCT02050092T	CPCT02010403TII	CPCT02020412T	CPCT02010469T	CPCT02180012T	CPCT02020445T	CPCT02050105T	CPCT02050055TII	CPCT02010493T	CPCT02010503T	CPCT02010501T	CPCT02020464T	CPCT02090009T	CPCT02020468T	CPCT02340001T	CPCT02080079T	CPCT02010526T	CPCT02010532T	CPCT02060051T	CPCT02050141T	CPCT02110024T	CPCT02120013T	CPCT02050158T	CPCT02050149T	CPCT02010557T	CPCT02220014T	CPCT02050052TII	CPCT02020506T	CPCT02030339T	CPCT02080163T	CPCT02050281T	CPCT02070243T	CPCT02340040T	CPCT02120077T	CPCT02030437T	CPCT02010641TII	CPCT02050291T	CPCT02020643T	CPCT02150006T	WIDE01010503T	WIDE01010567T	WIDE01010459T	CPCT02060041T	WIDE01010561T	WIDE01010651T
[Del(C):R1]A	8	14	9	15	2	8	17	6	5	17	18	3	13	39	14	39	14	10	17	9	3	3	6	17	20	0	15	3	5	2	90	54	45	17	9	5	13	2	13	7	6	5	2	5	5	31	51	11	36	3	17	23	6	20	14	13	8	1	16	5	75	2	12	7	6	3	17	9	19	9	45	11	24	11	16	0	8	12	39	9	2	31	8	11	11	17	6	18	13	12	16	22	4	7	9	12	2	56	11	6	13	11	7	35	11	9	3	11	10	3	5	6	6	9	6	19	4	12	1	7	5	9	4	11	11	6	8	3	3	11	5	5	8	9	7	25	4	6	5	6	28	14	11	11	2	4	10	17	1	4	11	24	10	62	3	39	6	30	8	5	16	8	5	11	8	6	12	6	4	8	18	12	9	9	20	11	8	11	14	17	3	25	8	5	1	96	5	4	18	6	7	14	17	6	5	11	5	10	3	16	67	6	4	5	0	3	6	13	11	1	9	13	7	3	10	4	5	4	4	7	12	7	11	1	5	12	8	27	12	11	15	198	19	6	31	4	5	47	14	1	12	5	41	14	21	11	16	7	19	7	4	14	10	3	4	8	4	19	9	26	6	14	3	36	31	4	70	8	18	3	3	4	10	11	8	16	10	10	2	8	9	4	6	7	8	7	50	8	9	40	6	23	30	5	17	5	7	28	30	28	44	26	10	16	10	3	17	2	12	10	7	2	182	6	9	10	8	19	20	9	4	41	18	12	8	33	25	37	7	22	8	7	6	119	6	6	51	14	21	1	16	7	2	4	63	8	2	6	16	9	11	18	13	19	22	3	27	13	9	10	7	28	10	3	2	3	10	6	4	3	2	23	12	16	21	6	4	17	33	23	8	39	1	31	38	18	30	12	1	7	9	5	7	32	19	6	20	21	6	16	1	1	5	1	10	1	5	33	9	10	6	5	8	8	18	18	1	8	8	3	8	4	9	4	15	23	9	77	11	29	11	9
[Del(C):R1]T	15	22	17	22	2	19	18	11	8	33	15	8	20	57	19	52	22	15	41	15	13	6	15	14	42	5	22	4	11	4	112	91	72	33	7	7	38	4	12	9	18	15	5	6	13	26	87	53	129	2	30	33	14	17	15	22	21	12	9	8	145	14	29	8	21	4	32	14	15	22	78	25	38	14	23	0	14	9	52	22	10	39	10	14	17	41	8	29	13	29	48	21	4	8	31	6	6	62	23	6	16	23	8	59	32	16	2	27	10	4	10	24	6	9	3	42	1	18	5	12	14	10	5	12	19	3	14	3	5	12	4	5	12	12	15	26	2	7	6	4	25	11	14	10	2	13	18	35	5	1	14	27	14	73	8	40	13	38	16	6	5	8	10	9	4	17	20	12	1	14	26	11	15	19	25	12	14	5	10	23	6	54	16	10	0	164	10	11	19	12	8	36	14	13	9	16	10	15	9	27	107	12	5	10	3	4	9	19	22	1	19	21	5	2	8	8	4	10	9	8	25	11	18	9	6	18	10	28	9	18	20	618	34	9	33	4	10	63	24	3	23	7	56	16	13	15	23	10	42	17	7	42	16	4	0	5	7	29	15	55	17	32	9	43	48	4	150	9	28	2	7	12	24	29	11	28	19	11	5	9	13	2	5	12	24	8	106	12	15	67	8	40	23	11	17	9	8	41	28	27	98	34	13	22	3	3	11	1	8	10	11	14	133	14	5	13	8	26	43	8	7	120	34	8	10	39	43	60	23	53	12	11	8	78	14	20	82	16	18	2	33	14	1	3	46	15	0	7	38	18	23	34	18	29	40	5	47	10	23	14	9	22	34	3	4	8	12	5	4	7	2	31	17	3	27	4	2	28	43	23	6	70	2	53	47	32	44	12	6	26	13	5	9	40	23	4	31	26	2	7	1	8	6	1	27	9	8	48	9	8	10	14	26	13	26	18	4	15	18	3	11	6	6	6	18	45	12	118	36	63	10	6
[Del(C):R2]A	7	18	8	5	1	7	4	2	2	11	12	1	11	11	4	18	8	4	14	11	2	1	7	4	17	2	10	3	2	2	41	24	23	11	6	3	5	4	9	4	8	4	0	4	7	13	18	7	23	2	5	7	5	4	7	3	7	3	4	7	34	4	16	2	3	2	14	11	6	5	16	6	16	8	6	3	6	5	9	8	0	9	4	4	5	12	7	13	4	6	7	11	2	8	12	4	3	26	8	4	5	4	0	16	9	7	0	8	6	1	4	8	6	6	3	14	5	7	0	6	5	1	5	7	11	3	8	3	3	4	4	1	4	3	5	7	5	5	1	5	11	1	4	3	0	4	3	6	4	0	8	10	3	25	2	19	2	18	7	5	2	6	4	3	6	12	8	8	1	6	7	6	7	8	8	4	4	3	4	8	4	14	11	3	0	50	2	2	5	2	4	12	9	7	4	5	6	4	3	14	36	6	8	2	2	1	1	10	6	0	6	5	10	1	5	1	3	3	8	3	8	5	9	2	1	3	9	8	3	6	3	93	11	0	6	1	4	28	5	2	7	8	26	5	5	6	9	10	9	3	2	7	2	0	3	9	5	12	8	14	10	9	6	15	18	3	32	8	7	2	4	5	6	10	14	7	6	9	1	3	3	1	4	3	8	9	43	9	10	25	5	9	12	4	12	5	3	17	12	9	62	19	5	6	2	3	5	1	5	1	9	2	228	9	2	4	4	16	13	2	2	22	10	5	2	8	17	7	7	19	12	9	4	143	5	8	26	10	8	5	11	7	3	5	23	4	4	5	13	12	4	13	2	8	14	4	17	4	8	12	6	20	7	3	1	4	4	1	5	3	4	12	5	4	13	1	2	9	10	12	4	24	2	24	24	9	13	3	0	11	4	2	3	10	9	4	8	11	3	12	2	5	2	1	10	4	4	15	7	4	6	5	5	2	15	8	2	6	4	1	1	4	7	3	7	18	3	40	11	17	10	4
[Del(C):R2]T	10	13	14	4	0	7	5	8	5	15	16	2	6	21	11	30	9	10	24	5	2	6	7	7	18	3	13	4	4	3	53	40	37	15	7	7	10	1	8	6	3	5	1	2	6	17	33	26	44	2	12	14	6	6	16	11	13	5	12	7	43	4	13	1	10	2	9	7	8	10	31	9	10	4	10	1	5	6	35	4	4	17	9	6	7	13	7	12	11	10	21	9	2	10	8	4	1	34	12	8	10	6	3	24	6	3	3	18	3	4	10	10	1	17	7	16	3	13	1	4	7	9	0	6	12	5	13	1	5	1	4	3	10	11	8	31	2	3	4	4	18	5	12	6	2	7	4	26	2	0	8	14	9	48	4	19	5	26	8	4	6	8	3	2	1	12	11	2	1	5	10	8	14	6	20	9	3	10	8	13	2	27	1	7	1	113	5	2	12	6	8	21	9	5	6	11	3	9	7	12	72	3	9	4	3	4	3	13	15	1	12	11	9	3	5	3	5	3	3	4	11	16	8	2	4	9	7	15	3	6	20	201	25	3	14	0	7	42	9	3	6	8	50	15	19	10	11	6	20	6	3	15	8	5	1	10	4	25	13	27	14	10	8	14	28	2	59	4	16	0	7	3	11	19	7	17	10	9	9	5	2	3	5	9	8	8	63	7	9	42	5	17	23	4	9	2	3	32	24	19	73	27	4	12	6	2	4	2	4	3	4	6	150	7	5	10	8	21	27	7	4	41	23	4	7	11	28	32	14	25	10	11	4	85	6	8	58	14	16	1	21	10	0	3	9	7	0	5	29	5	13	14	12	13	24	1	36	7	16	16	5	29	12	1	6	4	13	6	0	5	2	17	4	1	13	5	4	21	24	27	8	45	1	34	31	19	29	4	1	12	12	4	1	25	13	6	16	17	6	12	1	6	7	1	26	3	9	18	9	7	6	9	10	12	23	8	1	7	10	0	8	2	4	7	8	25	6	37	13	44	15	5
[Del(C):R3]A	4	5	3	2	0	4	5	6	1	3	6	1	5	9	4	18	2	5	11	3	1	2	5	6	2	0	5	3	2	0	18	10	13	3	0	0	4	2	1	0	4	1	0	0	3	5	16	9	23	0	7	8	5	2	7	3	4	1	3	4	18	0	4	0	3	0	6	4	5	3	14	4	5	2	4	0	1	1	9	3	1	8	4	2	6	7	1	8	4	2	11	3	4	2	8	3	1	11	0	3	1	6	1	11	5	3	0	6	2	0	2	1	1	6	1	2	0	0	1	4	3	2	0	4	3	1	4	0	1	2	2	0	2	4	1	6	0	1	4	1	5	4	6	7	1	5	3	8	0	2	8	7	0	19	2	5	3	8	2	3	4	2	1	0	1	0	3	2	4	0	9	3	1	3	6	2	1	0	3	6	1	5	1	3	1	28	2	1	5	4	1	10	3	3	2	3	1	2	1	1	18	3	1	0	1	2	0	3	3	0	4	4	4	1	0	2	1	1	0	7	5	4	4	0	1	5	2	5	2	3	2	64	5	1	5	1	2	10	1	2	0	3	13	4	6	1	1	2	4	2	1	8	6	3	2	3	2	4	1	6	11	2	0	14	9	0	26	2	3	0	2	3	0	3	21	1	3	3	2	6	1	0	1	1	2	4	21	4	7	13	2	1	12	3	2	1	2	18	6	5	36	10	3	6	1	0	2	2	1	0	4	2	236	3	2	3	2	4	5	1	1	15	4	1	4	6	11	10	6	12	5	4	2	162	4	4	11	6	1	2	12	2	2	0	19	3	3	2	5	4	3	2	1	7	2	0	7	0	9	5	1	12	2	0	0	2	0	3	1	0	1	9	1	3	15	5	0	3	7	7	1	11	0	9	9	7	12	3	1	3	3	0	0	9	4	4	6	3	0	5	0	3	1	0	5	1	6	11	2	2	2	5	5	2	4	9	2	2	0	0	4	2	0	2	4	7	3	25	5	5	4	2
[Del(C):R3]T	5	3	6	2	1	3	3	1	2	11	5	1	2	12	4	10	3	6	5	5	1	1	2	1	9	0	3	1	1	1	25	12	14	7	6	5	4	1	3	2	5	1	0	2	2	9	17	2	27	1	10	4	2	3	3	3	6	2	5	4	29	1	5	0	3	1	5	1	5	4	9	5	10	3	2	0	3	2	15	5	1	4	2	3	1	4	3	5	4	5	10	2	2	0	5	1	3	15	4	1	3	7	1	13	4	3	2	7	1	0	4	1	3	3	1	6	1	2	2	2	2	3	1	1	8	0	4	1	2	3	2	2	3	4	2	6	0	3	1	2	4	5	3	3	0	4	0	6	1	2	3	10	8	15	2	3	2	9	1	5	3	1	3	2	1	0	1	1	0	3	4	3	3	3	6	2	2	0	6	6	1	9	2	1	1	23	2	3	6	2	2	4	0	2	1	4	1	0	2	1	20	3	3	4	0	0	2	3	5	0	4	5	1	1	3	2	0	2	2	2	6	4	3	0	2	4	2	4	0	3	3	65	1	1	3	0	1	13	3	1	3	1	11	4	7	3	2	1	12	3	1	4	4	3	0	4	2	9	4	9	2	4	3	10	11	0	17	4	2	0	0	1	3	4	7	5	1	5	2	1	3	0	2	2	3	1	20	1	7	16	4	5	7	1	7	1	2	7	4	3	19	9	0	5	2	0	2	3	3	2	2	0	90	6	3	3	2	1	3	1	4	5	3	2	0	10	10	14	4	6	3	3	2	70	3	4	16	5	4	3	6	5	1	0	9	4	1	5	1	4	3	5	7	9	6	2	10	1	7	3	3	6	1	0	1	0	6	1	0	3	2	1	2	0	2	0	2	9	6	5	0	9	1	14	7	3	6	3	2	3	1	1	1	6	11	1	1	6	3	5	1	2	2	0	6	1	3	7	2	5	1	0	3	3	1	2	1	3	6	0	1	1	3	2	7	12	1	19	3	6	2	2
[Del(C):R(4,5)]A	2	4	3	6	1	3	6	3	1	1	4	3	8	13	6	24	3	5	9	4	2	0	3	4	2	2	8	0	4	0	19	12	14	6	3	3	5	0	1	1	1	4	1	2	3	2	28	6	238	2	7	3	0	3	6	4	3	2	5	3	20	2	8	2	7	3	3	1	7	3	10	3	8	7	7	0	2	2	11	2	5	11	1	4	3	11	3	11	5	9	7	6	2	0	5	3	0	17	5	5	4	5	1	11	2	4	4	3	0	1	4	3	3	2	3	10	3	4	0	7	7	4	2	2	6	1	4	0	3	5	1	3	6	3	2	6	0	4	1	1	4	2	4	2	1	5	3	6	1	0	5	1	2	20	0	6	1	6	4	3	1	1	1	0	5	4	3	7	0	3	17	2	3	1	3	4	5	2	3	1	1	6	2	1	1	32	2	3	4	3	1	11	7	1	4	5	1	2	0	5	25	3	5	3	0	0	2	7	3	0	6	6	4	1	2	0	5	2	3	3	9	5	3	0	3	4	1	9	3	4	3	277	6	1	4	1	4	11	5	2	5	0	13	6	4	5	3	5	3	2	1	12	9	1	3	3	2	11	5	7	4	2	5	8	13	1	10	3	5	1	1	1	1	8	11	9	4	2	4	6	0	2	1	2	4	2	21	3	6	13	2	3	5	1	4	0	2	10	2	2	27	6	1	10	1	2	7	1	1	1	1	0	117	3	2	3	0	6	6	1	0	10	8	0	3	5	12	5	10	9	2	2	2	105	5	3	12	4	1	2	6	3	2	0	112	1	4	4	5	3	1	10	5	5	4	1	8	3	3	5	0	4	7	1	2	4	2	2	2	0	2	4	2	2	7	2	1	5	11	8	1	14	1	7	8	12	11	3	0	6	1	1	2	4	9	0	6	7	3	5	0	2	1	1	4	3	5	6	5	5	2	5	5	6	4	6	0	1	3	1	5	0	4	1	7	9	2	16	6	15	8	1
[Del(C):R(4,5)]T	0	9	6	4	0	5	8	1	2	2	5	0	5	10	4	10	4	3	8	6	1	0	3	2	3	0	3	0	1	0	17	19	7	7	0	1	8	0	3	3	3	3	1	2	4	3	17	4	187	2	4	7	2	3	4	0	5	2	1	1	18	1	5	0	2	0	3	3	3	4	8	0	11	2	2	0	5	2	9	2	1	10	3	3	4	5	2	7	2	1	6	9	0	3	3	2	1	16	2	3	1	2	1	8	3	2	2	2	2	0	4	2	1	1	2	4	2	2	1	2	4	3	1	2	1	1	1	0	2	1	3	2	4	3	1	3	0	1	1	2	4	3	4	4	2	1	1	4	0	0	6	5	2	14	0	6	0	3	1	1	0	3	1	1	5	0	3	3	1	0	23	1	5	1	4	2	2	0	0	3	0	6	4	0	0	21	3	2	4	0	2	4	4	2	2	4	0	0	2	3	13	4	2	2	1	0	2	3	0	1	6	5	2	1	1	1	4	4	0	1	3	2	2	2	2	1	3	3	2	1	3	233	4	3	3	1	1	9	2	2	3	1	10	1	10	2	4	1	5	4	1	9	1	0	0	2	3	4	3	6	0	6	1	8	5	3	16	4	3	3	0	1	3	2	5	4	0	5	2	0	3	2	1	1	2	5	13	1	7	18	1	3	5	0	1	1	2	12	4	4	15	2	0	4	0	1	5	1	0	1	2	3	76	4	2	1	1	8	3	2	2	17	5	0	3	7	3	7	2	7	5	1	4	52	0	3	19	2	1	0	6	0	1	0	88	3	0	1	5	1	1	4	1	5	7	0	11	0	3	2	1	9	1	0	1	1	2	0	2	1	1	4	2	1	2	1	1	4	7	6	3	11	0	5	5	2	9	3	1	1	2	0	1	5	1	1	6	6	0	1	0	1	4	1	4	1	7	6	3	1	1	1	2	4	8	1	0	2	4	1	2	1	1	0	2	9	1	13	8	9	4	0
[Del(C):R(1,5)]G	7	6	6	6	1	3	9	10	1	13	8	2	9	22	2	22	10	3	18	7	2	4	5	4	11	4	5	0	5	1	43	30	18	9	6	4	5	1	7	8	4	4	1	2	5	6	17	6	84	1	13	7	4	7	9	5	8	2	5	3	38	3	8	1	5	3	10	6	10	4	19	3	18	6	9	2	7	4	29	6	2	11	1	3	1	7	2	9	0	7	12	12	4	5	12	4	1	47	7	4	3	6	1	16	8	4	3	7	2	2	6	2	2	5	3	13	4	10	0	4	3	3	1	2	7	4	7	3	2	8	2	7	7	4	3	9	0	2	0	1	8	2	6	8	1	4	4	11	4	2	7	6	3	27	2	7	4	17	7	10	3	2	0	3	1	8	9	1	2	3	15	7	4	2	9	2	2	4	6	10	3	17	4	3	2	48	3	0	10	4	0	17	4	4	4	6	3	8	2	2	38	2	2	3	0	1	3	8	3	0	9	3	6	0	4	2	3	1	2	6	4	6	3	3	3	2	4	20	2	6	5	157	11	2	20	1	3	21	4	2	7	7	22	5	14	3	9	6	8	3	2	4	5	2	3	2	5	9	5	15	8	14	6	16	19	1	20	2	6	6	1	3	4	7	11	7	4	3	1	2	0	0	2	15	2	3	41	4	3	15	13	13	19	4	3	2	0	15	4	4	19	17	7	5	0	2	1	1	2	3	1	5	101	3	9	2	3	5	11	1	2	15	12	2	1	14	13	12	9	8	7	11	3	109	6	4	28	4	3	0	6	5	2	1	56	5	1	2	10	4	5	13	1	13	17	0	20	7	9	6	1	6	2	1	4	4	3	2	4	2	0	10	5	3	6	2	1	8	13	14	3	24	1	22	19	15	13	5	2	10	5	0	2	14	10	3	10	7	0	6	1	1	1	0	11	1	3	16	4	4	1	6	0	6	4	4	1	5	6	1	4	1	0	2	10	9	7	30	20	18	7	5
Del(C):R(6,9)	1	2	3	1	0	1	1	3	0	2	2	1	1	4	2	5	3	3	4	2	0	2	0	1	1	0	3	1	2	0	8	5	9	2	1	3	1	0	0	1	1	2	0	0	2	1	5	4	924	0	2	3	1	2	1	5	2	7	3	1	9	1	4	1	3	1	4	1	4	1	5	2	15	0	3	2	8	1	7	2	0	4	4	2	4	7	2	4	1	1	4	1	1	0	4	1	1	5	1	2	1	1	0	4	3	0	1	7	0	0	1	1	2	1	1	7	1	4	1	2	1	1	0	1	9	5	7	1	0	1	0	1	1	0	2	7	1	1	0	3	2	5	5	7	0	4	4	4	0	0	0	4	1	9	1	9	3	10	4	3	2	1	2	1	0	1	4	1	1	3	110	1	0	4	1	5	1	2	5	2	5	5	1	3	0	15	1	2	3	8	2	6	10	4	2	0	0	4	0	6	10	4	1	3	3	2	4	2	4	1	4	3	0	1	4	0	2	2	1	5	15	5	1	0	0	3	3	2	3	7	1	1639	7	3	21	2	11	4	2	1	1	5	9	2	1	2	5	0	7	2	3	25	2	0	2	2	1	0	4	5	3	4	2	4	6	0	14	2	3	2	1	0	3	2	2	2	1	5	1	2	3	2	2	2	4	2	11	0	2	17	3	1	2	2	3	2	5	8	4	3	18	8	3	5	0	0	7	0	1	4	2	5	49	1	1	5	0	3	8	1	2	9	5	1	0	6	5	3	4	15	4	3	3	40	1	7	12	3	4	1	5	2	0	1	715	2	1	1	7	3	0	8	11	1	3	3	8	0	4	4	3	6	2	0	0	2	4	0	0	3	1	2	3	1	2	0	0	3	7	5	1	27	1	11	4	1	32	0	0	2	3	0	3	6	9	3	2	4	0	6	0	0	0	0	0	5	3	17	3	0	2	4	3	5	3	1	0	4	2	0	1	3	3	3	5	5	2	10	5	10	11	2
