MutationType	SP97749	SP49235	SP50177	SP97775	SP97685	SP97747	SP97771	SP97681	SP98082	SP49334	SP49124	SP115501	SP98305	SP49247	SP49328	SP98092	SP120755	SP49417	SP49175	SP49223	SP49187	SP49157	SP49379	SP49541	SP98164	SP49481	SP98078	SP106677	SP106743	SP98359	SP98192	SP98053	SP106631	SP49551	SP49651	SP98265	SP98297	SP98060	SP98289	SP115498	SP98096	SP49114	SP98090	SP49286	SP49469	SP49205	SP98327	SP49449	SP49391	SP49531	SP49322	SP49433	SP109384	SP98065	SP49591	SP49385	SP98313	SP49119	SP109301	SP115830	SP49229	SP98853	SP98855	SP98859	SP98865	SP98879	SP98871	SP98867	SP98861	SP98877	SP98889	SP98887	SP98875	SP98851	SP98833	SP98873	SP98883	SP98849	SP98869	SP98893	SP98847	SP98881	SP98841	SP98845	SP98839	SP98843	SP98863	SP98891	SP98885	SP107047	SP107050	SP99261	SP107052	SP99269	SP99271	SP107056	SP107060	SP99279	SP107063	SP107068	SP107071	SP107073	SP98896	SP99003	SP107076	SP107078	SP107080	SP98898	SP107084	SP107088	SP107091	SP107094	SP112224	SP107097	SP107101	SP98900	SP107104	SP107109	SP107111	SP107115	SP98902	SP107119	SP98904	SP98909	SP107121	SP107123	SP98907	SP107132	SP107136	SP107141	SP98913	SP107146	SP107150	SP98915	SP107152	SP107155	SP112125	SP98921	SP112130	SP112133	SP98925	SP112138	SP112141	SP98927	SP112147	SP112152	SP112156	SP98933	SP112160	SP98937	SP112165	SP112168	SP98941	SP112170	SP112174	SP98945	SP112178	SP112180	SP98949	SP112182	SP98953	SP112186	SP98955	SP112188	SP112190	SP112192	SP112194	SP98959	SP112196	SP112198	SP112201	SP98965	SP112205	SP112208	SP98967	SP112210	SP112211	SP98973	SP112213	SP50097	SP112215	SP112217	SP98975	SP112219	SP112221	SP112228	SP50099	SP98981	SP112234	SP98985	SP112237	SP98989	SP112241	SP112245	SP98991	SP112248	SP112051	SP98997	SP112252	SP99001	SP112257	SP99007	SP112261	SP50101	SP112265	SP112268	SP99011	SP112269	SP99013	SP112273	SP112274	SP50105	SP112276	SP99019	SP99021	SP112283	SP112288	SP99025	SP112290	SP99029	SP99033	SP99037	SP99041	SP99045	SP112300	SP99049	SP112304	SP50107	SP112310	SP99053	SP99057	SP99061	SP50109	SP99065	SP106993	SP50111	SP99069	SP99073	SP99077	SP99081	SP99085	SP99089	SP99093	SP99097	SP99101	SP106998	SP99105	SP99109	SP50113	SP50115	SP50117	SP107004	SP99117	SP99121	SP107007	SP99125	SP99129	SP99133	SP50119	SP99137	SP50121	SP50123	SP99141	SP50125	SP99145	SP99149	SP50129	SP99153	SP99157	SP99161	SP99165	SP50131	SP50133	SP99169	SP50135	SP50137	SP99173	SP99177	SP99181	SP50139	SP107010	SP99189	SP50141	SP99193	SP50145	SP50147	SP107012	SP50149	SP107017	SP107019	SP107023	SP50151	SP50153	SP99197	SP50155	SP99201	SP50157	SP99205	SP50159	SP50161	SP107025	SP107028	SP50163	SP99217	SP50165	SP107030	SP50167	SP99229	SP99233	SP107032	SP50169	SP50171	SP50173	SP50175	SP107034	SP50179	SP99237	SP107037	SP107041	SP50181	SP99249	SP99253	SP50183	SP99257	SP107044	SP50185
[Del(C):R1]A	8	12	18	34	14	16	23	14	18	7	13	10	23	27	14	11	8	24	10	5	15	24	11	18	25	6	27	16	4	12	3	19	5	22	9	16	30	4	10	28	15	34	54	13	10	3	17	2	5	27	9	8	9	18	7	20	6	16	22	10	5	17	8	8	4	15	12	16	24	11	14	28	17	1	10	23	15	7	4	17	17	17	12	21	10	13	4	13	13	26	30	12	11	18	13	20	8	19	16	14	36	4	30	16	31	14	25	24	25	6	14	7	16	18	47	25	17	6	12	0	22	25	9	26	39	17	31	1	22	8	16	19	24	7	26	19	15	15	12	15	8	6	29	28	21	8	17	16	10	5	16	43	41	34	11	5	36	15	31	17	14	17	43	11	25	22	23	7	18	20	7	17	16	24	9	25	15	40	22	29	24	25	12	33	10	22	17	11	33	31	10	4	6	7	11	16	22	28	19	8	3	7	8	15	9	17	38	25	8	23	9	18	8	19	15	8	16	20	36	18	33	5	22	21	13	17	22	30	17	12	6	51	9	13	39	12	15	13	18	17	20	16	15	6	9	23	8	23	27	16	11	21	24	24	23	14	19	16	24	27	19	23	18	13	5	18	16	11	11	13	22	20	8	4	5	4	18	24	8	10	16	14	0	16	14	31	50	13	4	15	13	19	37	23	32	6	14	6	28	19	21	5	16	4	22	23	10	14	7	5	37	29	7	3	21	17	12	21	12	10	14	11	19	20	9	13
[Del(C):R1]T	9	9	5	33	14	14	19	18	24	11	14	15	24	22	17	15	8	15	7	1	7	19	6	25	25	4	16	10	8	11	3	21	5	12	13	21	23	6	16	30	15	36	53	17	18	8	8	9	6	20	22	8	10	10	18	21	7	12	26	10	11	15	13	10	8	16	5	16	41	14	10	15	12	3	13	22	13	9	7	21	12	18	5	18	11	12	2	15	9	23	13	15	9	14	10	25	15	9	12	10	22	2	22	13	27	6	15	13	8	3	17	4	10	11	42	11	8	8	20	1	16	11	6	19	22	6	23	6	11	3	23	18	9	8	14	9	11	10	15	11	6	7	12	16	23	6	11	11	8	4	8	24	23	20	7	4	17	8	18	6	22	14	29	8	28	18	11	6	24	8	4	14	15	14	8	13	15	41	17	36	13	29	6	18	9	11	7	9	17	14	25	4	10	8	9	10	17	12	20	6	1	9	9	17	15	19	19	16	17	29	4	18	5	22	11	9	16	15	21	8	17	5	15	14	13	18	14	24	13	6	4	37	9	8	17	9	12	17	17	14	15	9	14	5	7	20	6	21	41	11	11	9	25	20	20	9	15	8	15	14	9	15	13	18	5	7	19	6	14	10	10	28	6	2	9	2	18	16	11	6	19	4	1	4	20	17	18	20	7	18	10	16	15	54	22	7	12	8	18	19	22	2	12	3	15	15	14	9	5	2	12	11	5	2	4	11	14	15	7	7	12	17	40	15	2	10
[Del(C):R2]A	11	20	15	29	11	29	21	25	15	11	9	9	37	37	20	14	3	16	24	3	25	44	21	22	43	7	33	16	6	14	2	28	13	23	4	16	33	1	26	39	31	32	84	23	10	7	22	3	4	40	11	9	6	14	10	22	10	18	37	12	8	31	13	8	3	26	11	45	30	42	35	32	29	2	13	43	21	5	11	21	22	20	16	23	22	16	6	32	36	48	31	21	12	28	23	49	21	33	9	17	52	4	38	15	50	7	20	37	33	7	28	11	14	23	58	17	20	4	23	0	30	26	22	48	36	37	40	3	23	8	28	20	23	11	29	11	16	20	23	13	12	9	54	25	26	8	18	18	25	6	12	47	58	57	9	18	47	19	51	27	20	29	68	24	48	30	30	8	24	27	10	22	29	24	19	35	19	43	35	61	41	48	22	55	15	27	21	16	40	53	7	8	12	4	5	25	30	51	27	10	1	4	10	13	10	26	46	16	6	50	8	27	10	25	31	10	23	24	65	46	47	6	33	25	8	31	23	42	28	21	7	73	19	15	54	5	28	26	20	16	32	17	41	2	4	47	13	17	41	23	14	39	28	39	28	31	26	20	30	55	17	24	15	22	9	28	25	19	16	11	22	33	13	9	20	4	30	38	16	8	15	12	2	22	15	48	40	22	11	26	19	18	46	19	60	4	19	8	18	40	22	7	23	5	31	23	29	12	12	5	43	38	16	3	23	21	14	24	16	28	16	38	30	49	12	12
[Del(C):R2]T	10	10	11	22	7	8	19	15	8	15	14	10	18	24	16	9	4	10	6	5	9	24	11	20	24	2	17	8	6	9	7	19	9	15	7	14	28	6	21	16	17	38	37	24	7	1	9	5	8	24	7	5	8	16	6	10	11	10	21	11	3	15	9	7	5	16	4	16	9	12	13	22	16	2	9	24	21	6	6	15	10	18	6	19	8	11	6	18	17	21	12	17	8	15	12	20	14	6	6	7	9	2	19	8	26	2	18	15	16	2	10	2	21	11	30	14	9	6	14	0	12	16	2	29	27	6	22	7	14	6	9	12	21	10	19	7	11	7	10	14	8	1	20	8	12	9	7	8	10	6	8	23	24	34	7	2	30	15	30	10	16	15	24	6	23	14	17	5	10	7	4	16	17	19	10	21	9	29	18	69	20	27	12	18	8	18	12	5	24	19	11	5	7	7	5	15	12	25	16	4	2	7	8	15	7	16	19	14	10	20	3	8	3	8	9	7	11	15	24	13	28	4	11	17	5	20	10	21	19	14	6	44	5	9	35	7	11	19	11	14	14	14	31	3	7	21	8	17	25	6	7	15	14	14	20	19	14	15	13	26	14	13	9	15	7	12	20	7	6	7	13	22	9	5	10	1	14	18	15	3	16	6	0	7	12	13	28	12	8	14	12	8	14	19	19	7	13	5	15	26	7	7	14	3	13	10	12	4	7	0	19	14	13	3	15	15	4	22	8	15	11	11	42	16	1	14
[Del(C):R3]A	4	7	5	13	7	22	14	21	12	10	13	2	15	25	17	7	0	8	8	2	15	27	12	15	31	6	19	8	1	7	6	22	9	23	4	11	29	3	17	33	19	32	43	13	5	3	15	0	5	37	8	7	8	12	5	15	0	14	30	7	4	25	5	4	4	12	5	14	32	21	19	24	23	4	9	17	7	5	5	13	14	16	18	26	10	18	2	16	23	28	14	20	14	19	18	27	15	18	10	13	24	4	35	14	27	10	7	14	14	3	14	4	8	10	29	6	7	4	12	0	25	21	8	41	29	17	28	1	21	6	20	14	9	9	33	8	12	8	14	19	5	2	26	25	16	7	9	13	14	3	8	35	33	30	3	7	21	18	29	17	18	18	43	13	24	20	22	5	17	12	6	13	15	9	13	14	16	31	23	45	18	29	6	24	9	22	19	11	35	28	6	8	12	12	4	26	17	34	18	8	2	8	6	14	2	26	38	18	2	32	4	18	5	10	17	4	9	12	40	26	25	6	16	28	6	17	9	27	14	9	2	49	8	9	36	4	15	20	9	14	16	18	30	0	1	24	5	18	28	11	8	26	12	22	23	16	14	21	14	31	10	16	6	14	6	15	13	10	8	7	9	25	11	3	8	5	11	16	11	9	8	5	0	14	10	30	49	25	7	9	16	12	36	23	33	4	8	11	18	21	16	4	9	4	27	14	25	9	3	3	24	29	16	1	11	11	8	30	9	14	7	12	18	24	7	3
[Del(C):R3]T	6	6	6	13	2	7	12	12	14	5	6	4	14	5	9	5	3	5	5	0	11	18	5	9	11	2	11	4	2	6	3	9	5	9	1	5	15	2	4	11	4	19	31	8	3	0	11	1	5	8	2	3	8	5	4	8	1	1	15	3	2	11	8	5	1	8	5	8	13	6	4	7	10	1	8	8	9	7	1	7	5	9	7	20	8	6	1	8	4	13	4	9	4	7	9	15	7	9	7	7	16	0	10	9	11	7	7	10	13	4	9	5	5	3	13	9	2	3	6	1	17	6	7	14	7	4	18	2	8	2	11	8	7	2	10	5	10	4	6	3	1	4	15	11	4	2	5	8	7	3	6	14	12	13	5	3	8	3	24	6	6	4	21	7	21	10	5	3	13	8	3	3	6	7	4	2	6	11	10	22	17	13	2	9	3	7	4	5	17	9	4	6	6	3	3	7	13	21	6	3	0	1	1	9	6	10	8	5	4	15	0	8	0	3	3	1	7	6	19	8	6	2	10	13	2	6	8	13	11	7	2	18	3	7	18	3	10	10	8	4	7	9	8	3	2	8	5	5	15	2	8	5	6	6	12	2	8	9	8	8	4	8	9	6	2	8	2	8	5	3	4	10	3	0	4	0	7	6	3	5	11	4	1	6	2	12	30	4	4	8	12	7	12	4	15	3	2	2	11	6	6	2	6	6	10	7	6	5	6	2	14	16	2	0	6	7	3	4	4	5	5	8	14	7	3	3
[Del(C):R(4,5)]A	9	1	5	14	5	6	12	21	7	6	11	4	8	18	16	12	2	15	3	4	18	23	17	18	21	1	14	4	0	9	0	14	15	7	2	10	19	1	14	21	15	24	37	11	10	2	16	2	6	16	7	6	2	4	1	11	5	5	25	6	3	9	6	2	2	12	4	12	24	8	12	28	14	3	4	25	15	2	4	15	14	9	15	106	10	14	3	21	12	19	15	13	10	7	5	13	11	17	7	9	18	1	17	11	30	7	13	16	9	3	11	3	20	16	28	6	8	0	8	0	23	17	6	17	20	9	23	3	5	1	8	10	7	8	20	4	6	6	10	15	6	6	26	6	13	2	8	9	5	6	9	22	16	20	1	5	22	11	33	8	7	15	25	6	20	8	15	3	16	13	1	12	12	16	7	10	7	17	20	42	22	21	7	15	3	23	13	10	17	18	2	5	7	9	5	12	16	34	22	6	0	4	6	8	8	23	25	12	8	19	3	17	4	16	13	3	7	12	31	13	17	2	8	12	5	17	12	25	21	4	0	32	7	10	28	5	12	18	9	7	13	17	18	4	1	17	7	15	19	5	10	16	10	17	19	8	6	14	10	19	2	10	7	10	5	18	8	12	5	6	6	12	8	4	4	3	6	14	7	1	17	2	1	7	8	26	265	9	2	7	9	8	30	10	18	5	8	5	5	15	11	2	9	1	13	9	10	4	3	2	19	18	5	2	2	7	8	19	6	11	5	14	16	15	6	8
[Del(C):R(4,5)]T	4	4	8	8	1	6	11	4	3	5	4	2	11	9	10	7	1	8	4	1	10	7	9	10	14	1	10	5	2	4	2	3	1	5	7	5	11	0	10	19	10	18	21	6	4	1	12	0	3	14	2	3	1	2	3	6	6	8	10	6	2	9	7	1	1	6	1	4	10	8	5	12	12	2	3	13	7	8	2	7	4	4	7	100	9	10	2	7	7	6	9	8	5	6	4	14	2	11	2	7	8	0	8	7	12	2	7	6	7	3	4	2	5	8	15	2	4	1	3	0	12	8	2	13	10	6	13	0	13	4	9	7	5	3	8	5	5	3	7	10	2	0	11	5	9	5	3	5	5	5	2	11	9	12	2	1	8	8	13	9	5	9	11	2	13	7	3	3	15	5	6	6	6	3	3	10	12	14	6	25	10	15	1	8	4	8	6	5	11	7	2	4	3	1	1	6	4	12	10	4	1	2	2	8	3	9	14	10	2	6	2	6	2	4	3	1	8	7	19	6	12	2	11	12	1	6	2	18	7	6	1	27	10	5	15	4	10	10	4	2	5	7	9	1	0	9	2	5	18	7	4	8	9	16	15	10	10	7	8	12	5	16	7	5	3	7	5	3	6	5	2	6	1	1	3	3	6	5	3	3	1	3	1	3	9	14	246	4	5	4	5	3	10	11	12	3	4	1	5	9	6	2	5	0	7	2	3	1	4	0	10	17	2	0	5	5	5	15	4	5	1	9	16	7	1	5
[Del(C):R(1,5)]G	1	8	9	17	2	11	12	11	8	8	7	3	10	15	8	3	0	9	8	0	8	17	12	19	23	1	16	2	3	7	1	7	9	9	3	8	20	0	7	15	8	18	34	6	9	3	6	4	1	17	6	1	2	9	3	7	4	13	10	6	2	11	4	6	1	8	4	10	12	10	9	13	13	1	6	23	12	3	2	10	14	6	11	46	9	8	2	11	7	15	3	12	2	10	8	15	10	7	6	8	11	1	16	10	17	4	8	17	15	1	18	2	10	4	18	9	4	1	4	1	9	12	5	20	16	5	28	2	12	2	17	8	4	1	13	5	9	5	6	9	2	7	20	13	7	5	6	8	8	4	6	10	19	14	5	3	13	10	21	9	8	7	20	8	21	14	12	1	18	10	7	15	11	4	7	9	9	14	16	23	23	9	11	18	0	9	14	7	15	11	4	6	5	0	2	10	14	22	13	4	0	6	4	8	2	8	17	6	3	24	3	11	1	7	9	3	4	7	18	18	15	2	6	11	6	10	7	20	12	4	1	28	10	2	16	6	18	6	6	4	15	7	10	0	6	5	7	8	17	4	6	16	4	16	11	8	8	4	3	13	3	18	6	7	2	10	5	3	7	9	11	11	13	3	4	2	8	9	3	4	8	2	1	7	4	18	71	9	3	13	7	6	11	12	21	4	6	5	4	10	10	3	6	7	10	7	12	4	1	1	18	14	4	1	8	3	5	10	5	8	5	10	13	14	5	5
Del(C):R(6,9)	0	3	1	7	2	4	2	3	6	3	2	2	11	8	6	1	1	5	2	2	5	4	5	12	8	1	8	0	3	4	0	8	3	2	2	5	1	1	2	7	6	7	11	2	3	2	6	0	1	9	2	1	2	4	2	2	0	2	8	4	0	5	2	0	0	8	1	5	1	10	8	8	6	0	3	3	3	3	3	9	4	2	4	400	3	3	2	10	6	7	3	5	0	3	2	15	1	4	1	1	6	0	8	4	6	1	3	5	5	2	4	1	0	3	4	2	0	0	5	0	7	6	1	9	6	4	7	1	5	1	9	4	4	2	5	6	3	3	4	3	1	4	9	6	4	2	4	3	3	2	2	5	5	3	2	4	3	2	4	3	4	7	5	2	3	1	7	0	7	5	1	6	5	4	3	7	3	11	5	10	9	5	6	7	1	1	6	2	6	7	3	1	3	0	3	6	3	9	9	3	0	1	0	3	2	4	8	5	3	10	2	2	0	3	3	0	0	5	8	2	6	0	4	5	2	4	3	7	4	1	0	5	2	5	4	0	4	4	1	3	5	2	10	0	4	1	2	2	14	7	1	6	8	10	8	4	5	0	5	8	1	6	2	3	3	3	4	2	3	3	1	7	3	1	4	2	5	8	3	0	5	1	0	2	4	3	884	5	2	1	6	1	9	5	9	1	8	0	6	7	3	0	5	3	10	6	3	2	1	1	4	5	2	0	1	2	3	3	3	4	5	6	7	2	1	2
