MutationType	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
1:Del:C:0	37	3	36	22	27	23	66	52	15	41	21	34	23	66	36	43	42	31	49	26	29	48	50	26	49	20	20	28	16	34	26	24	35	9	29	39	35	34	33	49	20	13	48	44	10	37	38	108	6	26	16	63	27
1:Del:C:1	43	2	28	9	32	35	97	99	4	35	21	42	19	62	35	56	55	46	50	16	24	58	45	31	52	26	6	23	26	31	26	24	38	12	28	46	41	24	28	60	12	9	74	69	6	46	37	90	9	39	17	43	38
1:Del:C:2	30	1	22	8	24	42	60	63	9	24	20	23	8	29	22	28	23	29	38	12	13	37	35	17	31	21	10	11	13	28	15	7	24	3	15	32	17	8	9	46	6	3	57	75	2	29	22	52	5	18	14	20	16
1:Del:C:3	15	1	19	1	8	15	30	36	1	9	8	15	5	19	16	16	17	15	23	8	11	18	24	6	8	13	3	7	5	17	12	6	12	2	6	21	14	7	5	18	7	3	30	20	2	22	16	32	2	8	6	18	11
1:Del:C:4	9	0	5	4	8	11	14	24	1	9	5	4	2	6	4	8	11	8	14	4	5	14	14	3	13	8	4	5	4	7	6	5	8	2	6	10	9	2	3	19	7	3	23	23	2	8	11	6	5	6	4	7	8
1:Del:C:5	7	0	4	2	5	16	12	15	0	4	4	7	2	1	6	4	11	5	12	8	3	9	9	6	9	11	3	2	5	4	7	4	6	0	2	14	5	2	3	7	6	2	7	9	4	4	3	1	1	2	1	9	5
1:Del:T:0	24	1	28	15	18	35	49	58	9	36	18	27	13	78	31	24	24	50	31	30	21	33	42	27	52	36	6	18	21	33	25	27	38	6	18	29	18	14	27	32	9	12	36	38	6	28	33	151	9	31	13	39	26
1:Del:T:1	18	0	24	8	27	29	46	50	4	16	23	16	12	79	44	23	19	42	29	20	23	33	36	18	27	16	8	13	20	26	12	14	17	10	17	22	19	11	16	23	14	7	41	28	11	16	30	112	8	26	14	24	15
1:Del:T:2	16	0	27	12	37	30	39	46	2	19	28	29	14	69	42	25	29	29	38	13	20	36	30	22	35	18	4	12	13	26	14	22	17	3	11	18	12	16	27	20	8	8	34	28	5	23	26	86	9	17	14	32	21
1:Del:T:3	20	0	21	11	17	23	42	33	6	28	21	23	9	38	41	32	25	30	28	24	35	32	35	20	32	16	2	22	19	25	25	12	39	4	12	30	13	8	45	22	14	2	31	29	9	22	22	49	7	20	16	22	14
1:Del:T:4	21	1	17	7	21	16	35	27	4	25	22	17	13	16	25	9	13	32	21	17	18	16	26	10	27	11	4	11	13	19	12	15	16	7	12	13	10	14	41	31	7	6	25	20	5	19	17	34	3	16	6	24	21
1:Del:T:5	53	2	55	97	35	30	119	59	12	116	50	62	27	21	41	55	75	53	36	29	62	52	74	41	49	42	12	29	18	47	52	24	75	6	17	41	38	28	72	81	90	8	32	37	68	49	35	32	3	30	20	128	25
1:Ins:C:0	9	0	6	6	3	10	6	13	1	5	7	7	2	5	10	7	7	9	13	5	1	4	8	1	11	7	1	5	6	2	3	9	7	0	7	6	4	67	7	7	6	2	10	11	3	7	10	10	2	2	6	8	10
1:Ins:C:1	2	0	3	4	0	3	6	6	2	2	4	3	1	8	6	3	5	8	1	3	3	3	6	2	2	2	3	1	3	4	1	2	1	2	4	3	1	21	5	1	2	1	11	5	3	4	5	13	2	2	2	2	0
1:Ins:C:2	4	1	0	2	4	2	3	2	0	2	1	3	1	6	3	5	2	6	1	2	4	5	2	2	1	4	3	2	2	0	4	4	3	1	1	3	2	11	4	3	1	3	4	5	2	2	4	8	1	1	1	2	4
1:Ins:C:3	2	1	0	2	3	0	5	3	1	4	2	1	0	2	1	5	5	5	5	3	2	0	1	3	2	5	2	0	2	2	2	2	4	1	5	1	2	4	1	3	1	0	3	3	0	2	1	5	2	1	2	4	3
