MutationType	SP53460	SP50827	SP50263	SP50317	SP54113	SP50406	SP51824	SP55387	SP52779	SP55235	SP50713	SP50611	SP50485	SP51037	SP55142	SP53387	SP54745	SP52284	SP53618	SP52232	SP50412	SP50321	SP53548	SP55004	SP56079	SP56168	SP54363	SP53810	SP50518	SP56303	SP55711	SP55509	SP55309	SP52607	SP52667	SP51446	SP50592	SP53073	SP56638	SP56537	SP57586	SP56541	SP56553	SP56771	SP57941	SP57818	SP56460	SP56474	SP56704	SP56533	SP56730	SP59245	SP57024	SP57933	SP56754	SP56827	SP57084	SP57538	SP57735	SP57669	SP56566	SP56569	SP58342	SP58349	SP56644	SP57629	SP56941	SP57619	SP58245	SP57251	SP56502	SP58668	SP58101	SP58991	SP56607	SP58326	SP57267	SP57066	SP57901	SP57651	SP57450	SP57846	SP58612	SP56821	SP58882	SP57189
[Del(C):R1]A	83	115	7	18	231	1	34	12	95	183	23	99	2	2	366	67	47	5	142	58	3	23	1	2	97	24	74	459	5	17	18	135	2	4	71	8	7	37	53	88	47	72	134	18	186	142	37	12	79	31	68	76	38	87	49	73	70	41	65	95	33	55	95	64	84	45	3	63	96	67	74	100	69	41	31	138	93	89	53	31	20	89	54	62	22	207
[Del(C):R1]T	67	58	18	18	146	0	29	10	53	124	8	104	5	3	258	54	34	8	100	45	3	30	5	0	47	16	65	241	11	31	13	121	2	5	67	16	2	28	50	50	34	52	138	17	144	78	35	32	54	42	51	67	29	110	46	41	67	44	64	72	31	39	83	86	76	48	2	71	73	79	76	80	68	39	27	111	79	52	44	26	24	53	24	32	29	151
[Del(C):R2]A	85	150	8	14	347	0	69	22	115	242	27	168	3	1	422	102	44	9	198	85	2	31	2	0	142	16	91	462	7	17	6	207	1	2	93	10	3	63	100	131	73	110	195	23	231	136	38	14	187	61	122	127	65	131	80	100	126	122	135	142	27	99	177	95	137	55	6	104	138	112	160	164	109	67	46	238	142	145	68	30	29	124	102	115	29	372
[Del(C):R2]T	65	73	4	15	231	0	31	13	69	158	30	99	4	6	258	65	34	5	104	49	5	21	4	0	84	15	51	315	2	8	9	110	1	5	66	9	5	40	64	74	48	83	128	12	114	90	27	17	111	44	63	63	32	123	45	69	68	58	79	102	31	45	114	79	82	41	3	63	116	81	84	119	62	39	32	158	106	99	61	28	22	65	55	54	31	232
[Del(C):R3]A	109	147	10	5	346	1	47	23	109	269	27	160	1	3	366	81	42	3	186	82	3	28	0	0	153	12	110	541	4	8	4	185	1	1	84	10	3	71	112	111	67	108	164	23	189	139	38	3	175	56	113	122	51	124	42	112	130	93	98	128	29	80	160	88	116	34	2	116	108	81	118	155	92	61	52	247	149	126	60	30	18	128	74	112	32	391
[Del(C):R3]T	47	58	4	5	161	0	35	11	48	125	11	80	3	0	185	26	18	2	70	30	1	13	2	0	51	1	32	223	1	5	4	75	0	1	49	5	1	28	38	44	34	41	114	7	85	58	21	3	91	20	32	35	25	62	24	36	36	33	44	71	9	32	82	52	82	17	2	46	45	50	53	67	40	33	25	90	75	59	20	13	9	48	33	54	13	159
[Del(C):R(4,5)]A	42	74	12	8	178	0	33	12	74	150	14	67	0	3	268	46	21	5	102	63	0	19	0	0	81	9	56	265	7	4	2	89	0	1	50	6	1	30	49	64	44	62	119	14	91	80	34	8	111	36	66	63	34	85	35	72	66	67	79	69	18	50	75	54	73	33	2	63	103	65	73	103	81	42	46	134	95	77	32	17	12	56	63	56	24	221
[Del(C):R(4,5)]T	30	33	1	5	111	0	24	7	35	83	14	42	0	2	136	20	15	3	56	17	2	8	0	0	26	5	27	136	4	4	2	47	1	1	26	2	3	17	27	36	29	33	48	15	57	48	14	5	76	19	30	41	24	40	19	24	43	38	56	43	14	32	52	29	51	16	3	38	44	40	25	41	43	27	20	73	56	44	15	12	6	35	25	31	7	85
[Del(C):R(1,5)]G	49	60	3	7	229	1	22	16	80	154	23	90	3	2	177	48	22	6	97	44	0	13	2	0	69	10	56	272	2	6	3	78	2	2	54	9	3	28	53	56	45	74	112	18	88	79	13	8	100	35	79	53	24	79	27	59	80	58	61	81	15	47	83	50	59	29	2	64	74	53	68	100	58	40	29	112	79	101	32	12	12	72	59	53	26	205
Del(C):R(6,9)	14	19	4	2	57	0	12	4	24	61	5	35	2	2	84	19	9	3	32	16	0	8	2	0	38	2	22	83	1	4	0	28	0	0	11	4	1	14	22	24	21	26	70	10	30	31	20	8	47	15	19	22	17	31	16	13	25	20	37	37	6	17	41	31	30	23	2	21	66	26	36	46	34	15	12	58	31	38	7	12	5	21	30	19	13	93
A[Del(T):R(1,4)]A	18	36	9	11	56	0	12	5	25	54	8	19	2	6	128	31	24	5	38	12	2	15	3	0	16	12	23	111	6	13	6	42	0	1	16	5	12	19	32	36	29	23	45	13	47	39	26	14	40	20	35	31	10	52	18	23	48	42	26	49	10	24	51	30	44	35	3	19	49	41	36	43	39	18	9	55	42	43	22	19	10	33	24	29	19	82
A[Del(T):R(1,4)]C	6	9	4	6	19	0	7	2	5	21	5	13	3	1	44	9	11	5	15	4	3	2	4	2	10	6	13	14	10	9	6	6	1	1	9	2	5	13	9	15	16	8	14	8	23	13	13	3	12	14	14	8	4	19	12	9	13	12	17	16	3	10	12	16	15	10	3	11	13	22	16	15	13	9	8	8	13	8	8	10	8	4	15	8	22	21
A[Del(T):R(1,4)]G	17	20	6	7	47	0	4	6	10	36	11	22	5	2	57	19	11	5	27	7	1	8	4	0	14	8	18	65	4	8	3	23	0	4	9	5	4	11	20	36	15	17	46	8	38	38	11	9	32	11	15	24	10	39	19	9	19	19	18	25	4	19	27	19	27	21	3	18	38	21	24	32	29	15	3	40	24	13	14	9	4	22	17	15	19	56
C[Del(T):R(1,4)]A	34	55	9	10	87	0	13	4	43	72	7	32	1	4	104	38	22	4	54	23	4	15	4	0	37	13	32	160	7	13	5	50	3	3	22	9	8	24	33	39	24	26	60	9	63	49	15	10	31	16	27	33	19	42	24	31	37	43	44	52	14	30	55	42	42	39	3	36	40	44	33	39	31	28	21	74	28	43	31	10	11	35	22	28	19	107
C[Del(T):R(1,4)]C	15	33	6	5	54	0	12	3	25	47	7	26	3	2	80	15	19	4	32	8	0	10	4	0	24	6	22	83	4	15	3	24	1	5	16	2	1	18	20	20	17	32	44	9	35	24	18	7	28	18	32	19	12	31	20	19	20	20	24	26	5	19	27	28	17	20	1	25	26	16	20	34	25	18	9	27	27	42	16	8	6	19	10	15	18	46
C[Del(T):R(1,4)]G	31	49	7	6	103	0	24	9	33	86	11	47	2	3	134	26	19	3	57	23	3	16	5	0	32	8	25	154	8	9	5	46	0	1	28	9	3	12	34	50	28	27	62	9	82	43	16	6	56	21	46	44	14	63	19	28	30	37	39	49	13	36	53	36	42	34	3	42	61	43	50	55	37	23	22	66	53	49	32	18	15	35	32	22	13	97
G[Del(T):R(1,4)]A	9	17	5	5	28	0	9	2	21	21	1	11	0	0	70	15	22	3	25	8	3	3	8	0	11	6	15	54	4	7	5	16	1	0	10	3	1	11	9	14	5	11	30	8	29	14	13	2	15	10	20	13	8	20	23	11	15	22	11	20	5	9	24	22	15	16	1	24	16	19	17	17	18	13	8	17	21	22	18	5	8	19	12	9	13	36
G[Del(T):R(1,4)]C	7	10	5	9	15	0	7	1	10	13	3	7	2	0	43	8	20	2	3	0	1	2	5	1	5	4	6	24	3	9	3	12	0	4	3	2	3	3	7	7	9	6	21	9	13	8	7	4	11	8	9	5	4	10	9	7	13	11	6	15	2	9	14	14	14	8	3	12	8	9	8	12	7	9	5	12	11	9	8	6	6	12	3	10	8	16
G[Del(T):R(1,4)]G	12	17	5	10	41	0	8	6	19	36	3	22	1	1	72	16	10	2	26	13	1	6	5	0	16	6	13	54	1	9	3	21	0	0	20	4	3	8	19	18	13	17	29	2	29	18	11	9	20	13	19	24	14	33	9	6	17	16	15	22	9	7	13	21	11	10	2	21	21	22	14	19	17	10	6	25	18	13	10	5	7	18	14	16	4	47
A[Del(T):R(5,7)]A	2	11	5	23	23	0	6	0	7	17	3	4	3	3	51	10	21	6	13	1	1	4	3	0	4	12	8	19	3	9	6	14	0	1	5	3	4	6	7	14	26	13	30	15	15	14	17	22	14	14	15	20	4	40	19	8	19	18	16	12	8	7	27	21	16	34	2	10	16	23	26	12	33	23	4	33	16	14	13	8	9	8	19	9	15	40
A[Del(T):R(5,7)]C	5	11	5	13	11	0	5	1	7	10	0	4	1	1	26	5	10	4	4	0	1	2	1	0	4	4	9	11	5	5	1	4	0	2	6	1	2	5	12	9	7	4	11	4	9	9	12	8	3	6	16	8	5	20	4	5	12	20	10	7	5	11	14	9	11	23	0	7	9	12	12	14	6	15	8	16	10	5	4	4	5	9	6	5	7	28
