MutationType	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
[Del(C):R1]A	17	1	17	10	11	8	27	26	6	17	10	13	9	32	12	18	14	15	24	11	13	19	18	13	24	8	12	13	7	9	10	9	16	6	15	20	17	15	16	18	5	4	26	29	6	22	17	48	2	19	5	31	13
[Del(C):R1]T	19	2	15	11	14	12	27	23	8	22	10	16	12	31	22	24	20	14	22	15	16	20	30	12	20	9	7	13	9	22	14	12	17	3	14	17	16	12	15	27	15	7	17	12	3	11	18	52	4	5	11	28	12
[Del(C):R2]A	24	2	11	6	22	19	53	57	1	22	11	24	11	21	19	35	34	28	25	11	11	27	22	18	28	8	2	9	15	18	11	9	20	7	12	28	26	9	12	36	3	3	33	44	1	25	13	39	4	28	9	23	22
[Del(C):R2]T	12	0	12	3	8	15	33	27	2	11	9	16	7	34	16	20	19	13	19	5	10	26	21	11	21	15	3	11	10	11	15	14	13	5	14	15	14	11	15	18	8	5	30	19	5	17	20	41	5	9	6	16	14
[Del(C):R3]A	18	1	8	5	15	29	33	41	5	12	13	14	2	18	12	18	11	19	21	6	5	17	18	6	24	12	3	7	6	20	7	2	13	1	5	15	9	4	6	25	3	3	34	42	2	15	11	30	4	12	11	14	10
[Del(C):R3]T	8	0	11	3	7	9	18	19	4	9	7	4	4	8	6	6	7	6	13	4	6	15	12	8	6	7	5	2	7	6	7	5	8	2	7	10	6	4	3	18	3	0	17	22	0	10	7	17	1	6	2	4	2
[Del(C):R(4,5)]A	10	0	15	1	10	16	23	27	0	10	6	4	4	11	12	15	19	14	23	6	10	19	22	5	11	11	4	6	7	14	8	7	11	2	7	16	15	5	4	22	5	2	26	20	3	18	13	24	4	7	7	12	9
[Del(C):R(4,5)]T	10	1	9	3	5	7	19	24	2	8	5	10	3	13	7	9	8	6	14	5	2	10	10	2	9	9	2	5	1	7	9	3	8	2	4	12	3	4	3	12	6	3	21	22	0	9	9	12	3	5	1	10	7
[Del(C):R(1,5)]G	16	0	12	2	7	11	34	30	2	7	4	17	5	14	7	6	16	14	13	3	9	22	15	8	10	9	5	8	2	10	4	5	11	0	6	15	10	11	4	16	4	4	28	21	2	15	16	25	0	6	5	13	11
Del(C):R(6,9)	7	0	4	2	5	16	12	15	0	4	4	7	2	1	6	4	11	5	12	8	3	9	9	6	9	11	3	2	5	4	7	4	6	0	2	14	5	2	3	7	6	2	7	9	4	4	3	1	1	2	1	9	5
A[Del(T):R(1,4)]A	19	0	22	10	18	22	35	28	4	19	21	20	9	46	31	15	23	30	30	25	16	31	28	15	22	22	6	14	12	16	14	23	19	4	12	16	6	9	15	18	9	3	25	24	7	12	19	68	5	17	9	28	23
A[Del(T):R(1,4)]C	8	1	13	3	12	10	26	26	4	13	9	15	8	34	24	10	8	17	17	3	13	13	14	11	11	14	2	5	10	18	8	6	10	6	7	14	11	5	14	11	6	1	21	13	7	7	11	40	3	9	11	9	13
A[Del(T):R(1,4)]G	10	0	13	6	12	18	19	20	2	12	14	9	6	26	24	14	8	22	17	8	10	18	17	6	19	10	3	6	5	6	10	7	15	1	10	9	4	4	9	11	5	3	14	14	3	12	11	54	6	18	8	11	4
C[Del(T):R(1,4)]A	14	0	8	5	8	14	26	26	1	7	10	12	6	28	18	15	13	21	14	11	11	17	22	15	16	5	2	4	12	16	7	8	18	3	5	13	7	7	16	13	6	7	17	20	3	11	10	32	6	15	6	12	8
C[Del(T):R(1,4)]C	8	0	12	9	14	13	20	19	3	9	9	10	3	38	18	11	14	18	6	7	12	12	12	11	17	12	1	8	9	18	12	7	11	3	7	18	7	8	21	13	1	2	12	11	1	12	19	51	2	7	7	15	10
C[Del(T):R(1,4)]G	4	0	11	3	12	18	28	33	1	12	9	11	2	32	11	12	12	20	16	10	12	12	18	13	20	8	2	9	6	11	10	12	16	3	2	10	13	9	11	13	7	8	15	19	2	14	11	46	0	10	9	14	4
G[Del(T):R(1,4)]A	7	0	8	2	11	14	8	16	3	6	7	5	2	20	16	13	7	8	8	8	9	9	12	6	20	4	2	6	8	9	6	3	5	2	8	8	4	2	10	5	3	2	12	9	1	6	5	33	3	10	1	10	6
