MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
[Del(C):R1]A	13	5	3	16	12	10	9	4	14	2	9	19	9	13	9	9	9	7	9	10	7	9	8	6	15	10	16	6	11	16	12	3	8	10	9	20	12	2	23	22	7	7	7	12	4	8	20	11	8	25	8	13	7	2	11	16	8	17	6	9	3	10	6	6	6	16	11	6	9	6	18	11	10	4	3	16	9	6	6	8	1	20	3	4	14	14	16	11	8	19	3	16	9	3	15	12	9	8	7	8	8	6	26	28	10	4	12	9	9	11	3	11	14
[Del(C):R1]T	38	9	1	45	8	28	36	19	29	12	34	40	11	11	11	17	10	22	9	23	13	6	12	5	11	17	15	6	24	41	27	6	22	48	9	19	21	3	52	86	11	24	6	17	4	16	27	28	20	48	11	51	15	7	30	46	18	38	23	19	12	21	6	13	23	10	18	26	31	7	36	16	21	1	11	57	14	3	12	12	4	70	24	20	29	37	23	33	12	34	5	13	9	14	35	28	10	30	15	12	13	7	37	35	16	11	35	11	33	23	9	18	24
[Del(C):R2]A	5	4	1	12	5	10	10	2	5	3	6	12	8	6	6	9	7	7	0	8	1	3	3	1	4	3	3	5	4	8	7	3	7	7	2	6	2	0	20	6	3	6	1	10	2	5	9	10	7	14	4	6	2	2	8	13	3	7	7	4	6	8	2	3	4	7	9	6	6	7	8	1	2	1	2	11	4	3	3	6	0	20	6	9	7	15	9	11	5	13	3	5	4	4	11	3	7	7	4	3	2	4	4	14	3	2	8	4	9	6	3	5	8
[Del(C):R2]T	13	6	2	11	6	11	12	6	9	11	12	14	17	11	3	2	9	12	6	9	10	6	4	4	12	8	15	9	7	15	12	2	11	19	0	8	7	2	20	27	6	12	5	15	8	8	6	10	5	17	9	15	4	2	22	15	5	14	8	9	1	13	3	13	15	8	9	10	14	14	15	8	5	2	3	17	4	5	2	5	3	30	5	12	14	13	18	23	8	8	2	11	16	5	13	9	6	16	10	5	12	5	14	12	8	10	15	9	26	10	6	6	12
[Del(C):R3]A	11	0	1	10	4	11	8	1	3	2	5	3	5	4	2	1	3	2	2	0	4	1	4	0	5	3	4	1	7	12	3	3	4	12	5	5	2	0	8	6	4	3	0	6	1	1	7	7	2	11	4	14	2	2	6	9	1	8	6	1	4	5	0	3	6	4	4	5	6	1	4	3	2	0	1	5	2	2	1	2	2	7	3	1	3	6	4	14	1	9	2	6	3	3	11	3	1	5	1	2	3	3	5	5	2	2	12	0	4	4	0	0	6
[Del(C):R3]T	3	5	0	3	1	3	2	3	2	4	4	4	2	1	1	2	3	1	2	2	0	0	4	1	4	1	4	3	1	3	1	2	3	1	1	6	4	2	9	5	2	3	1	3	1	4	5	7	6	4	3	10	1	0	3	8	2	4	3	2	0	4	2	3	3	1	0	3	2	2	1	2	2	1	2	2	3	4	5	3	1	9	1	2	2	6	3	8	0	3	3	3	3	2	8	4	4	3	1	4	4	0	3	6	5	4	5	2	2	2	0	3	6
[Del(C):R(4,5)]A	8	2	2	6	5	4	3	3	1	2	5	3	5	4	3	6	7	2	2	3	3	2	2	0	3	2	2	1	4	9	7	1	4	6	1	3	2	2	12	11	1	5	3	3	0	1	19	8	4	8	2	2	2	4	7	8	1	4	5	1	0	2	3	3	4	2	4	2	6	2	7	2	0	1	1	8	0	1	3	1	0	14	5	1	3	4	3	8	1	8	1	7	1	4	6	2	2	5	7	1	3	1	8	5	2	3	5	1	5	1	2	8	5
[Del(C):R(4,5)]T	6	2	1	3	0	3	5	4	4	2	7	4	2	4	3	1	1	0	0	2	7	0	3	0	0	2	3	0	3	5	4	1	6	3	2	3	1	0	5	5	0	2	2	3	1	1	18	6	3	4	2	2	0	1	8	9	4	2	6	2	2	4	2	2	3	2	4	5	3	1	1	2	1	3	6	7	2	3	2	0	2	4	1	2	7	4	5	6	1	7	0	5	2	3	4	5	1	5	1	1	5	0	6	5	0	1	4	3	3	7	1	3	4
[Del(C):R(1,5)]G	7	5	2	5	4	4	4	3	4	3	4	7	2	1	6	5	3	1	4	3	3	5	1	3	3	5	13	2	5	5	2	1	11	6	1	9	3	1	10	3	0	2	10	4	0	12	7	3	3	8	0	9	3	1	6	8	4	12	5	3	6	4	5	4	2	1	3	2	3	1	7	2	5	3	4	10	3	5	5	2	6	11	2	5	3	2	4	8	4	9	2	5	1	3	6	7	3	3	5	5	6	4	6	7	7	2	8	12	6	9	3	3	4
Del(C):R(6,9)	3	2	1	5	1	3	3	0	6	1	4	6	4	0	4	8	2	3	0	0	2	2	2	1	1	4	1	1	0	1	1	0	0	2	0	5	2	1	6	3	4	4	2	1	1	2	129	3	5	2	2	4	1	0	4	0	1	4	1	3	2	2	1	5	1	1	2	3	4	1	4	1	4	1	1	5	0	2	2	3	0	5	3	3	2	3	4	1	3	2	1	1	2	1	4	1	5	4	2	1	3	1	3	1	5	2	4	2	2	1	3	0	4
