MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
A[Del(T):R(1,4)]A	16	10	8	20	11	11	21	5	12	5	11	15	10	5	7	7	7	11	4	8	5	9	9	6	4	6	8	6	14	22	6	6	10	16	8	8	7	3	19	32	4	18	10	9	3	14	55	10	8	21	11	16	7	4	18	20	8	15	10	7	7	17	4	10	7	6	6	10	22	4	19	5	18	1	8	21	6	10	9	7	6	23	5	12	8	9	10	24	8	18	8	13	8	5	18	15	11	19	7	6	7	1	12	22	7	5	22	4	11	9	4	7	13
A[Del(T):R(1,4)]C	6	7	1	2	5	5	13	4	7	2	5	3	6	3	2	6	5	3	3	4	8	3	4	5	3	3	9	1	8	6	4	1	8	5	5	9	4	3	14	7	5	6	6	3	3	5	23	4	4	10	7	10	2	3	9	8	1	14	0	7	6	5	2	4	4	4	7	1	3	6	9	3	4	2	2	6	3	0	5	3	1	20	5	2	6	4	7	9	4	6	4	7	3	3	9	4	2	5	1	1	9	4	9	17	3	1	7	6	7	3	1	7	4
A[Del(T):R(1,4)]G	9	3	1	7	5	10	11	5	4	2	8	7	7	3	6	2	5	7	4	3	3	5	8	2	3	3	6	3	2	7	8	3	8	9	4	9	5	3	14	11	0	8	5	5	1	8	13	5	4	13	6	7	7	1	8	11	4	11	5	6	4	7	5	3	5	6	8	5	8	3	12	3	5	3	3	17	2	4	4	2	4	15	5	6	8	5	7	9	3	12	2	8	3	4	9	6	4	7	2	4	1	7	9	12	4	3	13	2	11	4	3	1	3
C[Del(T):R(1,4)]A	13	3	3	6	8	10	10	6	10	2	6	10	9	10	7	2	4	5	4	7	4	7	5	2	9	7	4	7	4	17	10	5	3	10	4	12	4	3	13	15	3	5	2	5	3	4	15	8	4	17	9	17	5	3	10	15	8	21	9	9	5	4	4	5	10	11	10	8	6	9	9	11	12	3	5	13	2	6	4	1	1	21	11	5	2	8	7	9	8	13	3	12	5	1	14	10	6	11	4	3	5	2	14	16	8	2	8	3	16	10	5	4	9
C[Del(T):R(1,4)]C	11	1	0	4	8	6	10	3	5	4	3	4	5	3	3	3	7	8	5	6	1	3	8	2	8	4	6	3	9	3	5	3	7	12	5	12	6	0	20	10	7	8	5	3	3	10	23	5	10	17	9	11	6	0	11	14	5	12	10	4	6	5	4	4	8	8	6	2	10	7	8	1	5	4	4	11	5	7	2	1	2	16	8	5	10	9	8	12	2	6	3	7	4	3	13	7	5	4	5	1	2	1	11	12	4	1	6	4	5	9	0	7	7
C[Del(T):R(1,4)]G	8	4	5	6	3	5	4	5	12	1	10	7	7	2	4	5	6	5	4	5	4	4	4	2	5	6	6	5	5	11	7	6	6	12	4	11	7	1	22	14	6	9	5	7	2	5	19	11	10	24	7	12	2	3	11	18	8	11	12	9	6	2	2	7	2	6	2	5	7	4	5	4	5	4	4	16	6	7	4	4	2	22	4	8	11	9	8	4	5	11	2	3	8	7	13	7	8	8	1	3	7	4	15	15	1	3	9	3	13	6	6	6	7
G[Del(T):R(1,4)]A	6	6	2	10	7	6	8	8	6	1	10	5	5	2	2	7	5	7	4	3	7	7	6	1	4	6	6	5	6	7	3	5	4	13	2	5	4	1	19	11	3	2	3	6	0	4	17	3	9	13	3	12	7	2	7	15	3	9	8	4	6	9	3	5	5	6	4	5	12	5	11	3	2	2	2	9	3	3	3	2	3	13	5	4	5	7	6	9	5	2	1	6	6	0	9	4	3	9	3	3	3	1	4	15	4	2	12	4	12	10	5	2	1
G[Del(T):R(1,4)]C	10	2	1	3	1	2	6	7	3	1	0	6	2	2	2	2	1	1	1	5	4	5	2	4	3	0	0	0	1	5	1	0	6	7	0	4	2	0	9	13	0	6	2	5	0	4	16	4	5	6	2	8	5	1	4	12	7	8	6	6	4	7	4	8	2	3	3	9	11	3	5	4	2	0	2	6	4	0	3	2	2	11	4	8	5	2	2	2	1	10	2	4	2	4	7	4	5	5	4	3	2	4	7	9	2	5	9	3	4	3	4	7	3
G[Del(T):R(1,4)]G	8	6	0	6	5	5	8	6	8	2	9	8	3	4	4	4	2	4	1	2	9	7	3	1	4	8	4	7	7	8	8	2	10	16	2	4	6	1	12	12	5	10	2	5	0	3	12	5	7	10	6	11	2	1	15	20	4	8	5	6	2	6	2	6	7	3	3	8	6	3	6	4	5	1	3	13	5	4	0	2	3	17	7	5	6	6	7	10	7	6	2	6	5	2	5	4	8	8	2	2	9	0	8	13	3	4	10	4	7	6	2	7	6
A[Del(T):R(5,7)]A	7	18	4	10	3	4	8	6	18	0	6	10	6	3	2	11	7	9	0	9	3	1	11	5	3	9	1	5	3	12	6	1	8	8	5	20	5	2	12	16	2	13	8	8	0	9	267	6	5	14	10	6	2	1	6	9	3	8	6	0	9	15	6	1	3	2	7	6	3	3	14	4	4	3	1	9	7	8	10	1	2	15	3	8	12	5	7	12	3	13	1	2	1	1	8	10	3	9	3	4	9	4	9	11	10	1	13	3	6	11	0	4	7
A[Del(T):R(5,7)]C	6	2	3	6	3	4	3	4	14	2	4	8	1	2	4	4	2	3	5	2	1	3	2	2	2	5	2	5	3	8	1	0	9	8	2	9	2	0	5	9	5	4	1	3	1	3	176	2	4	8	7	3	1	1	4	6	4	9	5	2	3	1	5	1	3	2	4	2	3	0	6	1	7	2	0	7	6	3	1	3	0	12	2	3	9	3	8	6	1	3	1	4	4	2	8	7	1	1	2	2	6	2	3	7	6	3	5	7	5	9	2	2	3
A[Del(T):R(5,7)]G	4	4	0	10	1	3	4	5	7	3	9	11	2	2	2	4	3	3	3	2	2	1	3	0	1	8	6	7	4	8	2	1	5	5	2	6	3	2	10	9	3	9	1	5	3	3	130	4	1	7	2	3	3	3	6	4	2	7	2	2	4	8	2	3	1	1	3	3	4	0	6	3	4	1	1	4	3	3	2	0	1	14	4	1	4	3	3	13	1	12	0	6	2	0	9	5	1	7	4	0	6	4	7	8	5	4	9	3	9	5	3	0	4
C[Del(T):R(5,7)]A	3	5	1	11	1	2	6	4	4	0	7	8	1	3	0	6	1	3	2	2	3	3	3	0	0	8	1	0	4	3	5	1	5	6	2	4	2	1	10	9	2	2	2	1	0	4	109	3	2	5	1	7	0	1	3	4	1	7	4	1	3	3	3	1	4	4	3	0	2	2	6	3	3	0	0	7	5	4	1	3	0	6	0	6	6	6	0	3	2	5	1	1	2	1	4	10	1	2	0	1	5	3	7	4	4	0	3	1	2	4	3	5	2
C[Del(T):R(5,7)]C	2	7	2	5	5	2	3	3	3	0	4	4	1	1	0	2	2	0	1	2	1	2	3	1	1	1	4	5	0	0	0	1	3	6	2	8	1	0	4	9	1	1	2	2	2	3	106	3	3	2	2	3	0	0	2	6	0	5	0	1	2	4	3	1	1	0	3	1	3	2	3	0	3	3	0	4	4	1	0	2	0	9	1	5	4	1	3	1	1	5	1	4	2	1	6	2	0	0	0	1	3	2	2	4	5	3	1	1	4	4	1	3	2
C[Del(T):R(5,7)]G	2	3	2	13	1	5	5	1	8	1	1	3	3	4	0	3	2	1	0	2	1	3	2	0	3	4	1	1	2	6	3	1	1	4	1	0	1	0	5	2	1	2	4	2	0	4	80	1	2	5	1	6	2	0	3	6	4	4	2	0	1	6	2	1	2	1	4	1	4	2	2	2	2	1	1	7	1	0	2	1	0	7	1	8	8	2	0	4	0	7	1	1	0	3	6	2	2	3	2	1	3	1	7	4	2	3	4	4	4	4	0	2	3
G[Del(T):R(5,7)]A	1	11	0	4	2	5	2	4	9	2	6	3	3	4	1	6	2	3	0	1	0	5	4	1	0	4	1	5	1	4	2	2	4	1	2	6	3	1	3	10	3	4	4	2	2	4	50	7	1	6	3	7	1	2	4	9	2	5	0	2	1	7	5	2	2	2	2	4	5	4	11	1	8	0	2	4	2	1	2	2	0	10	2	3	3	5	3	4	3	2	2	1	0	1	4	8	0	3	1	4	2	2	2	6	6	1	3	1	8	3	1	1	2
G[Del(T):R(5,7)]C	1	2	1	4	1	2	1	2	7	1	1	4	1	0	3	1	4	0	5	2	2	1	0	1	1	1	4	1	1	1	0	1	4	3	0	3	1	0	1	2	4	0	1	0	1	4	79	0	2	3	4	3	1	0	2	4	1	6	2	2	2	2	1	2	1	3	2	0	2	2	3	2	5	1	0	3	0	1	1	1	0	1	1	1	1	1	4	5	0	3	0	6	0	1	1	8	1	4	1	3	2	3	4	0	4	1	1	5	2	3	1	2	3
G[Del(T):R(5,7)]G	4	5	0	8	2	8	1	6	4	5	11	10	2	1	0	2	2	3	1	4	2	1	2	1	3	2	6	4	5	4	2	1	6	3	2	5	5	0	7	4	3	2	2	4	1	3	51	3	1	4	1	0	1	0	2	3	0	4	2	2	3	3	1	0	1	2	3	2	5	1	8	1	2	1	2	3	1	0	1	1	1	10	2	3	2	2	3	6	1	1	1	2	3	1	9	5	1	4	4	1	5	5	5	3	0	2	5	3	8	6	2	1	7
A[Del(T):R(8,)]A	3	4	6	5	2	3	1	1	6	1	2	3	0	1	3	12	3	4	3	3	0	3	9	4	0	9	4	1	2	3	0	0	2	1	3	14	3	2	4	2	3	3	1	3	1	3	446	2	0	11	2	3	0	0	2	4	1	6	1	1	9	5	3	6	0	4	3	1	0	0	10	0	2	0	0	4	4	4	3	0	0	7	0	7	5	5	5	1	1	10	2	2	3	0	1	8	1	2	3	1	11	1	4	6	10	2	6	4	0	5	0	4	1
A[Del(T):R(8,)]C	7	6	3	9	3	1	4	2	6	2	5	0	1	0	3	9	3	2	4	5	0	1	4	1	1	4	3	2	4	1	1	3	4	0	0	14	1	1	2	0	2	4	3	1	1	1	344	4	2	3	2	3	0	1	2	3	2	7	1	0	8	3	6	1	3	2	5	1	2	0	5	1	0	0	0	2	3	0	1	0	2	7	0	5	4	2	2	2	1	2	1	3	3	1	5	3	0	2	2	0	9	0	2	3	4	2	3	4	1	6	3	2	2
A[Del(T):R(8,)]G	0	4	1	5	1	2	2	1	4	0	0	1	1	0	2	5	2	1	1	3	0	0	2	2	0	1	1	0	0	1	0	0	3	0	0	8	0	2	2	1	0	1	0	0	1	0	237	2	2	6	1	1	0	0	2	3	1	3	4	0	3	4	2	0	1	0	3	1	2	0	2	3	2	0	1	0	0	1	0	2	1	4	1	1	1	2	0	1	0	8	0	1	0	0	4	1	1	2	1	0	5	0	2	5	3	1	3	2	0	2	2	0	3
C[Del(T):R(8,)]A	3	3	2	2	1	1	0	1	3	1	0	1	0	1	2	5	1	1	2	1	1	1	3	1	0	2	3	1	1	1	0	0	0	4	0	9	2	0	3	0	0	0	0	1	2	3	257	1	0	4	1	2	0	1	0	1	1	5	0	0	3	1	0	2	0	4	1	0	1	0	1	1	1	1	0	5	1	2	1	0	0	4	1	2	2	4	1	1	1	6	0	0	0	0	0	1	0	3	1	0	3	0	2	4	3	0	2	1	1	3	0	3	2
C[Del(T):R(8,)]C	2	3	7	0	4	5	1	0	5	0	1	1	1	0	1	7	0	2	2	1	0	0	0	2	0	1	1	0	2	2	0	0	2	0	0	5	0	1	0	1	2	5	1	0	2	3	289	1	0	4	0	1	0	1	0	1	2	5	0	0	2	2	1	0	1	0	0	0	1	1	4	1	2	1	2	3	2	1	2	0	0	1	1	1	3	0	1	0	1	7	0	3	2	0	2	2	1	2	1	1	5	0	2	2	0	1	4	0	2	0	0	1	1
C[Del(T):R(8,)]G	0	1	7	1	0	0	1	0	3	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	2	3	1	0	0	1	0	0	1	0	3	0	0	2	0	0	0	2	1	2	2	210	2	1	3	0	0	0	1	0	1	2	5	0	0	2	0	0	1	0	2	1	0	0	0	3	0	0	0	1	1	2	0	0	0	0	0	0	1	1	3	0	3	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	2	2	0	2	0	0	2	0	1	0
G[Del(T):R(8,)]A	0	1	1	3	0	0	0	0	9	1	0	2	0	0	0	2	0	0	1	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	4	1	0	2	2	0	2	1	1	1	1	169	0	0	2	2	3	0	1	0	2	0	0	0	0	2	2	1	1	0	1	0	0	1	0	3	1	1	0	0	1	1	1	0	0	0	1	0	1	0	2	1	1	0	1	1	0	1	0	1	1	0	1	0	0	3	1	0	2	2	0	1	0	1	3	0	1	0
G[Del(T):R(8,)]C	0	2	4	1	2	2	1	0	2	0	2	0	1	1	0	2	1	0	0	0	0	1	2	2	0	3	1	2	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	1	141	3	2	2	0	0	1	0	1	3	0	0	0	0	3	3	0	1	0	0	4	0	1	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	0	2	1	2	1	0	1	3	0	2	0	5	0	0	0	1	1	0	0	0
G[Del(T):R(8,)]G	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	3	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	99	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	0	1	0	2	0	1	0	0	1	0	0	2	0	0	2	0	0	1	0	2	0	0	2	0	1	2	0	0	2	0	0	0	2	0	0	1	1	0	1	2	0	3	0	0	1	1	16	0	0	2	0	2	0	0	0	0	0	0	3	1	2	1	0	0	1	3	1	0	3	1	0	0	0	0	0	0	0	1	1	0	0	3	0	0	2	0	1	3	0	1	0	2	1	1	3	1	1	2	0	1	0	0	2	2	1	1	0	1	1	3	0	2	0
A[Ins(C):R0]T	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
Ins(C):R(0,3)	7	2	4	8	3	2	8	2	6	3	7	8	4	1	2	2	6	7	2	3	4	3	7	3	6	8	7	4	2	3	3	3	8	7	3	8	5	2	15	12	6	5	4	4	4	6	150	7	7	18	4	7	2	4	10	12	4	9	4	9	3	4	7	0	5	2	6	7	8	1	7	3	4	1	2	2	3	2	3	4	2	11	6	3	3	6	10	14	4	7	2	6	5	2	13	8	7	7	3	1	6	4	7	7	2	0	7	2	5	4	3	8	6
Ins(C):R(4,6)	3	2	0	6	2	1	0	2	3	2	0	2	0	2	5	1	1	1	2	0	0	3	3	0	0	1	1	1	0	0	0	4	2	0	0	3	0	0	0	0	12	3	2	2	4	2	618	1	1	5	3	3	2	0	1	3	1	3	2	2	2	2	1	0	0	0	5	0	1	1	1	1	3	1	2	0	2	7	0	1	0	3	1	2	3	4	10	5	4	2	1	0	0	1	1	5	1	2	1	0	4	0	2	0	1	0	2	0	4	1	0	2	2
Ins(C):R(7,)	1	1	3	1	0	0	1	0	2	1	0	4	0	1	2	2	2	2	0	1	0	0	2	3	0	4	0	0	0	0	0	0	1	0	4	2	1	1	0	0	5	1	1	1	2	2	612	0	0	7	2	0	0	1	2	1	1	0	0	1	1	3	2	0	0	0	3	1	0	1	5	0	0	1	0	1	3	1	1	1	0	1	1	0	1	1	2	2	2	2	0	0	0	1	3	1	0	0	1	0	2	2	1	2	1	1	1	1	1	3	1	2	2
A[Ins(T):R(0,4)]A	7	7	0	5	2	4	2	5	3	2	4	6	3	1	3	6	2	2	1	1	3	4	2	5	2	3	6	0	6	1	2	4	2	2	4	15	3	1	7	2	3	8	0	0	3	7	132	4	5	1	4	3	2	0	3	8	2	5	1	2	2	4	4	2	4	1	4	5	5	5	4	1	8	1	4	3	4	6	4	0	0	4	1	2	2	7	7	4	4	4	0	2	3	1	5	5	3	2	2	3	1	2	7	2	1	0	4	2	6	7	4	5	6
A[Ins(T):R(0,4)]C	3	0	4	3	0	1	0	2	1	0	1	1	0	1	1	0	5	1	1	3	0	0	1	0	0	0	1	0	3	2	2	0	3	1	1	5	3	2	2	3	3	3	3	1	1	4	72	0	0	3	3	1	1	1	2	2	3	2	0	0	0	2	2	0	2	0	2	1	2	0	1	1	2	1	0	3	0	3	1	0	1	5	0	0	1	1	1	3	2	2	0	2	1	0	5	0	2	4	1	1	2	0	1	3	2	1	4	2	2	2	2	2	0
A[Ins(T):R(0,4)]G	1	5	0	5	2	3	4	4	1	1	2	5	2	1	6	4	2	2	0	2	2	2	2	0	3	2	2	1	2	5	1	2	2	5	3	8	2	0	8	2	5	7	1	0	1	3	113	4	0	3	3	5	1	2	2	5	0	3	0	2	4	2	3	1	1	0	5	5	6	0	1	2	6	2	2	3	3	2	1	2	2	3	1	1	3	2	2	6	2	4	1	1	1	2	5	1	2	3	1	0	5	4	2	3	4	2	0	0	4	3	3	2	2
C[Ins(T):R(0,4)]A	3	0	3	3	2	1	0	2	6	1	3	0	0	1	2	3	1	2	0	1	2	2	0	0	1	0	1	1	2	4	0	1	3	2	0	3	1	1	3	2	2	5	3	1	2	7	43	0	3	2	0	0	2	1	4	2	0	0	2	0	0	1	2	0	0	3	1	2	0	1	1	3	5	0	2	2	1	1	1	1	0	4	2	0	2	2	0	3	1	4	0	5	3	0	4	3	1	3	0	0	0	2	2	3	2	2	2	1	0	0	1	0	0
C[Ins(T):R(0,4)]C	0	1	2	2	0	0	5	0	1	0	1	1	3	0	0	1	2	1	0	2	0	1	3	0	1	2	1	3	3	2	1	3	4	2	1	3	3	0	1	3	2	1	3	1	1	0	70	0	4	2	2	6	1	1	4	4	1	5	2	1	1	1	1	1	2	4	1	3	0	0	2	1	7	0	0	3	3	2	0	0	3	3	1	0	3	2	3	3	2	1	0	2	0	1	2	0	1	0	0	0	4	0	2	2	2	0	1	1	2	2	0	2	2
C[Ins(T):R(0,4)]G	2	1	2	1	1	1	2	3	2	2	3	0	2	0	3	5	0	2	2	2	3	2	2	0	0	3	0	1	1	2	2	2	1	2	1	1	1	0	4	3	3	3	2	1	2	0	90	2	1	2	1	3	0	0	3	3	1	4	0	0	0	2	2	0	0	0	3	1	2	0	2	3	0	0	2	0	0	2	1	1	0	3	2	0	2	2	2	4	1	6	0	3	0	1	1	2	1	1	3	1	2	2	0	0	1	1	1	1	2	4	0	1	0
G[Ins(T):R(0,4)]A	4	3	1	8	5	1	6	2	2	1	4	5	4	1	4	2	2	3	2	7	2	5	7	1	5	2	0	6	2	5	5	3	7	9	2	3	0	2	8	6	2	0	4	0	2	2	30	6	4	5	3	6	3	2	6	8	3	5	3	1	2	1	4	2	1	4	5	1	3	3	4	2	2	4	3	3	2	1	3	2	2	6	2	6	7	4	7	6	4	4	4	3	2	2	3	0	1	1	0	0	6	1	7	1	3	3	1	1	4	5	3	4	2
G[Ins(T):R(0,4)]C	2	0	0	3	1	1	2	0	1	0	4	0	4	0	0	0	3	3	1	0	3	1	1	0	0	0	0	0	2	1	1	0	2	6	1	0	0	0	7	2	0	1	1	2	0	1	18	1	1	0	0	1	0	0	1	4	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	3	1	0	0	0	0	3	2	0	1	3	2	3	3	5	0	1	0	0	2	1	2	0	0	1	0	0	1	0	3	0	1	1	3	2	0	1	1
G[Ins(T):R(0,4)]G	6	0	1	5	0	1	4	1	0	2	3	1	7	0	2	0	3	0	1	1	0	0	0	2	4	1	1	1	0	6	2	2	0	8	0	1	3	1	6	1	2	2	1	0	0	0	83	4	1	1	1	2	2	0	3	4	0	2	1	0	0	6	0	1	0	1	0	0	1	1	4	1	1	2	1	5	1	4	4	2	0	4	0	2	1	2	2	4	2	2	3	3	3	1	3	1	0	2	2	1	0	1	2	1	3	1	6	0	2	0	1	0	3
A[Ins(T):R(5,7)]A	5	1	13	8	4	9	1	0	9	3	5	14	3	2	7	8	6	4	4	8	3	9	5	3	3	5	3	3	1	6	0	5	8	1	4	22	4	1	4	5	7	5	8	3	4	5	1006	0	5	7	10	7	0	3	5	6	1	0	4	1	6	3	11	7	2	1	5	3	0	0	5	5	13	4	6	1	7	11	3	1	3	6	2	7	11	11	5	7	5	13	1	2	2	2	2	4	3	5	0	2	17	7	4	5	14	8	8	7	2	3	5	5	2
A[Ins(T):R(5,7)]C	8	4	14	13	3	1	4	1	9	2	6	14	4	2	5	14	8	2	7	6	5	8	4	1	1	7	7	4	4	9	2	6	7	1	8	18	5	2	6	2	14	3	10	3	9	11	738	4	2	8	12	4	2	6	12	1	4	1	5	2	6	8	15	4	3	0	7	4	5	0	8	3	6	6	4	6	12	7	3	2	3	5	5	5	17	10	7	8	7	10	5	4	4	2	3	3	1	3	4	1	13	9	7	2	14	6	2	4	4	13	3	7	4
