MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
A[Del(C):R1]A	4	5	9	22	2	4	15	4	4	1	7	9	6	7	2	7	0	8	4	10	1	5	1	15	4	13	0	7	9	10	6	7	5	5	5	6	4	13	3	138	7	9	5	8	2	3	2	3	3	3	9	3	13	8	11	5	27	8	0	7	6	13	3	7	5	5	12	8	11	9	10	5	5	3	2	10	3	2	7	7	7	4	4	6	3	10	113	7	2	2	5	1	5	7	5	1	15	16	4	3	4	4	3	0	3	6	10	2	6	5	5	3	6	6	2	3	7	6	4	2	7	3	8	4	24	40	6	4	8	11	9	186	14	12	7	6	4	9	8	8	4	8	13	1	7	8	4	10	3	12	14	6	11	3	2	6	6	4	9	14	3	6	6	5	8	4	14	56	14	4	2	5	8	12	2	8	4	8	4	6	0	17	6	10	2	5	5	9	6	7	5	10	4	7	11	8	5	14
A[Del(C):R1]G	3	0	2	3	1	1	2	1	1	0	1	1	1	0	1	0	0	0	0	3	0	2	0	5	0	4	0	1	1	2	1	3	0	2	0	0	0	5	0	7	1	1	1	1	0	0	1	0	1	2	0	0	6	1	3	1	3	0	0	4	0	1	2	1	0	0	1	1	1	0	3	1	2	2	0	0	0	0	2	3	0	1	0	1	3	0	8	0	0	1	1	2	2	0	1	0	0	1	1	0	2	0	1	1	0	1	0	2	0	4	1	0	1	2	0	1	1	1	2	2	1	3	0	0	4	1	0	0	2	0	1	10	1	3	0	1	1	3	1	0	0	0	0	0	1	1	2	2	0	0	1	2	1	1	2	0	0	0	2	3	0	1	4	3	1	0	3	2	1	0	0	0	2	0	1	0	2	0	1	0	0	7	2	0	0	4	2	0	0	3	2	3	0	1	5	3	0	0
A[Del(C):R1]T	2	5	3	15	7	4	17	1	2	1	6	6	5	3	2	4	0	3	0	3	1	8	1	4	0	15	3	4	10	6	2	7	4	4	6	4	2	14	3	9	7	5	5	4	0	0	9	4	4	2	4	10	4	7	5	3	18	3	2	5	4	9	2	5	3	2	10	6	7	4	8	6	3	5	2	2	1	3	5	4	1	0	3	2	1	2	19	6	2	2	2	1	7	2	3	4	12	18	1	1	4	2	8	0	3	4	4	3	4	6	8	3	2	1	0	0	4	0	6	5	3	10	5	3	14	11	8	9	3	5	4	15	5	4	4	0	2	7	7	5	6	12	2	6	5	3	4	10	3	3	7	7	3	3	3	2	2	0	5	4	0	1	2	6	17	1	9	5	4	2	0	1	9	9	4	3	2	4	0	4	0	14	3	9	4	10	3	4	2	4	1	7	2	9	4	7	3	15
A[Del(C):R2]A	4	2	8	3	3	6	10	0	9	1	0	12	2	0	1	6	2	3	0	10	1	1	1	4	4	6	2	5	1	4	8	2	6	6	1	2	1	8	3	26	4	3	2	9	2	2	0	1	1	2	2	1	13	3	28	2	8	11	1	4	11	3	2	4	3	1	2	4	5	3	5	8	10	2	0	3	2	2	7	1	5	0	2	0	5	7	22	1	2	0	0	1	2	2	2	2	7	14	4	5	2	0	6	0	0	6	4	2	2	2	3	0	1	6	3	1	5	3	3	2	8	8	6	4	16	8	2	4	18	11	6	40	5	11	7	3	3	4	8	4	2	2	7	1	3	4	1	8	4	7	7	1	1	1	3	3	6	3	1	5	1	6	3	5	2	0	6	9	11	1	1	2	3	5	1	12	1	9	1	5	0	4	6	5	0	2	2	2	6	8	12	4	0	5	1	15	1	2
A[Del(C):R2]G	1	1	2	0	1	1	1	0	5	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	3	0	0	2	0	0	1	0	0	1	0	0	4	0	0	0	0	2	0	1	2	1	0	1	0	0	1	0	1	0	1	1	2	1	1	0	2	0	0	1	2	0	0	0	1	0	4	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	2	1	1	2	2	0	3	4	4	1	2	1	2	1	0	0	1	5	1	1	0	1	0	1	0	0	2	0	0	3	0	0	2	0	0	0	1	0	0	0	0	1	3	0	2	2	1	0	0	1	0	4	0	2	0	0	2	0	0	0	0	1	2	0	0	0	1	2	2	0	3	0	1	2	0	1	1
A[Del(C):R2]T	2	3	2	6	3	1	4	1	6	2	3	4	2	4	2	2	1	1	1	4	2	3	2	4	1	2	2	2	2	4	3	4	3	6	0	2	1	10	1	14	2	2	0	6	1	1	5	0	0	5	1	1	6	4	9	4	9	1	3	9	2	3	3	0	1	2	6	3	4	2	2	6	2	5	2	0	2	0	8	4	2	2	1	2	5	4	10	5	3	3	2	1	4	2	1	0	5	27	3	2	2	0	6	1	0	1	6	1	4	6	4	2	1	4	1	1	2	2	3	1	1	7	2	4	10	16	0	4	0	3	6	17	4	8	5	5	3	8	6	5	2	9	5	3	0	1	3	6	1	5	4	1	0	4	3	1	1	1	4	3	0	2	4	13	5	1	3	3	5	0	0	0	3	1	2	5	1	6	4	0	0	3	6	6	1	3	1	7	2	2	0	3	2	5	2	10	1	3
A[Del(C):R3]A	3	2	3	4	2	2	6	0	6	1	1	0	1	1	3	4	2	3	0	4	2	1	2	4	1	3	0	2	0	3	0	1	1	6	2	2	0	7	0	32	3	1	2	5	0	0	2	4	2	0	2	0	9	2	16	0	5	6	2	11	6	2	4	1	2	1	4	3	3	1	2	7	8	0	0	2	1	0	1	2	2	0	3	1	0	4	16	1	3	1	1	1	0	1	0	1	5	10	0	2	0	1	6	0	1	0	3	0	0	6	1	0	2	4	2	2	3	3	1	1	4	2	2	2	8	5	0	3	10	6	3	36	4	14	1	2	4	2	6	1	2	2	12	0	2	3	1	9	1	3	4	0	0	1	1	1	3	1	3	4	0	0	0	9	3	1	3	4	5	1	2	2	3	4	1	2	0	8	2	1	1	2	3	5	2	2	0	5	2	6	7	6	0	6	3	11	1	0
A[Del(C):R3]G	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	1	0	0	2	0	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	1	1	1	0	2	1	1	1	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	1	0	0	0	1	0	0	2	4	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	3	2	1	0	4	2	0	7	1	3	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	2	1	2	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	3	2	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	2	0	1
A[Del(C):R3]T	2	2	3	1	4	3	3	0	4	0	0	6	1	2	1	1	0	0	0	5	1	3	1	1	2	1	0	5	1	3	2	1	1	2	0	2	3	8	0	11	0	0	1	3	0	0	5	1	2	1	2	0	2	3	8	2	0	2	1	2	2	2	2	0	1	0	1	1	0	1	2	3	3	1	1	0	0	0	2	2	0	0	5	2	1	2	13	1	1	0	1	0	1	1	3	1	2	9	2	0	1	0	0	0	1	0	4	1	0	3	2	3	1	1	0	0	5	0	1	1	4	5	3	1	5	11	1	3	5	4	1	13	2	3	4	2	4	4	5	3	1	2	2	1	2	0	2	2	1	2	1	0	0	0	2	2	4	1	3	0	2	0	1	7	2	0	2	3	2	0	0	0	8	3	0	3	0	4	0	2	0	1	4	3	0	2	1	0	0	0	2	2	0	5	0	7	0	3
A[Del(C):R4]A	1	1	1	1	0	1	4	0	6	0	1	3	1	0	0	6	0	3	1	4	0	0	1	3	0	2	0	4	0	2	2	1	0	4	0	1	1	8	0	48	3	1	0	2	0	0	2	0	0	0	3	0	7	0	16	1	9	7	1	5	7	1	1	1	0	1	1	0	4	4	1	10	5	1	0	2	2	1	5	1	5	2	3	1	2	4	52	0	3	0	2	2	2	1	0	3	3	5	0	3	0	0	2	0	0	0	4	2	4	3	2	0	2	5	1	1	4	4	2	0	4	2	3	0	9	13	4	2	15	3	2	52	3	3	4	0	0	6	2	2	2	0	8	0	2	2	3	12	2	4	7	4	0	3	2	2	2	0	4	2	1	0	2	4	1	1	2	9	2	0	0	0	2	1	3	7	1	6	1	1	0	1	5	1	2	1	0	2	6	6	2	3	0	3	0	5	0	1
