MutationType	SP116788	SP116789	SP116919	SP109002	SP109001	SP109006	SP108998	SP127706	SP108999	SP109007	SP109003	SP116868	SP116794	SP116791	SP116866	SP116815	SP116853	SP116901	SP116830	SP116802	SP116885	SP116834	SP116913	SP116799	SP116920	SP116835	SP116852	SP116902	SP116871	SP116820	SP116889	SP116923	SP116829	SP116872	SP116904	SP116806	SP116857	SP116888	SP116818	SP116837	SP116905	SP116804	SP116819	SP116856	SP116839	SP116925	SP116878	SP116893	SP116876	SP116927	SP116909	SP116795	SP116826	SP116891	SP116860	SP116848	SP116910	SP116797	SP116862	SP116823	SP116897	SP116846	SP116784	SP116896	SP116824	SP116881	SP116812	SP116915	SP116786	SP116851
1:Del:C:0	1	0	0	6	1	0	5	14	8	6	4	3	1	0	3	3	4	3	10	0	7	1	4	5	1	6	3	4	2	2	6	6	7	1	1	6	11	5	1	7	0	5	1	9	5	2	3	8	0	1	5	1	5	4	4	3	5	1	4	5	2	2	0	2	4	0	3	11	4	2
1:Del:C:1	0	0	0	2	0	1	3	11	6	4	2	4	1	1	2	1	3	1	5	1	1	1	4	2	0	5	4	3	0	2	6	2	3	0	0	4	2	2	1	5	1	5	1	2	5	0	2	2	0	0	0	0	2	2	3	5	3	0	5	2	1	2	0	1	2	0	2	8	2	0
1:Del:C:2	1	1	0	1	0	1	1	7	0	3	1	5	0	0	3	1	0	0	4	1	0	0	1	1	0	4	0	0	1	1	3	2	3	0	0	3	5	2	1	1	0	2	1	1	0	2	0	1	0	3	0	1	3	0	2	4	0	0	2	2	2	1	0	2	2	0	0	4	4	0
1:Del:C:3	0	0	0	1	0	2	1	11	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	1	0	0	0	1	3	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
1:Del:C:4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1:Del:C:5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1:Del:T:0	1	1	0	2	1	4	3	10	3	4	3	1	0	0	2	2	4	1	6	1	7	0	1	4	2	7	4	2	1	2	5	3	4	0	0	3	7	3	2	4	0	3	2	5	4	1	4	7	0	4	1	0	3	3	1	6	3	0	4	3	0	2	0	0	4	2	2	3	3	2
1:Del:T:1	1	0	0	0	0	2	1	5	5	0	0	3	1	1	3	0	1	1	6	0	1	0	1	3	1	1	0	1	0	2	3	3	7	0	0	1	5	2	0	6	0	1	1	5	5	1	1	2	0	1	1	0	2	2	2	5	2	0	4	1	0	0	0	0	2	0	1	3	1	0
1:Del:T:2	0	0	0	0	0	1	0	4	3	6	2	3	1	0	2	2	0	1	2	1	5	2	0	1	0	4	0	2	0	1	2	3	4	0	0	3	5	0	1	3	0	3	1	4	2	1	3	0	0	2	1	0	2	0	1	2	5	0	1	1	0	1	0	0	1	0	2	2	2	0
1:Del:T:3	1	1	0	0	1	1	3	4	3	2	1	1	3	3	2	2	1	1	4	1	1	2	2	1	1	5	1	0	0	0	1	3	4	0	1	0	4	0	0	5	1	0	0	2	2	1	0	0	0	1	1	0	1	1	1	5	2	0	2	1	1	1	0	3	0	0	1	6	2	1
