MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
5:Ins:R:1	6	10	8	7	3	5	4	7	6	14	7	16	2	1	7	0	0	2	6	15	0	0	4	6	2	3	6	0	1	2	6	19	1	1	17
5:Ins:R:2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0
5:Ins:R:4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:5	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1
2:Del:M:1	12	7	10	14	3	7	2	9	17	14	16	9	2	7	9	0	16	5	9	8	1	5	393	3	5	2	11	2	1	5	7	9	0	4	8
3:Del:M:1	1	1	0	1	1	0	2	2	2	4	1	1	0	1	3	0	1	2	2	2	0	1	24	2	4	1	3	1	1	1	2	0	0	1	3
3:Del:M:2	6	6	5	7	2	3	3	3	9	9	11	7	0	0	2	0	8	2	2	4	0	4	275	5	4	2	2	1	3	0	4	5	2	1	5
4:Del:M:1	2	2	1	3	1	5	0	0	2	3	1	2	2	4	1	0	2	2	3	1	0	3	42	2	1	1	4	0	2	1	8	1	0	5	4
4:Del:M:2	8	3	2	4	4	2	3	3	5	3	2	2	2	2	7	0	6	2	1	0	0	1	83	2	2	1	3	0	1	1	4	4	1	4	3
4:Del:M:3	7	3	5	11	1	4	5	5	8	7	5	3	2	1	5	1	7	1	3	3	2	2	102	2	3	2	1	1	1	4	2	5	1	3	5
5:Del:M:1	16	12	9	12	5	17	13	16	8	12	9	11	3	10	22	1	1	10	4	65	2	6	19	50	5	6	8	3	3	19	26	5	1	5	57
5:Del:M:2	12	5	6	10	4	13	4	10	8	10	9	11	4	4	12	0	0	5	3	46	1	7	17	80	1	5	3	1	1	9	10	5	1	8	29
5:Del:M:3	8	5	5	12	5	8	3	10	7	6	4	5	2	2	14	0	1	3	3	19	0	0	22	80	5	2	1	3	1	6	5	0	0	2	24
5:Del:M:4	4	5	2	2	0	0	1	10	6	2	4	10	2	4	7	0	1	2	1	7	0	0	15	31	2	5	0	1	1	3	3	3	1	1	12
5:Del:M:5	5	8	4	9	1	4	4	3	5	7	4	14	1	4	4	0	0	3	1	11	0	1	16	35	2	2	2	0	1	2	2	5	2	1	2
