MutationType	CPCT02020307T	CPCT02020333T	CPCT02080024T	CPCT02030259TII	CPCT02040038T	CPCT02030250T	CPCT02050058T	CPCT02020393T	CPCT02030280T	CPCT02030278T	CPCT02100030T	CPCT02060056T	CPCT02030296T	CPCT02060046T	CPCT02130056T	CPCT02180051T	CPCT02070434T	DRUP01210006T	CPCT02020659T	CPCT02080191T	CPCT02330084T	CPCT02360009T	CPCT02060196T	CPCT02290028T	CPCT02030455T	CPCT02080198T	CPCT02010679T	CPCT02100152T	CPCT02070465T	CPCT02040224T	DRUP01060007T	CPCT02040223T	CPCT02270023T	CPCT02220079T	CPCT02230082T	CPCT02090043T	CPCT02130051T	CPCT02030259TIII	DRUP01020026T	CPCT02210046T	CPCT02120120T	WIDE01010205T	CPCT02340080T	WIDE01010216T	CPCT02130087T	WIDE01010264T	CPCT02130085T	WIDE01010292T	WIDE01010277T	CPCT02120118T	WIDE01010301T	CPCT02220045T	CPCT02130093T	CPCT02030482T	CPCT02030477T	CPCT02370026T	WIDE01010385T	WIDE01010397T	WIDE01010414T	WIDE01010420T	CPCT02270031T	CPCT02120132T	DRUP01010084T	CPCT02020741T	CPCT02020740T	CPCT02030492T	CPCT02070349T	CPCT02070348T	CPCT02060226T	CPCT02230111T	CPCT02080236T	CPCT02030498T	DRUP01050029T	CPCT02030505T	CPCT02120149T	CPCT02070358T	CPCT02060168T	CPCT02030509T	CPCT02210066T	CPCT02030495T	CPCT02060251T	CPCT02380049T	CPCT02300049T	CPCT02140079T	CPCT02110074T	CPCT02210065T	CPCT02120153T	CPCT02110078T	CPCT02030517T	CPCT02020466T	CPCT02070397T	CPCT02050203T	CPCT02020572T	CPCT02060142T	CPCT02230050T	CPCT02070222T	CPCT02010646T	CPCT02070418T	CPCT02080160T	CPCT02100112T	CPCT02100119T	CPCT02340032T	CPCT02020513T	CPCT02180025T	CPCT02120022T	CPCT02020516T	CPCT02060089T	CPCT02090018T	CPCT02060094T	CPCT02120028T	CPCT02090019T	CPCT02060105T	CPCT02020544T	CPCT02060110T	CPCT02030355T	CPCT02040127T	CPCT02070190T	CPCT02090020T	DRUP01020004T	CPCT02060120T	CPCT02070210T	CPCT02040144T	CPCT02040143T	CPCT02020593T	CPCT02180005T	CPCT02030299T	CPCT02020420T	CPCT02030303T	CPCT02070058T	CPCT02040050T	CPCT02020434T	CPCT02220006T	DRUP01140003T	CPCT02020459T	CPCT02330021T	CPCT02110016T	CPCT02330023T	CPCT02040095T	CPCT02160017T	CPCT02080093T	CPCT02060088T	CPCT02290021T	CPCT02340042T	CPCT02040192T	CPCT02300026T	CPCT02450007T	CPCT02170020T	CPCT02030440T	CPCT02190003T	WIDE01010536T	WIDE01010554T
A[Del(T):R(1,4)]A	11	18	7	15	14	13	19	11	30	14	16	16	11	4	20	4	23	17	5	25	6	19	4	11	7	6	2	33	28	8	3	14	9	15	14	7	13	16	23	13	4	16	10	7	19	7	16	1	8	1	5	50	3	16	3	5	15	3	11	66	2	8	14	14	12	24	14	17	19	9	7	12	7	12	9	12	4	7	14	5	3	4	7	4	6	20	6	25	9	15	11	24	17	10	21	5	9	12	24	7	15	7	12	25	7	18	2	14	5	7	17	11	15	7	5	19	8	1	0	21	18	27	7	11	10	12	6	13	9	9	7	5	6	11	7	1	7	8	27	3	2	11	8	11	12	10	11	23	16	2	7
A[Del(T):R(1,4)]C	4	5	7	5	2	5	4	6	9	5	8	4	5	2	3	4	14	7	5	7	4	11	2	3	5	0	0	5	15	11	3	1	5	2	1	2	1	3	9	1	2	6	3	3	6	1	7	2	2	2	5	13	1	5	1	4	7	1	11	31	3	3	4	7	7	10	7	3	9	1	9	5	4	3	5	1	1	9	5	5	2	2	0	3	3	13	5	11	3	6	4	13	6	3	10	2	4	3	10	3	4	6	1	8	9	6	2	6	0	2	8	7	7	0	2	12	7	0	0	7	11	13	5	6	6	12	1	6	3	9	6	8	3	3	3	2	2	5	5	1	2	1	4	6	9	8	8	10	10	0	1
A[Del(T):R(1,4)]G	7	16	7	8	5	10	12	3	11	8	10	5	9	4	4	2	16	9	3	13	2	7	4	7	6	2	3	14	13	13	0	8	4	2	5	5	9	6	11	3	0	11	5	6	5	5	5	1	1	1	4	12	1	5	1	3	7	3	7	33	2	3	6	7	8	15	16	6	8	3	12	6	3	9	7	1	3	6	8	1	0	2	6	1	7	9	6	10	3	9	6	7	4	8	17	6	3	3	8	5	9	3	4	12	2	8	2	5	6	4	10	4	12	1	0	5	3	1	3	14	12	14	6	6	5	3	3	8	5	6	5	4	6	6	2	2	3	10	11	1	2	4	4	6	3	4	5	9	14	0	1
C[Del(T):R(1,4)]A	6	14	6	3	7	5	11	10	10	13	10	6	7	1	6	3	12	7	3	11	7	11	2	1	10	1	2	20	11	10	0	5	5	5	7	1	6	4	9	5	3	8	5	4	14	4	4	3	5	2	8	28	4	13	3	3	14	6	7	42	1	4	9	9	7	23	12	6	10	3	13	13	4	8	2	8	3	6	4	5	1	3	8	0	4	14	5	15	4	12	3	12	14	7	23	5	6	3	16	1	10	2	2	20	5	4	3	5	4	11	12	9	15	2	4	6	3	3	1	16	17	27	5	6	9	12	7	11	8	5	5	10	3	5	2	3	0	5	13	1	3	6	3	14	8	7	9	10	12	1	1
C[Del(T):R(1,4)]C	6	10	7	9	3	12	12	8	14	7	11	6	6	5	6	5	11	12	5	18	5	14	4	2	4	1	4	14	19	7	2	5	6	4	4	3	9	7	10	4	5	9	4	6	11	5	6	1	2	6	6	15	3	7	3	7	6	2	9	37	2	10	7	5	8	7	6	7	9	4	6	6	5	1	3	4	2	8	10	3	1	4	3	8	2	11	5	8	5	8	5	12	2	8	14	2	9	1	12	5	11	6	3	14	5	8	2	11	5	2	15	5	10	4	7	9	4	4	4	16	12	19	4	2	3	8	3	3	9	2	6	8	7	9	6	2	2	4	11	1	4	6	6	1	10	7	16	7	9	2	1
C[Del(T):R(1,4)]G	8	14	4	14	7	5	11	7	19	13	8	5	10	3	4	8	17	13	0	15	3	6	4	3	8	3	2	12	21	11	3	7	7	11	11	1	9	13	13	4	5	9	5	6	3	7	2	0	2	0	7	33	2	7	4	8	13	1	17	52	3	5	15	10	9	19	8	7	10	5	8	9	5	10	8	4	7	4	10	1	4	1	3	3	1	14	11	16	7	10	4	14	10	10	16	5	4	3	17	3	14	3	0	22	4	9	6	7	4	4	13	8	9	0	3	7	8	0	1	8	9	15	5	13	6	9	4	10	12	8	10	13	0	3	2	3	6	7	14	1	2	2	7	5	10	8	19	6	19	2	3
G[Del(T):R(1,4)]A	5	5	2	4	5	5	6	5	13	8	6	4	6	3	5	7	5	10	2	7	2	7	1	4	4	1	3	10	10	3	2	3	6	2	4	0	3	5	4	3	2	10	2	2	1	3	3	1	0	0	3	27	3	10	0	1	7	1	11	25	1	1	5	4	6	11	7	5	3	4	3	4	5	6	3	4	1	2	8	4	2	4	4	1	6	8	5	9	4	6	0	9	6	3	11	2	1	2	10	5	7	2	0	10	6	2	3	5	1	3	5	3	14	1	1	10	5	2	5	4	14	13	4	4	1	5	2	3	8	5	7	4	3	7	9	4	1	7	13	0	2	2	4	6	11	7	7	8	9	1	1
G[Del(T):R(1,4)]C	0	5	4	7	9	6	4	5	11	7	7	3	5	1	1	2	9	7	5	4	1	7	0	2	6	0	1	6	13	5	1	2	1	4	5	1	2	7	8	2	2	5	0	2	5	0	2	0	1	0	3	22	0	5	1	1	8	2	4	22	1	2	7	4	5	5	7	1	5	5	4	4	1	1	3	2	0	4	5	1	0	2	3	2	4	5	4	8	0	4	2	7	7	4	15	1	0	4	9	1	7	1	0	8	1	6	4	4	1	4	5	5	3	0	1	7	5	0	2	9	9	7	5	2	1	6	3	10	3	6	6	4	2	6	0	3	2	6	14	1	2	1	5	1	7	4	7	5	7	1	0
G[Del(T):R(1,4)]G	5	14	5	6	6	6	5	4	9	12	10	8	6	0	5	1	11	9	2	11	6	4	2	2	6	0	1	17	14	6	4	4	3	7	6	1	5	8	5	3	6	12	2	3	14	5	2	1	2	0	6	23	2	3	1	1	10	3	9	37	2	3	7	5	7	16	12	3	5	3	4	5	6	5	3	2	4	5	14	4	4	2	3	1	1	15	8	11	1	6	1	11	14	5	11	3	1	2	11	6	7	3	1	16	8	7	0	5	5	0	11	13	4	0	2	9	2	1	1	14	7	17	4	7	4	8	4	5	2	3	9	7	3	5	2	1	2	9	17	2	0	2	10	8	9	13	13	10	10	1	1
A[Del(T):R(5,7)]A	5	7	6	4	6	4	33	3	20	10	17	5	5	3	14	2	5	4	5	13	2	31	2	7	6	0	0	9	12	10	1	8	10	4	5	3	3	4	10	8	3	10	3	5	13	9	11	5	6	3	2	21	4	7	4	0	3	1	13	42	0	3	6	12	8	29	3	4	19	5	12	5	3	10	12	3	2	3	4	4	3	3	2	3	7	44	9	16	7	14	0	8	5	7	25	2	11	2	13	6	10	11	1	27	2	14	5	3	6	8	11	7	8	0	2	15	6	1	3	59	24	19	7	16	8	11	2	3	5	5	12	9	1	4	3	0	5	15	12	3	2	8	15	10	4	9	8	11	45	3	1
A[Del(T):R(5,7)]C	6	4	2	4	4	0	9	4	7	5	0	1	0	2	6	1	8	5	1	11	1	14	3	2	4	0	0	5	4	9	1	0	1	3	4	1	1	4	5	1	2	3	1	3	6	3	5	1	6	1	2	11	1	2	1	0	3	1	4	17	0	1	4	11	7	30	2	5	16	3	6	6	2	0	1	0	4	1	5	3	0	3	2	2	1	19	4	13	2	5	1	7	0	5	16	2	10	0	5	2	13	6	0	9	2	5	6	3	0	5	2	4	3	0	1	6	8	0	1	24	15	7	7	18	5	6	3	2	5	3	5	2	0	1	8	1	0	3	10	3	1	6	5	2	6	5	4	4	19	0	2
A[Del(T):R(5,7)]G	4	7	1	8	4	2	14	6	10	9	4	3	5	2	5	3	4	7	1	10	6	13	2	2	6	1	1	8	8	3	0	5	3	5	3	0	6	8	5	8	4	6	0	3	10	3	3	0	3	0	4	21	0	6	2	1	5	3	6	28	1	1	4	3	4	16	6	5	7	2	3	7	4	4	5	2	1	2	7	0	1	0	0	0	10	19	3	6	4	3	2	11	5	2	14	2	10	4	6	1	14	5	2	10	5	2	5	1	2	10	8	5	1	1	1	10	6	3	0	43	14	14	4	5	3	1	2	2	3	2	5	6	1	5	7	6	1	3	8	2	0	5	10	4	8	4	15	3	27	2	1
C[Del(T):R(5,7)]A	4	3	4	5	1	4	5	5	9	4	7	3	1	0	5	1	5	2	1	7	2	18	0	4	2	0	0	8	4	6	0	2	6	4	1	1	4	3	13	1	2	5	1	3	5	3	5	1	7	2	2	8	2	8	3	4	5	5	5	16	1	0	2	6	7	12	4	2	9	5	3	8	4	2	3	4	1	1	3	1	1	2	1	0	4	9	6	8	1	2	3	9	2	2	11	1	7	2	3	0	9	5	2	7	3	10	6	5	0	5	4	5	2	2	1	6	2	2	2	18	11	7	3	6	2	4	2	2	2	2	4	3	3	2	4	2	2	8	4	3	0	5	2	6	3	2	4	5	13	1	2
C[Del(T):R(5,7)]C	2	1	6	4	4	5	7	5	6	2	6	1	1	2	5	0	5	4	0	8	4	11	1	1	7	2	3	5	6	5	0	1	4	3	3	1	2	4	1	3	3	2	0	0	4	2	5	2	5	1	0	5	1	10	2	1	2	0	1	11	0	2	6	3	6	8	5	4	9	2	2	7	5	0	3	3	2	3	3	0	2	1	2	0	5	11	6	4	0	4	0	4	4	1	10	2	3	2	2	4	5	1	1	7	2	3	3	4	2	2	2	4	5	0	2	3	5	0	1	16	11	9	2	6	5	4	1	4	3	0	3	3	0	0	2	0	2	4	3	4	2	3	7	3	1	1	2	7	8	0	0
C[Del(T):R(5,7)]G	4	2	0	1	1	7	5	3	8	1	1	0	3	1	1	1	5	2	1	3	2	6	0	4	3	1	1	5	3	3	1	8	1	1	0	1	2	2	7	0	1	8	0	2	3	0	2	0	1	0	3	6	3	3	1	0	5	2	3	16	1	0	3	5	2	5	8	4	8	1	4	5	2	0	1	5	0	1	2	2	0	0	0	1	1	10	4	6	3	3	1	5	2	4	10	1	7	4	4	1	5	4	2	12	1	5	1	2	1	3	9	2	3	0	3	6	3	1	1	15	10	8	0	2	1	1	1	1	2	0	3	1	0	2	3	1	0	2	9	6	2	0	3	0	1	5	3	8	9	0	1
G[Del(T):R(5,7)]A	3	2	4	4	0	5	5	6	5	2	5	4	0	1	2	0	6	3	1	5	3	10	0	1	2	3	2	7	3	6	0	6	3	4	1	2	6	5	9	2	2	4	1	1	1	1	0	2	3	0	4	4	1	5	1	1	4	2	5	8	1	0	4	1	4	4	1	3	2	3	3	3	0	1	7	2	0	3	3	3	1	0	1	0	5	10	8	6	4	3	0	6	2	4	8	1	3	0	5	4	6	2	2	11	5	4	5	3	0	1	5	4	0	0	1	2	4	0	0	16	7	5	4	5	4	2	1	5	4	1	9	4	0	1	1	1	0	5	2	0	0	5	8	3	4	5	9	6	6	0	2
G[Del(T):R(5,7)]C	0	6	3	6	2	2	7	0	4	3	4	1	2	2	5	3	2	3	2	7	2	7	1	3	2	1	0	1	1	3	1	2	3	4	0	1	2	5	6	4	1	4	0	3	2	3	3	0	3	2	2	9	0	1	0	2	5	0	2	14	1	0	3	4	1	9	1	0	7	1	4	3	0	1	0	1	1	1	3	2	0	0	1	0	3	6	2	11	4	3	1	4	1	1	11	0	4	0	6	2	5	3	1	4	2	4	1	1	1	1	3	1	0	0	4	3	5	1	2	23	8	4	3	3	2	3	0	1	3	1	6	1	1	2	2	0	0	2	11	0	0	5	4	2	4	2	5	2	7	0	0
G[Del(T):R(5,7)]G	2	5	2	5	4	0	8	2	9	4	4	6	3	2	3	1	7	2	0	8	1	10	1	1	1	0	2	5	4	6	0	3	3	4	4	0	1	5	6	5	0	5	1	3	3	3	2	0	1	0	1	13	0	4	2	1	6	2	3	10	0	0	0	2	8	10	3	2	10	2	3	3	3	1	2	4	2	0	1	0	2	1	1	0	3	11	5	5	4	5	3	4	4	0	8	3	3	2	2	3	5	4	2	10	4	2	0	1	0	7	4	3	1	0	0	6	4	0	0	15	5	9	2	7	5	8	1	5	3	1	2	4	0	1	0	0	1	4	9	1	1	1	3	2	5	6	5	2	8	1	0
A[Del(T):R(8,)]A	10	4	2	4	4	2	33	7	20	13	4	2	2	1	17	5	1	3	5	10	3	53	0	7	3	2	2	2	13	3	1	7	11	7	5	4	0	3	10	2	8	5	2	6	12	9	18	4	10	4	0	5	2	12	4	0	2	1	2	25	2	1	11	2	12	64	8	2	35	4	6	4	11	4	11	1	1	0	3	0	1	0	1	2	9	50	5	15	9	3	1	3	1	1	11	1	32	6	7	2	23	20	1	21	1	6	14	6	2	13	4	0	2	0	2	8	21	0	1	83	49	26	2	16	12	4	3	1	3	1	4	8	3	0	1	0	3	18	11	5	0	15	11	5	6	4	4	7	47	2	0
A[Del(T):R(8,)]C	4	1	3	5	5	6	26	2	21	4	6	3	1	0	10	1	2	3	2	8	4	42	3	11	7	2	0	3	8	5	0	6	6	1	1	4	1	4	11	1	12	3	1	6	6	3	8	4	10	1	4	9	0	8	2	1	3	2	8	16	0	0	11	2	7	30	5	0	17	2	2	3	2	5	5	3	2	2	3	3	0	2	1	0	12	23	6	15	12	3	0	3	7	0	11	2	26	7	2	1	11	10	6	19	3	5	13	7	2	12	6	3	0	1	0	7	14	1	2	55	53	18	6	7	13	2	1	3	3	1	8	3	4	3	10	1	0	9	7	6	2	8	10	1	5	5	3	8	19	1	2
A[Del(T):R(8,)]G	1	3	2	3	2	2	13	3	8	3	2	3	0	0	9	3	3	1	4	5	1	19	3	5	5	0	1	1	6	1	0	2	5	4	2	1	1	3	2	0	3	3	4	2	10	4	5	4	1	1	0	4	0	2	2	0	1	0	3	13	0	0	2	1	3	21	3	0	9	1	3	3	2	4	7	0	1	0	1	1	0	0	1	1	6	14	4	4	7	5	0	0	0	2	3	0	9	1	2	0	11	11	1	12	1	4	9	3	2	6	5	2	0	1	0	3	10	0	1	26	22	9	3	3	12	3	0	0	1	1	3	3	1	0	4	0	0	10	3	4	0	5	8	3	1	4	1	6	14	0	0
C[Del(T):R(8,)]A	4	1	2	6	1	1	13	11	9	2	3	2	3	0	6	1	0	1	1	4	1	25	2	4	3	2	1	3	3	4	2	1	11	1	1	1	0	2	5	2	2	2	0	6	7	4	10	5	9	0	1	4	1	6	0	1	1	1	1	12	1	1	7	4	9	12	11	1	14	1	2	2	3	0	0	0	1	0	0	0	0	0	1	0	5	17	4	10	6	3	1	1	1	0	15	0	16	0	5	0	8	6	2	10	0	4	10	4	0	6	3	3	0	1	1	3	5	1	1	31	38	12	1	6	9	1	0	0	1	0	2	2	0	1	9	0	1	7	3	2	0	4	9	2	2	8	0	3	13	2	0
C[Del(T):R(8,)]C	3	0	1	2	4	2	18	4	5	3	2	0	2	1	7	2	1	1	5	7	2	28	0	8	4	0	0	2	5	6	0	6	2	0	2	2	4	1	5	1	4	2	2	6	9	5	10	1	8	0	3	4	1	11	0	0	0	2	5	10	0	2	4	1	12	13	5	2	14	1	1	3	6	0	3	3	1	1	1	3	2	1	0	0	3	15	3	2	10	0	1	1	1	1	6	0	23	2	2	1	9	7	1	7	0	7	12	2	0	5	2	0	2	0	1	3	23	0	0	33	36	10	1	11	9	1	3	1	1	2	1	3	1	1	10	0	1	2	6	6	1	5	3	2	3	5	1	4	17	0	0
C[Del(T):R(8,)]G	1	0	0	3	3	5	17	5	2	1	1	0	0	2	7	1	1	1	0	2	2	27	0	2	2	0	0	3	0	2	2	2	5	1	0	0	1	3	1	2	2	2	0	2	4	2	5	1	4	0	3	1	2	1	0	0	2	0	3	12	0	0	6	0	0	4	3	2	12	0	0	2	2	1	2	0	1	0	1	0	0	0	0	0	0	16	2	4	1	4	0	0	1	1	2	0	12	1	2	3	6	7	0	2	0	1	3	4	2	5	2	0	0	0	0	1	9	0	0	39	34	6	2	5	3	1	2	1	1	1	1	0	1	1	5	0	0	5	2	2	1	2	5	4	3	2	1	3	5	0	1
G[Del(T):R(8,)]A	0	3	0	0	1	0	12	1	4	2	2	1	1	0	4	1	1	0	1	3	0	26	3	1	0	0	1	1	2	0	0	1	4	3	1	0	1	0	1	1	5	2	0	1	8	2	4	3	2	1	0	0	3	4	0	1	0	1	2	6	0	0	4	1	3	8	2	1	8	1	3	1	2	1	1	2	0	0	0	0	1	1	0	0	2	12	1	4	1	5	1	0	2	1	6	0	9	1	1	0	6	4	2	6	1	2	7	1	0	3	1	0	0	0	2	3	6	2	0	30	25	4	0	3	5	0	0	0	0	0	0	0	1	0	3	0	1	8	3	1	0	3	4	1	2	4	3	2	12	0	1
