MutationType	CPCT02020307T	CPCT02020333T	CPCT02080024T	CPCT02030259TII	CPCT02040038T	CPCT02030250T	CPCT02050058T	CPCT02020393T	CPCT02030280T	CPCT02030278T	CPCT02100030T	CPCT02060056T	CPCT02030296T	CPCT02060046T	CPCT02130056T	CPCT02180051T	CPCT02070434T	DRUP01210006T	CPCT02020659T	CPCT02080191T	CPCT02330084T	CPCT02360009T	CPCT02060196T	CPCT02290028T	CPCT02030455T	CPCT02080198T	CPCT02010679T	CPCT02100152T	CPCT02070465T	CPCT02040224T	DRUP01060007T	CPCT02040223T	CPCT02270023T	CPCT02220079T	CPCT02230082T	CPCT02090043T	CPCT02130051T	CPCT02030259TIII	DRUP01020026T	CPCT02210046T	CPCT02120120T	WIDE01010205T	CPCT02340080T	WIDE01010216T	CPCT02130087T	WIDE01010264T	CPCT02130085T	WIDE01010292T	WIDE01010277T	CPCT02120118T	WIDE01010301T	CPCT02220045T	CPCT02130093T	CPCT02030482T	CPCT02030477T	CPCT02370026T	WIDE01010385T	WIDE01010397T	WIDE01010414T	WIDE01010420T	CPCT02270031T	CPCT02120132T	DRUP01010084T	CPCT02020741T	CPCT02020740T	CPCT02030492T	CPCT02070349T	CPCT02070348T	CPCT02060226T	CPCT02230111T	CPCT02080236T	CPCT02030498T	DRUP01050029T	CPCT02030505T	CPCT02120149T	CPCT02070358T	CPCT02060168T	CPCT02030509T	CPCT02210066T	CPCT02030495T	CPCT02060251T	CPCT02380049T	CPCT02300049T	CPCT02140079T	CPCT02110074T	CPCT02210065T	CPCT02120153T	CPCT02110078T	CPCT02030517T	CPCT02020466T	CPCT02070397T	CPCT02050203T	CPCT02020572T	CPCT02060142T	CPCT02230050T	CPCT02070222T	CPCT02010646T	CPCT02070418T	CPCT02080160T	CPCT02100112T	CPCT02100119T	CPCT02340032T	CPCT02020513T	CPCT02180025T	CPCT02120022T	CPCT02020516T	CPCT02060089T	CPCT02090018T	CPCT02060094T	CPCT02120028T	CPCT02090019T	CPCT02060105T	CPCT02020544T	CPCT02060110T	CPCT02030355T	CPCT02040127T	CPCT02070190T	CPCT02090020T	DRUP01020004T	CPCT02060120T	CPCT02070210T	CPCT02040144T	CPCT02040143T	CPCT02020593T	CPCT02180005T	CPCT02030299T	CPCT02020420T	CPCT02030303T	CPCT02070058T	CPCT02040050T	CPCT02020434T	CPCT02220006T	DRUP01140003T	CPCT02020459T	CPCT02330021T	CPCT02110016T	CPCT02330023T	CPCT02040095T	CPCT02160017T	CPCT02080093T	CPCT02060088T	CPCT02290021T	CPCT02340042T	CPCT02040192T	CPCT02300026T	CPCT02450007T	CPCT02170020T	CPCT02030440T	CPCT02190003T	WIDE01010536T	WIDE01010554T
[Del(C):R1]A	9	17	9	19	12	20	12	12	26	23	17	8	8	5	11	4	23	12	4	21	10	18	6	8	11	2	3	20	15	11	4	15	5	10	9	2	9	14	9	6	7	17	6	6	15	8	15	0	5	2	11	40	9	6	3	7	20	2	11	61	7	6	9	9	12	24	14	12	11	16	14	11	10	12	10	9	6	13	9	2	3	4	4	5	7	13	11	9	13	11	5	16	19	16	20	4	6	5	9	5	18	7	3	26	16	11	5	9	4	9	13	11	15	2	5	10	8	2	1	18	17	32	8	12	12	13	5	12	8	12	11	17	5	13	2	7	3	11	27	4	1	10	9	15	22	19	21	11	20	3	7
[Del(C):R1]T	20	41	21	23	25	19	25	16	53	30	46	19	30	3	15	11	52	29	6	52	9	18	8	11	17	6	1	84	43	33	2	8	23	23	19	2	21	19	38	19	13	43	3	4	37	11	20	3	5	2	9	91	7	18	8	7	43	5	33	200	6	2	35	37	23	40	21	28	21	10	22	28	10	18	12	26	3	22	22	6	2	10	5	2	14	62	23	41	12	30	10	35	39	19	82	4	13	14	30	6	34	13	3	74	10	38	11	24	4	17	38	25	18	4	13	31	14	4	5	51	29	80	14	23	18	33	7	24	24	13	35	76	5	22	2	4	9	31	73	10	4	23	16	23	50	33	31	42	53	3	4
[Del(C):R2]A	5	6	6	6	9	8	10	6	15	6	14	4	11	2	4	4	13	10	1	16	1	9	1	4	6	2	2	5	13	8	3	7	7	11	6	2	12	4	11	1	2	7	3	12	3	2	8	1	0	2	1	10	1	8	2	4	6	5	10	17	6	2	15	9	6	13	10	8	7	1	2	11	3	7	7	7	6	3	8	3	0	4	4	2	4	14	9	8	6	7	3	10	11	3	29	4	6	7	9	3	8	6	1	12	6	5	1	5	1	6	13	5	9	1	3	4	3	0	2	6	6	13	2	4	3	6	1	9	7	2	14	27	2	7	2	4	8	5	13	1	4	8	2	5	8	8	10	9	8	0	4
[Del(C):R2]T	9	20	11	11	11	12	18	7	22	17	20	9	19	3	5	6	21	11	4	17	6	9	6	9	9	8	1	30	18	10	0	7	9	16	10	4	8	11	7	8	2	18	6	10	17	6	5	1	2	0	2	43	7	7	6	3	14	3	15	80	4	3	7	7	15	31	9	13	11	10	7	20	11	12	7	9	4	5	12	4	1	6	3	4	8	23	9	17	4	13	5	14	14	7	44	8	6	11	26	5	17	6	2	24	3	10	5	10	4	4	26	11	16	3	7	19	9	0	1	13	14	21	5	10	14	24	2	16	11	10	14	15	2	7	4	2	7	8	28	3	1	7	15	10	25	10	16	15	21	0	4
[Del(C):R3]A	1	9	8	4	4	3	4	3	6	9	4	3	4	3	5	2	13	9	1	5	2	12	1	0	4	1	2	6	10	7	2	4	3	2	3	3	3	4	5	6	2	3	1	4	5	2	1	1	3	1	4	13	3	8	1	1	9	1	7	29	1	0	7	5	5	7	7	4	2	4	9	5	4	12	3	1	1	9	8	1	2	2	3	4	3	5	5	6	2	8	2	3	4	4	15	3	2	1	5	6	4	4	2	14	7	9	1	5	2	2	19	1	4	2	4	6	3	0	1	8	6	8	2	3	4	6	1	7	1	3	5	10	1	3	2	2	4	4	11	1	0	4	6	6	5	9	5	7	8	0	1
[Del(C):R3]T	4	6	2	11	4	4	6	3	8	3	3	6	3	0	4	2	7	4	1	3	1	3	0	3	3	0	2	5	6	4	1	6	4	7	6	0	0	10	8	2	1	5	0	3	6	0	5	0	1	0	3	6	1	4	4	1	4	3	5	18	0	0	2	6	7	6	6	9	9	2	3	12	3	5	0	4	2	2	5	1	4	2	1	1	5	5	2	6	2	1	2	4	2	4	10	1	0	1	7	4	1	5	1	11	1	4	1	5	1	4	4	6	3	0	2	4	1	0	0	5	6	16	3	5	2	6	0	3	7	7	1	6	2	3	2	2	1	8	9	1	2	3	4	4	6	2	2	2	3	0	4
[Del(C):R(4,5)]A	0	13	5	2	3	6	5	4	6	7	9	0	6	1	4	6	11	3	5	6	3	8	1	1	5	1	1	8	15	7	0	4	5	10	3	3	6	1	5	4	2	6	2	6	8	1	8	0	3	0	6	17	5	8	0	0	6	6	3	24	0	5	9	4	7	7	9	5	2	2	2	7	3	8	9	7	0	3	2	4	2	5	1	1	1	12	2	5	3	8	3	10	6	3	15	2	1	2	9	3	5	8	2	11	4	2	3	3	4	7	7	2	5	2	4	5	3	0	1	9	5	9	2	3	2	8	2	5	1	1	4	10	2	5	3	1	2	3	11	0	1	2	3	1	4	4	5	7	6	0	2
[Del(C):R(4,5)]T	2	5	4	4	2	1	5	0	4	12	5	4	3	0	5	0	7	8	0	5	2	3	2	2	8	0	2	6	3	2	2	5	7	4	5	0	7	3	7	1	0	4	2	8	4	1	5	0	3	2	0	4	2	0	1	2	7	2	5	17	0	3	6	1	2	6	8	4	2	1	4	8	3	2	1	3	2	4	5	1	0	2	2	1	0	7	7	8	1	5	1	7	8	1	7	1	2	1	4	0	8	4	1	5	8	3	3	4	1	2	8	3	3	1	0	2	5	0	2	5	10	8	4	3	4	6	1	7	5	3	3	11	1	3	2	1	0	3	4	1	3	2	2	3	6	4	4	6	10	1	0
[Del(C):R(1,5)]G	5	5	10	3	3	11	3	9	11	10	17	2	2	0	4	5	8	4	2	6	2	13	4	3	6	0	0	13	7	4	3	9	11	7	3	2	5	3	6	6	3	7	2	8	6	6	10	1	4	1	4	11	1	3	1	1	19	3	6	13	2	5	11	8	6	12	3	19	9	7	10	4	3	1	7	3	2	5	4	4	0	3	0	1	3	12	12	3	3	5	3	9	7	4	10	3	3	4	2	5	16	3	1	8	6	2	3	1	0	2	10	2	5	0	5	6	0	1	1	9	4	16	8	4	10	8	2	4	4	3	4	14	3	3	4	0	2	4	10	0	0	2	9	1	12	0	7	10	10	0	2
Del(C):R(6,9)	2	5	5	4	4	3	8	7	6	3	5	3	4	1	5	2	5	3	1	10	3	8	0	5	6	0	1	10	9	4	1	6	7	7	3	2	3	2	6	6	0	3	3	6	6	0	4	3	4	3	5	9	1	5	2	0	5	4	4	16	1	3	6	2	10	7	10	5	9	1	5	3	4	4	1	5	0	1	3	0	0	1	1	0	4	9	2	4	5	6	1	4	3	3	7	1	5	3	5	4	7	4	0	3	1	8	8	3	4	7	4	2	2	0	2	4	3	1	4	15	11	7	2	7	12	5	0	2	3	2	5	10	5	5	1	0	2	6	7	0	4	3	9	0	6	5	6	4	8	0	1
