MutationType	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
[Del(C):R1]A	6	3	4	7	4	2	4	9	2	3	8	5	23	14	12	7	11	3	34	7	16	16	4	10	4	11	14	6	123	8	176	69	8	3	4	7	12	10	9	5	3	14	1	7	4	10	8	35	6	7	45	6	19	12	7	3	4	9	5	1	20	10	8	3	6	11	11	23	18	6	11	4	2	9	4	22	21	12	2	9	5	8	10	5	7
[Del(C):R1]T	6	6	6	13	0	19	5	12	3	3	10	5	6	11	16	6	9	7	50	2	61	18	6	12	11	19	16	12	99	17	141	64	12	6	5	5	8	16	24	12	7	21	2	9	5	4	7	53	5	11	66	8	18	20	15	7	3	9	9	8	53	17	5	6	10	7	6	36	14	7	5	4	2	16	9	40	20	23	9	20	4	5	10	6	3
[Del(C):R2]A	1	11	1	3	3	6	5	7	2	4	1	5	17	3	3	6	7	3	5	4	12	28	0	7	5	5	8	2	48	9	75	31	5	7	3	5	6	10	3	4	4	22	3	4	6	5	5	12	5	8	21	6	13	9	8	5	3	7	7	3	9	8	3	3	5	6	5	5	8	5	3	3	1	17	3	11	8	5	4	1	1	4	8	5	1
[Del(C):R2]T	3	8	5	3	3	8	8	7	6	3	6	5	9	5	7	10	8	8	20	4	19	11	0	7	8	7	11	6	40	10	49	25	7	2	2	5	8	6	6	4	3	10	4	8	3	5	5	29	6	7	24	2	21	8	6	4	4	4	5	2	17	7	6	6	4	3	4	14	10	2	6	8	0	8	7	12	14	14	2	8	3	4	7	4	3
[Del(C):R3]A	2	5	2	4	1	5	3	2	3	0	6	1	10	4	2	4	2	2	11	2	7	16	0	2	4	1	7	5	37	6	68	43	5	1	2	2	3	3	3	2	0	15	2	2	0	2	2	22	9	4	12	2	11	3	0	5	1	5	2	2	13	5	3	2	3	6	4	11	2	2	1	2	4	7	3	9	8	3	0	1	0	2	6	2	5
[Del(C):R3]T	3	3	3	1	1	3	2	3	1	0	2	7	6	4	6	4	3	2	13	1	2	9	0	5	1	3	3	2	42	2	73	42	4	1	3	1	3	2	3	2	2	4	3	0	2	3	2	15	6	2	13	3	5	4	4	2	2	2	3	3	8	1	5	1	1	2	3	3	2	4	1	1	0	4	0	4	4	1	2	0	1	0	2	1	1
[Del(C):R(4,5)]A	2	10	3	6	1	1	4	4	3	3	2	1	10	4	2	6	3	4	7	2	5	18	0	5	9	6	9	2	460	11	628	371	6	4	3	1	3	4	3	4	1	10	3	1	1	5	3	14	0	4	22	4	9	9	5	0	4	4	3	2	10	5	5	3	1	5	1	4	3	3	2	0	1	15	3	7	7	7	4	2	1	4	2	1	6
[Del(C):R(4,5)]T	3	9	2	2	2	5	3	2	1	2	3	2	6	3	2	5	3	5	4	0	8	15	1	4	7	5	2	0	398	6	660	299	3	1	0	1	3	7	3	2	3	2	0	3	3	2	2	9	1	3	15	4	3	1	3	2	2	1	1	3	6	1	0	2	2	3	2	0	2	1	1	2	1	10	2	5	0	1	1	1	1	3	3	1	0
[Del(C):R(1,5)]G	2	7	2	2	2	9	1	7	1	1	1	1	9	4	4	5	4	4	9	3	6	15	2	4	3	5	7	2	178	9	273	150	3	1	7	1	3	2	5	2	1	15	3	1	1	5	3	9	3	1	5	5	9	3	0	1	0	4	2	3	6	6	0	2	2	1	1	7	3	3	2	1	0	13	5	8	14	5	2	2	3	2	3	0	0
Del(C):R(6,9)	2	4	8	7	0	8	3	1	2	1	6	0	2	1	8	4	4	5	10	0	10	10	0	4	3	34	21	3	2453	15	4245	2049	3	1	1	1	4	6	9	3	2	4	2	0	2	17	5	18	2	6	48	4	5	13	1	5	5	16	0	4	21	2	3	2	5	4	8	8	1	4	1	1	1	10	13	36	15	14	3	9	1	1	3	3	1
A[Del(T):R(1,4)]A	5	18	7	12	2	10	10	3	3	3	10	6	17	9	15	8	9	9	48	4	10	16	7	8	15	23	17	9	249	12	467	183	8	11	5	14	9	10	16	8	6	16	4	8	6	14	5	56	12	12	53	7	20	17	9	7	5	17	8	7	27	9	5	5	8	10	5	11	14	4	6	5	3	32	15	37	34	9	3	11	2	3	6	8	6
A[Del(T):R(1,4)]C	4	5	2	3	1	4	2	4	1	5	10	8	12	5	9	0	10	2	12	4	5	3	2	4	5	5	6	2	95	5	170	83	9	6	4	0	8	6	4	5	1	9	2	3	1	4	9	19	5	6	18	2	14	4	7	3	3	5	2	1	2	5	7	3	6	5	2	7	5	2	3	1	4	9	7	15	4	8	2	5	1	1	6	5	5
A[Del(T):R(1,4)]G	3	6	3	3	4	2	3	4	3	7	5	5	7	7	9	5	8	6	22	6	6	6	1	6	2	7	9	2	99	6	146	64	4	7	4	2	5	6	4	4	1	12	7	3	2	8	5	24	2	2	21	3	12	6	3	3	3	2	4	1	15	2	7	0	1	1	7	12	6	2	2	5	1	10	7	11	13	5	2	5	2	4	8	4	5
