MutationType	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
Del2:U2:R4	0	4	4	1	2	0	6	1	12	3	3	4	6	2	6	1	1	2	1	0	0	1	3	3	1	1	1	4	2	2	4	2	4	4	5	1	6	3	2	4	15	4	1	0	2	2	2	2	0	3	3	1	4	1	3	5	2	1	2	1	0	5	2	2	1	4	5	1	4	1	186	1	2	4	3	8	1	4	3	3	6	1	6	3	3	2	0	4	5	2	10	2	2	2	5	2	8	2	1	2	2	1	1	2	4	1	7	2	5	1	1	2	4	3	3	2	2	4	6	1	1	2	2	3	3	4	7	6	6	4	6	3	4	1	3	5	3	1	3	3	4	3	2	1	12	6	3	1	1
Del2:U2:R(5,9)	6	5	12	2	4	2	8	9	12	15	17	3	13	3	2	10	5	11	10	8	5	11	5	12	7	0	2	4	16	8	6	7	15	6	11	6	4	7	5	8	12	11	1	15	5	9	8	3	3	4	4	5	12	5	11	25	12	1	11	3	0	12	7	8	2	5	13	8	25	27	1856	7	15	1	13	20	13	9	5	5	8	5	16	7	12	6	5	14	17	9	15	4	8	4	21	4	15	8	10	5	3	4	7	4	7	12	9	10	4	5	4	8	10	9	11	5	6	1	15	6	6	7	1	4	10	5	8	13	9	13	7	11	18	8	12	2	11	3	6	8	17	17	11	6	11	17	4	7	10
Del3:U1:R4	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	2	1	1	0	2	1	0	1	0	1	0	1	2	2	1	0	0	1	0	0	1	2	1	1	0	0	1	0	0	0	1	1	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	2	2	0	0	0	1	1	2	1	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	2
Del3:U1:R(5,9)	1	1	1	3	1	4	0	1	2	1	1	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	4	0	0	1	3	0	2	1	3	1	2	2	2	1	1	0	2	0	0	0	1	1	1	3	0	1	0	3	0	2	2	8	1	1	0	0	1	0	2	1	3	1	0	3	0	0	2	0	1	2	1	1	1	0	0	1	1	3	1	0	0	2	4	1	1	1	1	0	1	1	1	1	1	5	1	1	0	2	2	3	1	1	1	0	0	1	2	1	2	2	1	4	1	0	0	3	1	1	1	0	1	2	2	2	1	3	0	1	1	2
Del3:U3:R2	9	24	20	18	9	10	18	15	17	28	18	12	17	11	9	21	11	17	21	17	15	13	7	23	16	5	9	10	28	6	25	15	20	13	33	8	14	6	9	18	6	9	9	18	10	22	22	28	10	12	17	12	13	12	18	35	19	3	22	15	5	33	18	10	8	12	14	12	17	24	274	14	17	8	14	21	16	13	15	5	25	9	14	10	46	13	12	18	23	21	27	25	22	14	28	8	38	7	11	7	10	17	5	8	10	11	16	25	13	17	9	17	22	22	16	18	11	7	37	16	13	16	15	9	15	22	19	16	12	42	18	13	56	13	30	9	29	8	13	22	23	18	16	7	24	16	11	18	10
Del3:U3:R3	2	4	3	6	3	4	7	6	10	14	5	2	8	5	3	6	7	4	2	7	3	2	2	10	3	0	1	5	10	0	5	3	10	6	18	1	10	3	1	7	0	5	4	6	1	5	11	8	2	6	3	3	5	3	6	12	9	2	4	4	1	1	7	3	1	7	12	4	4	5	100	8	7	0	10	8	4	8	4	1	3	1	12	1	10	4	4	6	4	2	10	2	4	8	10	5	12	2	3	0	5	10	4	1	5	4	5	4	10	5	0	7	7	9	4	4	4	2	13	2	6	2	1	7	5	6	11	7	7	10	9	6	17	3	10	3	7	3	6	2	4	4	8	4	11	5	5	6	2
Del3:U3:R4	1	3	1	1	2	0	3	1	2	2	2	1	1	2	1	1	2	3	0	2	0	2	0	0	3	0	0	1	3	0	1	0	0	2	5	0	1	2	0	2	1	0	2	2	2	0	1	3	0	2	0	1	2	0	2	4	0	0	4	0	1	3	1	0	0	0	0	1	1	1	36	3	2	0	0	1	0	2	3	1	2	0	0	0	0	0	0	2	1	5	4	3	4	2	2	0	1	0	0	0	2	1	2	0	1	0	1	4	1	3	1	3	2	1	6	0	3	0	1	1	0	0	1	0	0	1	5	0	0	4	3	1	1	3	3	3	2	0	1	1	1	7	1	0	0	4	1	0	0
Del3:U3:R(5,9)	3	0	0	0	0	0	1	2	4	2	6	1	2	1	1	6	2	2	1	1	3	1	1	0	1	0	0	2	4	2	3	1	3	2	3	1	0	1	0	2	0	1	1	5	0	2	1	2	0	5	0	1	4	1	0	2	2	0	2	1	0	2	1	2	1	1	2	0	1	2	84	0	1	1	2	4	1	3	2	0	1	0	2	0	2	0	1	2	3	1	3	0	2	2	2	0	1	1	2	2	2	1	4	0	0	2	2	1	2	1	1	3	2	3	3	0	1	0	4	1	0	1	1	0	5	1	3	2	2	2	0	2	4	1	5	2	2	0	2	2	1	3	1	0	4	3	3	0	3
Del4:U1:R(5,9)	0	2	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	2	0	1	1	1	1	0	2	0	2	0	0	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	0	2	2	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	3	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	2	2	1	1	0	0	1	0	2	3
Del4:U2:R3	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	1	0	0	2	0	2	0	2	1	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	2	0	2	0	0	0	0	2	1	0	1	0	4	0	0	2	0	0	2	1	0	1	0	0	0	0	1
