MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647
4:Ins:R:1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0
4:Ins:R:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:0	1	0	1	2	2	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	1	1	1	0	0	1	0	3	1	1	0	2	0	0	1	1	2	0	0
5:Ins:R:1	0	2	3	0	3	0	1	1	2	1	2	0	1	1	4	2	0	0	1	0	1	1	1	4	0	1	0	1	1	3	1	1	2	1	5	0	2	3	1	0	0	1	1	1	0	4	1	3
5:Ins:R:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:M:1	3	0	4	1	2	0	1	1	6	3	2	0	1	0	3	2	0	2	3	1	0	0	0	4	2	5	2	1	2	5	0	0	2	0	5	0	3	1	2	1	1	0	2	2	1	0	0	0
3:Del:M:1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
3:Del:M:2	2	1	1	4	1	0	1	0	0	5	0	0	1	0	5	2	1	1	2	0	0	2	0	6	0	2	5	1	1	4	1	0	4	2	3	0	1	2	1	0	0	0	0	4	2	2	2	2
4:Del:M:1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	3	1	0	0
4:Del:M:2	2	2	1	1	2	1	1	1	2	2	3	0	2	1	3	0	1	0	6	1	0	1	0	2	5	1	1	1	1	4	0	0	3	0	3	1	2	1	2	0	0	0	1	4	2	5	0	0
4:Del:M:3	1	1	1	3	3	1	2	4	8	6	0	0	4	1	2	2	0	0	3	4	1	0	2	1	5	4	6	0	5	1	0	0	3	2	4	3	3	2	1	0	1	0	2	6	3	4	1	1
5:Del:M:1	1	3	1	2	10	4	2	2	7	4	5	0	1	8	7	2	3	0	2	1	0	1	1	5	4	2	3	2	5	6	4	2	3	2	6	0	4	3	4	0	1	1	0	5	0	3	3	3
5:Del:M:2	1	4	1	0	5	2	1	3	4	4	1	0	0	5	1	3	2	0	1	1	2	0	0	1	2	1	2	0	3	10	0	2	1	0	5	0	2	2	0	0	0	0	1	5	4	4	0	1
5:Del:M:3	0	1	2	1	1	0	0	0	1	4	1	0	3	2	2	2	0	0	3	0	0	1	1	2	2	0	1	0	5	3	0	0	0	1	3	1	1	1	3	0	1	0	0	1	0	1	0	2
5:Del:M:4	1	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	1	0	1	1	0	0	0	0	4	0	3	1	1	0	0	0	0	1	1	1	0	2
5:Del:M:5	0	0	0	2	0	0	2	1	3	1	1	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	1	0	1	3	0	1	0	2	1	1	0	0	1	1	1	0	1	3	0	1	1	0
