MutationType	SP53460	SP50827	SP50263	SP50317	SP54113	SP50406	SP51824	SP55387	SP52779	SP55235	SP50713	SP50611	SP50485	SP51037	SP55142	SP53387	SP54745	SP52284	SP53618	SP52232	SP50412	SP50321	SP53548	SP55004	SP56079	SP56168	SP54363	SP53810	SP50518	SP56303	SP55711	SP55509	SP55309	SP52607	SP52667	SP51446	SP50592	SP53073	SP56638	SP56537	SP57586	SP56541	SP56553	SP56771	SP57941	SP57818	SP56460	SP56474	SP56704	SP56533	SP56730	SP59245	SP57024	SP57933	SP56754	SP56827	SP57084	SP57538	SP57735	SP57669	SP56566	SP56569	SP58342	SP58349	SP56644	SP57629	SP56941	SP57619	SP58245	SP57251	SP56502	SP58668	SP58101	SP58991	SP56607	SP58326	SP57267	SP57066	SP57901	SP57651	SP57450	SP57846	SP58612	SP56821	SP58882	SP57189
1:Del:C:0	163	191	25	38	419	1	66	27	168	330	38	226	8	5	655	132	89	14	264	110	6	57	8	2	161	43	148	754	16	53	34	273	4	9	153	26	12	72	118	150	93	140	290	44	353	228	75	47	149	86	135	154	77	211	103	131	159	102	139	184	69	108	197	161	166	103	5	148	179	159	169	200	149	96	61	271	190	186	107	61	46	154	94	105	56	395
1:Del:C:1	165	235	13	32	658	0	109	37	208	442	64	296	7	7	741	178	85	14	334	155	7	54	6	0	243	32	163	872	10	26	15	344	2	9	173	22	8	113	184	226	135	213	353	39	366	258	70	33	327	113	212	207	100	281	132	190	210	196	237	269	64	163	319	190	240	104	11	187	279	212	265	306	193	119	85	431	273	268	138	62	57	219	173	190	68	661
1:Del:C:2	171	224	14	10	580	2	89	40	177	452	46	263	4	4	603	125	62	8	280	125	4	48	2	0	229	16	161	844	6	13	8	285	3	2	149	15	4	101	163	168	113	175	314	34	303	223	62	6	302	84	170	175	82	211	76	159	193	140	160	227	41	121	266	156	217	54	4	181	179	142	188	256	144	101	93	370	247	203	87	46	29	198	123	178	50	625
1:Del:C:3	43	71	8	7	188	0	36	12	80	144	15	73	0	4	271	43	28	6	109	52	1	19	0	0	77	11	50	268	4	3	2	89	1	2	50	9	3	36	43	61	40	64	117	14	94	94	29	6	110	34	60	62	39	79	35	71	80	60	78	73	19	46	72	53	72	34	2	68	80	69	65	101	72	49	35	129	96	84	25	11	13	57	55	63	21	213
1:Del:C:4	35	47	7	8	135	0	24	10	45	120	14	51	2	2	166	31	13	4	68	31	1	8	0	0	40	6	40	176	7	5	2	56	0	0	35	3	1	20	38	49	40	43	78	16	69	47	21	10	96	27	47	49	24	59	21	35	44	56	67	50	14	41	67	37	65	23	3	44	80	46	44	66	64	24	34	100	68	51	28	19	7	42	44	33	18	129
1:Del:C:5	14	19	4	2	57	0	12	4	24	61	5	35	2	2	84	19	9	3	32	16	0	8	2	0	38	2	22	83	1	4	0	28	0	0	11	4	1	14	22	24	21	26	70	10	30	31	20	8	47	15	19	22	17	31	16	13	25	20	37	37	6	17	41	31	30	23	2	21	66	26	36	46	34	15	12	58	31	38	7	12	5	21	30	19	13	93
1:Del:T:0	46	68	14	16	141	0	28	15	50	123	21	70	5	8	217	47	42	11	83	33	6	16	8	1	47	18	53	229	10	33	10	75	1	6	38	15	10	32	54	67	33	49	108	26	109	75	44	19	73	32	73	69	27	83	57	42	60	75	68	87	19	42	88	81	73	55	5	58	81	70	67	79	65	47	32	100	80	91	53	28	23	60	47	55	33	167
1:Del:T:1	36	74	16	10	123	0	23	10	59	112	14	54	7	2	168	60	58	7	88	25	6	21	11	0	68	20	47	261	15	16	9	75	3	3	43	6	13	42	46	53	37	54	108	17	96	79	21	8	67	20	51	47	27	70	29	46	53	49	46	71	16	35	78	42	46	41	6	56	75	38	43	66	64	33	24	78	52	64	30	20	17	66	37	32	34	129
1:Del:T:2	26	38	14	13	76	0	22	6	35	69	11	39	2	4	163	31	18	4	55	20	2	17	6	0	26	16	25	113	7	14	10	40	0	4	27	9	8	29	34	51	37	24	71	13	61	41	26	13	40	29	42	49	23	67	27	22	37	44	34	51	16	32	49	43	47	38	6	35	39	51	45	49	39	34	17	69	44	35	37	19	11	37	32	27	27	79
1:Del:T:3	41	66	12	30	110	0	23	7	47	82	10	36	5	5	184	39	40	11	51	20	4	23	17	2	24	15	42	116	15	29	10	50	2	6	25	11	9	16	49	64	49	40	64	19	93	51	39	24	65	50	51	36	18	89	40	33	62	54	52	65	14	54	61	62	61	59	5	59	77	78	63	72	48	29	18	77	61	52	39	23	24	34	33	38	41	133
