MutationType	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
[Del(C):R1]A	21	21	23	11	6	20	19	36	11	7	18	25	25	18	31	19	14	14	20	22	25	28	5	20	15	17	9	24	22	13	6	23	17	23	24	35	7	25	17	17	30	5	28	9	28	4	16	5	5	16	14	21	31	11	18	22	14	12	24	19	15	16	11	17	9	3	16	10	10	4	22	23	14	18	6	15	28	6	8	26	13	9	22	49	12	12	22	6	11	24	2	8	16	19	20	23	10	1	19	16	7	10	13	21	18	15	12	19	33	89	16	22	17	25	6	23	10
[Del(C):R1]T	26	18	33	18	18	21	35	44	13	20	24	50	16	25	42	22	12	22	22	43	27	30	7	36	16	12	4	27	40	16	7	21	21	39	32	34	11	28	13	17	45	4	34	11	42	4	23	7	8	12	20	21	30	23	17	22	16	14	27	32	21	16	12	31	12	8	14	22	6	14	25	25	26	17	14	22	31	1	13	35	11	14	35	31	16	18	26	10	15	30	2	14	21	27	18	29	20	4	20	7	13	12	29	25	29	21	19	15	31	84	31	27	17	36	7	37	11
[Del(C):R2]A	14	12	27	14	3	10	18	27	7	15	11	27	12	8	25	18	11	15	8	20	22	24	1	25	12	13	5	10	25	13	6	10	12	21	21	24	1	18	12	11	30	5	20	9	9	1	16	2	9	3	5	10	22	3	11	7	7	17	16	17	12	4	10	20	3	2	9	13	4	11	14	18	11	6	16	7	18	0	9	33	10	14	10	28	12	4	11	3	3	18	0	5	11	18	12	20	10	3	22	9	4	3	7	17	11	10	13	14	16	32	13	15	12	17	2	16	2
[Del(C):R2]T	19	20	36	18	11	16	41	34	14	21	17	32	11	20	33	24	15	12	14	27	21	22	4	26	16	10	13	21	27	9	3	20	15	22	20	21	1	23	14	19	27	6	25	12	16	8	13	11	4	12	8	19	16	9	12	22	6	13	19	41	17	12	10	28	5	0	8	17	3	13	22	16	20	19	8	11	19	2	9	43	8	10	30	16	8	7	17	5	7	26	2	12	16	21	23	23	3	0	14	10	4	21	18	12	14	19	17	17	18	45	22	17	19	24	7	20	5
[Del(C):R3]A	22	13	18	12	2	11	26	16	4	5	10	15	6	11	17	17	9	10	11	10	16	10	1	13	4	4	5	12	15	4	3	12	18	9	12	15	3	11	7	8	13	2	17	6	7	3	11	5	4	6	5	7	13	9	7	9	9	9	11	27	10	6	9	12	6	3	6	11	1	6	13	14	9	6	6	12	16	5	7	17	6	9	10	15	3	4	9	2	3	15	1	4	10	14	8	13	5	2	10	3	1	5	6	12	7	7	9	11	20	45	15	11	9	11	2	15	6
[Del(C):R3]T	12	16	15	8	3	11	33	21	7	9	6	12	4	16	28	21	7	7	8	13	17	16	2	24	16	5	1	13	14	8	2	14	6	10	17	27	4	9	13	12	22	1	15	7	20	1	10	3	2	8	5	14	14	10	11	12	4	14	7	33	9	6	6	16	4	0	6	10	0	6	12	12	14	15	7	10	17	0	4	20	5	7	11	22	8	2	10	6	1	14	0	9	11	11	8	13	5	1	9	3	3	8	7	7	10	9	4	5	13	46	8	16	9	7	6	10	4
[Del(C):R(4,5)]A	10	8	10	9	5	5	8	14	9	10	10	10	7	11	17	6	7	8	2	12	16	11	0	10	6	11	7	7	17	10	5	6	4	11	8	15	4	8	3	5	13	1	12	4	10	3	8	3	4	12	2	4	13	7	10	5	6	12	9	8	7	4	4	14	5	0	4	6	0	6	13	3	5	7	2	11	10	2	2	14	8	13	11	75	8	6	8	3	3	6	0	5	5	10	5	8	4	1	6	8	1	2	6	6	6	4	6	3	12	345	11	11	6	11	3	12	0
[Del(C):R(4,5)]T	5	8	7	4	2	4	15	25	9	6	8	15	6	8	13	11	2	5	7	10	9	7	3	11	8	2	3	10	10	4	2	10	7	15	6	16	0	11	4	6	11	1	12	7	12	2	8	1	2	2	4	7	7	9	8	8	3	4	8	15	9	3	6	10	1	1	2	3	4	1	11	8	6	6	7	2	10	0	5	11	8	4	9	86	2	5	6	7	5	8	0	7	8	10	6	5	5	0	10	4	4	12	5	5	12	14	3	4	10	289	6	11	2	11	3	12	2
[Del(C):R(1,5)]G	5	8	10	6	5	6	15	13	6	8	15	10	10	6	21	15	9	6	3	14	7	15	1	18	10	11	2	15	14	9	3	10	6	9	5	17	1	19	4	7	14	6	19	10	16	3	10	3	6	5	3	5	11	9	4	11	4	13	11	15	12	6	0	8	4	1	4	4	1	6	9	5	5	5	4	3	10	3	2	17	3	10	13	42	8	7	11	2	1	14	1	6	7	8	12	11	4	2	11	5	4	6	6	9	6	3	14	7	18	156	15	8	5	15	8	6	4
Del(C):R(6,9)	3	2	2	2	1	3	5	4	5	1	3	4	3	2	6	5	2	5	6	6	5	3	0	6	3	4	2	4	5	8	0	1	1	1	8	2	2	5	3	4	3	1	7	3	6	1	1	2	1	2	1	2	4	3	4	3	2	5	2	5	3	3	1	2	1	4	3	3	2	0	1	1	1	3	1	4	0	0	0	3	2	3	7	573	4	2	10	0	2	2	0	0	2	2	2	3	3	0	2	3	2	2	2	4	2	3	4	2	1	1565	3	7	0	4	0	7	2
