MutationType	SP18310	SP17172	SP96133	SP110242	SP114330	SP21017	SP22383	SP81312	SP22031	SP96112	SP19215	SP96120	SP16886	SP96124	SP19295	SP19670	SP17905	SP16934	SP20993	SP19983	SP18121	SP96122	SP119755	SP96126	SP19606	SP96118	SP21528	SP21400	SP23078	SP17430	SP96110	SP18946	SP21057	SP22750	SP19750	SP17016	SP16958	SP17329	SP96116	SP96129	SP21193	SP18787	SP96114	SP19582	SP17294	SP80367	SP82087	SP80615	SP80271	SP81172	SP81840	SP80657	SP81494	SP81711	SP80423	SP80754	SP81440	SP80950	SP82103	SP81137
[Del(C):R1]A	97	28	83	98	10	84	77	22	7	12	45	14	20	7	9	5	74	5	9	8	72	9	12	6	10	13	6	19	8	11	11	40	16	4	4	12	8	11	7	12	5	13	18	3	15	10	5	40	10	20	7	7	9	11	9	6	5	0	14	12
[Del(C):R1]T	49	51	51	89	14	67	53	72	9	12	27	40	56	13	24	5	321	16	19	19	48	16	28	18	32	7	8	42	26	17	17	100	26	15	5	18	22	11	11	12	15	14	21	16	14	13	16	194	15	39	13	9	27	18	22	8	9	9	10	20
[Del(C):R2]A	25	13	27	51	5	29	27	81	14	2	22	6	51	5	23	2	247	3	8	5	48	5	5	4	3	5	9	51	4	5	8	109	10	6	5	5	12	3	9	5	4	7	6	3	3	3	2	107	5	3	6	5	7	6	7	4	1	3	4	10
[Del(C):R2]T	34	21	33	47	7	54	31	20	4	1	26	11	11	7	8	3	82	7	14	4	51	8	11	8	14	1	6	20	10	3	7	35	11	2	1	4	9	5	2	5	7	3	9	7	7	6	11	48	7	19	6	5	9	9	10	8	8	5	4	6
[Del(C):R3]A	66	7	49	101	7	63	63	31	0	4	50	7	17	4	3	4	79	3	3	7	99	4	2	2	3	10	2	11	6	1	4	29	4	4	2	4	2	4	1	2	3	5	4	0	3	0	5	33	1	6	2	2	5	4	1	4	0	3	4	3
[Del(C):R3]T	71	23	42	77	3	57	45	21	1	3	54	3	9	1	2	1	48	4	13	5	66	3	8	2	6	5	2	13	0	1	2	14	3	1	2	2	4	1	1	2	1	6	3	4	5	3	4	26	0	2	6	1	4	6	5	0	1	3	0	5
[Del(C):R(4,5)]A	1103	135	622	1015	5	972	679	61	8	10	637	8	16	6	11	5	92	4	6	7	816	8	10	15	4	130	9	24	3	2	4	65	7	7	4	7	12	5	2	4	1	4	7	5	4	4	5	56	3	4	4	4	18	8	7	5	2	3	3	4
[Del(C):R(4,5)]T	1096	138	521	900	6	796	563	29	2	2	570	4	9	2	5	3	58	6	4	3	685	4	5	8	3	107	5	13	2	5	3	23	3	3	2	1	1	2	1	3	3	4	3	4	8	4	3	30	1	3	2	3	11	6	2	2	0	0	2	1
[Del(C):R(1,5)]G	348	53	198	384	3	299	185	26	3	2	199	3	5	2	2	4	43	4	1	0	225	7	5	2	2	31	1	12	1	4	2	17	3	4	2	0	2	4	3	9	1	4	4	3	5	4	2	29	4	6	4	1	6	7	4	0	0	1	3	4
Del(C):R(6,9)	5168	965	2274	4163	10	3715	2271	83	6	4	2265	7	20	13	18	9	71	9	14	13	2694	14	15	23	8	430	7	45	1	1	1	100	12	9	5	10	13	7	4	14	7	8	6	2	24	8	11	64	13	6	24	3	8	17	9	4	1	6	10	4
A[Del(T):R(1,4)]A	412	149	309	522	19	434	281	147	41	10	289	35	105	15	46	9	1170	26	15	17	409	26	36	24	28	54	8	132	15	9	13	379	15	12	14	14	22	26	6	26	10	9	24	31	19	13	14	396	22	68	33	12	82	100	33	103	8	6	28	35
A[Del(T):R(1,4)]C	217	78	155	229	8	191	190	159	26	6	195	12	78	3	19	3	934	12	8	12	213	8	16	14	7	35	6	97	7	9	8	272	10	5	3	12	7	21	3	10	7	13	4	19	14	6	6	259	10	44	21	8	68	46	15	70	4	1	6	15
A[Del(T):R(1,4)]G	277	69	166	216	7	167	168	49	16	8	163	10	35	1	14	8	540	11	8	11	178	8	15	5	5	37	4	48	6	11	4	145	12	4	5	12	12	10	7	5	5	10	8	20	17	9	8	145	9	39	9	3	29	45	20	46	4	4	8	11
C[Del(T):R(1,4)]A	277	66	190	280	5	223	211	15	2	2	250	12	8	8	18	1	132	2	12	11	247	5	13	7	10	26	4	10	10	5	7	46	14	5	10	6	10	11	6	4	5	3	17	7	17	16	9	60	5	12	11	1	12	14	15	3	5	2	7	12
C[Del(T):R(1,4)]C	335	84	218	382	5	265	236	20	2	8	327	7	7	3	8	4	126	6	6	9	271	9	8	8	10	40	4	17	10	10	6	33	9	6	4	7	6	3	5	3	9	9	4	6	8	9	7	52	9	9	7	3	6	11	12	1	4	3	5	12
C[Del(T):R(1,4)]G	250	45	189	256	8	186	186	8	2	2	249	6	4	6	7	6	56	2	7	8	210	3	16	5	12	28	7	13	3	11	7	16	5	2	4	7	15	4	2	3	10	5	8	4	11	11	5	32	4	5	7	4	9	6	8	2	7	8	4	6
G[Del(T):R(1,4)]A	221	44	186	229	14	264	252	41	3	6	179	9	22	4	10	3	218	9	10	6	155	2	7	4	12	38	8	39	5	2	4	111	9	7	5	4	9	7	5	5	13	7	7	6	12	6	7	102	10	11	10	5	9	12	9	5	2	3	3	10
G[Del(T):R(1,4)]C	187	57	137	211	6	254	281	62	4	1	236	6	11	5	11	1	153	3	1	9	172	1	12	3	6	25	3	33	2	0	2	59	7	3	0	3	11	6	3	6	5	3	2	5	8	3	3	65	2	7	1	3	4	8	4	5	2	3	3	3
G[Del(T):R(1,4)]G	187	49	188	263	23	300	243	22	4	3	211	6	10	3	3	5	98	6	7	6	178	4	4	6	9	29	8	54	5	5	4	34	6	4	0	5	14	2	4	4	5	7	9	3	7	11	5	50	2	13	6	6	9	4	7	5	2	4	9	7
A[Del(T):R(5,7)]A	7256	1981	4939	6243	38	5316	4867	541	120	14	5184	46	229	51	166	33	2324	33	53	81	5283	125	117	107	20	963	23	352	17	11	43	1255	89	39	38	37	54	25	34	57	40	53	28	9	79	9	25	851	47	36	74	13	30	67	26	47	13	24	26	26
A[Del(T):R(5,7)]C	3100	1006	1880	2574	18	2634	2479	286	62	8	2327	32	128	33	86	17	1112	30	35	45	2326	63	46	62	18	364	20	255	8	6	20	552	61	16	21	32	31	10	15	32	17	36	24	15	59	3	12	515	22	27	57	14	25	42	33	31	4	21	13	24
A[Del(T):R(5,7)]G	5658	1395	3353	4197	17	3474	2949	193	43	13	3206	33	99	29	61	18	969	16	30	39	3310	43	45	47	12	614	14	154	11	8	22	528	53	9	14	28	23	11	14	26	21	31	15	12	45	8	10	404	26	33	38	4	27	39	20	30	2	11	14	22
C[Del(T):R(5,7)]A	4577	946	2947	3671	25	2988	2542	436	60	12	2871	19	102	21	117	18	598	32	26	38	2842	31	41	40	11	585	15	272	10	5	24	564	27	13	12	23	18	9	15	28	15	25	24	5	39	6	11	272	17	16	39	4	5	19	14	8	4	14	12	23
C[Del(T):R(5,7)]C	3469	947	2217	3001	4	3153	2596	182	11	3	2691	16	39	12	36	4	277	16	13	27	2328	33	25	26	6	389	14	114	3	2	14	297	43	10	3	24	19	7	14	18	10	20	9	5	31	5	9	148	9	17	26	3	4	17	10	9	6	16	8	11
C[Del(T):R(5,7)]G	4639	1075	2710	3469	7	2707	2228	66	12	3	2659	11	29	15	22	11	267	12	15	23	2682	37	35	31	6	488	10	61	6	5	11	178	26	8	1	16	6	4	5	22	8	15	9	3	23	4	6	81	11	11	16	8	17	17	13	6	2	6	7	8
G[Del(T):R(5,7)]A	2462	684	1929	2373	7	2571	2431	139	15	2	2083	12	35	15	34	4	306	11	19	12	1920	21	15	22	6	354	10	87	4	3	9	252	22	4	8	16	16	12	7	17	4	19	7	4	13	5	13	143	9	5	20	5	7	14	7	10	2	4	7	7
G[Del(T):R(5,7)]C	1801	633	1178	1614	7	1817	1745	113	8	2	1526	8	30	8	17	2	187	10	11	17	1321	22	21	12	7	215	7	56	5	2	6	157	21	11	4	14	10	8	7	4	12	9	10	4	24	1	4	92	10	10	17	6	7	13	9	7	2	7	5	7
G[Del(T):R(5,7)]G	2174	624	1487	1932	7	2020	1700	74	11	5	1601	7	27	9	20	9	168	5	9	18	1382	14	12	19	6	258	9	55	7	4	7	151	15	4	9	8	11	1	9	7	10	15	9	2	17	6	8	87	4	9	20	2	7	6	18	9	3	11	6	7
A[Del(T):R(8,)]A	10207	3835	5474	9213	38	8554	6080	631	86	18	5679	70	112	63	163	34	402	55	75	99	7338	111	138	134	31	268	47	299	18	7	64	862	97	43	48	82	67	25	50	84	39	89	30	9	91	8	19	382	63	44	104	13	17	59	36	37	5	31	26	25
A[Del(T):R(8,)]C	6077	2368	3210	5224	21	5911	3978	238	46	18	3036	42	63	59	67	26	243	44	57	83	4021	91	77	100	15	114	32	129	13	18	44	415	91	33	34	52	60	20	32	50	33	66	23	6	64	7	16	224	37	23	61	13	16	47	34	28	8	35	30	29
A[Del(T):R(8,)]G	6923	2409	3524	5761	16	5134	3317	101	21	9	3203	34	26	41	39	16	156	24	27	44	4338	44	63	59	10	164	11	58	10	3	17	196	45	24	18	30	21	11	23	36	23	32	9	5	37	6	14	126	28	16	57	5	9	35	18	8	1	12	26	9
C[Del(T):R(8,)]A	8367	2353	4627	6927	14	6669	4165	317	50	14	3501	27	56	45	78	22	172	43	35	72	5429	69	77	92	14	251	20	166	14	6	25	377	48	30	29	61	41	26	29	56	20	40	24	5	46	8	17	163	38	17	73	7	12	40	26	27	8	23	21	13
C[Del(T):R(8,)]C	7979	2395	4581	7217	20	8187	5282	182	30	12	3696	30	27	47	30	17	77	37	34	65	5096	68	72	70	22	207	15	57	11	5	37	188	75	10	21	55	38	8	33	43	19	53	20	6	43	5	15	114	32	26	59	7	7	37	13	19	1	15	19	21
C[Del(T):R(8,)]G	10281	2894	5726	8478	7	7284	4519	53	18	3	4333	20	22	27	20	26	65	26	24	30	6271	43	51	52	6	361	20	46	7	4	16	128	41	12	18	26	22	11	18	28	22	20	14	5	34	3	8	44	23	14	60	7	8	24	9	20	4	16	16	13
G[Del(T):R(8,)]A	3844	1376	2370	3537	7	3946	2990	176	26	5	2259	22	33	18	39	13	92	14	31	22	2452	27	41	39	8	119	11	86	4	4	9	217	36	7	3	20	21	7	17	21	10	22	5	5	32	2	5	92	10	12	30	4	5	13	10	10	4	8	9	10
G[Del(T):R(8,)]C	2916	1157	1619	2537	8	2852	2191	80	11	3	1575	14	15	21	12	12	49	15	13	24	1762	20	22	25	9	81	5	30	4	1	12	100	29	8	9	18	22	9	9	16	12	18	7	1	17	5	2	48	5	4	27	7	3	16	13	8	2	6	5	12
G[Del(T):R(8,)]G	3197	1121	1765	2938	3	2923	1916	38	4	4	1722	12	5	12	10	4	34	13	9	16	1962	18	24	23	1	76	6	23	3	4	7	56	16	6	7	11	19	5	13	12	3	20	4	0	10	3	5	28	8	1	21	4	2	9	4	3	1	4	4	4
A[Ins(C):R0]A	23	56	52	29	8	36	15	388	94	2	14	69	430	5	69	5	543	89	61	96	98	18	51	9	50	0	15	273	103	6	24	212	42	23	6	7	4	14	12	13	7	7	34	13	79	152	42	935	15	75	11	9	26	46	15	6	11	2	4	490
A[Ins(C):R0]T	3	16	15	5	2	4	1	8	4	1	6	32	15	0	3	1	33	50	25	41	40	14	14	7	25	0	10	7	76	5	12	20	17	9	6	0	1	7	5	0	1	4	19	9	48	114	24	141	10	43	2	4	21	22	8	3	4	1	1	267
Ins(C):R(0,3)	135	120	120	197	13	148	119	43	26	2	79	28	69	9	24	12	172	19	22	23	154	14	20	21	13	11	7	60	25	11	18	67	19	8	6	15	18	3	14	14	11	13	21	6	24	57	15	188	6	23	15	10	13	18	8	6	10	5	4	103
Ins(C):R(4,6)	1013	254	625	1206	9	827	601	39	13	3	720	13	44	14	29	9	121	3	16	19	694	16	13	30	5	121	10	48	2	7	1	64	14	8	9	7	14	3	8	6	5	18	5	2	17	3	3	125	10	13	18	7	3	15	5	6	4	3	11	10
Ins(C):R(7,)	763	337	475	1108	14	941	479	21	7	7	417	18	11	17	10	8	20	9	11	17	558	27	16	31	5	39	15	25	5	1	11	36	20	9	11	9	23	2	12	11	10	26	11	5	18	9	8	60	12	4	27	3	9	24	8	4	3	5	11	10
A[Ins(T):R(0,4)]A	193	83	161	219	8	161	108	45	33	10	109	33	94	10	47	6	329	18	17	27	165	18	27	26	13	19	12	62	35	9	15	114	14	7	10	10	16	7	10	12	7	15	19	9	20	43	5	246	9	18	14	6	7	26	9	8	3	7	10	104
A[Ins(T):R(0,4)]C	103	33	81	134	3	98	54	20	19	5	61	7	31	4	26	4	132	7	7	2	142	5	7	12	3	13	5	22	11	2	3	37	2	3	3	5	10	6	3	3	4	7	2	1	8	12	5	78	4	8	5	2	4	12	4	7	3	0	4	15
A[Ins(T):R(0,4)]G	210	38	127	240	10	161	142	37	13	4	139	9	75	6	14	4	341	9	9	7	247	5	12	18	4	30	4	48	10	1	4	94	10	3	5	3	9	3	4	12	7	3	7	3	8	17	2	271	4	6	4	11	6	9	2	7	7	3	9	16
C[Ins(T):R(0,4)]A	94	31	60	114	10	54	57	80	33	3	54	7	129	4	60	3	444	6	4	3	75	3	2	9	1	18	5	138	3	1	2	169	5	4	3	3	15	2	2	4	1	5	6	0	5	8	2	317	4	4	4	1	2	5	3	2	2	3	3	7
C[Ins(T):R(0,4)]C	122	18	72	109	3	65	76	94	33	4	64	1	122	1	44	2	382	3	3	8	115	7	5	10	3	24	2	111	3	0	2	116	3	3	5	7	5	3	1	5	2	7	3	1	2	6	3	296	3	5	4	2	3	4	2	2	1	4	4	3
C[Ins(T):R(0,4)]G	198	30	147	239	2	139	132	37	20	3	108	1	74	3	24	2	315	4	3	2	231	2	2	6	4	40	1	63	4	3	3	93	7	9	2	2	10	4	4	0	2	5	7	1	6	2	3	215	4	5	8	1	3	5	1	6	0	2	4	2
G[Ins(T):R(0,4)]A	25	10	27	37	5	24	19	9	2	6	18	4	5	3	7	3	26	7	2	4	22	6	5	6	6	6	8	8	3	2	3	13	6	2	2	8	10	6	3	11	3	3	7	2	8	0	3	17	8	6	8	3	2	2	3	5	2	2	3	5
