MutationType	CPCT02220038T	CPCT02290013T
[Del(C):R1]A	11	10
[Del(C):R1]T	15	23
[Del(C):R2]A	11	9
[Del(C):R2]T	6	16
[Del(C):R3]A	12	2
[Del(C):R3]T	4	2
[Del(C):R(4,5)]A	4	3
[Del(C):R(4,5)]T	4	2
[Del(C):R(1,5)]G	5	2
Del(C):R(6,9)	10	9
A[Del(T):R(1,4)]A	16	12
A[Del(T):R(1,4)]C	5	5
A[Del(T):R(1,4)]G	2	7
C[Del(T):R(1,4)]A	11	11
C[Del(T):R(1,4)]C	8	5
C[Del(T):R(1,4)]G	4	11
G[Del(T):R(1,4)]A	5	5
G[Del(T):R(1,4)]C	8	5
G[Del(T):R(1,4)]G	6	4
A[Del(T):R(5,7)]A	15	11
A[Del(T):R(5,7)]C	18	5
A[Del(T):R(5,7)]G	15	7
C[Del(T):R(5,7)]A	7	3
C[Del(T):R(5,7)]C	6	2
C[Del(T):R(5,7)]G	8	4
G[Del(T):R(5,7)]A	7	3
G[Del(T):R(5,7)]C	4	1
G[Del(T):R(5,7)]G	4	5
A[Del(T):R(8,)]A	25	9
A[Del(T):R(8,)]C	30	12
A[Del(T):R(8,)]G	18	4
C[Del(T):R(8,)]A	22	6
C[Del(T):R(8,)]C	22	9
C[Del(T):R(8,)]G	17	2
G[Del(T):R(8,)]A	7	4
G[Del(T):R(8,)]C	12	3
G[Del(T):R(8,)]G	7	4
A[Ins(C):R0]A	3	2
A[Ins(C):R0]T	0	0
Ins(C):R(0,3)	10	10
Ins(C):R(4,6)	12	6
Ins(C):R(7,)	20	7
A[Ins(T):R(0,4)]A	10	8
A[Ins(T):R(0,4)]C	5	2
A[Ins(T):R(0,4)]G	7	4
C[Ins(T):R(0,4)]A	4	2
C[Ins(T):R(0,4)]C	2	3
C[Ins(T):R(0,4)]G	3	7
G[Ins(T):R(0,4)]A	6	2
G[Ins(T):R(0,4)]C	1	2
G[Ins(T):R(0,4)]G	6	2
A[Ins(T):R(5,7)]A	28	16
A[Ins(T):R(5,7)]C	31	17
A[Ins(T):R(5,7)]G	36	26
C[Ins(T):R(5,7)]A	16	4
C[Ins(T):R(5,7)]C	19	13
C[Ins(T):R(5,7)]G	19	8
G[Ins(T):R(5,7)]A	8	6
G[Ins(T):R(5,7)]C	15	15
G[Ins(T):R(5,7)]G	21	13
A[Ins(T):R(8,)]A	45	19
A[Ins(T):R(8,)]C	39	17
A[Ins(T):R(8,)]G	45	18
C[Ins(T):R(8,)]A	22	6
C[Ins(T):R(8,)]C	24	15
C[Ins(T):R(8,)]G	30	18
G[Ins(T):R(8,)]A	15	5
G[Ins(T):R(8,)]C	18	13
G[Ins(T):R(8,)]G	26	12
Del(2,4):R1	18	15
Del(5,):R1	33	29
Del(2,8):U(1,2):R(2,4)	22	22
Del(2,):U(1,2):R(5,)	17	10
Del(3,):U(3,):R2	16	29
Del(3,):U(3,):R(3,)	9	11
Ins(2,4):R0	24	16
Ins(5,):R0	36	61
Ins(2,4):R1	5	5
Ins(5,):R1	6	2
Ins(2,):R(2,4)	6	5
Ins(2,):R(5,)	28	10
Del(2,5):M1	20	30
Del(3,5):M2	14	17
Del(4,5):M(3,4)	10	16
Del(6,):M1	20	14
Del(6,):M2	16	8
Del(6,):M3	11	6
Del(6,):M(4,)	25	5
Complex	0	0
