MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
C[Ins(T):R(5,7)]A	6	0	15	12	25	41	60	16	20	40	0	26	13	13	3	2	9	19	12	12	70	8	37	21	5	29
C[Ins(T):R(5,7)]C	15	0	28	16	56	50	68	14	24	83	2	54	20	8	9	1	11	40	8	16	112	6	43	42	6	40
C[Ins(T):R(5,7)]G	9	0	20	15	37	40	76	19	19	53	2	44	16	9	4	1	7	33	5	14	110	9	32	27	13	49
G[Ins(T):R(5,7)]A	3	0	15	12	13	33	42	8	10	36	4	32	9	11	1	4	8	11	6	11	78	4	27	15	2	17
G[Ins(T):R(5,7)]C	8	0	21	14	48	42	84	11	17	54	2	40	15	11	5	2	11	26	5	5	81	9	39	32	10	55
G[Ins(T):R(5,7)]G	10	0	26	19	35	46	87	17	15	67	4	41	16	15	2	0	14	39	10	10	121	6	35	42	6	59
A[Ins(T):R(8,)]A	13	0	36	40	47	87	148	31	26	98	5	86	27	22	10	9	8	58	18	25	177	16	73	56	16	103
A[Ins(T):R(8,)]C	23	0	39	37	52	74	166	23	27	97	5	62	23	28	11	4	13	46	22	30	155	15	70	60	15	108
A[Ins(T):R(8,)]G	11	0	38	41	47	81	148	21	23	95	5	57	32	19	8	3	11	46	27	24	118	11	58	61	16	96
C[Ins(T):R(8,)]A	6	0	18	17	25	35	87	17	11	49	3	35	10	11	2	1	6	26	10	17	88	9	34	31	9	49
C[Ins(T):R(8,)]C	11	0	30	14	33	52	116	11	17	61	5	50	19	18	5	0	6	24	12	10	95	10	45	30	14	53
