MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550
[Del(C):R1]A	23	42	36	42	60	38	42	6	7	15	5	9	5	5	5	8	6	38	21	12	15	8	10	3	5	39	5	3	10	18	5	16	8	10	2	29	14	9	1	3	5	4	12	10	4	12	8	11	18	29	15
[Del(C):R1]T	10	25	57	27	50	76	28	11	5	22	8	14	9	4	5	23	6	38	35	17	7	8	6	12	6	29	3	7	54	41	6	15	27	22	4	34	28	28	17	5	24	4	40	15	6	9	7	30	13	73	15
[Del(C):R2]A	9	25	56	6	25	127	16	6	3	9	5	7	4	3	2	4	4	12	8	3	0	5	4	5	6	19	3	6	5	4	3	2	3	4	3	21	14	8	7	6	2	3	7	4	6	6	5	8	5	10	5
[Del(C):R2]T	11	26	32	16	32	52	28	7	5	10	5	9	7	4	4	15	5	26	14	13	6	3	7	3	4	17	4	3	9	16	7	6	9	13	5	14	7	8	9	5	8	4	4	10	8	11	6	13	8	23	8
[Del(C):R3]A	12	29	56	17	39	115	29	2	2	5	2	2	1	0	0	2	4	11	5	3	0	2	3	2	1	14	0	4	5	6	0	2	0	4	2	25	6	1	4	2	5	1	6	0	2	12	1	4	10	5	3
[Del(C):R3]T	18	34	39	28	43	65	37	0	1	1	2	5	3	2	1	6	3	16	2	6	1	3	6	3	1	27	2	2	3	6	0	0	2	4	1	25	10	4	3	2	5	2	3	3	2	10	4	5	10	4	3
[Del(C):R(4,5)]A	235	415	597	274	732	722	425	3	2	4	5	6	2	3	0	4	5	137	6	1	3	1	4	0	4	297	1	1	2	6	3	3	6	2	2	222	7	4	2	1	3	2	5	3	4	123	3	6	126	4	4
[Del(C):R(4,5)]T	218	434	470	259	719	558	427	3	1	1	1	2	1	3	1	2	3	135	2	1	5	1	3	1	0	333	0	1	5	7	3	1	4	2	1	171	4	3	1	1	3	0	5	3	0	148	1	3	135	8	2
[Del(C):R(1,5)]G	91	183	163	131	281	195	155	4	1	4	6	6	3	4	2	4	4	44	5	6	7	3	1	4	4	156	5	1	12	9	2	2	8	13	3	61	2	8	7	4	6	3	2	6	2	53	4	9	70	9	1
Del(C):R(6,9)	1114	2005	3129	1369	3768	2366	2105	0	5	4	2	1	2	3	1	0	5	895	8	4	0	3	4	1	5	1576	5	1	4	6	4	5	2	3	4	694	11	1	1	2	2	1	4	3	2	575	6	10	576	9	3
A[Del(T):R(1,4)]A	104	196	1631	163	319	3195	160	5	4	11	11	17	9	6	6	10	5	185	17	14	13	7	7	9	8	222	8	6	15	20	4	11	21	6	7	98	75	10	10	9	9	7	15	10	4	59	11	18	69	26	6
A[Del(T):R(1,4)]C	32	73	581	79	142	1411	78	6	3	6	5	7	4	2	3	4	5	82	16	7	3	4	2	9	5	131	7	2	13	9	3	8	9	9	3	45	44	4	5	8	6	2	9	6	4	20	7	10	30	16	4
A[Del(T):R(1,4)]G	38	83	483	77	149	1247	71	2	0	3	8	8	8	3	4	4	5	58	10	9	2	6	6	3	2	101	4	2	10	12	5	4	11	5	3	23	16	6	4	6	4	2	11	3	6	26	6	12	32	13	6
C[Del(T):R(1,4)]A	61	122	334	114	155	703	77	1	3	3	3	7	3	4	6	7	7	63	14	5	1	4	7	6	8	198	1	4	9	8	4	7	2	9	3	53	13	6	5	4	5	3	12	3	4	26	4	1	30	16	8
C[Del(T):R(1,4)]C	61	129	261	147	195	430	101	5	2	5	2	6	8	2	2	4	1	84	9	4	8	2	4	3	4	221	3	2	8	8	6	4	4	6	1	50	4	4	3	3	3	4	14	4	5	43	10	6	61	17	5
C[Del(T):R(1,4)]G	58	92	184	97	159	380	92	3	2	2	8	7	3	8	6	5	7	47	12	10	2	3	1	5	4	150	7	5	7	14	3	5	9	8	2	50	5	10	3	8	5	6	13	4	7	39	9	7	36	16	7
G[Del(T):R(1,4)]A	39	71	1185	73	105	1673	50	6	1	2	2	4	5	2	5	6	2	31	8	2	3	3	1	4	2	92	2	2	11	9	1	6	6	6	2	42	17	5	3	2	7	1	13	5	4	23	3	5	20	14	4
G[Del(T):R(1,4)]C	37	71	772	81	82	1128	55	5	2	3	2	3	2	1	3	6	3	28	7	6	4	2	6	1	2	84	1	2	7	5	0	3	5	10	1	21	0	8	1	4	3	5	5	4	2	25	5	7	15	5	3
G[Del(T):R(1,4)]G	25	79	537	83	100	908	71	4	2	4	5	11	4	1	3	7	1	45	7	3	3	0	4	3	2	86	2	4	7	6	1	0	7	7	4	27	5	13	0	3	6	3	14	5	1	29	8	8	27	9	6
A[Del(T):R(5,7)]A	1486	2459	12816	2656	4976	16389	2610	9	4	4	4	7	22	10	6	15	5	1719	32	10	11	3	2	8	1	3076	8	3	17	10	12	16	6	6	5	868	143	13	9	4	11	11	37	16	5	769	5	31	790	16	24
A[Del(T):R(5,7)]C	567	933	3633	1087	1928	4427	1029	6	4	1	2	6	8	6	2	10	2	820	15	7	2	1	3	1	5	1253	3	5	10	7	3	7	6	6	5	364	78	10	6	4	4	1	15	6	4	301	5	16	278	14	9
A[Del(T):R(5,7)]G	910	1734	5842	1687	3478	7564	1676	9	3	3	3	4	6	3	5	7	2	1013	14	11	4	2	0	1	4	1730	4	4	8	12	3	6	6	4	3	503	39	7	3	3	2	2	10	7	3	466	6	12	487	13	6
C[Del(T):R(5,7)]A	720	1476	3657	1488	2942	3791	1263	4	5	1	3	4	10	5	1	1	3	827	7	3	2	0	6	1	1	1651	3	3	0	7	7	5	1	0	2	474	43	6	2	4	4	3	11	7	7	390	5	3	458	12	12
C[Del(T):R(5,7)]C	577	1134	2308	1290	2101	2487	1036	4	4	5	1	4	3	4	3	9	3	674	11	3	1	2	1	1	3	1406	1	5	8	8	1	0	0	5	1	403	16	5	4	4	5	5	7	2	3	266	3	7	338	6	4
