MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550
C[Del(T):R(5,7)]G	659	1397	2511	1394	2924	2644	1210	3	0	5	1	4	2	2	2	1	1	783	10	2	0	3	1	2	3	1359	2	3	9	6	2	3	3	1	4	376	12	5	4	1	4	1	7	3	3	321	8	11	437	7	8
G[Del(T):R(5,7)]A	498	759	4264	848	1452	4401	763	0	3	2	4	3	4	2	0	3	1	420	5	3	2	0	2	1	2	896	3	1	4	3	0	5	4	2	1	283	17	5	2	2	4	2	13	4	1	236	8	4	175	12	6
G[Del(T):R(5,7)]C	295	572	1904	692	1065	1957	591	0	0	3	3	4	5	3	0	4	4	457	5	2	1	1	2	0	2	685	1	1	8	1	4	4	5	3	0	213	12	5	4	2	2	4	3	1	2	156	1	5	178	9	2
G[Del(T):R(5,7)]G	391	644	2767	787	1333	2980	663	1	3	2	2	2	1	5	1	4	1	400	10	3	0	4	2	1	2	734	4	1	16	4	1	4	1	2	1	216	11	2	0	2	4	0	10	3	2	178	4	8	186	6	5
A[Del(T):R(8,)]A	2361	4306	7137	4866	8448	7479	4668	4	4	6	5	1	10	16	7	20	3	3211	19	7	3	5	3	1	6	4850	4	2	6	4	10	14	7	1	8	1205	87	10	11	2	4	4	31	11	2	1081	11	15	900	17	20
A[Del(T):R(8,)]C	1071	2198	2796	2574	4260	3091	2148	3	5	1	4	6	16	10	4	8	0	2087	20	5	5	2	1	3	5	2587	3	4	7	5	2	6	2	2	10	659	34	6	11	5	3	5	18	13	2	488	11	14	454	9	13
A[Del(T):R(8,)]G	1178	2858	3236	2980	5081	3285	2693	7	0	2	0	2	8	4	3	10	2	1871	12	2	0	0	2	1	2	2828	0	4	1	2	12	13	2	3	1	669	19	6	4	2	3	4	4	6	2	584	1	12	583	7	7
C[Del(T):R(8,)]A	1559	3565	3818	3227	6274	3177	3078	3	5	5	4	4	12	9	3	3	0	2069	8	4	1	3	2	1	8	2943	1	0	2	1	6	6	5	1	3	929	38	3	3	2	1	2	6	6	1	654	7	9	641	5	12
C[Del(T):R(8,)]C	1336	2878	2685	3264	5129	2428	2672	2	6	3	4	2	8	11	2	1	1	1935	8	2	4	3	2	1	1	2809	1	1	8	0	4	10	0	3	9	808	20	4	4	6	3	3	9	7	4	563	6	7	487	11	10
C[Del(T):R(8,)]G	1859	4510	3299	4199	7894	2565	3759	0	4	1	2	1	11	4	2	2	1	2192	11	2	2	2	0	1	6	3483	0	2	1	1	2	3	0	1	4	1003	8	2	3	3	2	3	8	11	1	780	4	8	885	5	7
G[Del(T):R(8,)]A	739	1550	1908	1902	2752	1836	1509	3	2	1	0	2	7	4	1	1	0	1029	5	0	3	0	2	2	2	1552	1	2	1	0	5	3	3	0	1	452	15	2	4	0	0	2	7	6	2	346	3	5	293	11	1
G[Del(T):R(8,)]C	538	1110	1130	1278	1988	1153	1038	1	1	2	2	0	5	6	0	3	0	884	5	0	0	0	1	0	2	1231	2	1	2	1	3	2	1	0	3	287	12	2	0	0	2	2	2	2	2	220	1	8	226	8	3
G[Del(T):R(8,)]G	630	1370	1320	1465	2364	1109	1216	1	1	0	3	1	4	2	2	3	0	755	4	0	0	0	2	1	1	1218	1	0	2	0	2	1	0	1	0	328	6	3	0	3	0	2	2	6	1	263	1	1	265	1	4
A[Ins(C):R0]A	5	7	9	9	13	14	8	0	1	0	0	0	2	0	2	3	4	24	0	2	1	1	0	2	1	25	1	0	2	0	2	1	1	0	1	13	72	1	3	2	0	1	0	0	0	1	1	2	1	6	1
A[Ins(C):R0]T	0	0	0	1	0	6	0	0	1	2	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Ins(C):R(0,3)	22	102	109	59	102	121	80	6	3	6	1	8	0	1	2	2	5	415	2	9	5	6	5	2	3	165	6	4	7	10	5	7	2	4	2	29	26	16	6	4	6	4	7	0	3	28	8	3	18	11	6
Ins(C):R(4,6)	238	436	591	313	637	689	390	6	2	2	15	5	1	4	3	0	4	1458	4	3	3	1	3	3	3	701	1	1	6	6	2	7	6	5	4	135	17	3	4	2	3	2	2	1	0	154	2	4	129	3	2
Ins(C):R(7,)	283	488	543	395	516	428	373	9	2	1	0	5	2	4	4	1	4	1194	2	3	0	2	1	2	3	708	1	3	0	4	5	6	3	1	3	147	5	0	2	3	2	3	0	5	1	139	1	2	92	4	4
A[Ins(T):R(0,4)]A	42	108	296	68	131	353	98	5	5	4	7	4	5	1	1	8	7	308	1	2	5	3	4	4	2	168	2	3	8	6	4	5	5	5	8	56	51	5	5	5	5	4	5	4	3	29	3	7	20	7	1
A[Ins(T):R(0,4)]C	31	47	222	22	72	256	44	3	0	4	1	5	3	2	0	1	5	176	3	0	0	0	1	0	2	66	2	2	0	1	0	1	3	2	3	24	15	2	1	2	1	3	3	2	2	15	3	1	22	3	3
A[Ins(T):R(0,4)]G	66	99	271	68	128	562	52	7	4	2	2	4	4	1	1	1	4	269	1	2	5	1	2	0	3	160	1	2	2	6	2	3	3	1	3	73	28	0	1	3	3	3	1	4	3	30	1	0	36	2	2
C[Ins(T):R(0,4)]A	18	37	269	22	37	395	31	2	2	6	4	3	2	1	3	1	1	127	1	2	2	1	2	2	0	41	4	1	2	2	1	0	2	3	1	24	37	0	2	0	4	2	0	2	0	16	1	3	9	5	2
C[Ins(T):R(0,4)]C	42	56	339	26	63	460	56	2	1	1	3	3	1	0	0	2	2	209	0	1	2	0	2	0	2	70	0	2	1	1	3	1	2	0	1	30	22	1	1	3	0	2	3	2	1	20	2	0	18	5	1
C[Ins(T):R(0,4)]G	72	102	282	41	122	418	81	4	4	4	2	1	2	1	0	0	4	367	5	1	2	1	3	0	2	87	0	1	0	3	2	0	1	3	3	73	24	0	4	0	1	2	1	1	1	41	3	4	38	3	3
G[Ins(T):R(0,4)]A	9	17	36	12	22	20	13	5	6	3	3	1	5	2	2	2	1	59	6	4	4	2	1	3	4	25	2	4	6	4	5	5	9	3	2	6	7	2	4	1	7	7	4	2	4	4	3	5	2	8	3
G[Ins(T):R(0,4)]C	8	14	36	11	17	40	12	2	2	1	0	1	0	1	0	0	3	49	1	0	3	1	0	1	1	29	1	1	1	2	1	3	0	0	0	13	1	2	2	0	1	0	0	0	0	9	0	2	3	1	0
G[Ins(T):R(0,4)]G	56	82	94	42	94	134	60	2	2	2	2	0	2	1	1	0	5	279	4	2	1	1	1	1	1	97	0	1	3	0	2	2	1	2	1	24	2	3	4	2	6	1	2	3	1	42	0	2	19	2	3
A[Ins(T):R(5,7)]A	404	684	6390	487	1047	4446	612	14	14	11	6	11	9	9	3	8	22	2152	10	8	9	3	19	6	14	1004	3	7	18	9	14	19	8	7	12	318	311	6	7	9	8	24	11	12	5	243	9	12	166	11	7
A[Ins(T):R(5,7)]C	315	521	3707	248	727	3080	376	13	13	7	9	11	8	7	13	6	14	1510	6	6	5	5	10	4	17	645	9	7	8	12	9	17	11	5	14	336	238	4	7	14	10	37	9	5	4	192	15	13	135	9	8
A[Ins(T):R(5,7)]G	506	719	3708	384	1111	2919	571	16	8	7	4	16	14	12	8	7	29	2275	4	10	5	10	10	4	9	933	7	5	11	10	16	17	6	5	9	387	120	2	7	13	9	26	11	12	5	262	5	14	194	10	13
C[Ins(T):R(5,7)]A	189	316	1856	203	439	1969	282	8	3	4	2	3	4	2	7	6	7	962	2	4	2	0	6	2	4	374	1	6	2	4	5	7	3	5	4	119	143	1	4	7	6	11	8	4	4	109	8	10	69	2	3
C[Ins(T):R(5,7)]C	190	264	1559	132	363	1830	193	13	6	8	1	10	7	5	6	5	16	879	6	8	1	2	6	3	15	379	2	3	2	6	10	14	4	1	9	179	93	1	3	7	7	17	8	3	2	84	4	7	73	7	5
C[Ins(T):R(5,7)]G	245	379	1362	216	548	1549	286	7	6	4	3	6	4	5	8	2	15	1141	4	4	5	2	3	1	6	470	1	3	4	3	8	12	6	5	3	202	40	2	6	8	7	19	6	5	4	137	2	7	87	9	3
G[Ins(T):R(5,7)]A	231	384	2317	254	572	1668	331	5	5	3	2	2	2	3	7	5	10	1172	1	4	2	2	6	3	2	487	1	2	3	1	7	6	2	0	5	161	176	2	2	4	2	13	5	3	3	149	8	4	76	3	3
G[Ins(T):R(5,7)]C	260	406	2072	167	499	1702	273	8	5	7	1	6	1	10	3	1	5	1111	4	4	3	2	5	1	5	445	2	7	4	3	3	10	5	5	9	221	133	5	3	8	4	8	7	2	3	143	4	6	91	7	6
G[Ins(T):R(5,7)]G	519	739	2210	354	989	1797	552	16	8	4	4	7	5	6	8	5	15	2140	4	9	10	2	6	4	8	889	3	8	8	8	10	10	4	6	12	371	60	2	7	5	5	18	3	6	7	238	8	9	149	11	7
A[Ins(T):R(8,)]A	391	780	2605	485	1002	1839	647	13	18	4	9	8	15	15	8	7	15	2292	7	11	3	7	10	2	11	1061	2	5	12	5	10	12	9	9	7	273	184	5	13	11	4	14	5	4	3	205	10	12	122	4	11
A[Ins(T):R(8,)]C	340	684	2701	381	754	2006	531	9	9	11	7	14	5	14	6	7	10	1725	5	15	6	5	8	5	11	870	5	5	8	6	17	16	7	4	6	243	205	2	15	6	9	16	9	11	8	200	6	9	101	5	9
A[Ins(T):R(8,)]G	385	716	1881	389	879	1264	556	8	14	6	6	10	7	10	3	7	7	1932	4	8	7	4	6	2	11	930	3	5	12	5	18	9	10	9	10	189	68	1	12	13	7	10	9	7	4	204	7	8	120	3	5
C[Ins(T):R(8,)]A	260	502	1399	332	558	1206	372	5	4	5	1	4	8	8	6	4	6	1422	2	2	5	2	2	0	5	677	1	7	7	7	11	6	1	8	6	171	52	3	5	7	5	11	5	1	4	138	5	4	88	4	6
C[Ins(T):R(8,)]C	301	501	2490	309	627	1983	403	5	10	2	2	7	1	4	1	3	8	1374	10	7	3	1	3	2	4	727	8	3	4	2	8	9	4	2	3	179	98	4	3	8	5	13	2	4	4	142	3	8	84	2	5
C[Ins(T):R(8,)]G	361	698	1898	437	708	1438	581	7	6	5	3	5	8	10	2	5	3	2142	6	10	9	3	3	3	11	1024	3	1	3	7	19	10	8	4	4	217	38	3	18	2	3	19	2	4	3	203	3	7	129	1	4
G[Ins(T):R(8,)]A	286	523	1113	277	628	737	381	4	5	1	2	4	4	5	2	2	8	1386	3	3	1	2	3	3	3	676	3	5	3	2	8	5	2	1	2	161	64	3	6	8	0	5	3	7	3	153	4	7	76	0	3
G[Ins(T):R(8,)]C	289	508	1391	241	540	1005	369	8	8	6	5	5	7	5	2	2	3	1182	3	4	4	1	8	3	10	577	1	2	4	6	9	3	0	8	4	131	91	5	9	4	2	3	2	4	1	130	4	1	65	0	6
G[Ins(T):R(8,)]G	358	690	1302	404	710	824	555	3	11	4	5	6	5	4	3	6	2	1776	3	8	5	0	5	2	7	952	6	5	4	4	6	5	6	2	6	182	49	0	7	11	4	8	7	1	4	186	5	7	99	4	2
Del(2,4):R1	34	94	86	66	195	85	90	12	6	13	10	7	6	5	6	10	4	73	14	13	10	3	12	4	2	104	11	3	19	21	9	7	13	12	7	39	13	10	6	9	9	13	12	13	10	32	15	21	17	19	15
Del(5,):R1	7	12	11	20	23	14	7	13	10	15	10	15	10	11	10	8	7	30	11	13	14	7	9	13	8	17	11	7	17	45	4	6	20	8	4	7	14	98	9	19	18	8	15	21	11	15	14	22	17	21	17
Del(2,8):U(1,2):R(2,4)	235	422	426	370	1024	431	442	28	14	19	17	15	14	15	15	21	11	166	30	16	7	12	11	11	10	390	7	16	19	23	18	12	18	12	15	245	37	14	11	13	16	10	23	32	20	164	28	26	162	26	28
Del(2,):U(1,2):R(5,)	541	1186	1334	1061	2928	1213	1030	6	3	5	3	3	5	3	4	2	3	440	4	7	7	1	2	2	4	871	3	4	4	4	2	11	10	5	4	416	8	4	2	2	4	6	10	3	6	277	6	5	211	10	7
Del(3,):U(3,):R2	119	210	182	176	537	153	224	18	18	25	13	15	9	11	18	14	12	77	56	12	11	10	12	10	18	190	18	12	40	31	12	15	8	6	19	151	26	19	26	13	13	14	20	33	13	97	20	25	105	41	31
Del(3,):U(3,):R(3,)	99	196	175	183	445	148	197	11	7	19	10	4	4	9	6	7	5	61	15	17	9	6	4	7	4	205	9	8	8	5	8	12	30	6	4	89	5	6	5	3	3	6	8	10	13	77	5	14	69	25	16
Ins(2,4):R0	15	52	63	28	49	57	41	6	3	2	3	6	2	2	0	2	18	158	3	2	2	1	3	5	1	61	1	3	2	1	2	2	2	3	4	11	34	4	2	0	3	3	5	1	1	8	5	2	5	4	4
Ins(5,):R0	4	7	14	13	16	11	9	2	0	3	3	3	3	2	3	0	3	36	1	3	1	1	2	1	1	17	0	0	1	2	0	0	2	3	0	6	17	5	1	3	8	4	2	2	0	1	2	2	5	6	1
Ins(2,4):R1	8	31	20	7	20	12	24	4	4	8	2	0	1	4	2	3	8	65	4	2	1	7	5	2	4	21	6	7	7	5	5	4	6	4	7	6	8	3	3	5	6	7	3	2	1	9	3	6	7	14	2
Ins(5,):R1	5	6	12	5	15	5	8	8	1	18	5	5	4	2	7	3	2	13	12	9	6	5	13	4	10	26	4	6	10	7	6	2	5	7	7	2	16	8	9	2	9	6	6	5	8	8	4	7	1	8	2
Ins(2,):R(2,4)	116	224	283	146	283	271	176	5	5	7	4	3	6	5	4	5	6	592	1	7	5	4	2	3	5	289	3	4	4	8	10	4	4	7	17	50	32	2	3	2	6	9	6	6	4	61	1	9	52	11	6
Ins(2,):R(5,)	660	1185	1654	738	1645	1387	993	7	14	6	2	10	7	12	2	9	5	3713	4	6	6	6	6	1	10	1657	6	7	7	6	17	2	3	8	9	209	60	2	11	16	5	5	7	7	2	333	9	9	191	9	11
Del(2,5):M1	52	98	95	83	226	94	83	5	2	16	8	11	5	7	11	13	11	89	23	8	11	6	9	8	11	97	12	6	13	16	15	4	17	9	12	71	15	11	17	8	13	8	17	13	13	47	15	16	50	22	14
Del(3,5):M2	79	120	99	95	292	83	132	9	8	13	7	3	13	8	8	15	4	58	34	10	11	9	8	15	19	116	6	9	13	23	12	9	10	12	14	80	22	12	10	9	8	9	20	17	3	54	13	17	50	18	18
Del(4,5):M(3,4)	33	47	31	37	102	32	40	8	4	10	8	6	5	5	5	9	10	32	17	3	5	3	3	8	5	43	3	0	7	16	9	2	7	4	2	22	6	7	6	5	1	6	7	10	6	16	9	9	23	9	15
Del(6,):M1	6	13	14	16	15	10	6	14	6	12	10	11	5	8	6	15	7	16	12	4	10	8	4	10	4	13	5	2	19	67	7	5	13	13	2	15	9	157	5	14	6	17	7	7	13	15	6	15	6	20	10
Del(6,):M2	7	11	6	10	13	9	12	15	3	7	11	10	5	3	3	11	7	7	25	9	5	15	5	4	5	7	8	8	28	100	4	3	9	13	5	10	7	173	5	6	6	8	17	9	6	8	11	8	2	17	19
Del(6,):M3	5	6	8	8	2	6	5	3	1	7	5	10	1	2	2	8	5	11	13	7	5	0	3	4	3	5	2	7	24	80	1	4	12	5	1	5	3	113	10	7	4	5	11	10	3	6	6	9	1	13	15
Del(6,):M(4,)	5	16	7	10	11	8	9	5	5	8	7	14	5	5	3	10	6	17	15	9	3	7	0	6	1	9	2	3	17	101	5	6	12	5	4	3	4	106	4	6	9	4	12	7	0	1	6	5	5	12	12
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
