MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003
[Del(C):R1]A	30	0	11	15	6	14	34	9	15	31	7	133	9	17	22	12	3	4	11	5	9	4	3	77	5	11	5	7	1	4	1	0	8	23	13	4	1	7	35	98	29	2	8	7	7	8	6	3	0	2	11	5	3	4	3	14	5
[Del(C):R1]T	29	0	9	12	4	19	46	8	14	45	7	106	18	39	37	16	4	7	9	8	20	8	5	70	9	24	2	17	5	7	2	0	9	39	14	5	4	18	41	70	38	3	4	1	7	9	10	2	0	8	13	2	4	7	9	8	8
[Del(C):R2]A	30	2	4	17	7	3	28	2	8	13	4	294	5	13	7	17	2	2	2	4	20	3	3	165	2	9	2	6	2	3	3	0	6	8	7	6	1	7	18	173	28	1	3	3	5	6	6	1	0	3	3	1	2	2	8	7	2
[Del(C):R2]T	21	1	8	6	1	6	23	6	10	13	2	206	7	16	10	16	1	5	3	3	11	3	6	124	2	11	5	6	4	2	0	1	11	14	8	6	5	3	14	132	27	2	4	1	8	7	3	3	0	2	4	2	0	2	6	7	0
[Del(C):R3]A	34	1	6	4	4	3	24	3	8	12	1	266	4	13	7	22	0	3	2	0	10	0	1	154	5	7	0	1	0	1	0	0	5	9	4	1	3	2	5	195	16	1	1	4	7	1	3	0	1	3	3	0	2	5	2	3	1
[Del(C):R3]T	21	1	2	6	5	4	18	1	6	8	4	137	3	7	6	6	0	3	2	3	5	0	1	85	2	5	0	3	0	2	0	0	1	6	3	2	2	2	4	102	4	3	2	1	8	2	2	1	0	1	1	1	0	2	3	2	1
[Del(C):R(4,5)]A	33	0	5	6	5	6	12	1	3	5	3	175	4	22	6	14	0	3	4	1	13	4	1	104	6	13	3	5	3	3	2	0	2	11	6	4	2	4	5	95	12	1	0	1	5	4	4	1	0	1	3	1	0	4	4	2	3
[Del(C):R(4,5)]T	16	2	5	0	3	4	8	5	4	10	2	81	3	8	5	11	0	2	4	3	8	0	0	71	2	6	2	1	1	1	2	0	4	5	3	1	3	3	5	74	12	1	1	2	3	3	4	1	0	0	1	0	0	0	2	0	1
[Del(C):R(1,5)]G	24	1	3	7	7	4	20	3	5	10	3	174	2	7	2	12	1	2	5	1	12	2	0	83	3	5	2	5	2	1	1	0	2	10	4	2	2	3	3	128	14	2	3	5	5	2	3	0	0	2	5	2	2	0	3	4	5
Del(C):R(6,9)	16	2	3	2	7	5	8	5	5	7	0	76	7	5	4	4	0	1	0	4	7	1	6	53	7	5	1	4	2	4	1	0	6	4	1	4	4	4	0	48	10	2	1	1	4	4	5	1	0	3	12	0	2	5	6	6	2
