MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287
[Del(C):R1]A	1	0	0	35	3	86	133	0	3	9	3	3	6	0	4	2	0	3	0	16	0	11	5	5	2	6	11	0	9	0	6	15	6	0	3	0	2	8	9	5	9	25	30	5	13	10	3	34	15	20	6	3	10	9	6	5	16	78	47	14	4	6	7	5	7	12	112	2	12	12	14	2	4	21	8
[Del(C):R1]T	0	1	1	18	3	55	45	0	4	15	1	14	11	4	5	2	0	8	0	13	0	10	6	4	7	20	12	2	13	0	5	29	5	0	10	1	2	8	17	8	5	48	29	10	26	7	5	38	24	39	10	11	12	18	9	18	24	39	135	18	9	5	7	20	4	16	45	20	40	33	23	14	13	26	14
[Del(C):R2]A	0	1	0	25	2	26	68	0	2	7	1	2	5	1	3	0	0	5	0	1	0	10	0	2	3	6	2	1	7	0	4	6	3	0	8	2	1	2	4	3	5	20	11	2	5	2	2	20	3	13	3	3	7	2	3	5	11	30	28	10	6	5	3	5	5	4	64	2	8	7	4	3	0	5	8
[Del(C):R2]T	0	1	0	16	4	35	72	0	2	7	0	4	5	3	3	0	0	6	0	4	0	5	1	2	6	6	6	0	8	0	5	12	3	0	1	0	2	8	14	6	4	20	16	7	10	5	4	23	7	12	7	1	6	11	5	7	12	29	70	11	3	7	7	4	2	6	56	7	14	14	12	5	2	10	10
[Del(C):R3]A	0	0	0	26	0	60	99	0	1	3	0	4	3	1	0	1	0	5	0	0	0	5	2	2	1	0	3	0	3	0	2	3	4	0	2	0	0	1	5	0	4	13	9	0	6	1	1	34	5	8	2	3	6	10	2	2	8	69	27	5	5	4	5	2	2	2	117	3	10	4	7	1	3	5	1
[Del(C):R3]T	0	0	0	36	1	49	71	0	1	2	1	5	3	0	0	1	0	0	0	1	0	3	1	0	0	2	4	0	9	0	2	2	1	0	1	0	0	2	1	3	1	8	8	0	4	3	0	32	4	5	3	2	2	2	0	4	5	68	19	2	4	4	0	3	3	6	91	1	4	3	5	1	2	4	2
[Del(C):R(4,5)]A	0	0	0	451	0	657	1220	0	0	4	0	12	8	4	2	2	0	4	0	4	0	7	1	1	1	2	4	2	7	0	1	4	0	0	0	0	1	1	10	4	1	16	20	4	9	2	2	421	6	12	3	13	4	7	3	7	9	939	14	8	7	4	3	1	4	4	1546	6	6	11	7	3	2	8	3
[Del(C):R(4,5)]T	0	0	0	380	1	676	1338	0	0	4	0	4	4	1	0	1	0	1	0	3	0	3	0	2	0	1	2	1	2	0	0	2	3	0	1	0	0	2	7	2	2	17	10	1	8	2	1	368	5	6	3	7	6	8	4	6	3	911	22	4	2	1	3	3	3	0	1205	1	5	7	3	4	1	5	1
[Del(C):R(1,5)]G	0	0	0	137	1	311	486	0	3	3	1	2	2	1	2	0	0	3	0	3	0	2	1	1	0	1	2	0	4	0	2	2	1	0	4	0	1	1	3	1	8	12	10	2	5	3	1	137	4	7	3	9	4	8	1	4	6	309	18	4	3	4	4	3	2	5	509	2	6	7	4	0	2	5	2
Del(C):R(6,9)	0	0	0	1722	0	3774	5268	0	1	9	0	14	3	2	4	2	0	3	0	7	0	6	0	3	0	2	8	0	4	0	2	5	1	0	2	1	1	2	36	7	3	11	24	7	14	8	1	1764	8	3	13	39	27	3	1	9	10	4469	6	17	2	8	10	2	6	9	4713	7	2	20	14	2	8	17	10
