MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
[Del(C):R1]A	1	0	0	35	3	86	133	0	3	9	3	3	6	0	4	2	0	3	0	16	0	11	5	5	2	6	11	0	9	0	6	15	6	0	3	0	2	8	9	5	9	25	30	5	13	10	3	34	15	20	6	3	10	9	6	5	16	78	47	14	4	6	7	5	7	12	112	2	12	12	14	2	4	21	8	4	5	22	15	14	10	6	11	12	18	26	10	122	12	7	5	170	9	15	25	28	5	36	12	20	3	10	19	25	5	11	239	15	13	22	22	12	22	25	7	13	12	29	3
[Del(C):R1]T	0	1	1	18	3	55	45	0	4	15	1	14	11	4	5	2	0	8	0	13	0	10	6	4	7	20	12	2	13	0	5	29	5	0	10	1	2	8	17	8	5	48	29	10	26	7	5	38	24	39	10	11	12	18	9	18	24	39	135	18	9	5	7	20	4	16	45	20	40	33	23	14	13	26	14	5	14	24	12	28	15	6	10	14	26	44	6	124	23	10	18	124	14	23	70	42	12	69	11	16	3	7	54	26	9	8	228	36	22	34	20	22	26	36	22	20	17	53	21
[Del(C):R2]A	0	1	0	25	2	26	68	0	2	7	1	2	5	1	3	0	0	5	0	1	0	10	0	2	3	6	2	1	7	0	4	6	3	0	8	2	1	2	4	3	5	20	11	2	5	2	2	20	3	13	3	3	7	2	3	5	11	30	28	10	6	5	3	5	5	4	64	2	8	7	4	3	0	5	8	3	6	8	1	13	4	1	4	4	8	18	2	47	13	9	3	42	4	5	23	9	4	9	4	10	1	4	10	3	5	6	93	11	4	21	5	6	11	7	2	6	9	11	4
[Del(C):R2]T	0	1	0	16	4	35	72	0	2	7	0	4	5	3	3	0	0	6	0	4	0	5	1	2	6	6	6	0	8	0	5	12	3	0	1	0	2	8	14	6	4	20	16	7	10	5	4	23	7	12	7	1	6	11	5	7	12	29	70	11	3	7	7	4	2	6	56	7	14	14	12	5	2	10	10	4	6	4	9	9	3	4	9	7	10	20	3	54	10	2	15	91	4	11	33	18	5	18	8	7	1	12	12	16	5	10	71	11	7	17	17	17	13	17	10	6	11	19	6
[Del(C):R3]A	0	0	0	26	0	60	99	0	1	3	0	4	3	1	0	1	0	5	0	0	0	5	2	2	1	0	3	0	3	0	2	3	4	0	2	0	0	1	5	0	4	13	9	0	6	1	1	34	5	8	2	3	6	10	2	2	8	69	27	5	5	4	5	2	2	2	117	3	10	4	7	1	3	5	1	2	2	4	6	7	6	0	5	3	11	8	2	56	2	4	3	32	5	5	14	7	6	5	3	4	0	3	16	8	4	3	89	4	4	9	10	8	9	12	3	4	6	9	4
[Del(C):R3]T	0	0	0	36	1	49	71	0	1	2	1	5	3	0	0	1	0	0	0	1	0	3	1	0	0	2	4	0	9	0	2	2	1	0	1	0	0	2	1	3	1	8	8	0	4	3	0	32	4	5	3	2	2	2	0	4	5	68	19	2	4	4	0	3	3	6	91	1	4	3	5	1	2	4	2	0	1	3	5	6	1	0	1	4	4	6	4	47	3	2	2	44	3	1	14	9	3	10	7	4	0	2	5	4	1	6	67	4	7	5	5	3	5	8	3	4	5	5	2
[Del(C):R(4,5)]A	0	0	0	451	0	657	1220	0	0	4	0	12	8	4	2	2	0	4	0	4	0	7	1	1	1	2	4	2	7	0	1	4	0	0	0	0	1	1	10	4	1	16	20	4	9	2	2	421	6	12	3	13	4	7	3	7	9	939	14	8	7	4	3	1	4	4	1546	6	6	11	7	3	2	8	3	2	3	10	4	7	5	4	5	7	9	9	3	498	4	2	9	158	5	7	13	17	3	10	5	6	0	4	12	7	3	4	838	16	3	9	6	2	9	2	0	8	11	7	0
[Del(C):R(4,5)]T	0	0	0	380	1	676	1338	0	0	4	0	4	4	1	0	1	0	1	0	3	0	3	0	2	0	1	2	1	2	0	0	2	3	0	1	0	0	2	7	2	2	17	10	1	8	2	1	368	5	6	3	7	6	8	4	6	3	911	22	4	2	1	3	3	3	0	1205	1	5	7	3	4	1	5	1	1	0	3	3	4	0	1	2	5	4	6	4	403	4	2	3	233	4	5	9	5	3	5	3	5	0	1	12	3	3	2	796	5	1	7	7	3	3	8	2	3	3	8	5
[Del(C):R(1,5)]G	0	0	0	137	1	311	486	0	3	3	1	2	2	1	2	0	0	3	0	3	0	2	1	1	0	1	2	0	4	0	2	2	1	0	4	0	1	1	3	1	8	12	10	2	5	3	1	137	4	7	3	9	4	8	1	4	6	309	18	4	3	4	4	3	2	5	509	2	6	7	4	0	2	5	2	0	1	11	1	6	6	5	6	6	8	8	2	192	7	3	4	115	4	3	13	10	5	5	1	9	0	2	5	7	0	5	302	11	3	9	4	4	3	5	1	5	7	9	3
Del(C):R(6,9)	0	0	0	1722	0	3774	5268	0	1	9	0	14	3	2	4	2	0	3	0	7	0	6	0	3	0	2	8	0	4	0	2	5	1	0	2	1	1	2	36	7	3	11	24	7	14	8	1	1764	8	3	13	39	27	3	1	9	10	4469	6	17	2	8	10	2	6	9	4713	7	2	20	14	2	8	17	10	1	8	31	18	19	19	2	14	15	13	18	8	2758	19	6	8	1821	13	19	23	23	14	23	15	29	3	5	37	19	11	4	3956	35	7	10	15	6	20	23	4	17	15	19	9
A[Del(T):R(1,4)]A	0	1	1	221	11	294	321	1	3	12	1	15	12	4	4	0	0	4	0	15	1	9	4	4	4	4	12	0	16	0	10	18	5	0	2	1	2	8	29	5	6	45	36	10	18	9	1	177	20	16	19	5	10	12	5	21	35	360	62	19	2	16	7	9	10	19	442	7	19	38	19	5	6	40	17	3	11	20	14	12	13	6	14	26	30	27	4	377	20	11	19	320	13	22	37	37	15	28	10	20	2	15	38	32	10	10	734	27	13	23	17	24	40	42	15	23	25	31	10
A[Del(T):R(1,4)]C	0	2	1	110	6	188	221	0	0	5	2	10	6	2	6	0	0	4	0	8	0	4	3	5	5	4	9	0	9	0	3	8	2	0	2	1	0	5	15	5	1	24	22	1	8	4	2	107	17	13	5	6	9	8	4	12	23	165	24	5	5	7	5	7	11	12	257	4	8	30	9	5	0	24	4	2	2	13	9	5	3	4	7	9	5	13	1	155	13	2	11	113	1	2	15	18	9	18	3	10	1	3	24	12	5	2	351	4	7	11	10	4	9	8	5	11	5	7	6
A[Del(T):R(1,4)]G	0	0	0	103	4	154	178	2	2	3	2	6	4	0	3	1	1	2	0	7	0	4	1	5	2	4	7	0	10	0	8	7	1	0	0	2	1	3	16	7	2	24	12	6	9	4	1	99	8	12	8	5	5	11	2	8	15	185	38	11	5	5	0	4	9	11	215	5	8	17	7	7	1	14	9	5	1	9	10	7	5	3	1	4	11	16	2	132	8	11	7	114	4	5	16	11	6	13	12	8	0	5	14	16	5	3	308	10	8	9	9	8	7	17	7	7	4	12	5
C[Del(T):R(1,4)]A	0	1	0	153	4	210	214	1	2	3	1	4	10	3	3	1	0	0	0	11	0	6	1	3	3	3	8	0	6	0	4	10	2	0	1	0	1	5	17	2	1	28	38	7	12	4	3	142	14	14	8	5	9	5	8	10	13	229	32	9	6	10	7	6	3	16	329	4	13	22	9	6	4	19	9	1	3	13	16	7	8	3	9	9	14	17	7	170	14	8	20	127	10	10	17	25	8	13	8	9	1	6	16	11	5	7	581	10	4	8	13	11	16	20	9	12	16	16	14
C[Del(T):R(1,4)]C	0	1	1	162	6	274	296	1	1	10	1	7	11	4	1	1	0	2	0	10	0	4	6	4	0	8	8	1	5	0	3	7	4	0	4	0	0	3	14	5	6	25	13	3	15	4	3	178	8	14	7	13	7	4	2	16	14	300	37	8	1	6	6	4	1	6	380	5	8	26	8	2	0	16	11	5	5	14	8	10	3	8	4	9	18	19	6	192	11	9	8	124	5	11	28	23	10	12	6	10	2	7	26	14	2	9	553	18	10	11	9	7	14	16	8	8	11	19	5
C[Del(T):R(1,4)]G	0	0	1	123	4	162	185	0	0	1	0	3	7	2	2	2	0	4	0	5	0	3	4	2	1	7	7	1	9	0	4	10	0	0	3	0	0	1	15	3	6	28	21	7	10	6	4	125	13	17	4	5	10	6	8	11	13	223	45	9	6	10	5	7	3	8	284	11	10	11	7	11	2	18	13	0	3	19	3	7	5	1	4	10	12	10	6	127	20	9	3	58	6	6	16	15	13	15	5	9	1	5	10	9	1	3	458	14	2	16	11	13	9	21	9	10	10	13	12
G[Del(T):R(1,4)]A	0	1	0	131	12	151	321	0	2	6	1	7	22	2	4	0	0	2	0	4	0	4	4	0	5	8	8	1	13	0	11	5	0	0	1	1	1	1	20	2	3	51	34	2	8	4	5	188	19	9	7	6	4	6	3	21	22	231	31	10	6	6	6	7	4	15	357	7	9	66	12	5	3	19	5	1	7	27	3	9	5	3	9	14	23	22	2	174	12	3	14	67	2	17	25	22	19	11	4	9	3	4	20	21	4	4	399	10	10	13	27	6	13	21	12	16	27	16	15
