MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
[Del(C):R1]A	32	8	10	18	4	11	2	8	25	13	14	12	8	6	27	0	3	8	18	8	3	5	110	6	3	9	6	4	3	16	28	3	1	6	16
[Del(C):R1]T	95	16	22	35	4	8	10	17	68	31	29	17	2	6	16	0	1	3	21	8	0	4	84	27	3	7	3	2	2	13	13	7	2	3	8
[Del(C):R2]A	34	5	2	17	3	11	7	6	17	6	4	17	7	11	34	0	0	3	7	4	0	1	81	2	2	4	2	1	2	21	12	4	1	4	46
[Del(C):R2]T	37	8	4	14	3	7	6	2	14	19	11	10	4	9	18	0	1	4	6	5	0	3	92	7	0	6	0	1	4	10	7	6	5	8	12
[Del(C):R3]A	20	0	4	5	0	6	3	2	5	10	7	9	5	10	31	0	3	4	2	3	0	0	139	3	3	3	2	5	1	21	6	1	0	2	30
[Del(C):R3]T	13	2	3	4	0	6	2	2	4	5	4	7	2	4	9	0	0	2	1	3	1	0	103	1	1	1	1	0	0	7	8	2	1	0	9
[Del(C):R(4,5)]A	15	6	0	8	0	6	7	3	7	2	4	11	0	4	20	0	13	2	11	5	0	2	1240	4	1	4	2	1	0	4	5	2	1	1	27
[Del(C):R(4,5)]T	11	1	1	4	2	6	3	2	6	5	1	7	1	2	16	1	18	2	2	3	0	2	1054	4	1	2	0	1	0	5	1	1	1	1	11
[Del(C):R(1,5)]G	24	4	2	16	2	9	3	5	3	12	4	7	3	0	13	1	7	4	4	5	0	1	396	1	1	3	6	0	1	6	4	1	0	0	11
Del(C):R(6,9)	12	5	2	5	1	2	0	2	18	4	2	9	0	1	7	0	45	1	0	2	0	1	4401	0	0	3	2	0	0	1	2	2	1	0	6
A[Del(T):R(1,4)]A	18	8	4	16	5	16	4	8	21	18	11	15	7	8	26	0	10	5	6	18	2	7	541	8	4	4	5	0	6	18	11	10	0	3	22
A[Del(T):R(1,4)]C	4	3	6	3	3	8	2	3	4	11	4	15	5	12	9	0	9	9	6	9	1	1	280	1	5	5	5	1	3	14	13	2	1	3	18
A[Del(T):R(1,4)]G	9	8	4	8	2	12	3	5	15	5	2	8	4	10	12	0	2	2	8	6	0	2	251	5	1	4	4	3	2	13	9	4	1	1	11
C[Del(T):R(1,4)]A	15	8	3	7	2	11	3	6	7	6	9	3	2	7	15	1	9	6	9	14	1	3	328	4	6	7	3	1	5	9	13	4	2	3	17
C[Del(T):R(1,4)]C	8	3	3	3	0	14	2	4	6	6	6	4	1	5	14	0	11	5	6	4	0	3	353	8	2	3	1	0	2	10	8	2	1	3	16
C[Del(T):R(1,4)]G	9	2	1	10	2	17	2	10	11	7	7	13	3	9	16	0	4	1	11	8	1	8	270	2	3	3	2	0	3	22	10	5	5	3	21
G[Del(T):R(1,4)]A	4	2	2	4	1	14	7	3	6	5	4	10	2	3	12	0	5	0	7	7	0	3	271	5	1	4	1	0	1	7	9	1	0	3	5
