MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
Ins(C):R(4,6)	238	436	591	313	637	689	390	6	2	2	15	5	1	4	3	0	4	1458	4	3	3	1	3	3	3	701	1	1	6	6	2	7	6	5	4	135	17	3	4	2	3	2	2	1	0	154	2	4	129	3	2	3	8	7	17	4	4	4	95	5	8	8	4	6	8	292	3	12	5	8	11	7	6	6	5	142	2	6	3	4	6	4	3	3	5	5	12	6	3	40	106	5	9	6	2	3	21	5	7	7	317	4	0	2	2	2	2	8	3	5	6	3	4	5	5	356	8	8	637	7	425	7
Ins(C):R(7,)	283	488	543	395	516	428	373	9	2	1	0	5	2	4	4	1	4	1194	2	3	0	2	1	2	3	708	1	3	0	4	5	6	3	1	3	147	5	0	2	3	2	3	0	5	1	139	1	2	92	4	4	3	9	14	4	11	5	8	141	7	3	6	5	12	11	276	7	11	17	9	15	10	9	1	7	237	4	1	3	7	17	3	4	2	2	6	9	5	2	5	173	0	8	5	3	8	11	8	6	10	372	10	2	4	8	2	5	8	6	18	8	1	5	2	10	414	8	5	765	9	340	11
A[Ins(T):R(0,4)]A	42	108	296	68	131	353	98	5	5	4	7	4	5	1	1	8	7	308	1	2	5	3	4	4	2	168	2	3	8	6	4	5	5	5	8	56	51	5	5	5	5	4	5	4	3	29	3	7	20	7	1	7	9	7	3	8	7	14	39	7	4	4	5	10	18	128	11	15	2	12	10	8	7	3	15	39	8	5	2	8	18	8	14	1	6	25	11	9	6	2	45	10	20	9	4	8	8	23	5	16	109	6	4	3	4	5	4	5	20	18	9	8	6	5	6	130	9	12	199	6	89	8
A[Ins(T):R(0,4)]C	31	47	222	22	72	256	44	3	0	4	1	5	3	2	0	1	5	176	3	0	0	0	1	0	2	66	2	2	0	1	0	1	3	2	3	24	15	2	1	2	1	3	3	2	2	15	3	1	22	3	3	0	4	1	2	4	2	1	12	1	2	0	3	2	4	62	1	3	5	2	4	3	0	2	1	18	1	2	2	2	3	1	2	2	1	12	1	1	2	2	13	4	12	3	1	3	3	12	2	1	30	4	1	2	1	1	1	1	4	1	1	3	3	3	0	45	6	8	81	2	48	3
A[Ins(T):R(0,4)]G	66	99	271	68	128	562	52	7	4	2	2	4	4	1	1	1	4	269	1	2	5	1	2	0	3	160	1	2	2	6	2	3	3	1	3	73	28	0	1	3	3	3	1	4	3	30	1	0	36	2	2	3	3	2	4	5	4	6	18	7	2	5	3	6	13	109	1	6	4	1	0	1	0	1	4	24	1	1	1	3	6	0	1	0	6	11	3	3	1	1	34	1	14	2	3	0	10	10	3	3	72	7	2	3	1	1	2	3	3	5	0	3	2	2	6	102	5	7	152	2	103	8
C[Ins(T):R(0,4)]A	18	37	269	22	37	395	31	2	2	6	4	3	2	1	3	1	1	127	1	2	2	1	2	2	0	41	4	1	2	2	1	0	2	3	1	24	37	0	2	0	4	2	0	2	0	16	1	3	9	5	2	0	4	4	1	2	4	1	8	1	2	3	1	8	3	48	0	4	3	2	7	1	2	4	3	19	0	2	0	7	7	2	3	1	3	6	5	3	2	2	15	10	6	2	0	4	7	6	3	5	38	2	3	0	0	0	2	7	1	2	2	2	4	2	3	32	3	8	57	2	28	1
C[Ins(T):R(0,4)]C	42	56	339	26	63	460	56	2	1	1	3	3	1	0	0	2	2	209	0	1	2	0	2	0	2	70	0	2	1	1	3	1	2	0	1	30	22	1	1	3	0	2	3	2	1	20	2	0	18	5	1	3	3	3	11	3	3	1	16	5	0	5	4	2	5	70	7	13	3	4	4	1	5	0	3	17	5	1	7	6	3	3	7	4	2	10	5	3	0	6	21	4	10	4	1	3	17	8	4	2	54	5	0	2	5	4	2	2	7	3	2	2	3	2	3	53	1	2	107	4	50	4
C[Ins(T):R(0,4)]G	72	102	282	41	122	418	81	4	4	4	2	1	2	1	0	0	4	367	5	1	2	1	3	0	2	87	0	1	0	3	2	0	1	3	3	73	24	0	4	0	1	2	1	1	1	41	3	4	38	3	3	1	1	4	3	4	6	2	15	3	4	1	4	1	5	114	0	7	10	2	4	1	2	0	4	26	0	1	4	5	6	3	1	2	1	6	2	7	2	1	19	8	5	1	1	2	3	5	2	4	76	3	1	4	3	2	1	3	5	0	2	1	3	3	5	64	1	9	144	0	109	6
G[Ins(T):R(0,4)]A	9	17	36	12	22	20	13	5	6	3	3	1	5	2	2	2	1	59	6	4	4	2	1	3	4	25	2	4	6	4	5	5	9	3	2	6	7	2	4	1	7	7	4	2	4	4	3	5	2	8	3	3	5	2	26	9	7	5	9	4	7	4	6	8	4	15	7	23	22	1	3	3	0	1	7	13	6	3	1	9	7	5	9	3	4	8	5	10	4	3	9	6	3	8	3	3	34	7	3	3	23	4	5	2	5	6	1	9	4	3	4	8	3	2	10	15	7	33	34	5	19	25
G[Ins(T):R(0,4)]C	8	14	36	11	17	40	12	2	2	1	0	1	0	1	0	0	3	49	1	0	3	1	0	1	1	29	1	1	1	2	1	3	0	0	0	13	1	2	2	0	1	0	0	0	0	9	0	2	3	1	0	0	1	0	1	6	7	1	2	1	0	7	3	2	0	19	3	12	32	1	2	1	1	0	9	3	4	0	2	1	2	0	1	3	1	4	1	5	0	3	7	3	2	5	4	0	5	4	4	2	13	7	1	0	1	0	0	10	5	1	3	5	3	2	10	20	4	47	32	0	20	15
