MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
A[Ins(T):R(8,)]A	391	780	2605	485	1002	1839	647	13	18	4	9	8	15	15	8	7	15	2292	7	11	3	7	10	2	11	1061	2	5	12	5	10	12	9	9	7	273	184	5	13	11	4	14	5	4	3	205	10	12	122	4	11	8	40	19	6	20	12	22	155	7	7	12	10	29	43	569	22	42	10	20	46	25	12	14	16	235	13	3	11	15	38	12	14	4	11	32	40	14	8	3	260	2	44	17	7	12	16	33	17	29	535	22	5	12	7	13	7	10	18	51	15	17	8	10	18	446	13	8	1092	25	427	18
A[Ins(T):R(8,)]C	340	684	2701	381	754	2006	531	9	9	11	7	14	5	14	6	7	10	1725	5	15	6	5	8	5	11	870	5	5	8	6	17	16	7	4	6	243	205	2	15	6	9	16	9	11	8	200	6	9	101	5	9	11	41	19	7	23	16	18	108	14	8	20	8	18	41	462	13	30	12	20	24	8	19	10	11	206	11	3	16	25	44	10	21	4	11	20	23	13	8	5	181	1	38	9	7	6	24	18	19	27	434	29	5	10	4	5	7	9	14	42	19	10	5	7	11	402	12	10	947	23	392	13
A[Ins(T):R(8,)]G	385	716	1881	389	879	1264	556	8	14	6	6	10	7	10	3	7	7	1932	4	8	7	4	6	2	11	930	3	5	12	5	18	9	10	9	10	189	68	1	12	13	7	10	9	7	4	204	7	8	120	3	5	9	33	23	3	17	11	14	171	16	7	20	4	25	52	444	11	26	15	9	37	13	21	10	16	184	7	2	13	13	41	15	18	4	9	13	22	17	3	6	234	2	36	10	6	10	13	15	19	37	485	19	4	7	1	11	5	14	8	41	11	11	9	10	6	414	9	2	1035	17	442	11
C[Ins(T):R(8,)]A	260	502	1399	332	558	1206	372	5	4	5	1	4	8	8	6	4	6	1422	2	2	5	2	2	0	5	677	1	7	7	7	11	6	1	8	6	171	52	3	5	7	5	11	5	1	4	138	5	4	88	4	6	9	21	13	1	5	10	13	90	2	1	12	6	17	21	289	13	22	8	13	25	6	15	7	8	146	7	4	9	11	20	8	5	1	1	7	27	8	4	1	174	3	21	5	2	2	12	10	8	16	258	10	4	3	3	5	1	5	11	23	5	4	3	4	7	272	6	4	679	12	288	6
C[Ins(T):R(8,)]C	301	501	2490	309	627	1983	403	5	10	2	2	7	1	4	1	3	8	1374	10	7	3	1	3	2	4	727	8	3	4	2	8	9	4	2	3	179	98	4	3	8	5	13	2	4	4	142	3	8	84	2	5	6	20	12	3	7	6	11	98	11	7	10	3	16	24	309	9	15	8	7	28	7	9	5	4	172	7	5	6	4	25	16	10	2	5	11	18	7	2	1	177	4	20	6	3	6	4	12	11	21	249	12	3	5	3	3	5	8	14	22	7	6	3	3	9	308	1	6	733	10	325	9
C[Ins(T):R(8,)]G	361	698	1898	437	708	1438	581	7	6	5	3	5	8	10	2	5	3	2142	6	10	9	3	3	3	11	1024	3	1	3	7	19	10	8	4	4	217	38	3	18	2	3	19	2	4	3	203	3	7	129	1	4	5	29	18	5	11	14	7	173	12	6	15	2	24	24	362	6	23	5	9	17	3	16	12	15	220	4	2	11	11	27	8	11	3	5	16	18	6	5	3	278	2	27	11	7	10	11	17	16	21	343	17	3	10	2	7	4	8	6	37	10	11	1	3	4	355	5	6	916	8	423	11
G[Ins(T):R(8,)]A	286	523	1113	277	628	737	381	4	5	1	2	4	4	5	2	2	8	1386	3	3	1	2	3	3	3	676	3	5	3	2	8	5	2	1	2	161	64	3	6	8	0	5	3	7	3	153	4	7	76	0	3	2	13	9	2	3	8	3	74	2	2	7	3	9	14	319	12	14	5	9	19	9	11	4	5	167	9	2	9	13	21	4	6	2	4	10	22	9	0	2	165	2	16	4	5	12	14	10	14	7	308	10	6	11	4	3	3	13	8	21	14	4	1	6	9	318	4	8	671	11	298	8
G[Ins(T):R(8,)]C	289	508	1391	241	540	1005	369	8	8	6	5	5	7	5	2	2	3	1182	3	4	4	1	8	3	10	577	1	2	4	6	9	3	0	8	4	131	91	5	9	4	2	3	2	4	1	130	4	1	65	0	6	6	14	11	1	6	8	10	103	5	3	15	3	9	23	292	14	18	9	12	19	9	7	7	8	143	12	7	5	13	26	6	15	3	4	13	16	5	5	4	156	3	13	2	6	8	12	14	12	18	280	13	2	8	2	5	6	11	8	24	9	3	2	5	4	335	4	5	653	12	261	8
G[Ins(T):R(8,)]G	358	690	1302	404	710	824	555	3	11	4	5	6	5	4	3	6	2	1776	3	8	5	0	5	2	7	952	6	5	4	4	6	5	6	2	6	182	49	0	7	11	4	8	7	1	4	186	5	7	99	4	2	2	34	15	5	11	10	12	144	6	7	10	1	7	31	376	9	24	10	9	22	6	13	3	5	188	6	2	6	11	27	11	11	2	4	17	23	7	11	2	257	2	21	8	5	7	13	15	9	22	319	8	4	9	0	10	8	8	14	26	8	11	3	4	3	421	7	5	1044	8	392	11
Del(2,4):R1	34	94	86	66	195	85	90	12	6	13	10	7	6	5	6	10	4	73	14	13	10	3	12	4	2	104	11	3	19	21	9	7	13	12	7	39	13	10	6	9	9	13	12	13	10	32	15	21	17	19	15	8	9	25	6	18	14	32	56	13	10	11	24	23	16	181	25	43	23	8	7	12	11	5	22	69	20	10	7	15	22	12	20	4	9	49	9	28	5	9	58	28	17	14	26	29	19	50	10	36	180	12	7	10	16	12	11	10	44	18	9	15	30	10	55	315	39	40	352	5	117	15
Del(5,):R1	7	12	11	20	23	14	7	13	10	15	10	15	10	11	10	8	7	30	11	13	14	7	9	13	8	17	11	7	17	45	4	6	20	8	4	7	14	98	9	19	18	8	15	21	11	15	14	22	17	21	17	8	22	38	6	14	24	89	22	19	15	59	69	22	27	137	24	93	35	19	29	22	34	16	18	40	6	25	12	23	27	46	21	20	34	186	25	28	34	16	27	16	27	29	84	47	10	198	17	36	23	22	6	18	53	40	18	18	70	20	12	23	43	7	79	42	63	78	56	8	19	9
Del(2,8):U(1,2):R(2,4)	235	422	426	370	1024	431	442	28	14	19	17	15	14	15	15	21	11	166	30	16	7	12	11	11	10	390	7	16	19	23	18	12	18	12	15	245	37	14	11	13	16	10	23	32	20	164	28	26	162	26	28	16	26	40	11	21	24	51	148	10	13	32	19	30	18	431	21	44	17	13	21	16	17	15	22	144	19	6	18	42	45	10	38	7	19	44	27	19	10	9	211	30	29	22	19	22	42	51	20	24	432	15	10	16	16	15	17	19	38	26	8	23	24	13	49	1062	24	24	779	13	360	18
Del(2,):U(1,2):R(5,)	541	1186	1334	1061	2928	1213	1030	6	3	5	3	3	5	3	4	2	3	440	4	7	7	1	2	2	4	871	3	4	4	4	2	11	10	5	4	416	8	4	2	2	4	6	10	3	6	277	6	5	211	10	7	7	5	19	3	20	5	14	364	10	0	9	9	15	16	1511	8	12	7	6	7	4	5	6	8	559	4	5	3	18	14	6	11	3	14	31	8	14	7	3	590	12	13	4	7	4	15	21	6	13	1522	6	8	6	5	4	6	5	13	10	3	4	7	2	8	4325	12	16	2688	6	1377	6
Del(3,):U(3,):R2	119	210	182	176	537	153	224	18	18	25	13	15	9	11	18	14	12	77	56	12	11	10	12	10	18	190	18	12	40	31	12	15	8	6	19	151	26	19	26	13	13	14	20	33	13	97	20	25	105	41	31	5	30	28	6	34	21	22	63	12	16	26	14	22	20	198	21	31	21	9	21	16	21	6	32	68	14	12	18	32	35	12	44	9	19	42	32	15	8	8	91	15	29	10	26	13	26	39	18	15	183	12	10	17	12	14	10	18	30	25	12	13	17	9	39	361	13	13	284	15	134	23
Del(3,):U(3,):R(3,)	99	196	175	183	445	148	197	11	7	19	10	4	4	9	6	7	5	61	15	17	9	6	4	7	4	205	9	8	8	5	8	12	30	6	4	89	5	6	5	3	3	6	8	10	13	77	5	14	69	25	16	0	15	17	5	19	10	10	70	4	5	11	5	14	9	173	11	7	3	6	6	7	8	7	12	79	10	5	8	12	17	6	28	3	12	27	15	14	8	3	95	3	27	5	5	7	8	30	5	8	166	7	5	11	3	9	3	9	10	18	7	8	10	8	15	602	8	4	448	5	202	8
Ins(2,4):R0	15	52	63	28	49	57	41	6	3	2	3	6	2	2	0	2	18	158	3	2	2	1	3	5	1	61	1	3	2	1	2	2	2	3	4	11	34	4	2	0	3	3	5	1	1	8	5	2	5	4	4	11	20	22	36	8	8	22	92	13	15	19	10	16	23	118	17	20	16	9	20	14	26	10	9	64	10	18	26	17	26	19	13	7	14	67	24	18	9	14	68	53	26	10	14	8	59	71	23	16	100	23	3	15	7	15	13	20	17	16	14	9	25	6	18	222	17	10	525	17	99	19
Ins(5,):R0	4	7	14	13	16	11	9	2	0	3	3	3	3	2	3	0	3	36	1	3	1	1	2	1	1	17	0	0	1	2	0	0	2	3	0	6	17	5	1	3	8	4	2	2	0	1	2	2	5	6	1	9	38	50	12	22	55	97	91	47	19	98	43	32	57	342	60	16	36	26	51	59	99	34	54	128	20	52	29	43	44	79	38	41	61	120	37	92	61	23	153	29	66	31	22	45	47	113	31	33	115	49	16	19	27	64	20	35	38	33	13	16	20	4	16	172	49	47	518	14	153	21
Ins(2,4):R1	8	31	20	7	20	12	24	4	4	8	2	0	1	4	2	3	8	65	4	2	1	7	5	2	4	21	6	7	7	5	5	4	6	4	7	6	8	3	3	5	6	7	3	2	1	9	3	6	7	14	2	6	5	17	8	5	10	1	20	3	3	10	3	4	7	15	7	16	11	6	8	10	12	4	7	17	2	6	9	8	26	8	11	8	6	12	8	13	2	10	23	32	14	12	8	6	19	16	10	14	17	4	4	10	2	6	2	9	14	10	7	11	17	5	12	43	18	14	72	1	14	10
Ins(5,):R1	5	6	12	5	15	5	8	8	1	18	5	5	4	2	7	3	2	13	12	9	6	5	13	4	10	26	4	6	10	7	6	2	5	7	7	2	16	8	9	2	9	6	6	5	8	8	4	7	1	8	2	12	3	16	2	9	10	9	12	4	3	11	2	11	8	5	4	17	1	5	8	8	7	5	8	10	5	6	15	24	12	9	2	13	20	28	10	6	5	13	5	8	11	10	8	3	21	32	12	6	7	5	5	12	3	2	1	9	14	16	7	11	14	1	13	18	9	12	17	2	12	7
Ins(2,):R(2,4)	116	224	283	146	283	271	176	5	5	7	4	3	6	5	4	5	6	592	1	7	5	4	2	3	5	289	3	4	4	8	10	4	4	7	17	50	32	2	3	2	6	9	6	6	4	61	1	9	52	11	6	6	17	19	1	10	11	11	54	5	4	10	8	9	11	191	12	18	6	7	12	8	10	7	7	70	6	4	5	20	31	8	9	4	11	23	10	11	4	5	112	13	18	6	5	10	18	19	15	11	189	7	5	10	4	10	4	12	13	14	8	7	9	7	4	206	13	8	426	7	150	14
Ins(2,):R(5,)	660	1185	1654	738	1645	1387	993	7	14	6	2	10	7	12	2	9	5	3713	4	6	6	6	6	1	10	1657	6	7	7	6	17	2	3	8	9	209	60	2	11	16	5	5	7	7	2	333	9	9	191	9	11	9	28	30	3	27	20	22	229	15	10	15	6	16	34	895	31	38	17	28	32	15	31	14	8	400	16	5	9	18	48	19	21	2	14	26	32	20	9	5	519	7	54	8	13	13	14	23	33	35	976	13	7	12	2	10	6	22	22	44	17	8	12	16	14	1031	14	11	2433	18	760	23
Del(2,5):M1	52	98	95	83	226	94	83	5	2	16	8	11	5	7	11	13	11	89	23	8	11	6	9	8	11	97	12	6	13	16	15	4	17	9	12	71	15	11	17	8	13	8	17	13	13	47	15	16	50	22	14	10	18	28	7	16	16	41	52	13	5	20	31	14	24	156	16	53	33	10	16	10	14	10	23	40	13	7	10	30	34	11	42	5	12	62	27	13	14	5	69	15	25	16	19	19	27	58	12	26	167	16	10	4	33	11	11	11	43	25	7	13	30	4	54	343	34	50	363	5	111	10
Del(3,5):M2	79	120	99	95	292	83	132	9	8	13	7	3	13	8	8	15	4	58	34	10	11	9	8	15	19	116	6	9	13	23	12	9	10	12	14	80	22	12	10	9	8	9	20	17	3	54	13	17	50	18	18	9	14	13	7	22	18	25	35	9	8	10	17	25	13	132	15	28	13	8	7	14	9	3	19	53	11	7	7	20	20	14	19	3	16	66	17	14	11	5	64	16	14	12	24	18	17	64	13	13	129	9	11	7	7	9	3	12	38	16	10	14	18	10	34	282	24	19	217	9	84	18
Del(4,5):M(3,4)	33	47	31	37	102	32	40	8	4	10	8	6	5	5	5	9	10	32	17	3	5	3	3	8	5	43	3	0	7	16	9	2	7	4	2	22	6	7	6	5	1	6	7	10	6	16	9	9	23	9	15	7	9	13	2	14	9	15	14	5	3	3	1	9	7	61	7	9	5	2	6	5	7	4	10	20	6	3	3	26	20	10	24	2	16	44	11	7	1	3	23	8	6	2	15	11	27	41	6	4	51	2	4	4	1	5	2	4	12	9	3	2	5	2	16	92	7	6	91	3	41	8
Del(6,):M1	6	13	14	16	15	10	6	14	6	12	10	11	5	8	6	15	7	16	12	4	10	8	4	10	4	13	5	2	19	67	7	5	13	13	2	15	9	157	5	14	6	17	7	7	13	15	6	15	6	20	10	10	14	22	10	17	23	64	40	24	11	20	60	16	18	75	17	60	19	7	21	10	15	7	11	25	7	12	6	16	18	15	9	9	16	217	17	21	12	10	45	8	23	24	76	39	14	213	10	35	49	18	8	12	40	21	9	15	59	11	10	19	35	4	79	136	52	73	145	6	59	10
Del(6,):M2	7	11	6	10	13	9	12	15	3	7	11	10	5	3	3	11	7	7	25	9	5	15	5	4	5	7	8	8	28	100	4	3	9	13	5	10	7	173	5	6	6	8	17	9	6	8	11	8	2	17	19	2	6	10	3	12	12	44	9	22	6	16	23	11	7	33	8	34	23	4	12	5	4	7	20	13	6	13	3	14	13	16	10	4	5	379	4	30	7	5	17	11	12	9	114	37	10	380	10	16	10	11	7	9	12	27	5	8	69	5	8	13	30	7	34	18	42	53	31	4	10	19
Del(6,):M3	5	6	8	8	2	6	5	3	1	7	5	10	1	2	2	8	5	11	13	7	5	0	3	4	3	5	2	7	24	80	1	4	12	5	1	5	3	113	10	7	4	5	11	10	3	6	6	9	1	13	15	2	4	4	0	11	7	22	13	20	0	7	10	8	6	9	8	12	12	2	2	2	4	2	11	9	2	5	6	11	4	8	7	2	1	293	9	15	6	3	8	3	17	11	58	12	10	289	9	13	14	4	5	4	11	19	3	5	44	7	4	14	17	4	28	25	20	22	24	1	7	6
Del(6,):M(4,)	5	16	7	10	11	8	9	5	5	8	7	14	5	5	3	10	6	17	15	9	3	7	0	6	1	9	2	3	17	101	5	6	12	5	4	3	4	106	4	6	9	4	12	7	0	1	6	5	5	12	12	8	4	12	3	12	16	23	10	16	3	12	12	15	11	23	9	22	16	4	5	4	4	7	12	10	0	7	6	14	16	8	4	3	2	338	12	25	1	3	13	7	13	6	88	8	15	339	9	8	21	9	11	11	8	22	4	16	48	6	4	6	15	5	16	60	16	19	54	4	18	12
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
