MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
Ins(5,):R0	9	38	50	12	22	55	97	91	47	19	98	43	32	57	342	60	16	36	26	51	59	99	34	54	128	20	52	29	43	44	79	38	41	61	120	37	92	61	23	153	29	66	31	22	45	47	113	31	33	115	49	16	19	27	64	20	35	38	33	13	16	20	4	16	172	49	47	518	14	153	21
Ins(2,4):R1	6	5	17	8	5	10	1	20	3	3	10	3	4	7	15	7	16	11	6	8	10	12	4	7	17	2	6	9	8	26	8	11	8	6	12	8	13	2	10	23	32	14	12	8	6	19	16	10	14	17	4	4	10	2	6	2	9	14	10	7	11	17	5	12	43	18	14	72	1	14	10
Ins(5,):R1	12	3	16	2	9	10	9	12	4	3	11	2	11	8	5	4	17	1	5	8	8	7	5	8	10	5	6	15	24	12	9	2	13	20	28	10	6	5	13	5	8	11	10	8	3	21	32	12	6	7	5	5	12	3	2	1	9	14	16	7	11	14	1	13	18	9	12	17	2	12	7
Ins(2,):R(2,4)	6	17	19	1	10	11	11	54	5	4	10	8	9	11	191	12	18	6	7	12	8	10	7	7	70	6	4	5	20	31	8	9	4	11	23	10	11	4	5	112	13	18	6	5	10	18	19	15	11	189	7	5	10	4	10	4	12	13	14	8	7	9	7	4	206	13	8	426	7	150	14
Ins(2,):R(5,)	9	28	30	3	27	20	22	229	15	10	15	6	16	34	895	31	38	17	28	32	15	31	14	8	400	16	5	9	18	48	19	21	2	14	26	32	20	9	5	519	7	54	8	13	13	14	23	33	35	976	13	7	12	2	10	6	22	22	44	17	8	12	16	14	1031	14	11	2433	18	760	23
Del(2,5):M1	10	18	28	7	16	16	41	52	13	5	20	31	14	24	156	16	53	33	10	16	10	14	10	23	40	13	7	10	30	34	11	42	5	12	62	27	13	14	5	69	15	25	16	19	19	27	58	12	26	167	16	10	4	33	11	11	11	43	25	7	13	30	4	54	343	34	50	363	5	111	10
Del(3,5):M2	9	14	13	7	22	18	25	35	9	8	10	17	25	13	132	15	28	13	8	7	14	9	3	19	53	11	7	7	20	20	14	19	3	16	66	17	14	11	5	64	16	14	12	24	18	17	64	13	13	129	9	11	7	7	9	3	12	38	16	10	14	18	10	34	282	24	19	217	9	84	18
Del(4,5):M(3,4)	7	9	13	2	14	9	15	14	5	3	3	1	9	7	61	7	9	5	2	6	5	7	4	10	20	6	3	3	26	20	10	24	2	16	44	11	7	1	3	23	8	6	2	15	11	27	41	6	4	51	2	4	4	1	5	2	4	12	9	3	2	5	2	16	92	7	6	91	3	41	8
Del(6,):M1	10	14	22	10	17	23	64	40	24	11	20	60	16	18	75	17	60	19	7	21	10	15	7	11	25	7	12	6	16	18	15	9	9	16	217	17	21	12	10	45	8	23	24	76	39	14	213	10	35	49	18	8	12	40	21	9	15	59	11	10	19	35	4	79	136	52	73	145	6	59	10
Del(6,):M2	2	6	10	3	12	12	44	9	22	6	16	23	11	7	33	8	34	23	4	12	5	4	7	20	13	6	13	3	14	13	16	10	4	5	379	4	30	7	5	17	11	12	9	114	37	10	380	10	16	10	11	7	9	12	27	5	8	69	5	8	13	30	7	34	18	42	53	31	4	10	19
Del(6,):M3	2	4	4	0	11	7	22	13	20	0	7	10	8	6	9	8	12	12	2	2	2	4	2	11	9	2	5	6	11	4	8	7	2	1	293	9	15	6	3	8	3	17	11	58	12	10	289	9	13	14	4	5	4	11	19	3	5	44	7	4	14	17	4	28	25	20	22	24	1	7	6
Del(6,):M(4,)	8	4	12	3	12	16	23	10	16	3	12	12	15	11	23	9	22	16	4	5	4	4	7	12	10	0	7	6	14	16	8	4	3	2	338	12	25	1	3	13	7	13	6	88	8	15	339	9	8	21	9	11	11	8	22	4	16	48	6	4	6	15	5	16	60	16	19	54	4	18	12
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
