MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
G[Del(T):R(8,)]G	3	2	8	0	8	3	8	406	3	0	3	0	7	19	1538	6	2	3	5	1	2	2	3	0	729	5	0	2	6	11	1	2	0	1	4	7	2	1	0	646	0	15	0	3	0	12	3	6	4	1611	0	1	0	0	3	3	3	8	5	1	0	0	0	2	2955	0	2	2327	3	1177	11
A[Ins(C):R0]A	3	2	3	1	0	1	4	8	0	1	1	0	10	3	12	0	4	0	0	0	0	0	1	4	6	0	0	5	3	2	1	3	0	2	5	0	1	0	0	9	1	3	1	1	0	3	5	1	0	16	2	3	1	0	2	0	3	1	3	0	1	1	2	2	26	2	4	42	1	8	6
A[Ins(C):R0]T	0	1	2	0	0	0	5	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	2	0	0	3	2	2	0	0	0	5	0	0	1	0	0	4	0	0	1	0	1	1	0	1	0	2	1	0	2	0	0	0	0	3	0	0	3	0	2	5
Ins(C):R(0,3)	6	6	12	94	5	9	9	33	10	3	8	10	14	13	80	6	18	19	4	5	10	13	5	10	35	3	9	13	7	10	12	6	4	12	22	14	19	3	16	46	38	10	13	12	14	111	24	11	9	68	9	8	8	6	11	7	7	21	8	6	9	10	7	13	105	12	11	150	5	86	16
Ins(C):R(4,6)	3	8	7	17	4	4	4	95	5	8	8	4	6	8	292	3	12	5	8	11	7	6	6	5	142	2	6	3	4	6	4	3	3	5	5	12	6	3	40	106	5	9	6	2	3	21	5	7	7	317	4	0	2	2	2	2	8	3	5	6	3	4	5	5	356	8	8	637	7	425	7
Ins(C):R(7,)	3	9	14	4	11	5	8	141	7	3	6	5	12	11	276	7	11	17	9	15	10	9	1	7	237	4	1	3	7	17	3	4	2	2	6	9	5	2	5	173	0	8	5	3	8	11	8	6	10	372	10	2	4	8	2	5	8	6	18	8	1	5	2	10	414	8	5	765	9	340	11
A[Ins(T):R(0,4)]A	7	9	7	3	8	7	14	39	7	4	4	5	10	18	128	11	15	2	12	10	8	7	3	15	39	8	5	2	8	18	8	14	1	6	25	11	9	6	2	45	10	20	9	4	8	8	23	5	16	109	6	4	3	4	5	4	5	20	18	9	8	6	5	6	130	9	12	199	6	89	8
A[Ins(T):R(0,4)]C	0	4	1	2	4	2	1	12	1	2	0	3	2	4	62	1	3	5	2	4	3	0	2	1	18	1	2	2	2	3	1	2	2	1	12	1	1	2	2	13	4	12	3	1	3	3	12	2	1	30	4	1	2	1	1	1	1	4	1	1	3	3	3	0	45	6	8	81	2	48	3
A[Ins(T):R(0,4)]G	3	3	2	4	5	4	6	18	7	2	5	3	6	13	109	1	6	4	1	0	1	0	1	4	24	1	1	1	3	6	0	1	0	6	11	3	3	1	1	34	1	14	2	3	0	10	10	3	3	72	7	2	3	1	1	2	3	3	5	0	3	2	2	6	102	5	7	152	2	103	8
C[Ins(T):R(0,4)]A	0	4	4	1	2	4	1	8	1	2	3	1	8	3	48	0	4	3	2	7	1	2	4	3	19	0	2	0	7	7	2	3	1	3	6	5	3	2	2	15	10	6	2	0	4	7	6	3	5	38	2	3	0	0	0	2	7	1	2	2	2	4	2	3	32	3	8	57	2	28	1
