MutationType	SP116536	SP116539	SP116542	SP116545	SP116548	SP116550	SP116553	SP116557	SP116559	SP116562	SP116564	SP116571	SP116393	SP116442	SP116446	SP116419	SP116383	SP116385	SP116440	SP116450	SP116493	SP116391	SP116401	SP116409	SP116416	SP116424	SP116515	SP116499	SP116505	SP116509	SP116437	SP116512	SP116465	SP116496	SP116525	SP116481	SP116586	SP116528	SP116589	SP116406	SP116484	SP116453	SP116469	SP116578	SP116531	SP116593	SP116487	SP116456	SP116472	SP116518	SP116412	SP116534	SP116596	SP116490	SP116459	SP116475	SP116520	SP116431	SP116582	SP116599	SP116478	SP116462	SP116523	SP116434	SP122725	SP122476	SP122372	SP122489	SP122560	SP122590	SP122714	SP121870	SP123010	SP121865	SP122676	SP122412	SP122392	SP122634	SP122702	SP121828	SP121783	SP121774	SP121790	SP121859	SP121808	SP121781	SP121763	SP121811	SP121852	SP122361	SP121837	SP121824	SP121841	SP121831	SP121761	SP121816	SP121861	SP121847
1:Del:C:0	9	2	3	7	2	1	3	0	4	3	1	2	0	1	0	18	33	11	6	25	8	5	4	9	6	3	12	23	12	15	7	36	4	38	26	5	9	13	33	13	8	11	39	37	7	11	2	5	13	47	16	9	50	14	21	12	37	42	27	14	28	5	10	0	21	39	23	21	15	26	17	15	13	19	36	9	60	19	28	25	29	62	29	27	7	69	19	22	22	56	14	12	14	26	52	33	0	23
1:Del:C:1	5	0	4	0	2	0	1	1	2	0	1	0	0	1	1	7	17	8	11	20	1	2	3	2	0	2	4	3	6	7	4	18	3	26	15	1	6	9	14	5	8	8	26	22	3	8	0	0	9	16	3	2	22	5	6	7	21	17	11	4	6	7	5	0	9	14	17	11	9	16	9	10	13	18	16	12	30	7	17	7	19	18	9	13	8	31	6	6	11	27	7	8	10	8	32	15	0	16
1:Del:C:2	3	3	0	0	0	0	1	0	1	1	1	0	0	0	0	4	5	4	3	7	3	5	1	2	0	0	2	1	3	2	4	5	2	11	9	0	3	3	7	2	3	3	9	13	2	0	0	1	3	10	1	0	11	0	4	0	7	7	3	2	3	3	2	1	5	7	12	3	3	4	4	1	6	5	5	4	16	2	5	4	8	11	9	3	5	6	7	5	3	10	5	4	4	2	9	19	1	6
1:Del:C:3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	5	2	1	6	2	0	0	2	0	0	0	1	1	1	1	2	2	10	3	0	3	1	7	0	0	0	5	10	1	2	0	0	2	5	0	1	5	0	1	0	3	1	4	1	1	0	2	0	1	5	1	4	2	3	1	1	3	3	7	1	5	2	3	4	7	5	3	6	0	5	3	4	4	8	1	2	2	3	5	5	0	8
1:Del:C:4	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	2	1	1	2	2	0	0	0	0	0	0	0	1	2	2	0	3	3	6	1	1	1	3	5	2	0	0	3	1	3	0	0	0	1	5	1	1	3	1	2	1	3	1	2	1	2	2	0	1	1	2	0	1	1	2	0	2	0	2	4	4	3	1	2	0	3	3	5	4	1	4	0	1	4	8	3	1	1	0	3	5	0	1
1:Del:C:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	2	3	1	0	0	2	1	0	0	1	3	4	1	0	0	0	1	6	1	1	1	1	1	0	1	2	1	2	1	0	1	0	4	2	2	5	1	1	1	1	0	2	1	1	2	0	3	0	1	4	3	1	1	6	0	2	1	4	0	2	1	3	2	4	0	2
1:Del:T:0	10	4	3	4	4	0	1	1	4	2	1	2	0	0	1	8	18	7	6	14	6	3	4	5	4	2	7	7	2	11	5	6	5	35	20	1	4	15	8	2	0	5	19	34	3	3	1	5	6	21	4	6	21	5	10	3	11	11	19	9	5	3	3	1	12	12	13	13	4	9	8	13	13	12	6	7	31	14	16	7	6	15	14	11	14	22	10	9	12	23	8	11	8	5	17	10	2	12
1:Del:T:1	6	2	1	0	3	0	0	0	2	3	1	1	0	0	0	9	16	4	10	17	2	1	3	4	1	3	5	4	1	4	6	5	1	18	8	0	2	5	9	1	1	2	19	28	3	3	0	2	3	5	3	3	22	3	3	2	8	8	6	4	1	2	2	1	4	13	21	5	2	4	2	5	3	8	9	4	12	6	18	16	7	10	5	11	8	19	1	6	8	11	5	3	4	3	10	10	0	6
1:Del:T:2	3	1	1	1	0	0	2	0	1	0	3	1	0	0	0	5	12	2	4	10	2	4	2	3	0	0	1	4	10	3	3	9	0	22	10	0	4	8	13	5	0	2	14	21	3	2	1	2	3	17	3	2	12	5	7	5	12	9	16	2	10	2	2	2	6	16	17	7	4	3	4	11	7	4	9	8	11	6	17	8	10	20	8	10	4	27	6	4	9	22	8	4	4	8	17	12	0	12
1:Del:T:3	0	1	0	2	3	1	1	0	3	0	1	2	0	1	0	4	14	7	3	9	3	0	1	3	0	1	4	10	6	13	2	13	11	12	8	1	6	9	21	9	1	5	13	17	7	7	1	0	9	25	5	1	8	12	5	3	10	13	12	3	11	2	1	0	6	6	12	6	2	10	7	9	9	12	13	8	34	7	10	9	7	24	16	6	3	33	3	8	19	17	6	6	6	4	24	15	1	19
1:Del:T:4	4	0	0	2	1	0	0	1	1	1	2	0	0	0	0	6	4	2	4	10	1	7	2	4	0	1	2	10	9	9	3	12	5	17	7	6	2	7	14	7	3	3	4	10	0	4	2	2	11	24	3	2	15	9	8	4	12	7	16	5	14	6	4	1	7	12	3	5	11	11	3	6	7	4	13	4	25	10	16	8	17	26	17	9	3	19	5	4	8	23	2	3	5	23	21	8	1	11
1:Del:T:5	10	3	2	4	3	0	1	0	3	1	5	6	0	0	1	8	74	12	12	35	3	12	2	10	3	1	7	26	45	26	3	21	26	32	26	3	4	17	31	17	4	7	14	24	5	4	1	2	35	94	19	11	12	30	21	15	27	23	37	36	23	11	18	1	32	14	4	17	15	17	7	36	14	23	30	6	54	16	18	6	10	29	16	15	4	47	7	5	17	121	7	2	14	19	21	16	0	16
1:Ins:C:0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	1	0	0	3	1	0	0	1	1	0	1	0	2	6	1	0	0	1	1	0	0	2	3	0	0	0	0	4	6	4	0	1	3	0	1	0	1	2	4	0	2	0	1	0	0	0	0	3	2	1	1	1	2	0	1	1	2	4	3	0	1	1	2	1	1	2	0	3	2	2	2	2	1	0	1	0	1	0
1:Ins:C:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	2	0	0	0	0	0	1	1	0	1	2	4	1	1	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	0	0	1	3	0	2	1	1	0	0	0	1	0	2	1	4	0	1	2	1	1	1	2	0	0	0	0	1	1	2	0	0	3	0	0	3	2	0	0	1	0	1	1	0	1
1:Ins:C:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	3	2	1	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	1	0	1	1	0	0	3	1	1	0	2	3	0	3	2	1	0	1	0	1	0	0	1	0	0	0	0	1
1:Ins:C:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
1:Ins:C:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1:Ins:C:5	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	3	1	0	6	1	0	1	1	0	0	2	0	0	3	0	3	0	2	3	0	0	9	3	1	0	2	1	2	0	1	0	0	3	18	1	0	2	1	2	3	0	3	3	3	4	0	2	0	3	4	0	0	1	2	0	5	4	1	4	0	6	2	2	0	2	5	1	4	1	2	1	1	1	3	1	0	0	1	3	0	0	0
1:Ins:T:0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	1	0	0	1	1	0	0	0	0	3	3	0	3	1	4	1	0	2	4	3	1	0	0	3	1	0	0	0	3	1	0	1	0	2	0	1	1	2	6	1	3	2	1	0	0	1	0	3	3	4	1	2	2	0	2	3	1	2	1	1	0	1	2	2	2	2	5	1	1	2	5	1	0	0	1	6	6	0	5
