MutationType	SP123975	SP124044	SP123972	SP123850	SP123902	SP123884	SP123964	SP123995	SP123846	SP124003	SP123876	SP123878	SP123842	SP123900	SP123978	SP123897	SP124013	SP124021	SP123852	SP123998	SP123967	SP123988	SP123984	SP123858	SP123890	SP123950	SP123886	SP124033	SP123892	SP123840	SP123969	SP123953	SP123955	SP123882	SP123894	SP124017	SP123856	SP123854	SP123888	SP123870	SP123958	SP123844	SP123872	SP123874	SP123836	SP43633	SP36498	SP37516	SP39997	SP35617	SP37636	SP39907	SP40736	SP42154	SP39594	SP41453	SP34452	SP42829	SP37970	SP34186	SP37903	SP35849	SP36586	SP34431	SP37432	SP35989	SP39102	SP34493	SP36036	SP35951	SP39248	SP34246	SP35412	SP39298	SP38044	SP38271	SP43201	SP34191	SP40047	SP39349	SP37369	SP38759	SP36218	SP43510	SP43770	SP43651	SP106656	SP97249	SP106638	SP97161	SP43696	SP97113	SP97124	SP43808	SP43822	SP43514	SP97258	SP97194	SP109470	SP97278	SP109544	SP97104	SP106577	SP109457	SP109478	SP43688	SP97243	SP97269	SP113926	SP106560	SP43792	SP106602	SP97145	SP43664	SP43532	SP102816	SP102795	SP103197	SP102827	SP103233	SP103507	SP103100	SP103416	SP103005	SP102759	SP102741	SP102945	SP103826	SP103706	SP102897	SP102881	SP103715	SP102929	SP103619	SP103844	SP103128	SP103300	SP103057	SP103340	SP102913	SP102783	SP103080	SP103436	SP102804	SP102957	SP102873	SP103213	SP103467	SP103261	SP103156	SP103288	SP103444	SP103685	SP103140	SP103673	SP102839	SP103245	SP103037	SP103408	SP103021	SP103679	SP103065	SP102965	SP103221	SP103547	SP102973	SP103515	SP102747	SP103730	SP103535	SP102718	SP103483	SP103428	SP102755	SP103694	SP103595	SP103396	SP102716	SP102733	SP102989	SP103603	SP102921	SP103742	SP103555	SP103523	SP103575	SP103045	SP103455	SP103856	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
[Del(C):R1]A	5	3	10	2	5	1	3	0	2	0	5	2	4	3	3	0	3	3	1	5	2	5	2	2	4	6	4	1	2	3	3	1	4	1	3	2	0	5	4	2	2	3	5	5	2	4	12	14	10	19	6	19	22	16	17	11	24	18	18	22	25	5	3	11	9	7	13	10	17	16	10	12	12	45	20	11	12	13	18	14	16	17	2	15	14	28	35	24	35	23	30	20	31	14	4	16	31	54	46	28	24	13	30	5	2	17	21	33	3	17	24	18	10	30	21	11	39	22	26	16	18	6	7	9	23	13	12	19	26	36	14	17	20	6	10	18	27	23	13	24	27	31	15	42	30	12	8	5	46	17	13	19	14	35	30	17	13	4	20	12	10	28	18	16	13	26	15	4	17	25	19	5	27	36	40	14	8	10	13	25	26	13	26	3	14	18	14	26	9	21	21	23	11	6	20	19	36	11	7	18	25	25	18	31	19	14	14	20	22	25	28	5	20	15	17	9	24	22	13	6	23	17	23	24	35	7	25	17	17	30	5	28	9	28	4	16	5	5	16	14	21	31	11	18	22	14	12	24	19	15	16	11	17	9	3	16	10	10	4	22	23	14	18	6	15	28	6	8	26	13	9	22	49	12	12	22	6	11	24	2	8	16	19	20	23	10	1	19	16	7	10	13	21	18	15	12	19	33	89	16	22	17	25	6	23	10
[Del(C):R1]T	5	1	16	2	5	2	1	1	2	1	4	4	1	5	3	4	1	3	0	3	4	5	2	1	0	4	3	1	2	2	5	1	2	9	9	0	3	2	1	1	1	3	2	1	1	3	25	17	17	22	8	22	28	19	21	13	39	17	24	26	37	8	1	19	17	11	12	12	9	25	16	29	21	49	23	19	19	24	39	17	19	28	10	23	16	38	43	35	51	34	31	16	47	19	11	10	35	61	44	20	25	16	32	1	5	28	22	51	10	29	33	27	15	48	33	29	37	37	40	30	15	16	20	17	23	27	18	14	31	40	13	20	22	6	15	20	35	21	23	22	39	40	10	39	25	10	21	7	28	19	13	15	17	41	34	16	30	6	16	24	13	36	11	34	21	32	26	2	27	40	20	14	34	50	44	10	8	10	15	29	31	27	30	2	14	19	20	26	9	26	18	33	18	18	21	35	44	13	20	24	50	16	25	42	22	12	22	22	43	27	30	7	36	16	12	4	27	40	16	7	21	21	39	32	34	11	28	13	17	45	4	34	11	42	4	23	7	8	12	20	21	30	23	17	22	16	14	27	32	21	16	12	31	12	8	14	22	6	14	25	25	26	17	14	22	31	1	13	35	11	14	35	31	16	18	26	10	15	30	2	14	21	27	18	29	20	4	20	7	13	12	29	25	29	21	19	15	31	84	31	27	17	36	7	37	11
[Del(C):R2]A	3	0	5	4	2	4	3	2	4	3	5	1	0	2	1	1	0	1	0	2	5	8	1	0	2	2	0	1	3	4	1	2	0	3	1	2	3	1	3	3	0	3	0	1	3	1	19	8	14	14	9	16	9	8	19	7	21	13	18	18	22	6	1	8	8	8	8	15	6	12	9	19	12	19	14	7	10	11	12	8	12	15	3	11	8	18	18	17	28	14	27	11	26	6	1	15	16	41	17	17	15	5	23	1	2	14	8	13	5	18	21	14	3	21	18	14	18	16	16	15	25	9	10	8	19	17	16	12	14	29	8	6	15	5	12	9	20	35	13	9	19	21	10	21	60	11	8	3	18	28	3	11	11	19	18	11	11	1	15	9	17	15	11	27	23	22	16	5	12	66	13	11	26	31	23	14	5	8	10	19	14	12	20	4	9	11	11	16	7	14	12	27	14	3	10	18	27	7	15	11	27	12	8	25	18	11	15	8	20	22	24	1	25	12	13	5	10	25	13	6	10	12	21	21	24	1	18	12	11	30	5	20	9	9	1	16	2	9	3	5	10	22	3	11	7	7	17	16	17	12	4	10	20	3	2	9	13	4	11	14	18	11	6	16	7	18	0	9	33	10	14	10	28	12	4	11	3	3	18	0	5	11	18	12	20	10	3	22	9	4	3	7	17	11	10	13	14	16	32	13	15	12	17	2	16	2
[Del(C):R2]T	3	1	4	1	4	1	4	1	3	3	5	2	1	2	0	2	2	3	1	2	1	6	4	1	1	5	4	2	2	5	2	1	3	2	3	0	0	4	1	1	1	2	3	1	1	2	12	9	21	19	8	16	26	19	12	22	32	13	16	26	28	8	5	10	11	16	8	8	15	18	7	27	20	37	14	17	12	11	23	16	20	23	4	15	13	26	25	25	36	32	34	14	34	14	2	10	20	46	36	16	22	1	40	3	5	15	14	24	3	17	26	12	7	22	23	13	28	19	31	24	16	16	9	6	25	26	13	10	27	43	10	12	17	4	17	15	26	17	14	18	18	23	9	28	54	23	18	5	39	25	9	18	24	21	25	15	30	10	29	20	9	24	19	31	19	27	20	4	12	51	14	7	35	37	32	13	14	8	7	16	18	12	20	6	7	11	21	22	5	19	20	36	18	11	16	41	34	14	21	17	32	11	20	33	24	15	12	14	27	21	22	4	26	16	10	13	21	27	9	3	20	15	22	20	21	1	23	14	19	27	6	25	12	16	8	13	11	4	12	8	19	16	9	12	22	6	13	19	41	17	12	10	28	5	0	8	17	3	13	22	16	20	19	8	11	19	2	9	43	8	10	30	16	8	7	17	5	7	26	2	12	16	21	23	23	3	0	14	10	4	21	18	12	14	19	17	17	18	45	22	17	19	24	7	20	5
[Del(C):R3]A	2	2	2	3	3	7	0	3	2	2	1	0	0	1	1	0	0	3	0	1	2	3	0	0	0	1	1	2	1	0	1	1	0	2	4	0	3	3	1	0	0	1	2	2	1	0	7	6	7	9	3	5	10	8	8	6	21	8	12	20	17	4	3	5	13	9	4	8	5	11	4	9	14	26	16	13	12	8	13	7	6	11	3	7	7	13	14	16	14	20	24	8	15	13	0	8	10	29	18	11	13	6	13	2	3	2	11	13	3	7	16	9	2	20	8	10	22	8	20	14	15	7	5	7	9	7	7	11	12	28	6	8	9	4	9	14	20	21	3	11	16	16	7	13	25	9	8	1	17	10	4	11	9	16	12	10	17	1	8	14	5	23	4	26	12	24	13	2	7	39	14	8	13	25	30	3	3	6	4	14	4	5	17	3	11	10	17	16	3	22	13	18	12	2	11	26	16	4	5	10	15	6	11	17	17	9	10	11	10	16	10	1	13	4	4	5	12	15	4	3	12	18	9	12	15	3	11	7	8	13	2	17	6	7	3	11	5	4	6	5	7	13	9	7	9	9	9	11	27	10	6	9	12	6	3	6	11	1	6	13	14	9	6	6	12	16	5	7	17	6	9	10	15	3	4	9	2	3	15	1	4	10	14	8	13	5	2	10	3	1	5	6	12	7	7	9	11	20	45	15	11	9	11	2	15	6
[Del(C):R3]T	4	0	1	2	0	1	1	1	3	3	1	1	0	1	0	1	4	0	1	4	0	3	2	0	3	0	1	1	6	3	0	0	1	2	1	1	0	1	1	1	0	1	2	3	0	1	11	9	11	12	4	8	11	7	9	9	19	11	15	17	13	6	1	6	4	5	6	7	6	7	10	20	5	24	16	14	11	11	11	6	6	9	4	8	5	15	14	11	22	19	31	7	28	10	2	3	20	32	32	16	15	5	21	4	3	9	12	24	9	9	16	10	5	20	18	13	22	13	18	13	12	5	7	5	15	7	6	5	13	25	8	11	9	2	15	20	20	19	10	13	21	14	9	10	28	7	5	3	30	19	9	8	14	22	15	9	8	3	10	11	5	16	4	27	10	17	9	2	16	19	12	7	13	32	25	12	3	4	5	8	6	9	20	1	4	11	18	17	2	12	16	15	8	3	11	33	21	7	9	6	12	4	16	28	21	7	7	8	13	17	16	2	24	16	5	1	13	14	8	2	14	6	10	17	27	4	9	13	12	22	1	15	7	20	1	10	3	2	8	5	14	14	10	11	12	4	14	7	33	9	6	6	16	4	0	6	10	0	6	12	12	14	15	7	10	17	0	4	20	5	7	11	22	8	2	10	6	1	14	0	9	11	11	8	13	5	1	9	3	3	8	7	7	10	9	4	5	13	46	8	16	9	7	6	10	4
[Del(C):R(4,5)]A	4	0	5	2	0	1	1	1	0	0	1	1	0	2	1	0	3	0	0	1	0	3	0	1	3	1	1	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	2	4	6	5	8	3	7	5	9	5	7	20	10	8	18	10	2	0	6	5	4	4	5	3	3	11	12	5	19	8	5	7	8	4	5	4	12	1	7	6	11	12	11	15	12	11	9	18	6	2	3	11	10	8	4	7	2	10	3	0	11	5	11	7	4	8	3	3	19	10	4	13	8	16	9	11	3	5	7	16	7	5	7	12	114	6	18	5	2	3	5	15	16	6	7	20	15	7	7	19	9	6	5	14	11	6	4	6	2	17	7	6	6	13	8	3	8	6	18	6	15	11	1	11	17	3	6	10	17	14	5	2	5	6	10	8	6	8	0	3	7	12	13	1	10	8	10	9	5	5	8	14	9	10	10	10	7	11	17	6	7	8	2	12	16	11	0	10	6	11	7	7	17	10	5	6	4	11	8	15	4	8	3	5	13	1	12	4	10	3	8	3	4	12	2	4	13	7	10	5	6	12	9	8	7	4	4	14	5	0	4	6	0	6	13	3	5	7	2	11	10	2	2	14	8	13	11	75	8	6	8	3	3	6	0	5	5	10	5	8	4	1	6	8	1	2	6	6	6	4	6	3	12	345	11	11	6	11	3	12	0
[Del(C):R(4,5)]T	5	0	4	0	1	0	2	0	0	0	0	1	0	1	2	0	1	0	0	1	1	4	1	0	0	1	0	0	2	1	0	1	0	1	3	0	0	0	0	0	1	0	1	2	0	0	9	4	9	8	3	5	8	10	8	9	14	7	11	11	7	2	4	4	4	1	4	4	3	14	4	11	9	18	3	6	9	1	8	7	5	10	3	3	3	8	14	4	11	13	18	7	8	5	0	5	7	17	10	13	8	3	8	4	1	9	10	16	2	5	16	6	0	18	7	12	12	15	15	9	11	1	1	6	14	11	3	5	10	133	5	4	4	2	4	7	12	18	6	4	8	13	7	4	28	5	5	0	10	9	4	4	5	17	12	8	9	4	7	6	7	9	3	14	6	9	10	0	4	22	7	3	8	20	9	6	8	8	7	10	4	10	11	1	3	5	11	8	3	5	8	7	4	2	4	15	25	9	6	8	15	6	8	13	11	2	5	7	10	9	7	3	11	8	2	3	10	10	4	2	10	7	15	6	16	0	11	4	6	11	1	12	7	12	2	8	1	2	2	4	7	7	9	8	8	3	4	8	15	9	3	6	10	1	1	2	3	4	1	11	8	6	6	7	2	10	0	5	11	8	4	9	86	2	5	6	7	5	8	0	7	8	10	6	5	5	0	10	4	4	12	5	5	12	14	3	4	10	289	6	11	2	11	3	12	2
[Del(C):R(1,5)]G	0	1	2	1	3	4	2	3	1	0	3	0	0	0	0	1	1	0	1	1	3	4	1	0	0	1	1	0	0	2	2	0	0	0	1	0	1	2	1	1	1	0	3	2	2	0	5	4	10	11	5	7	12	3	10	6	9	11	13	5	8	2	0	5	4	4	6	3	3	6	6	8	7	19	11	8	3	4	7	5	2	4	0	8	8	14	13	6	20	10	11	9	12	8	1	6	10	26	11	8	9	4	10	1	5	4	7	16	4	8	12	3	1	9	5	9	17	8	6	10	7	6	5	7	9	10	6	4	14	54	7	4	7	1	2	8	7	9	3	2	13	9	8	7	17	3	4	2	7	4	5	11	9	10	11	10	8	5	9	13	8	7	6	21	7	18	6	1	11	19	6	3	12	15	12	4	6	2	7	12	4	5	5	2	4	6	6	10	0	5	8	10	6	5	6	15	13	6	8	15	10	10	6	21	15	9	6	3	14	7	15	1	18	10	11	2	15	14	9	3	10	6	9	5	17	1	19	4	7	14	6	19	10	16	3	10	3	6	5	3	5	11	9	4	11	4	13	11	15	12	6	0	8	4	1	4	4	1	6	9	5	5	5	4	3	10	3	2	17	3	10	13	42	8	7	11	2	1	14	1	6	7	8	12	11	4	2	11	5	4	6	6	9	6	3	14	7	18	156	15	8	5	15	8	6	4
Del(C):R(6,9)	42	1	1	0	2	2	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	2	3	1	3	3	2	1	0	1	1	0	2	3	3	2	3	1	6	2	2	1	2	0	1	1	3	0	0	2	6	0	5	2	2	1	0	3	2	0	3	1	2	3	5	4	2	2	1	0	1	3	1	0	2	3	0	0	2	0	2	3	1	4	2	3	1	0	0	0	1	2	0	3	455	1	2	1	0	1	1	5	3	1	0	2	1	2	1	4	2	1	0	4	0	0	2	2	1	3	2	2	1	0	3	3	2	2	3	1	5	2	0	5	6	1	0	1	2	2	1	0	0	1	2	1	2	0	2	1	2	1	8	0	3	2	2	2	1	3	5	4	5	1	3	4	3	2	6	5	2	5	6	6	5	3	0	6	3	4	2	4	5	8	0	1	1	1	8	2	2	5	3	4	3	1	7	3	6	1	1	2	1	2	1	2	4	3	4	3	2	5	2	5	3	3	1	2	1	4	3	3	2	0	1	1	1	3	1	4	0	0	0	3	2	3	7	573	4	2	10	0	2	2	0	0	2	2	2	3	3	0	2	3	2	2	2	4	2	3	4	2	1	1565	3	7	0	4	0	7	2
