MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550
1:Del:C:0	38	81	106	88	127	127	84	20	12	37	15	27	15	12	11	34	15	85	58	33	25	19	17	16	15	87	10	11	71	64	12	32	39	37	8	70	44	41	23	10	31	9	53	27	10	29	18	46	38	106	31
1:Del:C:1	26	63	98	29	73	197	50	13	8	21	11	17	11	7	7	19	9	39	22	18	7	8	11	10	10	41	8	9	16	20	10	8	14	22	9	38	21	17	18	12	10	8	12	15	15	22	12	22	15	34	13
1:Del:C:2	33	81	106	58	103	197	83	3	4	7	7	7	6	3	1	8	8	29	9	9	3	5	9	6	2	54	2	6	9	14	1	2	4	10	3	60	16	7	7	5	12	4	9	4	5	28	5	11	27	12	6
1:Del:C:3	147	229	299	162	374	458	227	1	2	4	4	4	2	2	1	5	5	72	5	1	7	0	7	0	0	198	0	1	2	9	3	4	5	3	2	161	3	5	1	1	5	2	7	5	3	88	1	3	81	7	4
1:Del:C:4	383	759	897	463	1304	969	743	5	1	2	2	5	1	4	0	2	3	232	4	1	2	2	0	1	4	551	3	1	7	6	3	1	5	2	1	273	8	3	2	1	3	0	3	3	1	217	3	7	234	6	2
1:Del:C:5	1114	2005	3129	1369	3768	2366	2105	0	5	4	2	1	2	3	1	0	5	895	8	4	0	3	4	1	5	1576	5	1	4	6	4	5	2	3	4	694	11	1	1	2	2	1	4	3	2	575	6	10	576	9	3
1:Del:T:0	25	52	58	42	64	68	53	8	6	14	15	17	11	9	15	19	20	72	31	17	11	11	14	17	9	82	17	9	23	30	9	17	29	23	5	25	12	22	16	15	15	15	33	14	11	24	18	26	22	46	18
1:Del:T:1	32	68	104	52	89	215	43	9	0	8	9	9	11	9	5	11	6	48	19	12	12	4	14	9	12	100	4	12	15	18	7	7	15	16	7	43	23	11	9	10	12	7	12	6	10	20	15	8	23	14	4
1:Del:T:2	69	144	918	111	180	2727	100	12	8	8	10	18	10	4	14	6	7	104	21	16	7	9	5	9	7	217	9	3	21	18	8	11	13	16	8	86	56	15	4	9	11	1	29	15	8	49	16	12	47	34	5
1:Del:T:3	329	652	4888	709	1073	8065	559	8	5	9	12	26	14	7	4	17	3	399	29	15	9	7	5	8	9	886	5	5	28	25	3	13	17	11	6	255	88	18	5	13	10	10	32	9	8	197	14	28	228	38	22
1:Del:T:4	1060	1882	10435	1978	3369	13826	1691	16	6	6	9	15	9	11	6	8	9	1146	24	17	6	4	2	8	5	2380	14	12	35	17	10	11	14	12	2	696	130	14	8	12	18	7	34	12	13	534	11	27	674	28	19
1:Del:T:5	16314	33571	56596	35706	63020	58937	31931	44	48	41	38	42	133	95	38	97	20	22000	177	49	35	27	32	19	51	33911	28	30	75	55	69	97	38	29	59	9344	480	82	66	37	40	49	166	105	34	7528	79	149	7387	141	134
1:Ins:C:0	12	50	43	45	59	47	42	0	2	2	2	2	3	0	3	4	6	249	2	5	3	3	1	2	2	127	4	2	4	3	4	4	1	1	1	29	88	4	5	3	3	2	2	0	2	10	4	5	6	12	4
1:Ins:C:1	1	18	21	8	15	16	7	2	0	3	0	2	0	0	0	0	2	53	0	3	2	3	3	2	2	20	2	0	1	5	2	2	1	2	1	4	9	7	3	1	2	1	2	0	1	8	4	0	4	1	0
