MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
[Del(C):R1]A	1	6	10	3	25	4	9	13	14	8	14	4	5	4	7	13	4	7	5	8	2	3	8	7	1	2	5	4	5	5	7	6	24	3	6	9	7	9	6	6	7	8	9	8	6	9	7	6	11	1	2	10	417	9	1	7	7	4	10	5	6	5	7	4	19	35	2	2	7	16	21	8	9	5	7	10	7	3	1	22	10	9	3	7
[Del(C):R1]T	8	13	10	6	50	4	8	9	17	6	44	12	4	5	6	16	6	2	9	7	8	5	9	7	3	4	6	6	7	7	7	13	37	7	8	20	0	23	11	2	8	5	18	22	5	28	9	11	25	3	8	14	338	5	9	6	17	6	10	8	6	6	21	10	19	67	3	1	7	24	20	8	11	6	5	13	10	5	3	24	7	5	11	5
[Del(C):R2]A	2	5	4	1	9	2	1	5	1	4	13	3	4	1	5	3	3	10	3	2	2	3	9	5	2	2	2	3	4	5	0	2	10	0	4	4	7	11	2	1	5	6	2	12	2	15	5	1	3	1	5	4	99	2	9	5	7	3	4	2	3	16	9	6	10	11	3	2	7	6	13	2	6	4	3	9	9	2	0	5	4	3	0	3
[Del(C):R2]T	4	9	6	4	13	4	4	3	12	7	11	3	4	4	4	10	4	3	3	3	4	2	4	9	2	4	5	1	1	0	2	3	15	1	8	6	5	11	2	5	3	9	7	12	0	14	3	3	5	3	10	9	100	0	6	9	8	1	4	4	2	8	11	4	4	34	0	4	2	7	8	4	7	3	4	5	16	5	4	12	7	2	2	3
[Del(C):R3]A	1	1	5	2	18	4	4	3	7	9	6	3	1	1	4	6	1	6	4	3	1	1	2	2	1	1	0	1	2	8	2	2	5	0	4	3	3	4	3	4	0	0	0	6	1	11	1	4	5	2	6	1	100	3	3	6	6	1	0	3	2	8	2	2	4	15	1	1	3	5	6	5	3	2	5	0	4	1	1	2	4	3	0	0
[Del(C):R3]T	1	4	2	0	12	3	4	8	2	2	4	1	1	2	3	4	4	1	3	2	2	4	2	3	0	1	2	2	4	3	0	2	12	2	1	1	2	3	4	0	5	5	4	5	1	7	1	1	3	2	0	1	106	1	2	1	1	0	1	0	2	0	3	2	5	13	0	0	2	8	3	1	5	4	2	2	3	1	1	4	0	3	1	3
[Del(C):R(4,5)]A	1	3	3	1	20	3	4	1	3	5	8	1	4	2	1	4	4	4	1	2	3	1	3	3	0	0	3	3	2	4	2	5	8	3	4	1	1	3	4	1	4	2	3	4	2	7	6	4	3	0	2	3	1320	1	4	1	2	3	4	1	2	5	0	2	23	11	0	1	6	6	4	3	4	2	5	7	2	2	3	23	5	2	1	0
[Del(C):R(4,5)]T	1	3	3	0	9	4	2	0	3	6	4	3	0	0	6	1	1	1	2	2	4	2	5	7	0	1	1	0	2	0	1	3	5	2	1	3	3	1	1	3	3	1	2	2	1	5	2	2	1	2	3	2	1185	3	3	0	4	1	3	3	1	1	2	3	14	8	2	0	3	4	2	2	3	4	5	4	1	1	1	28	1	4	1	1
[Del(C):R(1,5)]G	2	2	6	0	9	1	1	4	5	3	5	3	4	1	1	6	2	3	2	2	2	1	7	1	0	1	1	0	3	2	4	2	8	2	2	1	2	3	4	0	2	0	0	0	2	5	2	1	3	1	4	2	496	0	8	2	2	3	7	3	2	1	5	4	13	10	0	3	3	8	3	0	1	4	5	2	4	2	4	7	3	1	2	3
Del(C):R(6,9)	1	8	5	3	6	5	13	10	3	13	4	10	3	0	9	4	5	5	1	3	6	4	9	16	1	10	1	6	5	4	5	6	6	5	10	8	4	16	5	2	7	4	3	5	7	6	6	11	2	2	4	4	6963	5	1	5	10	3	6	3	0	2	3	7	56	10	3	0	1	18	8	13	7	9	11	3	9	4	1	275	5	5	4	1
A[Del(T):R(1,4)]A	5	6	14	5	29	9	10	5	12	14	22	7	5	9	11	21	2	3	3	9	4	8	9	14	1	5	7	9	8	11	0	10	23	4	8	6	7	8	11	2	14	11	14	18	4	12	9	7	14	3	4	12	810	9	6	16	10	8	11	8	7	10	6	6	40	46	7	3	8	29	17	10	11	4	18	5	10	4	6	49	4	11	3	7
A[Del(T):R(1,4)]C	1	5	6	3	9	2	5	2	5	4	15	4	2	3	5	7	2	1	4	10	1	5	7	2	0	4	3	2	2	3	2	5	4	2	2	3	3	4	5	2	2	3	4	7	2	8	2	5	3	2	3	3	292	2	4	4	7	1	5	2	2	6	3	4	21	9	1	1	3	13	7	4	4	10	2	3	2	3	3	19	1	1	0	3
A[Del(T):R(1,4)]G	2	6	3	5	10	2	4	2	2	8	12	5	4	3	3	2	2	5	6	2	5	3	8	2	1	3	5	4	5	2	0	3	10	1	6	6	7	9	8	0	3	2	3	4	3	9	2	6	7	3	5	2	276	0	2	10	5	3	5	4	1	4	3	2	12	10	2	0	6	9	4	3	2	1	6	5	3	3	3	16	2	1	0	5
