MutationType	SP53460	SP50827	SP50263	SP50317	SP54113	SP50406	SP51824	SP55387	SP52779	SP55235	SP50713	SP50611	SP50485	SP51037	SP55142	SP53387	SP54745	SP52284	SP53618	SP52232	SP50412	SP50321	SP53548	SP55004	SP56079	SP56168	SP54363	SP53810	SP50518	SP56303	SP55711	SP55509	SP55309	SP52607	SP52667	SP51446	SP50592	SP53073	SP56638	SP56537	SP57586	SP56541	SP56553	SP56771	SP57941	SP57818	SP56460	SP56474	SP56704	SP56533	SP56730	SP59245	SP57024	SP57933	SP56754	SP56827	SP57084	SP57538	SP57735	SP57669	SP56566	SP56569	SP58342	SP58349	SP56644	SP57629	SP56941	SP57619	SP58245	SP57251	SP56502	SP58668	SP58101	SP58991	SP56607	SP58326	SP57267	SP57066	SP57901	SP57651	SP57450	SP57846	SP58612	SP56821	SP58882	SP57189
A[Del(C):R1]A	38	44	2	9	108	0	15	7	34	87	12	31	2	1	136	24	18	3	72	22	2	13	1	1	43	4	29	210	3	10	7	56	0	1	32	1	2	25	26	30	18	31	46	8	97	53	12	5	31	13	27	34	14	38	17	32	29	21	25	31	14	24	35	30	20	23	0	22	40	28	39	35	29	17	10	62	43	34	16	16	3	38	23	20	5	83
A[Del(C):R1]G	2	5	0	0	9	0	1	2	5	6	1	8	1	0	9	3	0	0	9	2	0	3	0	0	5	1	3	24	0	2	0	8	0	0	5	1	0	1	5	5	2	2	3	2	8	1	2	0	4	2	5	2	2	2	2	5	3	3	2	7	3	4	6	2	1	1	0	5	2	1	5	4	2	2	0	6	3	16	2	3	1	2	5	3	2	11
A[Del(C):R1]T	18	14	4	6	23	0	10	4	11	32	2	24	0	2	49	11	4	1	16	9	0	8	0	0	11	1	12	48	3	12	4	20	0	2	20	4	0	4	11	13	9	5	21	7	32	15	12	7	13	7	11	13	7	29	8	8	17	10	9	13	8	6	11	18	15	14	0	13	12	19	14	29	17	9	5	30	13	13	13	5	7	10	4	8	7	32
A[Del(C):R2]A	18	41	2	1	89	0	22	5	34	69	8	59	2	1	113	30	15	2	64	18	1	10	1	0	37	2	22	154	2	4	1	61	0	2	28	3	0	18	26	26	12	27	63	10	70	35	13	4	58	18	37	35	15	30	26	36	36	38	35	38	7	25	58	28	40	14	2	30	48	35	47	68	30	23	6	70	52	47	20	10	7	35	28	25	9	103
A[Del(C):R2]G	3	6	0	0	18	0	3	1	5	12	3	2	0	0	15	4	2	0	9	4	0	0	0	0	2	0	8	30	0	0	0	7	0	0	1	1	0	3	7	7	6	10	12	1	12	12	0	1	4	2	7	6	0	10	2	11	5	4	6	3	2	5	4	2	7	2	0	6	9	5	5	8	8	3	2	7	6	8	2	1	2	8	3	12	2	13
A[Del(C):R2]T	13	12	2	4	43	0	6	1	15	26	9	18	2	1	56	9	5	1	24	10	1	4	1	0	15	3	7	68	1	2	2	31	0	3	10	1	0	11	14	12	14	22	28	1	20	13	8	5	29	5	12	8	4	37	10	7	13	15	16	16	4	10	28	17	16	7	0	15	22	19	24	31	15	8	7	32	30	36	12	7	7	17	16	11	5	61
A[Del(C):R3]A	18	23	2	2	58	0	8	3	19	43	6	22	1	0	57	19	8	0	29	9	1	5	0	0	30	2	17	86	0	1	1	34	0	0	15	1	1	12	21	28	15	14	25	4	35	16	11	2	28	9	17	23	10	19	7	25	29	18	15	18	8	16	21	21	20	6	0	24	22	11	19	20	16	12	14	49	26	17	10	4	1	22	15	25	8	84
A[Del(C):R3]G	3	2	0	0	12	1	0	2	5	12	3	3	0	0	15	6	2	0	7	2	0	1	0	0	5	1	3	9	0	0	0	5	0	0	3	0	0	1	4	2	2	5	7	1	7	6	0	0	3	1	3	3	1	2	0	1	7	2	3	1	1	2	4	1	3	1	0	3	7	4	4	2	1	0	3	5	3	2	2	0	0	6	2	3	0	7
A[Del(C):R3]T	6	10	2	1	28	0	5	0	8	29	0	14	2	0	43	6	2	1	12	4	1	3	0	0	4	0	7	37	0	3	1	9	0	0	7	1	1	5	8	3	8	5	18	1	13	9	2	1	13	4	10	10	2	6	4	8	8	2	7	7	3	3	13	13	17	4	0	12	10	12	10	16	9	4	3	12	12	11	3	1	0	7	6	6	3	31
A[Del(C):R4]A	6	11	2	2	33	0	6	0	11	15	1	8	0	2	47	6	0	1	11	9	0	3	0	0	9	4	4	29	1	0	1	6	0	1	7	1	0	6	7	11	6	11	15	4	16	14	7	0	20	6	15	11	6	15	5	16	14	10	12	8	3	9	13	5	11	3	1	7	9	10	20	18	9	6	6	14	13	12	5	1	1	9	7	11	5	33
A[Del(C):R4]G	0	3	1	0	7	0	0	0	7	4	0	4	0	0	7	3	1	1	8	0	0	0	0	0	4	1	0	8	0	0	0	1	0	0	3	2	0	2	2	2	0	0	6	0	2	2	1	0	4	1	0	4	0	3	0	2	4	2	4	1	0	1	2	1	4	1	0	1	2	1	0	8	2	1	2	7	3	2	0	0	0	2	4	1	1	6
A[Del(C):R4]T	3	4	0	1	9	0	6	2	3	11	4	4	0	0	18	2	3	0	4	2	1	2	0	0	4	0	3	17	0	1	1	5	0	0	6	0	0	5	6	8	4	8	6	1	4	3	1	1	11	1	2	7	3	6	4	4	6	5	6	7	4	5	3	4	13	1	0	8	8	0	1	5	4	2	3	5	9	10	1	3	0	3	6	5	1	12
A[Del(C):R5]A	2	13	1	2	21	0	4	1	8	20	4	10	0	0	33	2	3	1	17	9	0	3	0	0	12	1	5	30	3	0	0	16	0	0	7	1	0	3	9	7	10	12	15	2	9	9	4	4	14	5	11	5	5	12	4	7	9	10	17	7	4	5	11	10	7	4	1	10	25	4	7	18	19	2	8	22	15	17	3	5	4	11	8	6	2	27
A[Del(C):R5]G	0	1	0	1	2	0	0	0	3	3	0	2	1	0	2	1	0	0	1	0	0	0	0	0	1	0	3	5	0	0	0	2	0	0	1	0	0	0	1	1	0	3	2	0	3	3	0	2	1	0	0	0	1	4	0	0	2	0	0	0	0	0	2	0	1	1	0	2	2	4	2	2	3	0	0	2	1	3	2	1	0	0	1	1	1	5
A[Del(C):R5]T	2	1	0	0	16	0	2	1	2	11	1	8	0	0	18	1	1	1	2	3	0	0	0	0	2	0	6	13	0	2	1	6	0	0	1	0	1	1	4	4	4	1	4	2	8	4	1	2	9	5	5	4	3	7	2	1	6	11	3	5	2	5	6	7	9	2	1	4	2	4	5	7	5	1	0	10	6	6	3	1	1	3	7	0	1	9
A[Del(C):R6]A	3	1	1	1	6	0	2	1	3	11	1	6	0	0	14	0	1	0	6	1	0	0	0	0	6	0	3	13	0	0	0	4	0	0	1	0	0	1	3	3	3	3	12	4	7	5	4	1	6	3	1	2	2	6	2	4	1	3	9	5	0	2	5	4	6	3	0	0	4	6	5	4	3	2	3	3	5	2	2	3	0	6	4	4	1	16
