MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
5:Ins:R:5	3.69E-07	3.38E-05	8.25E-06	3.36E-06	3.79E-05	8.31E-06	2.41E-10	2.84E-05	1.44E-06	2.29E-06	1.18E-05	2.84E-05
2:Del:M:1	2.29E-05	1.67E-03	8.26E-04	7.83E-04	6.29E-04	5.79E-04	1.18E-04	2.19E-03	8.38E-04	3.66E-04	1.92E-04	3.87E-04
3:Del:M:1	5.00E-06	1.96E-04	1.12E-04	1.33E-04	1.15E-04	5.52E-05	2.70E-05	1.53E-04	1.18E-04	1.30E-04	1.97E-04	1.40E-04
3:Del:M:2	8.37E-06	9.09E-04	4.48E-04	2.95E-04	1.59E-04	3.37E-04	5.76E-05	1.04E-03	1.23E-04	2.42E-04	1.82E-04	1.98E-04
4:Del:M:1	7.02E-08	1.91E-04	1.06E-04	2.45E-04	1.33E-04	8.75E-05	2.20E-05	2.94E-04	8.47E-05	1.45E-04	1.91E-04	2.07E-04
4:Del:M:2	8.62E-06	4.59E-04	2.22E-04	1.44E-04	5.52E-05	1.59E-04	3.99E-05	5.67E-04	7.25E-05	1.39E-04	1.56E-04	1.57E-04
4:Del:M:3	1.12E-06	7.74E-04	3.77E-04	2.27E-04	1.05E-04	2.89E-04	5.26E-05	9.82E-04	6.78E-05	1.40E-04	1.33E-04	2.48E-04
5:Del:M:1	0.00E+00	5.41E-04	3.06E-04	4.22E-04	3.01E-04	1.17E-04	1.05E-04	4.97E-04	2.22E-04	4.98E-04	1.21E-03	7.84E-04
5:Del:M:2	5.73E-06	3.81E-04	1.39E-04	1.72E-04	2.59E-04	4.46E-05	1.21E-04	4.92E-04	2.21E-04	2.82E-04	1.28E-03	4.24E-04
5:Del:M:3	6.57E-06	2.29E-04	8.84E-05	1.25E-04	1.67E-04	3.97E-05	8.44E-05	2.63E-04	1.79E-04	1.78E-04	9.37E-04	5.49E-05
5:Del:M:4	3.98E-06	9.59E-05	3.01E-05	5.66E-05	1.00E-04	2.21E-05	5.69E-05	1.66E-04	1.10E-04	5.27E-05	5.42E-04	1.91E-05
5:Del:M:5	6.37E-07	4.14E-04	8.55E-05	1.24E-04	4.13E-04	1.07E-04	6.37E-05	2.38E-04	1.37E-04	1.29E-04	5.77E-04	2.50E-04
