Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
SP111173	482	1010	0	0	708	0	0	0	0	0	0	0
SP111008	856	661	0	0	0	0	0	0	0	0	0	0
SP111070	908	912	0	0	0	0	0	0	0	0	0	0
SP110847	517	1209	0	0	0	0	0	0	0	0	0	0
SP111077	548	903	0	0	599	0	0	0	0	0	0	0
SP111091	98	92	0	0	302	0	0	0	0	147	0	0
SP111072	513	511	0	0	0	0	0	0	0	0	0	0
SP111084	293	221	0	0	356	0	0	0	0	259	0	0
SP23504	374	126	0	0	0	0	0	0	0	0	0	0
SP23500	107	69	0	0	121	0	0	0	0	92	0	0
SP111029	140	67	0	0	0	0	0	90	0	0	0	0
SP111175	800	2478	0	0	0	0	0	0	0	1289	0	0
SP111049	1010	731	0	0	0	0	0	0	0	0	0	0
SP23498	854	924	0	0	0	0	0	0	0	0	0	0
SP111002	141	121	0	0	130	0	0	0	0	0	0	0
SP110866	498	439	0	0	291	0	0	0	0	0	0	0
SP111035	1392	1184	0	0	0	0	0	0	0	0	0	0
SP111009	617	943	0	0	0	0	0	0	0	0	0	0
SP111114	1451	2176	0	0	0	0	0	0	0	0	0	0
SP111000	1050	790	0	0	0	0	0	0	0	0	0	0
SP111045	1103	1113	0	0	0	0	0	0	0	0	0	0
SP110861	756	384	0	0	0	0	0	0	0	0	0	0
SP111047	793	588	0	0	0	0	0	0	0	0	0	0
SP111088	747	849	0	0	0	0	0	0	0	0	0	0
SP111056	788	732	0	0	0	0	0	0	0	0	0	0
SP111089	290	295	0	0	0	0	0	158	0	0	0	0
SP111038	1543	1876	0	0	0	0	0	0	0	0	0	0
SP110849	755	853	0	0	0	0	0	0	0	0	0	0
SP111164	862	1059	0	0	0	0	0	0	0	0	0	0
SP111057	779	518	0	0	0	0	0	0	0	0	0	0
SP111119	771	3079	0	0	0	0	0	0	0	0	0	0
SP111095	1116	1232	0	0	0	0	0	0	0	0	0	0
SP111064	1182	822	0	0	0	0	0	0	0	0	0	0
CPCT02030245T	193	103	0	0	0	138	137	0	0	0	201	0
CPCT02030257T	1365	1497	0	0	0	0	0	0	0	0	0	0
CPCT02070015T	1382	1992	0	0	0	0	0	0	0	0	0	0
CPCT02040043T	542	301	0	0	0	0	0	0	0	0	270	0
CPCT02100032T	979	199	0	0	0	0	0	0	0	0	0	0
CPCT02160007T	316	155	0	0	260	0	236	0	0	0	0	0
CPCT02030286T	997	1088	0	0	0	0	0	0	0	0	0	0
CPCT02100140T	2618	931	0	0	0	0	0	0	0	0	0	0
CPCT02100141T	1278	1936	0	0	0	0	0	0	0	0	0	0
CPCT02330072TII	1467	1941	0	0	0	0	0	0	0	0	0	0
CPCT02330132T	1000	2272	0	0	0	0	0	0	0	0	0	0
CPCT02130030T	868	308	0	0	0	0	0	0	0	0	262	0
CPCT02060183T	1414	2138	0	0	0	0	0	0	0	0	0	0
CPCT02130033T	895	896	0	0	0	0	0	0	0	0	0	0
CPCT02300031T	973	821	0	0	0	0	0	0	0	0	0	0
CPCT02180054T	1664	1420	0	0	0	0	0	0	0	0	0	0
CPCT02090037T	1106	1074	0	0	0	0	0	0	0	0	0	0
CPCT02130041T	827	1288	0	0	0	0	0	0	0	0	0	0
CPCT02060200T	205	562	0	0	0	0	0	0	0	889	244	0
WIDE01010009T	856	950	0	0	0	0	0	0	0	0	0	0
CPCT02330094T	404	234	0	0	0	0	193	0	0	0	242	0
CPCT02110061T	622	410	0	0	0	0	256	0	0	0	330	0
WIDE01010016T	396	497	0	0	0	0	0	0	256	0	0	0
CPCT02230070T	1437	1865	0	0	0	0	0	0	0	0	0	0
CPCT02340070T	657	1256	0	0	0	0	0	0	0	0	0	0
CPCT02340073T	406	50	0	0	0	0	112	0	0	0	135	0
CPCT02050330T	484	449	0	0	0	0	0	347	0	0	0	0
CPCT02340077T	692	572	0	0	0	0	0	0	0	0	0	0
WIDE01010064T	2148	2498	0	0	0	0	0	0	0	0	0	0
CPCT02050314T	192	168	0	0	0	0	172	0	0	0	241	0
CPCT02220037T	931	1025	0	0	0	0	0	0	0	0	0	0
WIDE01010073T	932	352	0	0	0	0	0	0	0	0	0	0
CPCT02210045T	1076	1836	0	0	0	0	0	0	0	0	0	0
CPCT02100163T	552	669	0	0	0	0	0	0	0	0	302	0
CPCT02130049T	1697	3156	0	0	0	0	0	0	0	0	0	0
CPCT02050343T	419	204	0	0	0	0	257	0	0	0	225	0
CPCT02020712T	427	494	0	0	358	0	273	0	0	242	256	0
CPCT02130070T	757	431	0	0	0	0	322	0	0	0	388	0
CPCT02130071T	382	352	0	0	0	0	0	228	0	0	209	0
