Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP127630	0	384	210	522	0	0	17	18	44	13	0
SP127634	0	0	132	459	91	233	223	173	25	9	104
SP127636	291	0	326	424	91	0	35	58	0	13	0
SP127628	156	294	63	41	9	49	0	13	5	0	0
SP127640	415	90	474	0	55	76	28	20	0	6	0
SP127638	705	607	0	203	28	1	34	14	57	7	0
SP127632	213	855	573	51	23	0	81	14	253	4	39
SP59388	72	44	69	130	0	0	0	23	31	0	0
SP116649	467	0	378	0	115	0	13	47	0	0	0
SP59416	185	8	196	0	47	0	10	43	0	1	0
SP124977	168	313	228	0	27	29	5	3	23	6	0
SP59356	69	127	52	35	17	64	7	15	17	2	0
SP116612	148	273	223	0	2	132	36	13	41	0	0
SP116659	224	146	0	252	171	0	8	28	38	2	0
SP116668	586	0	617	0	241	46	0	252	0	0	31
SP116630	344	440	671	0	22	0	39	0	0	0	0
SP59412	272	372	221	0	51	20	9	39	84	0	0
SP116686	63	75	67	5	28	88	44	0	0	0	0
SP116694	147	0	306	249	77	73	31	18	0	7	27
SP116712	48	0	38	0	15	8	7	0	1	0	0
SP116726	340	492	0	0	0	125	17	20	58	7	0
SP116723	42	0	84	0	19	54	10	14	0	0	26
SP59276	28	0	6	97	0	31	5	0	11	0	0
SP116703	26	61	45	0	71	0	7	7	9	0	0
SP59312	349	201	285	304	57	0	22	18	43	4	0
SP116701	256	152	176	0	88	48	36	17	49	5	0
SP59296	99	122	0	0	0	38	0	1	0	1	0
SP59280	137	0	117	154	2	69	0	3	0	0	0
SP59344	10	0	0	149	7	24	2	8	8	0	7
SP59460	359	240	62	0	77	0	6	35	41	0	0
SP59404	35	79	0	145	0	5	4	7	0	0	0
SP116709	31	0	67	214	37	0	21	22	42	5	0
SP59448	1185	1049	962	0	49	53	26	19	15	0	0
SP116614	436	665	0	0	93	0	11	50	30	0	0
SP59464	41	81	72	0	52	0	3	26	10	1	0
SP59364	129	156	23	0	71	163	8	47	0	0	0
SP116663	522	963	264	0	0	20	40	17	59	15	0
SP59444	78	0	60	0	19	57	10	0	53	0	0
SP116690	270	93	544	493	1	0	50	68	145	5	154
SP59270	63	11	47	0	0	11	1	3	17	0	12
SP59352	66	0	62	318	61	26	18	46	47	0	0
SP116652	26	0	70	65	1	17	5	1	0	0	0
SP116715	690	1564	881	0	71	159	32	13	10	22	0
SP116718	93	0	191	125	102	0	28	27	14	4	0
SP116720	41	72	28	0	24	84	0	1	0	0	0
SP59284	118	330	7	0	0	0	2	0	2	1	0
SP116618	0	176	0	45	25	64	38	10	0	0	23
SP59436	0	18	4	0	27	0	2	4	6	0	0
SP116645	564	0	248	279	128	0	8	26	59	2	0
SP59320	0	120	0	89	91	0	1	27	0	0	0
SP116672	18	13	31	0	3	48	5	3	2	0	0
SP116635	117	120	25	0	39	54	12	14	21	0	0
SP59328	59	0	62	103	1	42	4	1	0	2	0
SP116627	0	151	0	35	27	0	9	12	33	0	0
SP116725	61	27	40	0	0	17	0	11	0	0	0
SP59292	72	46	60	0	52	0	3	28	19	0	0
SP116683	72	131	22	244	92	0	41	21	39	5	0
SP59372	9	0	31	0	0	16	42	16	25	5	0
SP116610	264	428	12	0	130	10	193	71	0	10	0
SP116638	114	88	15	0	41	35	12	20	0	0	0
SP59336	23	151	2	0	0	20	0	0	0	3	0
SP124971	481	0	561	287	122	0	28	37	15	1	0
SP116665	0	75	13	0	19	26	2	8	0	0	0
SP116674	269	104	127	0	25	54	17	39	32	0	0
