Samples	ID1	ID2	ID3	ID5	ID14
CPCT02210016T	20728	177857	0	0	0
CPCT02050170T	4279	15484	0	0	0
CPCT02010569T	1511	2365	0	0	0
CPCT02100019T	20830	90816	0	0	0
CPCT02020514T	4687	31106	0	0	0
CPCT02070140T	9271	33074	0	0	0
CPCT02030347T	16396	150922	0	0	0
CPCT02180033T	3362	12528	0	0	0
CPCT02070164T	7047	23221	0	0	0
DRUP01070015T	12696	56635	0	0	0
DRUP01010022T	7364	46045	0	0	0
CPCT02030349T	9596	46368	0	0	0
CPCT02120032T	2615	9287	0	0	0
DRUP01010025T	19224	129792	0	0	0
CPCT02220023T	0	0	6361	0	0
CPCT02100101T	11866	3263	0	0	0
CPCT02030357T	29654	178929	0	0	0
CPCT02070192T	9899	39982	0	0	0
CPCT02050211T	17342	89491	0	0	0
CPCT02380016T	559	5598	0	0	1565
DRUP01090003T	19380	106793	0	0	0
CPCT02230039T	1087	1984	0	1212	0
DRUP01010037T	6679	32219	0	0	0
CPCT02120042T	19373	175487	0	0	0
DRUP01070020T	7357	24393	0	0	0
CPCT02340022T	7930	2439	0	0	0
CPCT02070041T	2903	11418	0	0	0
DRUP01140001T	4792	9787	0	0	0
CPCT02210004T	10773	35154	0	0	0
CPCT02050089T	1571	2849	0	0	0
CPCT02050104T	0	0	0	0	5165
CPCT02050041T	2089	2849	0	0	0
DRUP01050001T	18379	110269	0	0	0
DRUP01050003T	104941	0	0	0	0
DRUP01070008T	22684	92691	0	0	0
CPCT02370001T	985	2350	0	0	1354
CPCT02020491T	1291	0	5711	0	0
CPCT02020486T	1563	2486	0	0	0
DRUP01010018T	25945	141774	0	0	0
DRUP01050002T	26853	158123	0	0	0
CPCT02040104T	0	1100	5842	0	0
CPCT02070131T	4465	15572	0	0	0
DRUP01070026T	11750	44275	0	0	0
CPCT02380029T	0	86292	0	0	0
CPCT02360007T	8410	34070	0	0	0
CPCT02340041T	1429	2832	0	0	0
CPCT02040196T	1661	2235	0	0	0
DRUP01110002T	16407	67089	0	0	0
CPCT02220030T	25863	74642	0	0	0
DRUP01050017T	9421	60864	0	0	0
CPCT02030430T	5685	9376	0	0	0
CPCT02070023TII	25166	112924	0	0	0
WIDE01010443T	2828	1302	0	0	0
WIDE01010470T	14874	14181	0	0	0
DRUP01010167T	7194	35490	0	0	0
CPCT02080048T	8187	21254	0	0	0
DRUP01070119T	1794	7106	0	0	0
WIDE01010539T	2167	1938	0	0	0
WIDE01010557T	623	0	7688	0	0
WIDE01010578T	3998	20150	0	0	0
WIDE01010648T	966	521	3848	0	0
