Sample Names	MutationType	ID1	ID2	ID3	ID5	ID14
SP99325	1:Del:C:0	0.00771617428284905	0.9922838257171509	0.0	0.0	0.0
SP99325	1:Del:C:1	0.891445336031105	0.10855466396889492	0.0	0.0	0.0
SP99325	1:Del:C:2	2.497082417248568e-13	0.9999999999997502	0.0	0.0	0.0
SP99325	1:Del:C:3	0.1532943609164208	0.8467056390835791	0.0	0.0	0.0
SP99325	1:Del:C:4	0.041177056891360496	0.9588229431086395	0.0	0.0	0.0
SP99325	1:Del:C:5	0.0513235505613505	0.9486764494386495	0.0	0.0	0.0
SP99325	1:Del:T:0	0.03746534763948112	0.9625346523605188	0.0	0.0	0.0
SP99325	1:Del:T:1	0.1643028482178686	0.8356971517821314	0.0	0.0	0.0
SP99325	1:Del:T:2	0.030279331216360166	0.9697206687836397	0.0	0.0	0.0
SP99325	1:Del:T:3	0.025929981734518895	0.9740700182654811	0.0	0.0	0.0
SP99325	1:Del:T:4	0.02092086797757342	0.9790791320224265	0.0	0.0	0.0
SP99325	1:Del:T:5	9.532285197829677e-19	1.0	0.0	0.0	0.0
SP99325	1:Ins:C:0	0.1643028482178686	0.8356971517821314	0.0	0.0	0.0
SP99325	1:Ins:C:1	3.420721114605798e-15	0.9999999999999967	0.0	0.0	0.0
SP99325	1:Ins:C:2	2.9640940143682275e-14	0.9999999999999705	0.0	0.0	0.0
SP99325	1:Ins:C:3	0.3157902686604202	0.6842097313395799	0.0	0.0	0.0
SP99325	1:Ins:C:4	0.12577289871862202	0.8742271012813779	0.0	0.0	0.0
SP99325	1:Ins:C:5	0.38731209209963846	0.6126879079003615	0.0	0.0	0.0
SP99325	1:Ins:T:0	0.2874033451313237	0.7125966548686762	0.0	0.0	0.0
SP99325	1:Ins:T:1	0.9999999999995822	4.177599260242143e-13	0.0	0.0	0.0
SP99325	1:Ins:T:2	0.06536345787613188	0.9346365421238682	0.0	0.0	0.0
SP99325	1:Ins:T:3	0.4789930527141606	0.5210069472858395	0.0	0.0	0.0
SP99325	1:Ins:T:4	0.5283187311404908	0.47168126885950923	0.0	0.0	0.0
SP99325	1:Ins:T:5	0.9852346027213355	0.014765397278664515	0.0	0.0	0.0
SP99325	2:Del:R:0	0.49561411923782456	0.5043858807621754	0.0	0.0	0.0
SP99325	2:Del:R:1	0.07424664087429267	0.9257533591257073	0.0	0.0	0.0
SP99325	2:Del:R:2	0.05657585991417039	0.9434241400858295	0.0	0.0	0.0
SP99325	2:Del:R:3	0.11930617591347321	0.8806938240865269	0.0	0.0	0.0
SP99325	2:Del:R:4	0.014317261749462788	0.9856827382505373	0.0	0.0	0.0
SP99325	2:Del:R:5	0.1425832046324549	0.8574167953675451	0.0	0.0	0.0
SP99325	3:Del:R:0	0.706172271740916	0.2938277282590841	0.0	0.0	0.0
SP99325	3:Del:R:1	0.1902749859864161	0.809725014013584	0.0	0.0	0.0
SP99325	3:Del:R:2	0.07307013704299965	0.9269298629570004	0.0	0.0	0.0
SP99325	3:Del:R:3	0.17787565591278195	0.822124344087218	0.0	0.0	0.0
SP99325	3:Del:R:4	0.16361055013811202	0.836389449861888	0.0	0.0	0.0
SP99325	3:Del:R:5	0.1643028482178686	0.8356971517821314	0.0	0.0	0.0
