MutationType	ID83A	ID83B	ID83C
1:Del:C:0	6.19E-05	1.42E-04	2.01E-04
1:Del:C:1	2.64E-05	8.76E-05	1.43E-04
1:Del:C:2	1.46E-05	5.14E-05	8.47E-05
1:Del:C:3	2.70E-05	3.54E-05	5.78E-05
1:Del:C:4	2.44E-05	3.48E-05	4.78E-05
1:Del:C:5	4.99E-05	5.80E-05	6.47E-05
1:Del:T:0	9.76E-05	1.43E-04	1.60E-04
1:Del:T:1	1.20E-04	1.49E-04	1.69E-04
1:Del:T:2	6.20E-05	9.59E-05	1.14E-04
1:Del:T:3	8.00E-05	1.07E-04	1.34E-04
1:Del:T:4	9.34E-05	1.18E-04	1.53E-04
1:Del:T:5	7.56E-04	8.18E-04	1.30E-03
1:Ins:C:0	3.21E-04	2.54E-04	3.50E-04
1:Ins:C:1	3.42E-05	4.24E-05	6.00E-05
1:Ins:C:2	1.86E-05	2.44E-05	3.75E-05
1:Ins:C:3	1.65E-05	2.49E-05	3.57E-05
1:Ins:C:4	2.28E-05	3.28E-05	3.60E-05
1:Ins:C:5	5.51E-05	7.58E-05	6.12E-05
1:Ins:T:0	3.79E-05	6.06E-05	7.11E-05
1:Ins:T:1	4.97E-06	6.13E-05	1.04E-04
1:Ins:T:2	1.35E-05	3.77E-05	7.06E-05
1:Ins:T:3	2.08E-05	3.77E-05	6.30E-05
1:Ins:T:4	3.30E-05	5.66E-05	6.24E-05
1:Ins:T:5	4.71E-04	1.34E-03	5.34E-04
2:Del:R:0	3.47E-05	5.38E-05	7.94E-05
2:Del:R:1	5.00E-05	8.15E-05	1.09E-04
2:Del:R:2	2.39E-05	3.21E-05	5.59E-05
2:Del:R:3	1.89E-05	2.16E-05	3.19E-05
2:Del:R:4	1.21E-05	1.22E-05	2.57E-05
2:Del:R:5	1.90E-05	8.90E-06	3.17E-05
3:Del:R:0	1.83E-05	3.20E-05	4.99E-05
3:Del:R:1	5.47E-05	7.14E-05	1.10E-04
3:Del:R:2	3.21E-05	3.71E-05	4.63E-05
3:Del:R:3	1.39E-05	1.73E-05	2.35E-05
3:Del:R:4	9.36E-06	1.43E-05	1.62E-05
3:Del:R:5	6.36E-06	6.53E-06	1.30E-05
4:Del:R:0	1.67E-05	3.06E-05	4.50E-05
4:Del:R:1	4.85E-05	6.94E-05	7.75E-05
4:Del:R:2	2.45E-05	3.45E-05	4.51E-05
4:Del:R:3	1.42E-05	1.90E-05	2.23E-05
4:Del:R:4	8.06E-06	1.01E-05	1.44E-05
4:Del:R:5	7.95E-06	9.22E-06	8.90E-06
5:Del:R:0	1.56E-05	1.12E-04	1.54E-04
5:Del:R:1	3.96E-05	4.98E-05	5.67E-05
5:Del:R:2	1.14E-05	1.87E-05	2.67E-05
5:Del:R:3	1.07E-05	1.22E-05	1.48E-05
5:Del:R:4	4.88E-06	2.39E-06	1.01E-05
5:Del:R:5	2.18E-06	2.71E-07	4.58E-06
2:Ins:R:0	3.95E-05	5.91E-05	8.29E-05
2:Ins:R:1	1.27E-05	3.20E-05	5.28E-05
2:Ins:R:2	1.46E-05	2.98E-05	3.70E-05
2:Ins:R:3	1.43E-05	2.15E-05	2.52E-05
2:Ins:R:4	2.79E-05	3.87E-05	3.37E-05
2:Ins:R:5	7.82E-05	1.11E-04	5.36E-05
3:Ins:R:0	1.72E-05	3.25E-05	5.34E-05
3:Ins:R:1	2.09E-05	3.67E-05	4.34E-05
3:Ins:R:2	1.38E-05	1.64E-05	2.16E-05
3:Ins:R:3	5.72E-06	7.70E-06	9.54E-06
3:Ins:R:4	7.53E-06	3.58E-06	1.38E-05
3:Ins:R:5	2.06E-05	2.96E-05	1.78E-05
4:Ins:R:0	2.54E-05	4.30E-05	6.85E-05
4:Ins:R:1	1.79E-05	3.72E-05	5.45E-05
4:Ins:R:2	1.13E-05	1.48E-05	2.12E-05
4:Ins:R:3	3.16E-06	8.70E-06	6.24E-06
4:Ins:R:4	1.32E-05	1.99E-05	2.24E-05
4:Ins:R:5	2.27E-05	3.01E-05	2.54E-05
5:Ins:R:0	2.29E-05	1.91E-04	3.23E-04
5:Ins:R:1	4.99E-05	7.76E-05	9.67E-05
5:Ins:R:2	1.43E-05	1.82E-05	1.93E-05
5:Ins:R:3	8.35E-06	1.31E-05	1.65E-05
5:Ins:R:4	6.89E-06	1.02E-05	1.30E-05
5:Ins:R:5	5.21E-06	8.25E-06	9.41E-06
2:Del:M:1	4.15E-05	6.83E-05	8.78E-05
3:Del:M:1	1.29E-05	2.43E-05	4.17E-05
3:Del:M:2	2.93E-05	5.40E-05	6.86E-05
4:Del:M:1	1.57E-05	3.44E-05	4.83E-05
4:Del:M:2	2.17E-05	4.13E-05	5.95E-05
4:Del:M:3	3.90E-05	5.40E-05	7.09E-05
5:Del:M:1	1.95E-05	9.75E-05	1.48E-04
5:Del:M:2	1.30E-05	8.82E-05	1.30E-04
5:Del:M:3	1.15E-05	7.81E-05	1.14E-04
5:Del:M:4	1.16E-05	4.29E-05	7.04E-05
5:Del:M:5	1.87E-05	5.35E-05	8.80E-05
