MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	1.26E-04	1.79E-04	8.34E-04	1.46E-03	1.46E-03	1.77E-03	9.94E-04	9.64E-04	2.10E-03	2.36E-03	4.80E-03	2.61E-03	2.35E-03	3.01E-03	9.83E-04	9.13E-04	1.72E-03
1:Del:C:1	2.54E-05	1.86E-04	6.48E-04	5.49E-04	5.05E-04	1.04E-03	1.70E-05	1.51E-03	1.07E-03	1.97E-03	1.29E-03	1.29E-03	1.57E-03	1.89E-03	7.63E-04	1.28E-03	9.38E-04
1:Del:C:2	6.48E-05	3.68E-05	3.78E-04	4.03E-04	2.08E-04	9.64E-04	3.56E-04	3.91E-04	4.83E-04	1.03E-03	6.23E-04	4.38E-04	5.37E-04	1.96E-03	2.46E-04	6.50E-04	5.55E-04
1:Del:C:3	1.44E-04	1.22E-04	5.74E-04	1.78E-04	9.29E-05	1.27E-03	1.49E-04	4.31E-04	3.90E-04	6.92E-04	4.49E-04	6.27E-04	3.31E-04	1.06E-03	2.30E-04	2.76E-04	1.35E-04
1:Del:C:4	3.30E-04	5.59E-05	2.23E-03	1.44E-04	1.11E-04	9.21E-04	4.61E-05	4.84E-04	6.18E-05	7.85E-04	3.79E-04	4.19E-04	1.84E-04	5.98E-04	1.40E-04	8.29E-05	2.78E-04
1:Del:C:5	1.44E-03	2.14E-04	8.98E-03	4.11E-05	2.80E-05	1.86E-04	2.83E-05	2.34E-03	1.61E-05	3.21E-04	2.50E-04	5.83E-04	8.20E-06	9.54E-04	5.40E-05	3.37E-04	3.30E-04
1:Del:T:0	5.81E-05	2.26E-04	7.80E-04	5.27E-04	6.34E-04	5.35E-03	6.00E-04	1.62E-03	6.11E-03	3.37E-03	1.28E-03	1.90E-03	2.49E-03	1.36E-03	7.87E-04	2.70E-03	1.32E-03
1:Del:T:1	7.12E-05	1.34E-04	6.21E-04	1.83E-04	4.11E-04	2.88E-03	4.32E-04	9.26E-04	3.20E-03	3.65E-03	5.76E-04	1.91E-03	1.67E-03	1.10E-03	1.00E-03	1.45E-03	1.13E-03
1:Del:T:2	1.29E-04	1.12E-05	9.89E-04	5.32E-04	4.19E-04	2.93E-03	1.52E-04	9.46E-04	3.54E-03	1.70E-03	7.61E-04	1.12E-03	1.62E-03	8.52E-04	3.65E-04	1.83E-03	5.66E-04
1:Del:T:3	3.87E-04	1.41E-04	5.99E-04	5.23E-04	5.43E-04	4.79E-03	9.77E-05	4.18E-04	1.62E-03	1.77E-03	8.67E-04	1.28E-03	1.34E-03	7.33E-04	4.68E-04	1.37E-03	3.44E-04
1:Del:T:4	6.15E-04	1.27E-04	8.66E-04	5.64E-04	1.01E-04	5.78E-03	2.03E-04	4.26E-04	1.19E-03	1.17E-03	1.81E-04	1.90E-04	4.45E-04	8.21E-04	3.80E-04	6.25E-04	6.38E-04
1:Del:T:5	3.43E-03	6.20E-04	1.21E-02	1.05E-03	8.34E-04	7.67E-03	6.08E-04	3.16E-03	1.04E-03	8.75E-03	1.13E-03	3.08E-03	4.53E-03	8.37E-04	1.26E-03	1.64E-03	1.83E-03
