MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Ins:T:5	2.33E-03	3.00E-03	2.66E-03	1.99E-03	3.30E-03	6.87E-03	1.10E-03	3.27E-03	1.25E-02	5.96E-04	6.78E-03	9.38E-03	1.56E-02	3.95E-03	3.25E-03	2.69E-03	1.48E-02
2:Del:R:0	4.19E-04	6.97E-05	1.68E-04	7.14E-04	5.63E-05	1.57E-03	1.67E-04	5.61E-04	2.53E-03	3.88E-04	2.17E-03	2.46E-03	9.26E-04	6.83E-04	1.19E-03	1.74E-04	1.18E-03
2:Del:R:1	2.13E-04	1.41E-04	3.42E-04	3.74E-04	7.73E-04	8.08E-04	5.82E-35	5.05E-04	7.42E-04	1.33E-03	1.32E-03	9.11E-04	4.55E-04	8.92E-04	5.22E-04	1.97E-03	3.31E-04
2:Del:R:2	6.11E-05	5.80E-05	7.84E-05	1.76E-04	1.68E-04	5.12E-04	1.44E-04	3.07E-04	5.08E-04	5.24E-04	3.55E-04	8.20E-04	2.54E-04	3.14E-04	9.26E-05	5.89E-04	5.99E-04
2:Del:R:3	2.45E-06	1.15E-04	1.98E-06	3.31E-06	1.71E-04	5.60E-05	1.82E-04	1.57E-04	2.27E-04	2.35E-04	4.82E-04	5.96E-04	4.84E-04	4.33E-05	1.01E-04	9.94E-05	1.46E-03
2:Del:R:4	0.00E+00	1.26E-04	3.08E-06	7.38E-06	5.51E-05	3.84E-06	1.26E-04	9.11E-05	1.28E-04	1.09E-04	1.59E-04	3.87E-04	3.13E-04	6.98E-06	5.03E-05	5.17E-05	1.83E-03
2:Del:R:5	6.10E-10	3.66E-04	1.61E-08	6.09E-09	1.80E-06	2.17E-09	5.72E-09	3.52E-05	5.59E-06	2.71E-05	7.20E-04	2.47E-03	2.30E-03	1.21E-08	6.76E-09	7.03E-08	9.55E-03
3:Del:R:0	1.54E-04	1.17E-05	6.27E-05	4.82E-04	2.44E-04	1.07E-03	2.25E-04	8.89E-05	9.11E-04	9.89E-05	1.58E-03	2.25E-03	4.94E-04	2.12E-04	1.31E-04	3.68E-04	8.18E-04
3:Del:R:1	1.30E-04	6.87E-05	3.35E-04	8.25E-05	2.28E-05	7.21E-04	1.91E-04	1.57E-04	4.50E-04	5.15E-04	6.65E-04	7.03E-04	1.98E-04	4.44E-04	1.99E-04	2.11E-03	2.52E-04
3:Del:R:2	3.47E-06	3.47E-05	4.93E-05	3.20E-05	2.61E-06	8.54E-05	1.56E-05	8.24E-06	8.23E-05	1.91E-04	6.89E-05	9.48E-05	2.42E-04	1.40E-47	9.39E-05	7.60E-04	3.19E-05
3:Del:R:3	1.86E-06	1.48E-05	2.32E-06	2.21E-05	4.23E-06	2.83E-09	1.72E-05	9.32E-06	5.35E-05	3.70E-05	8.36E-06	6.24E-05	3.78E-06	8.99E-05	1.96E-05	2.77E-04	2.21E-04
3:Del:R:4	1.17E-05	1.71E-05	2.33E-06	1.27E-05	1.19E-05	8.06E-05	1.50E-05	0.00E+00	1.03E-04	5.25E-05	9.48E-05	3.30E-04	1.10E-04	6.92E-05	5.55E-05	1.46E-04	5.20E-04
3:Del:R:5	1.06E-05	2.49E-05	1.51E-05	2.61E-05	7.79E-06	9.88E-05	2.17E-06	1.94E-05	1.82E-04	0.00E+00	1.08E-04	1.76E-04	1.01E-04	6.73E-05	1.40E-04	1.85E-04	4.56E-04
4:Del:R:0	1.02E-04	3.65E-06	5.59E-05	3.12E-04	3.92E-04	5.33E-04	2.20E-04	3.17E-05	4.01E-04	9.57E-05	9.61E-04	8.37E-04	1.23E-04	3.04E-04	3.67E-04	2.31E-04	3.82E-04
4:Del:R:1	1.76E-05	3.67E-05	2.48E-04	6.35E-05	2.01E-04	3.29E-04	9.59E-05	6.37E-05	6.52E-04	2.64E-04	6.56E-04	8.23E-04	3.79E-04	1.77E-04	2.03E-04	1.25E-03	7.86E-04
4:Del:R:2	2.07E-06	1.46E-05	4.46E-05	2.20E-05	1.12E-04	2.21E-04	1.44E-04	4.07E-05	3.24E-04	9.73E-05	6.03E-05	3.98E-04	3.17E-04	4.49E-05	9.20E-05	4.93E-04	3.86E-04
4:Del:R:3	3.26E-06	6.03E-06	0.00E+00	2.04E-05	6.67E-05	1.52E-04	7.89E-05	2.05E-05	2.42E-04	1.00E-05	1.98E-04	5.42E-04	1.60E-04	7.52E-05	1.32E-04	2.36E-04	6.92E-04
4:Del:R:4	0.00E+00	1.02E-05	3.43E-05	6.09E-06	3.61E-06	1.23E-04	3.36E-05	1.41E-05	1.43E-04	1.05E-05	9.59E-05	1.37E-04	7.81E-05	3.65E-05	6.62E-05	1.50E-04	2.47E-04
4:Del:R:5	1.40E-06	1.90E-05	1.61E-06	7.07E-06	1.90E-05	1.87E-05	8.61E-10	5.70E-06	2.68E-05	1.11E-05	4.09E-05	8.77E-05	8.50E-05	1.04E-08	1.48E-05	9.42E-05	2.82E-04
5:Del:R:0	1.24E-03	1.35E-05	2.01E-04	2.62E-03	8.66E-47	1.25E-03	1.43E-03	2.63E-04	1.49E-03	2.38E-04	3.62E-03	3.43E-03	3.58E-04	3.79E-03	4.81E-04	2.26E-04	6.37E-04
5:Del:R:1	1.90E-06	2.25E-05	1.63E-04	4.10E-05	3.49E-04	1.08E-03	3.67E-04	1.31E-05	1.35E-03	8.29E-05	7.74E-04	2.00E-03	6.32E-04	1.41E-03	2.07E-04	4.77E-04	9.40E-04
5:Del:R:2	0.00E+00	5.23E-06	6.35E-05	2.58E-05	6.42E-05	3.35E-04	1.23E-04	9.82E-06	3.97E-04	2.51E-05	2.00E-04	5.19E-04	3.05E-04	2.26E-04	1.13E-04	2.91E-04	4.17E-04
5:Del:R:3	0.00E+00	8.28E-06	2.83E-07	0.00E+00	3.46E-05	6.82E-05	3.90E-05	5.29E-06	6.19E-05	2.25E-05	1.61E-05	1.25E-04	4.49E-06	3.77E-05	2.64E-05	1.12E-04	2.23E-04
5:Del:R:4	1.02E-10	8.22E-06	1.02E-09	1.83E-10	2.73E-05	2.83E-05	3.01E-06	0.00E+00	2.60E-05	0.00E+00	6.62E-06	5.24E-05	4.29E-05	1.99E-05	3.36E-05	4.64E-05	1.15E-04
5:Del:R:5	1.59E-09	3.18E-06	5.27E-10	1.35E-07	1.12E-06	7.73E-07	1.85E-06	1.33E-10	7.76E-06	2.96E-07	9.37E-06	1.72E-05	3.11E-05	2.40E-05	8.33E-06	3.33E-05	4.17E-05
2:Ins:R:0	2.58E-04	4.27E-05	6.86E-05	1.22E-04	1.53E-03	6.45E-04	7.45E-04	2.31E-04	1.59E-03	9.54E-05	1.17E-03	4.86E-03	1.58E-03	4.54E-04	2.53E-03	1.55E-04	2.03E-03
2:Ins:R:1	1.73E-04	1.08E-06	8.34E-05	1.33E-04	4.21E-04	8.32E-04	2.90E-04	1.90E-04	9.91E-04	5.02E-05	1.62E-03	1.58E-03	1.01E-03	4.47E-04	5.65E-04	2.39E-04	6.50E-04
2:Ins:R:2	1.34E-04	1.93E-05	1.23E-04	9.80E-05	2.17E-04	3.79E-04	1.13E-04	3.86E-05	6.40E-04	2.74E-05	1.00E-03	7.00E-04	7.05E-04	2.79E-04	1.70E-04	1.87E-04	3.34E-04
2:Ins:R:3	5.43E-05	3.79E-05	4.55E-05	1.02E-05	2.00E-04	2.85E-04	1.26E-04	6.65E-05	2.87E-04	1.52E-05	5.60E-04	7.66E-04	5.00E-04	6.41E-05	2.64E-04	6.91E-05	3.17E-04
2:Ins:R:4	1.38E-05	9.56E-05	1.92E-04	9.98E-06	8.41E-05	1.02E-04	1.97E-04	1.01E-04	2.72E-04	1.60E-05	1.75E-04	5.53E-04	6.18E-04	7.32E-05	2.21E-04	2.47E-05	5.12E-04
