Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP95454	20230	2715	5326	33	18
SP94741	42064	4092	8895	39	42
SP90209	46538	59501	21173	0	0
SP90989	43596	4612	2420	0	0
SP93540	80394	6500	8978	168	0
SP93227	44984	83648	0	707	0
SP94348	40523	3120	6585	121	17
SP94588	2	100	172	195	64
SP90725	34	32	193	128	20
SP94236	28	37	107	296	43
SP93772	17	71	60	181	56
SP92195	0	114	116	216	68
SP89957	136	64	106	153	20
SP92268	91	52	147	124	24
SP92707	23	39	104	151	16
SP89687	88	62	67	216	67
SP90269	0	15	265	173	35
SP94933	25639	1321	37326	0	0
SP95126	161	167	2	396	90
SP95646	3	126	97	245	34
SP89443	18	48	85	185	35
SP89651	16	34	49	128	56
SP94060	21	16	147	182	11
SP92787	0	51	36	158	47
SP92723	33	46	182	156	17
SP92364	40784	7393	11462	45	0
SP95406	2	82	42	150	28
SP91746	6	67	86	133	31
SP92332	0	218	23	341	138
SP91730	4	84	52	184	665
SP92947	57	42	242	151	15
SP91666	73	81	195	184	13
SP90245	0	104	68	288	70
SP90893	0	73	66	256	46
SP89519	64	16	171	153	4
SP94917	11268	2435	3579	591	0
SP92659	0	984	2350	358	10
SP94332	50	0	0	0	1026
SP94661	58	32	155	204	29
SP93652	0	82	149	153	57
SP90125	0	109	65	250	28
SP94540	5	61	325	114	62
SP95222	109	244	1	316	72
SP89389	104	61	82	245	55
SP90503	5	90	49	161	38
SP92460	9327	1584	2933	328	14
SP92931	61	85	97	225	47
SP91265	109	180	79	342	48
SP89909	8971	2547	802	342	0
SP90629	97	183	0	594	58
SP95550	122	119	67	228	105
CPCT02020389T	138	24	139	153	27
CPCT02080033T	9	72	508	318	35
CPCT02060156T	322	5	293	452	78
DRUP01340014T	29	9	90	310	3
DRUP01010121T	422	74	169	322	78
CPCT02130034T	74	118	145	456	66
CPCT02260015T	275	119	120	601	294
CPCT02220071T	11923	697	1290	552	78
CPCT02010710T	142	51	142	228	147
CPCT02340068T	17	43	99	233	23
CPCT02130050T	75	66	221	531	90
DRUP01060016T	20	56	38	411	204
CPCT02260017T	174	93	401	385	64
CPCT02020682T	753	164	465	407	49
DRUP01030013T	41732	3353	5831	1653	225
CPCT02130059T	145	13	220	446	46
WIDE01010296T	148	124	454	721	243
CPCT02380044T	43	6	234	575	104
CPCT02060117T	59	23	270	194	32
CPCT02080220T	37	5	525	313	69
CPCT02210056T	72	8	212	291	30
CPCT02020734T	69	0	263	347	52
CPCT02020716T	31	3	157	199	31
CPCT02080226T	23	69	144	431	71
DRUP01080014T	18734	1712	1843	487	76
DRUP01270003T	99	26	155	273	6
CPCT02190044T	0	102	0	335	52
CPCT02130131T	60	0	169	398	0
CPCT02220054T	141	91	200	450	71
CPCT02330075T	285	101	555	497	67
CPCT02130134T	15	59	121	400	83
CPCT02130148T	55	93	180	502	34
CPCT02070381T	0	9	40	210	28
DRUP01070053T	79	36	94	387	31
DRUP01060025T	0	57	187	191	2550
DRUP01100007T	207	24	463	361	57
CPCT02380019T	1	111	138	548	133
CPCT02020598T	14	25	71	289	45
DRUP01070059T	5	7	53	248	36
CPCT02080152T	17658	348	3104	679	92
CPCT02070406T	7	105	0	591	6
CPCT02450002T	381	0	542	482	82
DRUP01070024T	8	41	152	327	78
DRUP01060027T	1	96	27	259	677
CPCT02030381T	0	35	129	321	215
DRUP01220005T	179	73	247	640	18
CPCT02370010T	0	25	206	199	2532
CPCT02020623T	217	47	253	381	41
CPCT02290023T	111	45	398	379	119
DRUP01010022T	45077	3166	4127	1010	29
CPCT02070159T	0	2	337	358	54
CPCT02030354T	67	41	48	160	48
CPCT02020565T	40	34	164	197	58
CPCT02060114T	12	41	31	296	140
CPCT02060118T	54	18	95	320	154
CPCT02220002T	36	21	81	188	35
DRUP01030002T	34	43	209	352	51
CPCT02070060T	133	76	187	528	437
CPCT02030320T	126	5	710	262	40
CPCT02060035T	97	7	234	159	43
CPCT02070110T	10	45	167	295	84
CPCT02020492T	41	12	68	468	177
CPCT02030327T	69	74	94	174	23
CPCT02020503T	147	39	123	657	294
CPCT02380029T	78019	5678	292	2209	94
CPCT02020636T	42	82	90	566	254
CPCT02130013T	79	71	85	678	328
DRUP01110002T	63993	3105	12834	3564	0
WIDE01010639T	171	0	286	156	13
DRUP01010167T	33365	4527	3782	967	43
WIDE01010570T	218	112	202	474	36
