Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP95454	3.30E+02	5.71E+01	7.35E+01	3.28E+00	3.56E+02
SP94741	5.57E+02	8.86E+01	1.16E+02	5.72E+00	5.89E+02
SP90209	8.15E+02	4.17E+02	2.46E+02	0.00E+00	6.04E+02
SP90989	3.82E+02	6.32E+01	4.73E+01	5.31E+00	3.71E+02
SP93540	1.11E+03	9.94E+01	1.46E+02	1.03E+01	1.17E+03
SP93227	8.48E+02	5.34E+02	1.20E+02	9.59E+00	4.80E+02
SP94348	5.80E+02	6.69E+01	9.50E+01	5.88E+00	6.14E+02
SP94588	8.14E-01	2.37E+00	2.40E+00	2.00E+00	1.31E+00
SP90725	1.29E+00	2.21E+00	2.08E+00	1.32E+00	1.22E+00
SP94236	1.39E+00	1.76E+00	1.70E+00	2.10E+00	1.47E+00
SP93772	1.03E+00	1.83E+00	1.48E+00	1.61E+00	1.22E+00
SP92195	1.87E-01	1.75E+00	1.71E+00	2.53E+00	2.11E+00
SP89957	1.58E+00	2.62E+00	2.01E+00	1.55E+00	9.83E-01
SP92268	2.36E+00	2.19E+00	1.90E+00	1.40E+00	2.21E+00
SP92707	1.09E+00	2.07E+00	1.61E+00	1.21E+00	8.69E-01
SP89687	1.79E+00	3.02E+00	1.95E+00	2.29E+00	1.94E+00
SP90269	3.94E-01	2.31E+00	1.85E+00	1.73E+00	1.12E+00
SP94933	1.32E+02	4.12E+02	4.00E+02	9.15E+00	1.06E+02
SP95126	3.80E+00	2.67E+00	3.84E-01	2.90E+00	2.06E+00
SP95646	1.07E+00	2.19E+00	1.57E+00	1.69E+00	1.26E+00
SP89443	1.10E+00	1.89E+00	1.75E+00	1.71E+00	1.28E+00
SP89651	9.27E-01	1.61E+00	1.17E+00	1.63E+00	1.50E+00
SP94060	1.02E+00	1.74E+00	1.84E+00	1.41E+00	1.07E+00
SP92787	5.42E-01	1.24E+00	1.12E+00	1.53E+00	1.29E+00
SP92723	1.52E+00	2.18E+00	2.15E+00	1.24E+00	1.39E+00
SP92364	4.09E+02	1.16E+02	1.37E+02	6.95E+00	4.24E+02
SP95406	9.38E-01	1.84E+00	1.50E+00	1.24E+00	8.10E-01
SP91746	8.01E-01	1.69E+00	1.42E+00	1.25E+00	9.54E-01
SP92332	1.19E+00	2.48E+00	1.67E+00	4.01E+00	3.67E+00
SP91730	1.83E+00	3.46E+00	2.02E+00	1.48E+01	1.45E+01
SP92947	1.64E+00	2.87E+00	2.95E+00	1.52E+00	1.85E+00
SP91666	1.80E+00	2.67E+00	2.48E+00	1.45E+00	1.51E+00
SP90245	8.93E-01	2.32E+00	1.94E+00	2.34E+00	2.18E+00
SP90893	7.04E-01	1.83E+00	1.72E+00	1.70E+00	1.59E+00
SP89519	1.64E+00	1.66E+00	2.00E+00	1.35E+00	1.68E+00
SP94917	2.57E+02	3.37E+01	4.68E+01	7.99E+00	2.83E+02
SP92659	6.03E-01	2.31E+01	2.22E+01	3.25E+00	1.64E+00
SP94332	1.94E+00	2.79E+00	2.41E-01	2.08E+01	2.14E+01
SP94661	1.64E+00	2.27E+00	2.28E+00	1.66E+00	1.50E+00
SP93652	6.82E-01	2.03E+00	1.80E+00	1.62E+00	1.53E+00
SP90125	9.16E-01	2.18E+00	1.64E+00	1.85E+00	1.44E+00
SP94540	1.27E+00	3.55E+00	3.26E+00	1.71E+00	1.61E+00
SP95222	2.91E+00	3.13E+00	7.28E-01	2.81E+00	2.12E+00
SP89389	2.56E+00	2.15E+00	1.82E+00	2.20E+00	1.77E+00
SP90503	8.67E-01	2.03E+00	1.58E+00	1.32E+00	9.94E-01
SP92460	2.04E+02	2.90E+01	4.05E+01	4.70E+00	2.23E+02
SP92931	1.96E+00	2.61E+00	1.70E+00	2.00E+00	1.32E+00
