"rc_visual","pattern","count"
"A<T>A","A[Del(T):R1]A",55
"C<T>A","C[Del(T):R1]A",48
"T<C>[C]T","T[Del(C):R2]T",39
"G<T>A","G[Del(T):R1]A",38
"T<C>[C]A","T[Del(C):R2]A",37
"A<T>[T]A","A[Del(T):R2]A",36
"A<T>G","A[Del(T):R1]G",25
"G<T>G","G[Del(T):R1]G",20
"C<T>G","C[Del(T):R1]G",19
"T<C>[CC]T","T[Del(C):R3]T",18
"G<T>[T]A","G[Del(T):R2]A",17
"T<C>A","T[Del(C):R1]A",15
"G<C>[C]A","G[Del(C):R2]A",14
"T<C>[CC]A","T[Del(C):R3]A",12
"T<C>[CCC]A","T[Del(C):R4]A",10
"A<C>[C]A","A[Del(C):R2]A",9
"C<T>[T]A","C[Del(T):R2]A",9
"A<TG>A","Del2:U(2,):R1",7
"A<{G}T>{G}A","Del2:M1",7
"C<AT>[AT]A","Del2:U2:R2",5
"C<TG>[TG]A","Del2:U2:R2",5
"G<TA>[TA]A","Del2:U2:R2",5
"G<{G}T>{G}A","Del2:M1",5
"T<CA>T","Del2:U(2,):R1",5
"T<CA>[CA]G","Del2:U2:R2",4
"A<GT>[GT]G","Del2:U2:R2",3
"C<TA>[TA]C","Del2:U2:R2",3
"C<TA>[TA]T","Del2:U2:R2",3
"T<TA>[TATA]T","Del2:U2:R3",3
"T<TA>[TA]C","Del2:U2:R2",3
"A<AT>[AT]A","Del2:U2:R2",2
"A<TG>[TG]A","Del2:U2:R2",2
"C<CA>[CACA]G","Del2:U2:R3",2
"C<TA>[TA]A","Del2:U2:R2",2
"G<CT>G","Del2:U(2,):R1",2
"G<TA>[TATA]T","Del2:U2:R3",2
"G<TA>[TA]C","Del2:U2:R2",2
"G<{T}A>{T}T","Del2:M1",2
"T<CA>[CA]C","Del2:U2:R2",2
"T<TA>[TA]A","Del2:U2:R2",2
"T<TG>[TG]A","Del2:U2:R2",2
"T<{C}A>{C}C","Del2:M1",2
"T<{T}A>{T}T","Del2:M1",2
"T<{T}C>{T}T","Del2:M1",2
"A<AC>[AC]A","Del2:U2:R2",1
"A<AT>C","Del2:U(2,):R1",1
"A<AT>G","Del2:U(2,):R1",1
"A<AT>[ATAT]A","Del2:U2:R3",1
"A<CT>T","Del2:U(2,):R1",1
"A<GT>A","Del2:U(2,):R1",1
"A<GT>[GTGT]A","Del2:U2:R3",1
"A<TG>[TGTG]T","Del2:U2:R3",1
"A<{A}T>{A}A","Del2:M1",1
"A<{A}T>{A}C","Del2:M1",1
"A<{A}T>{A}G","Del2:M1",1
"A<{G}T>{G}C","Del2:M1",1
"A<{T}C>{T}T","Del2:M1",1
"A<{T}G>{T}A","Del2:M1",1
"C<AT>[ATAT]A","Del2:U2:R3",1
"C<AT>[ATAT]T","Del2:U2:R3",1
"C<CA>A","Del2:U(2,):R1",1
"C<CA>[CACA]A","Del2:U2:R3",1
"C<CA>[CACA]T","Del2:U2:R3",1
"C<CA>[CA]T","Del2:U2:R2",1
"C<CT>A","Del2:U(2,):R1",1
"C<CT>G","Del2:U(2,):R1",1
"C<GT>[GTGT]T","Del2:U2:R3",1
"C<GT>[GT]G","Del2:U2:R2",1
"C<TA>A","Del2:U(2,):R1",1
"C<TA>[TATA]T","Del2:U2:R3",1
"C<TG>A","Del2:U(2,):R1",1
"C<TG>[TG]T","Del2:U2:R2",1
"C<{A}T>{A}G","Del2:M1",1
"C<{C}T>{C}A","Del2:M1",1
"C<{C}T>{C}C","Del2:M1",1
"C<{T}A>{T}T","Del2:M1",1
"C<{T}G>{T}C","Del2:M1",1
"C<{T}G>{T}T","Del2:M1",1
"G<AC>[ACAC]A","Del2:U2:R3",1
"G<AC>[AC]A","Del2:U2:R2",1
"G<AT>[ATAT]A","Del2:U2:R3",1
"G<AT>[ATAT]T","Del2:U2:R3",1
"G<CA>[CACA]C","Del2:U2:R3",1
"G<GC>C","Del2:U(2,):R1",1
"G<GC>T","Del2:U(2,):R1",1
"G<GT>[GT]G","Del2:U2:R2",1
"G<TA>C","Del2:U(2,):R1",1
"G<TA>[TA]G","Del2:U2:R2",1
"G<TC>G","Del2:U(2,):R1",1
"G<TC>[TCTC]A","Del2:U2:R3",1
"G<{A}C>{A}T","Del2:M1",1
"G<{A}T>{A}C","Del2:M1",1
"G<{A}T>{A}G","Del2:M1",1
"G<{C}A>{C}C","Del2:M1",1
"G<{T}A>{T}C","Del2:M1",1
"T<AC>[AC]A","Del2:U2:R2",1
"T<CA>[CACA]A","Del2:U2:R3",1
"T<CA>[CACA]T","Del2:U2:R3",1
"T<CA>[CA]T","Del2:U2:R2",1
"T<CT>[CTCT]G","Del2:U2:R3",1
"T<CT>[CT]T","Del2:U2:R2",1
"T<TA>C","Del2:U(2,):R1",1
"T<TA>[TATA]G","Del2:U2:R3",1
"T<TA>[TA]T","Del2:U2:R2",1
"T<TC>[TCTC]A","Del2:U2:R3",1
"T<TC>[TC]T","Del2:U2:R2",1
"T<TG>[TGTG]A","Del2:U2:R3",1
"T<TG>[TG]C","Del2:U2:R2",1
"T<{A}C>{A}G","Del2:M1",1
"T<{C}A>{C}T","Del2:M1",1
"T<{T}A>{T}G","Del2:M1",1
"T<{T}C>{T}G","Del2:M1",1
