Samples	ID83A	ID83B
SP23435	23	192
SP112829	24	387
SP112947	19	306
SP112985	3	29
SP112925	30	306
SP112937	29	93
SP112989	10	112
SP111145	55	214
SP111143	23	196
SP125584	4	10
SP111144	27	288
SP116296	2	68
SP116254	28	226
SP116256	28	213
SP116274	21	98
SP116259	15	176
SP116290	7	76
SP116258	14	212
SP116261	0	47
SP23463	2	58
SP116268	9	53
SP23471	9	79
SP116266	12	116
SP116264	17	162
SP116269	10	155
SP116275	25	116
SP23447	11	73
SP116255	35	230
SP23455	17	78
SP23475	21	61
SP116227	16	198
SP116226	8	59
SP23443	27	172
SP116260	26	143
SP116280	43	407
SP116224	8	73
SP116249	0	3
SP116232	3	14
SP116251	9	49
SP116272	18	105
SP116286	7	42
SP116282	11	109
SP116288	4	18
SP23467	8	106
SP116263	5	59
SP116292	10	51
SP116248	6	49
SP116276	4	13
SP116265	37	228
SP116267	23	162
SP116253	10	141
SP23481	5	45
SP116233	25	178
SP116284	23	123
SP116270	4	71
SP116257	13	183
SP116298	1	12
SP116294	0	32
SP23439	26	294
SP23483	0	10
SP116262	8	59
SP116228	59	363
SP116222	10	88
SP23451	12	91
SP116247	23	128
SP116225	4	97
SP116273	16	89
SP116221	11	67
SP116271	4	32
SP23459	7	78
SP23479	15	64
SP116223	14	69
SP116229	42	309
SP23477	7	62
SP116252	30	110
SP116278	0	6
SP23431	321	500
SP116231	7	107
SP116250	4	32
SP112815	30	322
SP112799	7	149
SP112835	17	221
SP112955	22	185
SP112807	38	266
SP112953	53	370
SP112911	11	145
SP112847	22	168
SP112859	36	416
SP112919	32	172
SP102652	28	194
SP112981	21	226
SP102620	54	250
SP112987	46	274
SP112825	43	212
SP112967	4	16
SP102622	35	328
SP112785	30	636
SP112793	31	240
SP112963	54	233
SP112801	44	420
SP112997	42	260
SP112973	30	426
SP112819	67	288
SP112941	31	210
SP112965	30	240
SP112791	40	275
SP112949	13	73
SP112857	23	273
SP112843	42	350
SP112915	45	226
SP112837	124	296
SP112823	22	169
SP102633	19	99
SP112899	14	181
SP112893	14	215
SP112895	28	258
SP102626	20	342
SP112795	29	288
SP112927	28	243
SP112779	26	396
SP112975	33	331
SP112867	19	241
SP112903	27	218
SP112933	22	133
SP112869	33	341
SP112999	5	76
SP112939	14	158
SP112921	36	144
SP112901	18	191
SP112831	9	199
SP112891	22	229
SP112775	40	334
SP112897	26	300
SP112885	27	179
SP112789	41	575
SP102630	82	365
SP112971	73	267
SP112821	13	195
SP112813	0	105
SP112961	82	442
SP112977	50	171
SP112905	41	248
SP102647	32	379
SP112873	30	260
SP112959	1	47
SP112931	21	186
SP112865	33	230
SP113003	27	154
SP113001	38	229
SP112879	21	190
SP112945	35	306
SP112935	26	235
SP112863	27	401
SP112983	56	395
SP112809	56	407
SP112923	35	259
SP112853	34	199
SP113005	13	84
SP112957	18	245
SP112783	56	235
SP112943	18	137
SP112861	28	195
SP112917	62	196
SP112787	31	342
SP112995	50	273
SP112811	41	250
SP112797	43	339
SP112909	45	252
SP112781	42	220
SP112991	55	443
SP112907	66	1375
SP112817	665	430
SP112993	31	265
SP112827	30	208
SP112855	36	145
SP112969	37	197
SP112883	22	203
SP112929	43	336
SP112833	20	126
SP112777	602	0
SP112887	26	219
SP112877	13	6
SP112871	26	186
SP112875	36	346
SP112913	19	197
SP112849	25	277
SP112881	14	191
SP112951	0	26
SP112845	41	200
SP114910	118	749
SP114906	60	545
SP114921	198	982
SP114901	111	864
