De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (11.56%) & Signature ID3 (64.20%) & Signature ID5 (24.24%), 26.61,  20.48, 0.134, 0.98, 0.97
Signature 83-ID83B, Signature ID1 (100.00%), 38.93,  5.73, 1.567, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (20.08%) & Signature ID2 (79.92%), 18.57,  5.45, 0.384, 1.00, 1.00
Signature 83-ID83D, Signature ID5 (62.98%) & Signature ID8 (19.16%) & Signature ID9 (17.86%), 34.58,  25.55, 0.152, 0.97, 0.96
Signature 83-ID83E, Signature ID1 (6.04%) & Signature ID6 (37.26%) & Signature ID8 (56.70%), 24.13,  16.42, 0.079, 0.99, 0.99
Signature 83-ID83F, Signature ID3 (19.58%) & Signature ID8 (14.86%) & Signature ID11 (39.80%) & Signature ID23 (25.76%), 38.68,  37.79, 0.195, 0.93, 0.91
Signature 83-ID83G, Signature ID8 (15.70%) & Signature ID19 (84.30%), 54.37,  28.27, 0.440, 0.96, 0.95
