MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID18	ID19	ID23
2:Del:R:5	0.00000000	0.00000000	0.00238272	0.00021568	0.00083308	0.00000000	0.00000000	0.00000684	0.00049256
3:Del:R:0	0.00012804	0.00001250	0.00506895	0.00105105	0.01096410	0.00285810	0.00400803	0.00086808	0.00495202
3:Del:R:1	0.00501109	0.00500326	0.09711447	0.00541365	0.00134887	0.00430191	0.00601205	0.00500577	0.00300516
3:Del:R:2	0.00076938	0.00228989	0.02148428	0.00053605	0.00037657	0.00127572	0.00000000	0.00133307	0.00049782
3:Del:R:3	0.00037126	0.00040259	0.00383763	0.00004700	0.00025351	0.00030211	0.00000000	0.00003850	0.00010400
3:Del:R:4	0.00000000	0.00000000	0.00078630	0.00007310	0.00000268	0.00000000	0.00000000	0.00003810	0.00005494
3:Del:R:5	0.00000000	0.00000000	0.00113861	0.00015062	0.00009100	0.00000000	0.00000000	0.00011808	0.00004982
4:Del:R:0	0.00009970	0.00001210	0.00725243	0.00231510	0.00669131	0.00143277	0.00400803	0.00219796	0.00285339
4:Del:R:1	0.00090050	0.00211579	0.06352373	0.00280673	0.00162295	0.00459422	0.00200402	0.00007090	0.00219556
4:Del:R:2	0.00000323	0.00054329	0.01454892	0.00047449	0.00027262	0.00089602	0.00000000	0.00040269	0.00016080
4:Del:R:3	0.00000000	0.00000727	0.00455475	0.00029134	0.00002880	0.00002380	0.00000000	0.00005990	0.00011157
4:Del:R:4	0.00000000	0.00000000	0.00084968	0.00011058	0.00009730	0.00000000	0.00000000	0.00019431	0.00002620
4:Del:R:5	0.00002890	0.00021041	0.00061078	0.00005680	0.00000634	0.00001370	0.00000000	0.00015798	0.00001370
5:Del:R:0	0.00000835	0.00003850	0.00413283	0.01933329	0.23797886	0.00077205	0.02404819	0.00426298	0.01685377
5:Del:R:1	0.00019068	0.00297751	0.01571853	0.00750183	0.00057226	0.00047955	0.00000000	0.00177092	0.00003437
5:Del:R:2	0.00012636	0.00039753	0.00234385	0.00037052	0.00051684	0.00026497	0.00000000	0.00101898	0.00001160
5:Del:R:3	0.00001890	0.00015815	0.00118248	0.00016818	0.00000816	0.00000612	0.00000000	0.00012637	0.00000767
5:Del:R:4	0.00000311	0.00008470	0.00014692	0.00005320	0.00011290	0.00000725	0.00000000	0.00000224	0.00003031
5:Del:R:5	0.00003130	0.00002120	0.00010617	0.00001150	0.00004430	0.00002990	0.00000000	0.00000224	0.00000160
2:Ins:R:0	0.00040204	0.00033185	0.00049292	0.00199839	0.00191671	0.00116234	0.00000000	0.07827026	0.00376734
2:Ins:R:1	0.00000788	0.00027166	0.00055330	0.00020853	0.00166182	0.00210019	0.00000000	0.02359708	0.00326139
2:Ins:R:2	0.00022135	0.00103534	0.00026633	0.00079041	0.00030459	0.00076094	0.00000000	0.00363960	0.00154666
2:Ins:R:3	0.00051427	0.00038133	0.00013779	0.00049907	0.00017758	0.00035163	0.00200402	0.00118317	0.00024006
2:Ins:R:4	0.00291310	0.00197742	0.00007190	0.00018947	0.00001660	0.00003070	0.00000000	0.00380259	0.00022169
