MutationType	ID83A	ID83B
1:Del:C:0	2.66E-04	2.64E-04
1:Del:C:1	1.38E-04	1.15E-04
1:Del:C:2	1.01E-04	9.28E-05
1:Del:C:3	6.79E-05	6.18E-05
1:Del:C:4	5.82E-05	5.13E-05
1:Del:C:5	5.03E-05	5.63E-05
1:Del:T:0	1.61E-04	1.55E-04
1:Del:T:1	1.69E-04	1.46E-04
1:Del:T:2	1.40E-04	1.28E-04
1:Del:T:3	1.57E-04	1.44E-04
1:Del:T:4	1.50E-04	1.61E-04
1:Del:T:5	2.08E-04	3.36E-04
1:Ins:C:0	5.64E-05	6.87E-05
1:Ins:C:1	4.66E-05	5.24E-05
1:Ins:C:2	4.61E-05	3.49E-05
1:Ins:C:3	3.25E-05	3.96E-05
1:Ins:C:4	2.42E-05	3.04E-05
1:Ins:C:5	4.69E-05	6.97E-05
1:Ins:T:0	9.36E-05	9.06E-05
1:Ins:T:1	7.89E-05	7.41E-05
1:Ins:T:2	6.07E-05	6.18E-05
1:Ins:T:3	5.19E-05	6.35E-05
1:Ins:T:4	4.68E-05	5.11E-05
1:Ins:T:5	2.96E-04	7.76E-04
2:Del:R:0	9.79E-05	9.13E-05
2:Del:R:1	1.20E-04	1.32E-04
2:Del:R:2	5.18E-05	5.78E-05
2:Del:R:3	3.36E-05	3.67E-05
2:Del:R:4	2.21E-05	3.04E-05
2:Del:R:5	4.63E-05	5.15E-05
3:Del:R:0	5.90E-05	5.24E-05
3:Del:R:1	6.76E-05	7.93E-05
3:Del:R:2	2.90E-05	3.44E-05
3:Del:R:3	1.78E-05	1.88E-05
3:Del:R:4	1.71E-05	1.26E-05
3:Del:R:5	2.77E-05	2.71E-05
4:Del:R:0	6.11E-05	5.25E-05
4:Del:R:1	6.98E-05	7.64E-05
4:Del:R:2	3.28E-05	3.30E-05
4:Del:R:3	3.23E-05	3.33E-05
4:Del:R:4	2.64E-05	2.79E-05
4:Del:R:5	7.12E-06	1.21E-05
5:Del:R:0	2.34E-04	2.98E-04
5:Del:R:1	6.67E-05	5.91E-05
5:Del:R:2	2.54E-05	2.87E-05
5:Del:R:3	1.23E-05	1.38E-05
5:Del:R:4	3.23E-06	7.04E-06
5:Del:R:5	4.18E-06	1.63E-06
2:Ins:R:0	9.16E-05	9.09E-05
2:Ins:R:1	5.15E-05	6.23E-05
2:Ins:R:2	3.27E-05	3.78E-05
2:Ins:R:3	2.74E-05	2.83E-05
2:Ins:R:4	2.12E-05	3.21E-05
2:Ins:R:5	3.74E-05	8.37E-05
3:Ins:R:0	5.07E-05	5.59E-05
3:Ins:R:1	3.74E-05	4.58E-05
3:Ins:R:2	1.61E-05	1.84E-05
3:Ins:R:3	7.63E-06	6.45E-06
3:Ins:R:4	7.99E-06	8.02E-06
3:Ins:R:5	1.27E-05	1.78E-05
4:Ins:R:0	7.81E-05	8.06E-05
4:Ins:R:1	4.01E-05	4.40E-05
4:Ins:R:2	1.49E-05	1.76E-05
4:Ins:R:3	1.25E-05	1.69E-05
4:Ins:R:4	6.20E-06	1.19E-05
4:Ins:R:5	1.39E-05	1.69E-05
5:Ins:R:0	5.10E-04	5.18E-04
5:Ins:R:1	6.75E-05	8.09E-05
5:Ins:R:2	2.04E-05	2.24E-05
5:Ins:R:3	1.05E-05	1.37E-05
5:Ins:R:4	7.81E-06	9.43E-06
5:Ins:R:5	1.99E-06	6.81E-06
2:Del:M:1	1.59E-04	1.62E-04
3:Del:M:1	5.13E-05	3.82E-05
3:Del:M:2	6.08E-05	6.54E-05
4:Del:M:1	6.57E-05	5.48E-05
4:Del:M:2	5.41E-05	4.67E-05
4:Del:M:3	5.70E-05	6.44E-05
5:Del:M:1	2.12E-04	1.94E-04
5:Del:M:2	1.90E-04	1.41E-04
5:Del:M:3	1.15E-04	8.19E-05
5:Del:M:4	7.45E-05	7.27E-05
5:Del:M:5	8.79E-05	7.93E-05
