MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.00019819846244899963	0.007966725616715848	0.005644792924867943	0.05598407171666622	0.17799414172768593	0.040739816185086965
1:Del:C:1	8.065396159736338e-05	0.001638123071170412	0.008711157087236642	0.049389575608074665	0.07239269502460957	0.020035192272625863
1:Del:C:2	0.00020633399137295782	0.0015618587564677	0.0032462175749242306	0.02943987675011158	0.02890221033245325	0.002569494535246122
1:Del:C:3	0.00019680319441249593	0.00283965045819059	0.0016699669640365756	0.01616598050110042	0.015270661879330873	3.665594689664431e-05
1:Del:C:4	7.536496168611962e-05	0.006777546466328204	0.0028519600120489484	0.005512972334399819	0.0112017659842968	3.394957418763056e-05
1:Del:C:5	5.77143217867615e-05	0.0379294765740633	0.009315382936038077	0.0017214245964566998	0.0043320744672901415	0.011301742447540165
1:Del:T:0	0.0001199744908763023	0.0019330123398685827	0.012592492904514075	0.06944253508001566	0.08101457998156547	0.02765697779133916
1:Del:T:1	0.00032242461733403613	0.001075993583071977	0.005114474603906274	0.05855899658054113	0.031698645390570164	0.002530045729072299
1:Del:T:2	0.001021788264042698	0.0025668736384250224	0.0038623869186267257	0.04506463102996349	0.048278185985982415	0.0012665672443108633
1:Del:T:3	0.002409332029055804	0.004533753315918147	0.0023092384962001234	0.02728567074984312	0.06644020188599825	0.006446876225327287
1:Del:T:4	0.003482250722590834	0.015773392207920553	0.006242941063828766	0.017973985318094493	0.050927631407976154	0.011034449515864252
1:Del:T:5	0.01183118274435401	0.530627726316452	0.055821849927306176	0.015150685908156446	0.0012148346189846393	0.03400118145078977
1:Ins:C:0	0.0020119591103866697	0.001627565500093624	0.00010576257936918409	0.0006730508647524402	0.010898212934844196	0.011994423903524875
1:Ins:C:1	0.0007958004676038399	0.00021801252170916996	0.0003544157567739603	0.004594925317214802	0.011080858670175076	0.006546811203006655
1:Ins:C:2	0.0009908141801133752	3.0020741223779624e-05	0.000489752747289458	0.0034137515525799246	0.0073255949467420575	0.0025373550766380503
1:Ins:C:3	0.0010917436849558727	7.80453751474397e-05	0.0008388288019341417	0.0015769208158599212	0.0034986177273094656	0.005471367733553052
1:Ins:C:4	0.0024308020435273646	0.0021752028237096966	0.00011015618763622114	0.0009016167588929136	0.0028950372443068773	0.0019008247439329295
1:Ins:C:5	0.026017515752464533	0.020713082160800696	0.00023606999954822071	7.675427169383742e-05	0.0006241110485530044	0.005943482173606753
1:Ins:T:0	0.007443200801499188	0.002714992854744196	8.030696587184138e-05	0.0021547952279797754	0.01263835833640769	0.01577713679522276
1:Ins:T:1	0.002916746537666768	0.0	0.0036123118351679296	0.010358698228374123	0.03472573490813374	0.011386640830896794
1:Ins:T:2	0.003558766508940607	0.0028248412953689695	0.0005010822310850926	0.005419907930772751	0.008222101870924235	0.003437645208323374
1:Ins:T:3	0.005823665214702487	0.0009673047418391434	0.001254404399478517	0.004397716303355992	0.008643294549547136	0.001878830719342659
1:Ins:T:4	0.022577890418469904	1.1937269729997978e-05	0.00021689213437657174	0.0040486145636532455	0.003129701007856056	0.000997069633326646
1:Ins:T:5	0.8342004626989364	0.24689094334840775	0.01722723066116487	0.007507241203260264	0.10664532348513603	0.0020796423414856237
2:Del:R:0	9.894514082134265e-05	0.001653892151080072	0.026507251989096405	0.030578180290758608	0.01949969639070332	0.009858770129503681
