Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP29914	356	186	279	205	97	2	0	32	9	83	83	120	0	3	0	22	0
SP31046	14	1	0	93	15	11	0	0	0	0	0	0	0	11	14	8	19
SP31334	20	0	23	109	25	103	0	105	8	30	23	0	0	15	0	0	69
SP30011	15	112	5	89	261	114	0	34	0	16	36	0	0	24	0	0	0
SP31174	71	19	32	164	15	56	0	28	1	47	11	0	12	13	17	6	0
SP32662	108	77	4	189	57	61	0	17	2	53	63	0	0	17	25	24	42
SP31126	106	0	58	141	549	90	132	59	9	80	157	126	0	45	0	0	0
SP32958	16	70	5	319	0	3	0	18	3	11	33	0	39	14	8	7	10
SP31422	109	108	24	27	130	60	0	113	5	76	42	56	0	9	25	15	0
SP33496	253	220	70	248	0	32	0	141	8	32	169	0	0	5	11	9	0
SP34005	11	26	10	94	33	3	22	3	0	5	32	0	0	6	9	5	0
SP30113	35	66	2876	140	78	6	4	182	0	71	100	0	0	24	0	0	0
SP31030	255	181	9	129	0	9	0	0	2	16	45	232	0	16	88	0	0
SP33544	50	16	65	260	116	183	38	164	6	151	85	0	0	0	14	48	0
SP33688	8	5	14	138	19	1000	0	15	8	6	68	0	0	13	6	45	0
SP30907	47	58	154	37	65	94	0	181	0	26	14	0	0	16	0	16	29
SP30185	3	1	2	27	0	13	14	4	0	0	16	5	0	16	2	0	0
SP33837	7	8	20	74	14	7	24	0	0	17	26	0	9	5	25	1	0
SP31790	98	18	0	127	41	41	0	5	5	24	49	0	0	19	33	16	0
SP30143	20	20	1	120	37	6	41	10	0	10	23	0	6	20	5	5	0
SP30071	102	62	100	62	13	8	0	169	0	59	45	147	0	24	21	0	0
SP30493	1	0	0	53	19	0	2	9	1	11	32	0	9	13	24	0	12
SP32014	138	0	12	138	22	48	8	0	2	10	4	0	0	6	31	9	0
SP30332	136	82	1657	0	0	0	294	57	7	52	28	0	0	62	0	0	0
SP31814	26	4	18	114	2	75	0	5	5	5	19	51	39	13	0	9	0
SP29987	93	0	4	92	113	0	0	268	10	58	38	374	25	0	27	0	26
SP30083	52	0	0	68	27	15	0	22	1	13	6	99	0	4	19	11	0
SP32742	12	0	23	265	0	19	0	20	4	25	49	2	37	12	45	17	13
SP115162	0	34	6	14	9	21	14	0	0	32	8	32	6	8	14	6	0
SP29940	53	42	2	17	0	1	0	0	1	12	19	188	0	7	41	0	0
SP30843	8	23	0	63	31	0	0	17	2	1	1	0	0	6	18	0	0
SP32222	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
SP31190	52	57	21	183	55	20	34	137	0	80	13	0	40	4	0	2	5
SP30077	135	64	52	168	16	137	0	210	9	102	124	0	0	33	39	0	0
SP32694	92	31	11	62	38	19	0	135	2	74	42	285	0	14	6	7	0
SP33774	7	0	25	120	1	41	71	0	0	11	6	0	0	7	1	0	7
SP30093	147	13	22	131	6	22	2	17	6	13	0	0	0	3	55	4	0
SP33094	101	8	0	194	44	17	71	81	6	28	40	0	0	39	0	17	0
SP30803	1	79	26	50	119	50	0	80	7	37	184	0	0	0	11	0	0
SP30675	0	19	1868	0	0	0	280	81	7	0	44	0	177	3	0	35	0
SP31854	94	114	152	262	56	197	69	251	5	117	91	0	0	23	29	11	0
SP31606	3	52	3	141	16	6	0	11	1	9	3	41	0	0	17	9	7
SP30213	16	127	7	24	30	26	0	20	0	19	21	0	0	7	23	0	1
SP32894	11	25	6	107	40	0	0	5	2	0	18	0	0	1	17	0	0
SP117260	19	0	59	24	54	29	0	45	3	34	8	31	34	15	24	1	0
SP117124	175	1	15	129	19	24	103	0	1	13	22	0	0	20	38	0	6
SP117932	159	0	15	213	11	15	0	14	0	31	26	47	0	20	35	11	16
SP117189	7	4	4	12	14	3	27	0	3	0	4	21	0	6	5	1	0
SP117217	1	0	0	4	7	0	0	10	2	0	0	0	0	0	0	2	0
SP117779	68	6	11	46	15	57	0	2	3	15	10	0	53	10	33	3	0
SP117376	725	0	0	141	12	33	7	7	5	38	46	142	0	34	65	0	0
SP117681	30	0	1	0	3	0	0	0	1	5	15	49	0	4	4	0	30
SP117408	11	0	2	0	7	9	0	0	0	5	15	15	8	0	3	0	34
SP118015	64	59	17	75	7	18	0	0	3	47	15	0	0	16	44	5	0
SP117509	205	0	16	214	38	34	0	4	0	39	4	36	111	0	33	8	3
SP117482	148	0	25	93	12	14	0	0	0	42	45	114	0	5	5	15	0
SP117003	79	0	0	80	1	233	0	4	0	10	4	44	0	0	32	0	61
CPCT02060034T	0	42	25	9	97	9	0	10	32	13	18	0	0	2	11	9	44
CPCT02020356T	44	95	27	5	0	26	10	34	60	12	14	73	0	8	0	11	9
CPCT02050063T	23	28	19	34	178	37	83	35	37	67	73	0	0	20	0	15	43
CPCT02030275T	22	174	41	23	258	73	129	24	56	30	0	0	0	24	0	20	0
CPCT02070033T	15	65	14	25	45	7	0	16	26	26	15	109	0	3	17	2	0
CPCT02030294T	37	81	132	7	83	167	0	183	76	23	55	0	0	20	33	25	121
CPCT02070038T	32	184	18	71	0	0	131	35	56	12	0	0	18	11	0	20	0
CPCT02080179T	41	0	3	23	34	106	0	8	110	37	118	0	0	13	47	87	0
CPCT02010866TII	242	747	665	3	18	11	264	0	79	35	101	0	0	2	11	281	0
CPCT02330133T	32	53	195	0	187	114	753	302	39	15	0	0	0	0	0	0	0
CPCT02050427T	74	180	9	127	0	67	0	126	37	29	0	12	0	12	5	295	0
