Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP85495	2.45E-01	7.15E-02	6.68E-02	2.21E-01	3.46E-01	2.18E-01	6.43E-01	3.64E-01	4.12E-01	2.16E-01	5.06E-01	7.08E-01	2.18E-01
SP85787	0.00E+00	0.00E+00	2.64E-01	7.00E-02	4.48E-01	8.01E-02	9.17E-01	4.15E-01	6.82E-01	2.65E-01	7.08E-01	1.09E+00	1.10E-01
SP86836	1.17E-01	0.00E+00	0.00E+00	6.53E-02	9.05E-02	2.23E-02	1.67E-01	3.00E-02	0.00E+00	9.65E-02	7.70E-02	2.29E-01	0.00E+00
SP89245	2.47E-01	2.49E-01	3.00E-02	4.15E-01	3.31E-01	3.92E-01	4.88E-01	4.19E-01	7.10E-01	5.82E-01	8.01E-01	1.96E-01	3.86E-01
SP86989	6.03E-01	6.36E-01	2.87E-01	8.14E-01	2.77E+00	1.14E+00	2.11E+00	2.37E+00	1.99E+00	1.41E+00	2.29E+00	7.55E-01	1.18E+00
SP88757	0.00E+00	2.29E-01	2.24E-01	3.00E-02	1.31E+00	3.71E-01	1.07E+00	1.35E+00	1.32E+00	7.94E-01	1.68E+00	3.29E-01	6.90E-01
SP85733	5.01E-01	9.50E-02	4.48E-01	2.47E-01	1.36E+00	3.44E-01	1.73E+00	2.19E+00	8.70E-01	1.27E+00	1.77E+00	6.22E-01	4.94E-01
SP85737	0.00E+00	0.00E+00	1.53E-01	0.00E+00	6.58E-01	1.12E-01	7.91E-01	4.75E-01	4.68E-01	4.11E-01	5.21E-01	4.44E-01	1.36E-01
SP85647	2.00E-01	2.54E-01	0.00E+00	2.48E-01	9.06E-01	5.43E-01	1.06E+00	1.11E+00	9.75E-01	1.34E+00	8.88E-01	9.98E-01	5.37E-01
CPCT02011098T	1.07E+00	1.86E+00	2.88E+00	1.83E+00	3.66E+00	3.45E+00	1.15E+00	5.20E-01	2.06E+00	3.47E+00	1.97E+00	3.17E-01	5.88E+00
WIDE01010618T	3.71E+00	1.24E+01	3.55E+00	1.12E+01	1.59E+00	8.22E+00	1.76E+00	1.31E+00	2.14E+00	3.65E+00	8.71E-01	4.20E-01	5.08E+00
WIDE01010310T	1.48E+01	1.15E+01	3.32E+00	2.54E+01	3.14E+00	5.49E+00	1.80E+00	2.25E+00	2.63E+00	5.35E+00	2.99E+00	2.23E-01	6.80E+00
CPCT02080230T	1.00E+00	4.54E+00	8.05E+00	1.60E+00	1.72E+00	9.33E+00	1.45E+00	1.34E+00	2.11E+00	3.53E+00	1.98E+00	4.13E-01	1.24E+01
CPCT02010914T	3.86E-01	1.13E+00	5.82E+00	4.97E-01	1.48E+00	3.50E+00	1.39E+00	4.06E-01	1.18E+00	2.19E+00	1.90E+00	0.00E+00	7.03E+00
DRUP01010057T	4.38E+00	4.93E+00	1.13E+01	7.66E+00	8.07E+00	8.28E+00	2.13E+00	2.13E+00	3.85E+00	5.33E+00	2.67E+00	1.10E+00	1.61E+01
CPCT02010635T	5.46E+00	2.32E+00	1.66E+01	9.81E+00	6.76E+00	4.50E+00	1.25E+00	1.58E+00	1.40E+00	3.91E+00	1.44E+00	6.09E-01	1.98E+01
WIDE01010556T	1.36E+02	2.00E+01	1.03E+01	1.43E+02	3.47E+00	2.64E+01	2.04E+00	2.65E+00	3.39E+00	5.53E+00	9.78E+00	1.12E+00	2.54E+01
WIDE01010540T	1.86E+00	8.05E+00	2.31E+00	5.66E+00	5.54E+00	1.31E+01	2.92E+00	2.61E+00	1.71E+00	4.84E+00	1.36E+00	4.08E-01	7.28E+00
