Samples	ID83A	ID83B	ID83C	ID83D
SP85623	3.67E-01	1.54E+00	2.85E-01	1.52E+00
SP85491	4.15E-01	2.87E+00	3.24E-01	3.10E+00
SP87582	3.04E-01	1.23E+00	4.56E-01	1.25E+00
SP89090	2.95E-01	1.82E+00	5.19E-01	1.95E+00
SP85511	5.84E-01	3.06E+00	9.53E-01	3.24E+00
SP85952	1.48E-01	1.58E+00	5.33E-01	1.85E+00
SP85840	3.81E-01	1.86E+00	3.47E-01	1.98E+00
SP87675	4.37E-01	1.15E+00	6.94E-01	1.33E+00
SP85836	3.48E-01	3.39E+00	8.38E-01	3.71E+00
SP120767	4.96E-01	3.00E+00	5.39E-01	2.92E+00
SP105708	4.94E-01	1.97E+00	5.91E-01	2.14E+00
SP85818	0.00E+00	3.94E-02	0.00E+00	3.94E-02
SP105922	2.16E-01	1.96E+00	1.07E-01	2.00E+00
SP86118	5.60E-01	2.23E+00	3.96E-01	2.47E+00
SP86306	7.00E-01	3.94E+00	1.51E+00	4.67E+00
SP87099	6.13E-01	2.19E+00	6.81E-01	2.28E+00
SP87434	5.10E-01	1.02E+00	6.13E-01	1.10E+00
SP85864	2.91E-01	3.73E-01	3.59E-01	3.06E-01
SP105807	4.37E-01	2.97E+00	8.13E-01	3.37E+00
SP89291	3.06E-01	1.13E+00	5.28E-01	1.31E+00
SP88050	2.79E-01	8.88E-01	4.46E-01	1.03E+00
SP88593	3.16E-01	1.38E+00	4.41E-01	1.41E+00
SP88158	1.74E-01	7.88E-01	2.87E-01	9.08E-01
SP87534	5.64E-01	3.01E+00	1.33E+00	2.98E+00
SP88776	1.90E-01	2.92E+00	6.70E-01	3.40E+00
SP85725	2.69E-01	1.89E+00	7.02E-01	2.05E+00
SP86660	4.83E-01	2.82E+00	1.16E+00	3.36E+00
SP87903	0.00E+00	1.14E+00	4.21E-01	1.29E+00
SP88098	2.15E-01	2.87E+00	9.71E-01	3.14E+00
SP85487	1.10E+00	3.63E+00	2.00E+00	3.98E+00
SP105759	4.19E-01	1.15E+00	3.74E-01	1.18E+00
SP86775	0.00E+00	4.45E-01	1.32E-01	4.03E-01
SP88322	3.73E-01	2.42E+00	1.08E+00	2.99E+00
SP85582	3.21E-01	1.24E+00	6.95E-01	1.38E+00
SP87446	7.24E-01	3.58E+00	1.84E+00	4.38E+00
SP87337	2.31E-01	9.48E-01	3.09E-01	9.58E-01
SP86929	4.99E-01	3.46E+00	9.70E-01	3.59E+00
SP86130	3.64E-01	1.49E+00	4.81E-01	1.61E+00
SP86425	7.73E-01	3.62E+00	6.52E-01	3.96E+00
SP85495	2.52E-01	4.67E-01	1.90E-01	3.81E-01
SP85787	0.00E+00	6.50E-01	2.10E-01	5.72E-01
SP86836	1.43E-01	3.19E-01	0.00E+00	3.00E-01
SP89245	3.60E-01	7.59E-01	3.27E-01	7.97E-01
SP86989	5.27E-01	3.15E+00	7.40E-01	3.47E+00
SP88757	0.00E+00	1.56E+00	4.23E-01	1.62E+00
SP85733	3.23E-01	2.45E+00	3.63E-01	2.45E+00
SP85737	0.00E+00	7.83E-01	0.00E+00	7.83E-01
SP85647	2.67E-01	1.48E+00	4.40E-01	1.68E+00
CPCT02011098T	8.82E-01	1.44E+00	3.55E+00	3.79E+00
WIDE01010618T	5.23E+00	1.27E+00	4.74E+00	4.03E+00
WIDE01010310T	4.36E+00	3.40E+00	4.06E+00	4.00E+00
CPCT02080230T	1.25E+00	2.14E+00	8.47E+00	9.23E+00
CPCT02010914T	6.66E-01	1.10E+00	7.35E+00	7.89E+00
DRUP01010057T	2.64E+00	4.15E+00	1.47E+01	1.51E+01
CPCT02010635T	3.16E+00	3.58E+00	2.46E+01	2.56E+01
WIDE01010556T	1.56E+01	1.88E+00	1.78E+01	1.46E+01
WIDE01010540T	2.08E+00	3.67E+00	3.30E+00	2.76E+00
