MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.00599928350537084	0.0008087832750607049	0.022094306723010958	0.0017222187811529466	0.05714709557592869	0.009691731252823957	0.06334954407531768	0.03321930584963411	0.03930531180172693	0.033327857330441475	0.16556153550744057
1:Del:C:1	0.0018847177518182435	0.0013249405509850477	0.00679590345826	0.004112791842853767	0.015940389994066207	0.003412768065532816	0.028369665260543117	0.003949024845787789	0.014473562676284928	0.012631377390061971	0.15928950533270836
1:Del:C:2	0.0012316254621327972	0.0006438606664596592	0.004084769055734796	0.0012404657894868993	0.0010212708110339007	0.002548125655630429	0.009124656663334462	0.0030670460202236426	0.003970666265749969	0.005341416872397531	0.11316338911652565
1:Del:C:3	0.002914014229827444	0.002862082023639232	0.0025579301708057757	0.005471535447286442	0.0046256997269183845	0.003717098065335449	0.006205705319862318	0.0009694850464802584	0.0031351595142041335	0.0021184669009016942	0.04287062568590045
1:Del:C:4	0.005519610565970652	0.0025074835198756773	0.0027346732704609166	0.0019200934229593259	0.006925554573681439	0.006390110807114979	0.0023193924139195752	8.397734598474926e-05	0.0028506195539375768	0.001366101159746904	0.023864618772640823
1:Del:C:5	0.021626877681992483	0.002947528012919065	0.013268906135926954	0.005898967707762495	0.0040692129720991945	0.024496803547954187	0.0018520435130267288	0.002915573033533292	0.004262750001980748	0.001650246831413824	0.01705186584033072
1:Del:T:0	0.001929241068319243	0.003919786354672396	0.015176390045962763	0.01834003334864974	0.12570439089089633	0.00520463066364755	0.033432954610325395	0.019583497033454477	0.025525184617144987	0.01522561200428754	0.040033128689974544
1:Del:T:1	0.002525755104725249	0.0011515690287524194	0.014772426743002142	0.005083134608366402	0.1824193538725376	0.006908661173401925	0.004557514898187946	0.012277563327079405	0.01099695454002363	0.006172301251408499	0.02646075213328004
1:Del:T:2	0.0037207676205434836	0.0043631674951757305	0.007969690166355577	0.005957890275167302	0.07243825424462556	0.0051440020953305065	0.030994944907724857	0.01389379172855115	0.02316474371124059	0.013836676431819796	0.01833134181331843
1:Del:T:3	0.012049380098469556	0.006346222050487995	0.008578763530240395	0.013455049488693476	0.10286669373512268	0.011639282890973846	0.022801501429639756	0.009837698208393704	0.01811878702399554	0.014836899337824434	0.031235452108085156
1:Del:T:4	0.03288689633831382	0.008371893709991127	0.00946108387724962	0.01682051512412727	0.09151019088923931	0.026551514012680855	0.01908735857345164	6.0490044998005036e-05	0.01936206141312141	0.014644580455496907	0.013252193782245741
1:Del:T:5	0.7233834946155548	0.00961090661585331	0.24702472127974034	0.26718740818090736	0.09442778857890516	0.5067225167900324	0.012764285462956472	0.021750845609256487	0.013121752752669436	0.0176257468475364	0.0033092683664290236
1:Ins:C:0	0.0037384217860098033	0.0007243585965741772	0.0029343538570392163	0.3400940755009651	0.007743380239301132	0.0031160335947788553	0.0016727498470572755	0.0025568781861147727	0.001395750844039867	0.004743243127195456	0.0012268156558025113
1:Ins:C:1	0.000549019790978491	0.0012020213686992065	0.003688498038391117	0.013863799134269357	0.004725350608641748	0.0015762950398493557	0.006161202905932441	0.0039304511260706936	0.005244694272842025	0.0006436471793313103	0.0027419633348472416
1:Ins:C:2	0.00041969299643824343	0.0005408581506992505	0.0011927731541072932	0.0016555528894241433	0.002575400454807095	0.0007067423074477119	0.0056747524975799025	0.0017202507758884167	0.003522561549616512	0.0007794338044186588	0.005783864404074848
1:Ins:C:3	0.0006248046814243935	0.002167167030856945	0.0008545285880700249	0.0007617116061737761	0.0017655995181485196	0.0007407689619503799	0.0007022222966770642	0.005475528922106605	0.001685925421625143	5.034126439568354e-05	0.006239168737083673
1:Ins:C:4	0.0017472354849451222	0.0028897871816297993	0.0018939443968702108	0.0006209562070580432	0.00678144573001191	0.001947893376054708	0.0017827754936161	0.003182472777334624	0.0028011773170146625	0.00020759573963005095	0.00273225183977047
1:Ins:C:5	0.009894169075414539	0.030743230879306794	0.022511576280521695	0.005442594048799947	0.009660869048384485	0.016805140007054433	0.004634022599771015	0.0028112932408112102	0.01536442015785724	0.0019785448183802148	0.005819239934207871
1:Ins:T:0	0.0017253314924801089	0.00434856275038328	0.012136689015896991	0.019310497362166643	0.008782007623231038	0.00520599386523827	0.004600562216364778	0.015784348975867033	0.006450237261597067	0.00703214731765911	0.022264004684984684
1:Ins:T:1	0.0005158973583456827	0.004683854102622718	0.0036274725890871194	0.008257983832154423	0.0022831467643845828	0.0010792546501033938	0.03173634756483807	0.016921939775638748	0.034922935309587046	0.004354902657796629	0.05261281535029411
