Samples	ID1	ID2	ID5	ID8	ID9	ID13	ID19	ID21
SP127630	666	542	0	0	0	0	0	0
SP127634	326	377	532	214	0	0	0	0
SP127636	569	669	0	0	0	0	0	0
SP127628	310	320	0	0	0	0	0	0
SP127640	622	542	0	0	0	0	0	0
SP127638	600	1056	0	0	0	0	0	0
SP127632	1329	777	0	0	0	0	0	0
SP59388	169	200	0	0	0	0	0	0
SP116649	373	425	222	0	0	0	0	0
SP59416	252	238	0	0	0	0	0	0
SP124977	469	333	0	0	0	0	0	0
SP59356	171	163	0	0	71	0	0	0
SP116612	514	354	0	0	0	0	0	0
SP116659	241	466	0	0	162	0	0	0
SP116668	602	567	604	0	0	0	0	0
SP116630	946	570	0	0	0	0	0	0
SP59412	565	503	0	0	0	0	0	0
SP116686	148	126	0	0	96	0	0	0
SP116694	416	371	0	0	148	0	0	0
SP116712	54	63	0	0	0	0	0	0
SP116726	446	613	0	0	0	0	0	0
SP116723	102	78	0	0	69	0	0	0
SP59276	61	117	0	0	0	0	0	0
SP116703	81	50	95	0	0	0	0	0
SP59312	598	685	0	0	0	0	0	0
SP116701	330	357	0	0	140	0	0	0
SP59296	105	156	0	0	0	0	0	0
SP59280	209	273	0	0	0	0	0	0
SP59344	63	119	0	0	33	0	0	0
SP59460	313	507	0	0	0	0	0	0
SP59404	113	162	0	0	0	0	0	0
SP116709	148	178	113	0	0	0	0	0
SP59448	1732	1626	0	0	0	0	0	0
SP116614	550	735	0	0	0	0	0	0
SP59464	118	72	96	0	0	0	0	0
SP59364	172	225	0	0	200	0	0	0
SP116663	976	924	0	0	0	0	0	0
SP59444	70	85	0	0	54	0	0	68
SP116690	936	887	0	0	0	0	0	0
SP59270	73	92	0	0	0	0	0	0
SP59352	211	318	0	0	115	0	0	0
SP116652	102	83	0	0	0	0	0	0
SP116715	2012	1430	0	0	0	0	0	0
SP116718	226	182	176	0	0	0	0	0
SP116720	90	85	0	0	75	0	0	0
SP59284	229	231	0	0	0	0	0	0
SP116618	160	134	0	0	87	0	0	0
SP59436	14	7	0	0	17	0	0	23
SP116645	476	838	0	0	0	0	0	0
SP59320	102	94	132	0	0	0	0	0
SP116672	49	35	0	0	39	0	0	0
SP116635	136	182	0	0	84	0	0	0
SP59328	122	152	0	0	0	0	0	0
SP116627	152	115	0	0	0	0	0	0
SP116725	73	83	0	0	0	0	0	0
SP59292	91	86	103	0	0	0	0	0
SP116683	209	276	182	0	0	0	0	0
SP59372	45	21	0	45	33	0	0	0
SP116610	354	428	336	0	0	0	0	0
SP116638	97	156	0	0	72	0	0	0
SP59336	111	88	0	0	0	0	0	0
SP124971	758	774	0	0	0	0	0	0
SP116665	68	37	0	0	38	0	0	0
SP116674	282	385	0	0	0	0	0	0
SP116657	915	1066	0	0	0	0	0	0
SP116670	879	325	0	0	0	0	0	0
SP116642	550	471	0	0	198	0	0	0
SP116606	157	92	0	181	0	0	0	0
SP116604	111	97	158	0	0	0	0	0
SP59376	72	73	0	0	0	0	0	0
SP59272	99	180	0	0	0	0	0	0
SP124969	924	821	0	0	0	0	0	0
SP116608	58	33	0	0	40	0	0	0
SP59396	116	130	0	0	0	0	0	0
SP116688	131	181	0	0	0	0	0	0
SP59392	76	137	0	0	0	0	0	0
SP59456	255	278	0	0	111	0	0	0
SP59348	140	121	128	0	0	0	0	0
SP59300	325	206	0	248	0	0	0	0
SP59340	118	134	113	0	0	0	0	0
SP59380	35	46	0	0	49	0	0	0
SP59440	483	275	0	0	0	0	0	0
SP59428	52	71	0	0	52	0	0	0
SP59400	970	451	0	0	0	0	0	0
SP116624	304	265	0	0	0	0	0	0
SP59432	68	77	137	0	0	0	0	0
SP59452	798	588	0	0	0	0	0	0
SP116679	38	27	0	0	38	0	0	0
SP116676	1328	544	0	0	0	0	0	0
SP59360	499	337	0	0	0	0	0	0
SP59384	222	281	0	0	0	0	0	0
SP59332	87	92	0	0	39	0	0	0
SP116616	305	269	181	0	0	0	0	0
SP124981	218	182	0	0	75	0	0	0
SP59368	711	514	0	0	208	0	0	0
SP116648	1069	1179	0	0	0	0	0	0
SP59420	57	72	105	0	0	0	0	0
SP116706	237	274	0	0	188	0	0	0
SP116654	143	159	149	0	0	0	0	0
SP59308	146	155	0	0	54	0	0	0
SP59288	563	284	0	0	0	0	0	0
SP116622	88	60	64	0	0	0	0	0
SP59316	112	105	100	0	0	0	0	0
SP59324	88	100	0	0	71	0	0	0
SP116697	6088	3296	0	0	0	0	0	0
SP59304	1587	1823	0	0	0	0	0	0
SP116620	1058	676	0	0	275	0	0	0
SP13289	9	16	41	0	0	0	0	0
SP116742	0	13	36	0	0	0	0	0
SP115134	0	11	33	0	0	0	0	0
SP96884	6	13	0	19	0	14	0	17
SP13385	0	0	186	0	0	0	0	0
SP13291	16	20	45	0	25	0	0	28
SP13514	89	81	0	0	0	0	0	0
SP115117	35	27	0	0	0	0	0	0
SP115114	88	93	0	0	33	0	0	0
SP13279	23	31	0	0	43	0	0	0
SP13487	12	24	50	0	0	0	0	0
SP13361	72	66	0	0	40	0	0	0
SP13421	88	56	0	0	32	0	0	0
SP116738	16	14	0	0	42	0	0	30
SP13293	0	16	57	0	30	0	0	0
SP13281	48	45	0	0	0	0	0	0
SP13677	6	11	40	13	0	0	0	22
SP13399	15	16	44	0	33	0	0	0
SP116732	46	42	0	27	23	0	0	0
SP115073	8	23	36	0	0	0	0	0
SP13307	11	27	0	0	61	0	0	35
SP13299	46	57	0	0	56	0	0	58
SP13481	11	11	43	16	0	0	0	0
SP116780	11	16	43	0	47	0	0	0
SP13433	32	15	72	0	0	0	0	0
SP115064	44	52	64	0	0	0	0	0
SP13359	17	12	0	25	41	0	0	0
SP116734	105	49	0	0	32	0	0	0
SP116770	30	27	0	0	21	0	0	0
SP13323	12	15	0	13	31	0	0	24
SP13367	119	123	0	0	0	0	0	0
SP96882	17	18	55	39	33	0	0	57
SP13283	8	20	0	13	22	0	0	0
SP116728	16	24	0	19	34	0	0	0
SP13478	5	8	33	0	14	0	0	0
SP116744	24	25	0	26	44	0	0	0
SP115093	102	63	0	0	61	0	0	0
SP13315	0	9	25	0	0	0	0	0
SP13331	61	36	67	0	0	0	0	0
SP115108	93	67	0	0	36	0	0	0
SP116752	0	22	0	0	59	0	0	43
SP115085	8	14	75	0	26	0	0	0
SP115102	20	26	69	0	0	0	0	0
SP13379	11	28	70	0	0	0	0	0
SP116750	76	71	0	0	38	0	0	0
SP115125	6	15	0	0	22	0	0	21
SP115089	63	68	0	0	36	0	0	0
SP13297	20	45	0	0	58	0	0	0
SP13339	8	14	24	0	14	0	0	0
SP13671	0	21	0	0	69	0	0	45
SP116776	15	12	0	20	40	0	0	0
SP13683	52	38	0	0	0	0	0	0
SP116758	99	57	0	0	0	0	0	0
SP116782	110	71	0	0	43	0	0	0
SP13317	11	32	60	0	0	0	0	0
SP115128	43	53	0	0	0	0	0	0
SP116754	62	59	0	0	0	0	0	0
SP116766	126	128	96	0	0	0	0	0
SP116748	60	107	0	0	60	0	0	0
SP115070	14	14	0	0	24	0	0	45
SP115131	30	43	0	0	19	0	0	0
SP115097	18	22	42	22	20	0	0	0
SP115060	65	44	0	0	37	0	0	0
SP13594	71	88	0	0	0	0	0	0
SP96834	32	40	65	0	0	0	0	0
SP115057	0	20	54	0	39	0	0	41
SP116768	69	68	0	0	0	0	0	0
SP13442	71	75	0	0	48	0	0	0
SP13325	12	33	0	0	14	0	0	0
SP116736	16	20	69	0	0	0	0	0
SP13619	21	27	41	0	0	0	0	37
SP115111	82	97	102	0	0	0	0	0
SP116760	36	31	50	0	0	0	0	0
