Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP24708	2	77	59	0	15	47	0	68	61	37	15	44	0	0	0
SP24301	28	125	85	3	30	77	3	107	63	51	7	33	8	21	0
SP27201	4	80	108	6	16	59	1	60	78	48	6	9	13	9	0
SP28791	4	22	23	10	4	9	0	20	44	21	0	0	1	9	0
SP23739	29	16	23	3	23	33	0	42	51	21	4	4	1	3	0
SP24702	54	87	64	0	21	43	0	69	49	66	3	0	16	11	0
SP25332	9	17	14	5	15	11	1	37	9	9	9	0	7	7	4
SP28335	30	4	33	4	24	4	0	69	53	30	2	40	6	13	0
SP26709	23	65	24	2	19	10	0	29	15	4	0	22	7	12	0
SP25350	0	47	51	10	6	79	2	99	54	32	5	30	2	12	14
SP25380	21	68	97	9	18	63	5	42	85	57	6	15	8	10	0
SP24565	7	6	13	0	26	24	0	83	43	0	7	22	0	6	0
SP25833	23	85	36	0	22	39	0	62	68	51	1	4	13	7	0
SP25905	15	0	20	1	24	16	0	18	56	20	0	27	0	3	8
SP26439	0	25	18	4	12	2	2	8	15	37	0	12	14	6	6
SP24236	26	65	119	6	10	65	0	67	120	64	0	57	0	4	0
SP23925	0	41	113	0	40	1126	0	320	20	9	8	41	3	0	36
SP24815	32	58	89	0	32	27	2	98	74	26	27	97	0	14	0
SP27957	40	18	61	0	18	43	0	35	57	64	5	0	5	4	25
SP27603	0	44	43	0	21	25	1	61	60	56	2	44	6	16	0
SP27825	10	68	88	0	28	45	1	96	66	63	13	15	1	9	15
SP24135	22	40	77	3	330	84	4	117	112	209	40	0	13	13	0
SP26499	0	43	28	3	14	19	0	21	37	32	18	3	10	13	8
SP25518	46	47	100	5	19	72	11	20	131	97	0	3	0	6	0
SP28659	82	36	101	2	393	128	0	108	146	152	31	0	12	0	0
SP23622	8	43	53	0	4	47	7	100	62	37	10	0	5	16	0
SP27939	4	49	26	0	7	18	0	46	46	78	20	11	0	11	0
SP23754	0	8	16	1	7	8	0	8	24	24	5	1	0	0	27
SP29697	22	53	41	6	8	32	0	36	29	34	16	26	0	10	0
SP27339	18	40	36	0	16	7	2	72	44	28	9	23	11	6	0
SP29559	23	41	12	8	430	17	2	0	96	106	9	62	0	8	0
SP29331	27	24	74	0	30	38	0	43	91	58	25	2	0	19	22
SP26475	22	81	54	0	14	13	0	50	48	50	20	32	13	10	0
SP23775	5	60	78	0	378	78	0	87	120	126	19	34	0	11	24
SP28275	37	12	18	0	19	43	0	48	21	19	0	49	4	13	5
SP28581	11	61	74	1	20	52	0	55	56	66	0	0	8	17	0
SP23639	0	70	62	0	27	53	2	80	66	38	13	28	8	13	13
SP24391	40	41	49	0	17	38	1	56	64	47	10	63	0	0	0
SP28041	67	46	111	2	13	70	0	75	76	67	7	0	3	0	0
SP25494	186	0	174	0	610	154	5	113	321	273	0	104	5	11	0
SP26649	0	58	47	0	27	50	0	148	39	37	2	0	6	0	22
SP78927	7	36	4	0	1	2	0	0	7	0	0	0	1	5	0
SP78913	0	18	2	0	8	2	0	0	4	0	0	10	1	0	6
SP107375	0	56	9	4	20	1	0	2	19	27	0	22	3	5	27
SP107408	25	156	44	7	17	19	2	3	18	0	2	22	5	0	0
SP107439	11	15	5	0	0	0	1	0	3	0	0	0	252	0	0
SP78816	4	28	2	0	1	4	0	0	2	3	0	0	0	0	0
SP78663	56	69	4	6	29	6	0	8	6	0	0	8	0	19	0
SP78709	4	82	5	6	6	4	0	6	2	10	0	4	0	2	0
SP107462	74	92	6	11	5	0	0	0	9	0	0	26	0	0	0
SP78951	0	62	7	4	4	2	0	4	20	2	5	0	1	2	0
SP107435	39	51	17	8	1	14	0	1	9	28	0	18	0	4	9
SP78679	0	65	47	5	10	22	0	5	24	1	0	0	3	32	5
SP107360	0	130	25	14	23	18	3	15	0	0	27	6	7	0	30
SP78819	5	5	3	1	0	2	0	1	1	8	3	0	0	6	0
SP78821	1	61	8	1	0	0	2	5	21	15	0	17	6	4	0
SP107552	8	34	0	0	3	4	0	0	4	6	0	6	1	0	5
SP78865	15	11	2	1	4	0	0	1	3	0	0	7	0	21	0
SP107470	0	84	29	2	0	7	4	0	7	8	0	0	0	3	0
SP78673	4	0	5	0	1	9	0	0	7	12	0	0	2	7	0
SP78824	4	21	3	2	9	3	0	0	6	0	0	3	0	0	0
SP107550	11	18	8	5	0	0	0	0	6	0	0	5	0	9	0
SP78718	46	153	29	2	0	1	0	0	11	0	0	0	7	0	25
SP107451	14	40	6	5	3	1	0	5	0	11	0	0	3	2	0
SP107557	23	32	5	5	3	0	0	0	3	5	0	3	0	0	0
SP107358	0	22	5	1	4	13	2	0	7	10	1	17	4	4	3
SP78731	0	33	4	0	3	0	0	0	3	0	0	13	1	3	4
SP107455	0	29	4	1	0	0	0	2	6	0	1	2	0	12	1
SP107549	5	30	6	0	3	4	1	0	0	1	0	0	0	6	0
SP78814	0	41	4	3	9	2	2	0	16	7	0	2	6	21	0
SP107357	33	190	60	13	15	12	13	42	6	16	21	23	36	15	1
SP78919	10	54	3	2	13	8	2	0	7	0	0	0	1	7	5
SP107453	6	34	10	1	0	0	0	3	5	8	0	0	3	0	30
SP78719	0	3	2	0	0	3	0	0	0	0	1	0	1	3	1
SP78662	6	4	3	0	0	0	0	0	9	0	0	0	2	1	10
SP107457	1	109	0	1	6	5	2	0	9	0	0	5	1	10	36
SP107404	0	105	43	7	12	20	2	11	9	0	9	12	0	3	46
SP78714	10	33	12	5	1	3	0	0	10	2	0	0	2	6	0
SP107454	1	40	5	4	0	1	0	3	7	0	0	0	0	8	0
SP107359	0	164	49	14	19	16	0	16	22	12	4	7	17	4	12
SP78664	8	75	2	6	0	0	0	7	12	3	0	0	0	0	0
SP78931	0	71	9	3	5	0	0	0	0	0	0	0	0	9	6
SP78815	0	24	2	3	0	0	0	3	3	2	1	8	0	2	0
SP107466	8	76	24	2	6	4	0	15	10	6	13	36	0	0	2
SP78901	30	158	13	4	0	6	2	0	3	0	0	5	0	0	10
SP107384	0	165	36	9	231	17	7	2	49	137	32	0	23	11	21
SP107467	3	9	4	0	0	0	0	1	17	5	0	7	3	0	0
SP78680	16	14	2	0	3	0	0	0	8	0	0	0	0	0	2
SP78672	0	32	3	0	10	0	0	0	4	0	0	0	0	4	0
SP107365	0	45	10	0	3	6	0	19	8	9	3	1	5	0	35
SP78660	0	33	4	0	6	1	0	0	0	14	0	0	0	0	0
SP78659	15	1	10	0	0	5	0	0	1	3	2	16	0	0	0
SP107449	7	30	5	1	8	0	0	0	19	3	0	21	0	2	0
SP78813	7	31	4	2	1	1	0	7	6	4	0	6	0	0	15
SP78953	0	20	3	0	0	1	0	2	0	0	0	5	0	0	2
SP78804	55	14	2	1	11	11	0	4	15	3	0	7	0	9	0
SP107460	0	34	21	4	5	7	4	0	9	8	0	8	0	3	3
SP107548	25	66	0	5	3	1	0	3	10	3	0	0	8	9	0
SP78730	11	94	27	10	7	8	0	6	3	6	0	23	3	3	0
SP78727	0	66	7	8	2	3	0	2	7	9	0	0	3	0	3
SP78822	35	95	22	10	9	14	0	9	24	39	0	0	2	27	0
SP78818	14	59	7	1	2	0	0	4	8	4	0	0	0	2	0
SP78923	1	19	2	2	2	5	0	2	2	0	0	0	0	3	0
SP107405	0	152	28	17	2	33	2	12	22	32	21	4	0	0	34
SP107437	51	39	65	9	6	0	8	2	1	0	0	50	13	8	0
SP78675	21	52	5	2	6	1	0	2	8	6	8	13	0	2	0
SP107371	40	110	54	11	153	17	34	18	32	0	16	57	6	0	0
SP107556	36	90	15	0	3	0	0	4	7	14	0	17	0	4	0
SP78807	12	20	8	3	3	5	0	1	1	13	0	9	0	10	0
SP78945	0	61	0	7	2	1	0	2	6	0	0	3	0	6	2
SP107480	16	15	8	0	3	0	0	5	4	0	0	8	0	1	10
SP107448	15	33	2	7	4	3	2	5	7	2	0	6	0	3	0
SP107436	4	87	5	6	2	0	0	1	13	7	0	0	3	10	0
SP79150	0	3	2	1	1	0	3	5	1	0	0	0	1	3	0
SP107546	52	125	37	10	0	5	0	7	3	2	0	13	9	4	0
SP107459	3	39	15	1	4	10	0	16	2	0	4	12	5	0	0
SP78823	4	7	1	1	0	0	0	0	0	3	0	0	1	5	0
SP78666	29	21	6	0	1	6	0	0	6	3	0	2	1	6	0
SP78721	0	19	4	0	1	3	0	0	0	0	0	0	0	13	2
SP78665	0	132	4	5	9	0	0	6	0	13	0	10	0	4	0
SP78935	17	55	8	10	1	0	3	5	11	4	0	0	0	10	0
SP107458	41	180	13	13	18	12	1	26	9	8	0	3	0	13	0
