MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	7.32E-05	2.79E-03	5.80E-04	1.30E-03	2.47E-03	1.60E-03	7.92E-04	2.16E-03	9.83E-04	2.01E-03	2.85E-03	2.62E-03	6.99E-03	2.03E-03	6.32E-03	4.37E-03	4.40E-03	5.83E-03	3.76E-03	1.76E-03
1:Del:C:1	2.19E-05	1.11E-03	2.71E-04	1.85E-03	3.39E-03	4.48E-04	5.07E-04	1.09E-03	4.02E-04	8.75E-04	2.96E-03	1.31E-03	3.64E-03	2.26E-03	2.34E-03	2.81E-03	2.15E-03	3.27E-03	2.42E-03	9.48E-04
1:Del:C:2	4.52E-05	7.56E-04	2.15E-04	9.31E-04	8.63E-04	2.66E-04	2.77E-04	9.20E-04	2.51E-04	4.52E-04	1.54E-03	8.71E-04	2.04E-03	1.12E-03	2.21E-03	1.33E-03	8.35E-04	2.21E-03	1.71E-03	6.53E-04
1:Del:C:3	1.55E-04	1.41E-03	1.77E-04	2.56E-03	1.94E-03	1.10E-03	4.66E-04	1.10E-03	1.66E-04	3.77E-04	3.16E-03	4.05E-04	1.21E-03	1.62E-03	1.62E-03	1.81E-03	6.32E-04	1.41E-03	1.10E-03	2.54E-04
1:Del:C:4	3.35E-04	1.28E-03	1.03E-04	6.57E-03	2.64E-03	2.96E-03	1.03E-03	1.45E-03	1.18E-04	1.81E-04	3.48E-03	2.65E-04	1.58E-03	1.53E-03	8.32E-04	6.15E-04	9.02E-04	7.19E-04	5.04E-04	5.25E-05
1:Del:C:5	1.43E-03	3.00E-03	4.39E-04	1.36E-02	3.61E-04	6.28E-03	2.37E-03	7.15E-03	5.78E-05	2.50E-04	9.95E-04	1.40E-47	8.60E-04	2.82E-03	8.66E-05	7.19E-04	2.64E-03	1.06E-03	3.18E-04	6.11E-04
1:Del:T:0	8.84E-05	1.91E-03	6.46E-05	1.35E-03	3.71E-03	1.20E-03	3.60E-04	1.64E-03	4.06E-04	7.72E-04	1.76E-03	1.45E-03	4.75E-03	2.61E-03	3.25E-03	3.22E-03	2.82E-03	3.75E-03	1.59E-03	9.85E-04
1:Del:T:1	6.01E-05	8.40E-04	2.83E-04	8.16E-04	2.27E-03	9.34E-04	3.06E-04	1.42E-03	2.33E-04	2.92E-04	1.86E-03	9.32E-04	3.39E-03	1.80E-03	1.78E-03	2.45E-03	1.57E-03	2.63E-03	1.16E-03	8.63E-04
1:Del:T:2	2.09E-05	1.36E-03	4.40E-04	1.42E-03	9.19E-03	1.61E-03	4.80E-04	1.49E-03	3.55E-04	5.57E-04	2.20E-03	1.07E-03	3.89E-03	1.29E-03	2.03E-03	1.99E-03	2.59E-03	1.94E-03	1.37E-03	8.91E-04
1:Del:T:3	4.40E-04	4.47E-03	1.82E-04	1.09E-03	1.21E-02	2.29E-03	6.63E-04	2.84E-03	4.82E-04	5.15E-04	1.93E-03	6.24E-04	3.19E-03	1.92E-03	2.31E-03	1.58E-03	3.61E-03	2.33E-03	1.08E-03	8.40E-04
