Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02011050T	0	38364	2629	0	0	0	2034
CPCT02390011T	125	15	63	0	492	236	29
CPCT02080188T	3780	310	445	1051	187	335	83
CPCT02020912T	148	83	149	164	93	60	54
CPCT02120100T	29	21	49	19	51	178	79
CPCT02011053T	456	106	320	201	151	88	83
CPCT02011055T	1308	162	125	723	188	144	73
DRUP01010119T	32	23	145	50	189	93	117
DRUP01010116TII	1790	520	231	821	633	289	179
CPCT02040317T	1904	135	144	23	136	134	0
CPCT02040320T	1353	110	431	192	182	148	44
CPCT02010955T	72	1143	348	123	238	114	91
CPCT02011057T	184	151	575	66	100	130	115
CPCT02011059T	60	5	59	24	90	78	65
CPCT02011052T	2779	111	214	435	314	243	130
CPCT02011056T	127	115	419	52	270	107	147
CPCT02270046T	643	75	288	191	83	121	25
CPCT02011042T	28	21	65	31	98	59	72
CPCT02100145T	757	53	204	265	214	160	91
CPCT02130173T	14	507	180	97	156	145	236
CPCT02011067T	27	106	332	69	111	351	49
CPCT02190029T	79	287	353	76	198	258	86
CPCT02020925T	1706	139	290	721	78	85	106
CPCT02011051T	4	97	278	85	87	72	68
DRUP01010066T	494	143	97	1	65	408	48
CPCT02011065T	57	84	410	75	158	114	114
CPCT02011080T	21	38	121	31	31	51	14
CPCT02010741T	46	87	208	82	101	163	73
CPCT02011082T	593	514	197	150	113	110	150
CPCT02011079T	1962	803	251	843	23	147	245
CPCT02011077T	16	9	272	1	31	53	32
CPCT02270047T	1308	111	149	108	153	154	24
CPCT02410018T	1916	90	76	317	88	163	0
CPCT02011074T	397	67	392	102	94	65	64
CPCT02011089T	51	93	380	38	201	121	105
CPCT02011086T	390	35	195	117	857	81	5
CPCT02011088T	1398	185	424	690	322	169	91
CPCT02011087T	866	158	419	282	88	82	32
CPCT02020671T	6192	928	67	1999	0	301	122
CPCT02011071T	23	34	350	70	57	52	48
CPCT02040216T	2	106	274	33	61	142	40
CPCT02140057T	1080	188	102	473	427	203	52
CPCT02040221T	530	395	112	144	178	138	97
WIDE01010002T	593	81	374	366	254	160	117
CPCT02010500T	44	317	419	61	87	87	62
CPCT02010966TII	11	12	267	123	94	185	96
CPCT02010942TII	44	198	202	108	88	115	111
WIDE01010003T	5	138	82	18	57	85	91
CPCT02190031T	75	197	251	95	139	113	82
CPCT02011093T	18	40	113	19	99	48	36
CPCT02011097T	713	62	439	114	375	225	85
DRUP01060011T	23	70	146	49	65	106	59
CPCT02011069T	882	124	113	386	187	135	92
DRUP01060014T	2	29	170	8	43	258	54
DRUP01010064T	154	26	166	12	75	214	38
CPCT02120107T	698	82	76	89	99	130	104
CPCT02011102T	31	157	373	52	97	61	58
CPCT02040330T	1129	72	166	189	141	111	29
CPCT02040299TII	462	373	295	362	351	172	113
WIDE01010034T	11	12	162	21	40	51	35
CPCT02040332T	840	32	96	232	242	141	0
CPCT02230086T	305	28529	4739	260	125	9	117
CPCT02011070T	50	94	322	75	143	137	82
WIDE01010026T	42	178	810	164	208	76	67
CPCT02390020T	689	157	280	81	91	186	32
CPCT02011106T	199	115	150	52	103	103	71
CPCT02410019T	1771	296	33	576	83	86	361
CPCT02270022T	298	180	315	95	127	238	61
CPCT02011040TII	28	2	72	27	50	77	60
CPCT02010760T	560	142	326	715	97	129	30
WIDE01010057T	27	26	172	12	129	28	75
WIDE01010065T	2082	149	388	458	282	146	98
CPCT02020964T	889	51	205	222	589	195	102
CPCT02050321T	302	108	271	0	117	248	106
CPCT02010779T	125	176	125	64	289	255	91
CPCT02011105T	333	195	178	276	91	139	76
CPCT02011107T	1292	175	207	587	83	67	49
WIDE01010615T	25	69	325	43	78	91	66
WIDE01010130TII	17	10	41	22	54	57	22
WIDE01010041T	1283	129	95	127	156	145	27
CPCT02040225T	1557	91	277	578	133	259	43
WIDE01010058T	98	138	437	47	65	73	104
WIDE01010083T	251	107	94	200	82	41	52
CPCT02040234T	1145	109	113	106	200	257	28
CPCT02011089TII	41	50	258	61	168	123	70
CPCT02010781T	962	138	102	266	219	248	67
WIDE01010088T	521	64	83	367	223	94	29
WIDE01010081T	56	30	455	59	127	95	56
DRUP01010078T	6022	329	178	1650	0	330	93
WIDE01010079T	27	70	80	31	45	66	40
WIDE01010089T	29	68	292	58	78	84	103
WIDE01010082T	325	265	162	82	138	88	114
WIDE01010075T	64	22625	0	0	203	63	0
CPCT02270049T	182	200	328	70	388	124	88
WIDE01010099T	3	66	121	25	65	37	37
CPCT02040341T	18	20	132	76	72	39	25
WIDE01010104T	1379	68	275	594	91	84	48
WIDE01010090T	5	41	241	25	112	44	46
CPCT02040338T	1	11	65	43	56	45	21
WIDE01010105T	686	78	232	233	85	65	28
CPCT02040340T	143	34	47	270	389	149	116
CPCT02100156T	703	104	385	68	89	258	30
WIDE01010115T	298	20	392	225	226	84	66
WIDE01010122T	1273	256	299	484	261	143	94
CPCT02100149T	1202	84	150	473	180	185	52
WIDE01010121T	212	83	98	10	202	176	71
CPCT02010776T	7	17	75	0	43	225	31
CPCT02050339T	762	118	273	264	238	340	0
CPCT02050439T	0	285	3628	0	0	9	0
WIDE01010130T	13	39	134	55	108	101	59
WIDE01010134T	97	176	360	78	160	164	161
WIDE01010139T	3366	575	475	1876	0	286	47
CPCT02050344T	149	22	76	15	58	338	53
WIDE01010192T	35	32	37	24	58	34	27
WIDE01010005T	46	109	271	59	91	77	65
CPCT02011068T	23	116	593	39	67	68	59
