Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP101845	208	56	231	125	37	164	3	0	0
SP101682	23	45	32	70	87	0	3	159	4
SP61553	7	107	0	0	44	45	3	56	8
SP101724	80	97	51	183	100	139	5	10	0
SP102103	12	0	29	80	37	79	0	61	0
SP102174	60	26	18	133	54	94	11	46	0
SP101622	488	0	243	105	37	47	0	9	13
SP102161	110	29	31	92	36	0	10	84	6
SP101654	53	64	4	144	131	0	2	217	0
SP102074	29	8	29	29	21	92	2	23	0
SP101694	75	31	41	170	46	37	3	76	16
SP101616	98	175	19	255	24	0	0	26	4
SP101666	150	20	134	37	20	133	0	0	21
SP101558	232	37	176	54	12	4	5	13	0
SP102096	19	65	50	42	19	98	2	81	10
SP102084	115	101	23	45	96	103	4	40	0
SP101580	126	54	95	57	22	51	5	45	19
SP102064	304	38	223	61	28	1	4	29	17
SP101564	39	42	14	65	30	7	3	62	0
SP101921	17	54	7	102	33	85	0	63	0
SP101648	249	21	92	54	3	0	2	69	23
SP101628	23	62	25	80	17	0	5	82	12
SP101708	35	49	9	81	61	10	4	63	21
SP102055	22	42	0	41	22	11	1	59	4
SP101634	332	0	130	41	7	67	1	0	8
SP101588	38	44	19	92	74	15	4	107	10
SP101584	41	12	29	134	47	7	1	141	8
SP101686	12	21	6	64	38	17	0	88	5
SP101532	272	12	182	71	27	51	1	18	8
SP101732	362	11	194	149	44	86	7	41	0
SP101528	35	3	19	140	20	73	0	0	0
SP101536	15	21	15	36	10	0	3	138	10
SP101576	69	65	37	138	48	56	6	60	24
SP102015	364	0	324	186	41	22	6	3	7
SP102168	2	50	36	75	9	0	0	79	11
SP101716	85	158	41	133	125	39	2	131	34
SP101592	35	36	20	116	24	59	8	25	5
SP101658	3	18	8	7	10	52	0	5	0
SP102045	1276	6	278	118	52	99	22	111	35
SP101552	703	8	371	301	52	0	0	0	0
SP101519	62	158	42	64	0	15	1	52	14
SP101690	119	27	41	136	51	0	6	169	17
SP102123	17	81	41	75	22	12	3	86	0
SP101662	382	11	21	81	23	66	3	0	0
SP101600	1	88	19	30	6	24	3	22	15
SP101544	49	76	5	126	38	62	5	48	5
SP102133	0	18605	0	0	1283	0	28	0	183
SP101881	339	0	182	73	45	74	11	18	13
SP102035	689	32	150	0	19	28	7	62	9
SP101642	740	91	273	176	94	0	15	66	35
SP101596	22	87	16	94	26	0	1	133	16
SP101670	660	68	206	167	30	0	16	47	17
SP101674	243	2	79	57	2	0	10	31	17
SP101572	6	33	13	20	11	44	1	38	0
SP101678	321	53	263	120	29	71	7	28	10
SP101740	1200	44	691	44	47	0	30	62	3
SP101700	249	39	210	50	16	0	0	32	6
SP101891	506	0	294	158	92	0	4	49	23
SP102143	629	26	128	47	14	0	18	42	0
SP102113	223	15	148	87	0	0	10	39	14
SP101521	21	97	18	72	60	0	2	67	12
SP101526	88	31	76	132	68	0	11	136	0
SP101540	13	129	30	33	23	66	1	102	7
SP101604	186	5	68	42	26	68	2	49	0
SP101548	407	15	34	57	15	49	0	26	15
SP101523	366	9	186	25	26	71	0	0	2
SP102090	20	38	12	126	49	5	3	104	19
SP101795	316	24	252	49	17	47	3	23	0
SP102187	216	28	97	170	35	0	7	6	25
SP101515	176	0	119	41	14	34	0	21	9
SP101931	335	39	135	154	99	49	8	75	0
SP101610	238	21	220	44	14	21	7	10	0
SP61703	34	131	78	110	13	60	3	128	5
SP59707	0	49	15	8	2	67	2	44	2
SP68659	202	35	188	5	0	21	3	27	0
SP62616	1005	2	125	102	69	128	5	0	0
SP59761	53	78	27	79	36	0	3	76	13
SP66960	13	123	31	31	14	73	4	81	4
SP61453	21	17	29	52	31	55	4	45	13
SP63796	8	20	19	78	10	14	1	35	0
SP69155	4	20	12	30	6	34	0	20	2
SP59950	350	15	104	381	109	0	0	189	10
SP59938	300	16	100	65	11	32	0	0	2
SP64976	63	31	1	96	63	79	3	34	0
SP64296	464	58	291	43	64	80	0	0	1
SP65807	710	73	120	71	34	30	24	18	40
SP59803	43	58	60	133	36	72	9	143	18
SP66159	694	12	115	78	54	84	38	124	60
SP63356	18	71	61	75	0	42	10	90	8
SP68348	471	113	120	104	97	99	44	34	18
SP62450	27	13	21	19	12	50	2	44	5
SP67428	455	18	70	52	32	46	27	97	22
SP61713	387	18	251	0	24	43	4	9	12
SP68725	216	21	57	20	7	46	10	33	7
SP67609	973	8	173	53	63	0	39	136	62
SP62110	25	13	56	145	90	0	5	198	0
SP64546	284	30	139	28	0	73	1	0	13
