"InsDel1a_converted"	"InsDel1b_converted"	"InsDel1c_converted"	"InsDel_P_converted"	"InsDel1d_converted"	"InsDel2a_converted"	"InsDel2b_converted"	"InsDel2c_converted"	"InsDel3a_converted"	"InsDel3b_converted"	"InsDel4a_converted"	"InsDel4b_converted"	"InsDel5a_converted"	"InsDel5b_converted"	"InsDel6_converted"	"InsDel7_converted"	"InsDel8_converted"	"InsDel9_converted"	"InsDel10_converted"	"InsDel11_converted"	"InsDel12_converted"	"InsDel13_converted"	"InsDel14_converted"	"InsDel15_converted"	"InsDel16_converted"	"InsDel17_converted"	"InsDel18_converted"	"InsDel19a_converted"	"InsDel19b_converted"	"InsDel19c_converted"	"InsDel23_converted"	"InsDel_A_alpha_converted"	"InsDel_A_beta_converted"	"InsDel_B_converted"	"InsDel_C_converted"	"InsDel_D_converted"	"InsDel_E_converted"	"InsDel_F_converted"	"InsDel_G_converted"	"InsDel_H_converted"	"InsDel_I_converted"	"InsDel_J_converted"	"InsDel_K_alpha_converted"	"InsDel_K_beta_converted"	"InsDel_M_converted"	"InsDel_N_converted"	"InsDel_O_converted"
"A[Del(T):R(1,4)]A"	0.011462589	0.020943962	0.002934792	0.009309782	0.009873501	0.005747029	0.005650108	0.002413026	0.029372985	0.017446402	0.006460129	0.027913724	0.060594114	0.030475315	0.008527981	0.003946125	0.007112812	0.042371236	0.015771569	0.000711545	0.012302845	0.245259885	0.017010807	0.015357192	0	0.007980101	0.271036334	0.01683381	0.010006594	0.017147467	0.125717587	0.005079056	0.009569009	0.028191736	0.258095092	0.013103052	0.008426938	0.004674866	0.005426319	0.01315964	0.061480826	0.002456025	0.044866212	0.076680099	0.030190281	0.00151827	0.002045969
"A[Del(T):R(1,4)]C"	0.005158071	0.017985803	0.002138778	0.003771455	0.00276998	0.001679614	0.005613901	0.001835502	0.01558196	0.003193422	0.003140861	0.015574677	0.047682795	0.023531552	0.004001828	0.001358276	0.002935478	0.01904437	0.007617104	0.000359976	0.007400138	0.008595001	0.004519167	0.042232278	0	0.003736536	0.174315638	0.005703461	0.002663959	0.004220017	0.009676139	0.003396455	0.004417968	0.022097681	0.001725662	0.005315964	0.00354918	0.001362188	0.007042134	0.009777803	0.014633561	0.000755648	0.012943316	0.057573736	0.007103175	0.000378936	0.000517498
"A[Del(T):R(1,4)]G"	0.003811806	0.007221382	0.000761409	0.003464641	0.005241301	0.001080222	0.005328823	0.00162925	0.013528216	0.011309474	0.004085857	0.015279658	0.043031445	0.020649458	0.004670713	0.00152129	0.003048776	0.024549056	0.00596166	0.000180948	0.008930989	0.009315224	0.004581257	0.039215686	0	0.00174811	0.09071109	0.006392256	0.004345025	0.003514083	0.032133445	0.002938208	0.005769324	0.021826576	0.006029588	0.00324347	0.003237629	0.00201458	0.001946244	0.006514115	0.033025764	0.000786585	0.007808043	0.035557317	0.006817929	0.000569718	0.000415272
"C[Del(T):R(1,4)]A"	0.002667832	0.001105546	0.000986264	0.004342164	0.003905184	0.001579946	0.004619617	0.001366289	0.028865445	0.024798481	0.003107108	0.015715966	0.02795224	0.022730643	0.005399998	0.001625263	0.007776026	0.03385697	0.009041818	0.000536263	0.011981333	0.057215262	0.010071174	0.019059373	0	0.00512595	0.003212805	0.009196856	0.004924939	0.004666974	0.074051341	0.005911968	0.006192579	0.019762736	0.066262344	0.007200311	0.005136516	0.001404264	0.008368172	0.007357184	0.028830882	0.001071275	0.041773027	0.009197011	0.006954895	0.000657697	0.000489853
"C[Del(T):R(1,4)]C"	0.001651204	0.001698183	0.001393947	0.0037939	0.003502324	0.002154601	0.007707744	0.002560325	0.017696569	0.012893821	0.004276542	0.015409625	0.031380112	0.019656346	0.003704492	0.00194709	0.007990503	0.026992026	0.003549492	0.000179576	0.009040013	0.007851899	0.006921828	0.059097765	0	0.002542536	0.003292996	0.011085413	0.006512286	0.006973447	0.005885115	0.009284522	0.007103749	0.022876285	0.011237579	0.004767291	0.008596918	0.002034375	0.006667126	0.006269615	0.013966853	0.001393062	0.02109673	0.007712852	0.015708808	0.000892143	0.000505412
"C[Del(T):R(1,4)]G"	0.001250708	0.000605973	0.001013984	0.004197646	0.007973002	0.001075456	0.004486653	0.001256801	0.022599408	0.025247637	0.003495068	0.017528764	0.029218099	0.024970752	0.005072323	0.001502178	0.007555309	0.03680056	0.00537142	0.000540146	0.009461423	0.006752219	0.009074364	0.062251475	0	0.003490951	0.002034631	0.00808554	0.005431685	0.003930039	0.024804131	0.009528858	0.005655626	0.022821952	0.002412524	0.002620589	0.00530784	0.001504904	0.005996369	0.004701673	0.003188565	0.000950244	0.013408812	0.003609824	0.003416408	0.000582381	0.000359463
"G[Del(T):R(1,4)]A"	0.00198183	0.003262034	0.001055064	0.004507869	0.002515917	0.002670709	0.004167421	0.004701466	0.010647285	0.007490811	0.002641123	0.011115384	0.020247156	0.013204188	0.004581629	0.001396684	0.003713275	0.024173081	0.009273871	0.00018177	0.009614124	0.116169974	0.021978539	0.017139724	0	0.004094513	0.004314632	0.005066485	0.003121604	0.002737975	0.075062281	0.003133911	0.00461024	0.014327469	0.077650205	0.00474253	0.003095303	0.001133617	0.003851704	0.008344835	0.010778192	0.00086591	0.024009729	0.015796739	0.011842794	0.000486204	0.000313745
"G[Del(T):R(1,4)]C"	0.00091994	0.003228986	0.000675412	0.003184708	0.004135796	0.001714693	0.003721718	0.004987624	0.008198607	0.003260128	0.001504525	0.00969398	0.02199809	0.010252671	0.003952533	0.001223896	0.005047283	0.01799183	0.005020421	1.005e-06	0.010006924	0.006236913	0.017499237	0.041409571	0	0.00088032	0.002419779	0.00337875	0.001985116	0.002757687	0.00498249	0.002975758	0.004301893	0.014606244	0.00738959	0.002327234	0.002188519	0.000972207	0.006300423	0.005815251	0.014621553	0.000786621	0.009099357	0.008399429	0.002371881	0.000346957	0.0002586
"G[Del(T):R(1,4)]G"	0.001403876	0.001434174	0.000827914	0.003982539	0.007377791	0.001903395	0.0037764	0.004033142	0.011787088	0.00981025	0.00179132	0.011583832	0.019615639	0.011745051	0.005146312	0.001242071	0.005798391	0.027459568	0.003809671	0.000181131	0.004931413	0.006636293	0.012336297	0.048676814	0	0.001994343	0.002520145	0.006427178	0.003493906	0.003058215	0.026428855	0.003950913	0.003533544	0.015792088	0.006187621	0.0030069	0.002469094	0.00088696	0.003847098	0.007235848	0.003382549	0.001053551	0.008138368	0.006397035	0.007525388	0.000498463	0.000389686
"A[Del(T):R(5,7)]A"	0.006869626	0.035441874	0.015842374	0.044840751	0.003241846	0.027032473	0.117409012	0.015705755	0.012278179	0.003320496	0.005245208	0.012576987	0.0158695	0.009431381	0.005196127	0.051989747	0.002934952	0.024932847	0.009304556	0.001969223	0.006175018	0.021362686	0.013650846	0.010695187	0	0.000995201	0.045912046	0.001826481	0.001709164	0.002206927	0.00303282	0.003619001	0.003202472	0.005386658	0.031448801	0.010225091	0.002703136	0.003799299	0.002403831	0.007053821	0.003127969	0.026666645	0.097690622	0.149035954	0.002895342	0.025209724	0.003499876
