"","type89_sig_id","cos_v_collapsed_476","best_match_koh","cosine_v_koh","exemplar_id","cosine_89_exemplar","ID83signature","is_insdel15_16","is_polyT_removed","has_476_signature","has_83_signature","has_mapped_476_sig","has_83_mapped_signature","cosine89_diff","cosine476","cosine83","cosine83_mapped","best_match_cosmic","cosine_v_cosmic","best_match_jin","cosine_v_jin"
"22","InsDel14",0.930234881164427,"InD12",0.949138309714641,"Colon::CPCT02040258T",0.975318022177494,"C_ID14",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.981609727738929,NA,0.797947846170746,NA,"ID14",0.973511853313654,"jinID14",0.948565989973414
"23","InsDel15",0.999977796564724,NA,NA,"WES::TCGA-EW-A2FV-01A-11D-A17D-09",0.997152554254249,"C_ID15",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,0.994759255835993,0.99811613478244,0.999989282192406,"ID15",0.992624380002896,NA,NA
"24","InsDel16",1,NA,NA,"WES::TCGA-13-0889-01A-01W-0420-08",1,"C_ID16",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,1,1,0.672733978438699,"ID16",0.94431118528519,NA,NA
"25","InsDel17",0.99902891340686,NA,NA,"Other::CPCT02250003T",0.999098612037334,"C_ID17",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.999098612037334,0.999651240340044,0.998055396153645,0.994357056665344,"ID17",0.913211851073001,NA,NA
"26","InsDel18",0.997224063407548,"InD18",0.997866554953488,"Head::CPCT02070053T",0.990826011212309,"C_ID18",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.990826011212309,0.983277628405395,0.926638815378631,0.966490093087254,"ID18",0.9748626883743,NA,NA
"27","InsDel19a",0.998016917110708,NA,NA,"Bone.SoftTissue::CPCT02010408T",0.956199772930876,"C_ID19",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.956199772930876,0.903787160547224,0.578876004293571,0.583428118931199,"ID19",0.934723603717686,NA,NA
"28","InsDel19b",0.998952350419198,NA,NA,"Skin::CPCT02340081T",0.99171174719966,"C_ID19",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.991752893728233,0.982120219990487,0.95772281360567,0.949020995879139,"ID19",0.934723603717686,NA,NA
"29","InsDel19c",0.99769796743711,NA,NA,"Skin::CPCT02060041T",0.598432829729605,"C_ID19",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.942443852885497,0.567830470268594,0.439321442308408,0.837561394578446,"ID19",0.934723603717686,NA,NA
"30","InsDel23",0.994265618984518,NA,NA,"Kidney::SP102957",0.960618679596976,"C_ID23",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.987902580692653,0.926005386424851,0.966191991161316,0.990644897191167,"ID23",0.988733344519805,NA,NA
"31","InsDel_A_alpha",0.997724733479643,"InD9a",0.919336320026093,"Other::CPCT02330041T",0.642466773208739,"ID_A",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.967151021312745,0.537837150518689,0.509401386863396,0.996416507294122,NA,NA,"jinID9",0.904943856064789
"32","InsDel_A_beta",0.993433690060039,"InD9a",0.965491583140523,"Breast::SP2293",0.928962481361075,"ID_A",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.955642112782684,0.937843010334813,0.90936321357593,0.954279690330215,NA,NA,"jinID9",0.904943856064789
"33","InsDel_B",0.999703811266792,NA,NA,"Liver::CPCT02020413T",0.985553780843009,"ID_B",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.987350770009695,0.971992601692081,0.971905124482824,0.99665835952651,NA,NA,NA,NA
"34","InsDel_C",0.996123882650309,"InD13",0.925576196874315,"Breast::CPCT02010772T",0.96979518794634,"ID_C",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.998787946692536,0.955939758689639,0.803793159228948,0.888842583261856,NA,NA,NA,NA
"35","InsDel_D",0.998480754546317,"InD12",0.980296456398047,"Colon::CPCT02340014T",0.992422611199076,"ID_D",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.995216924818639,0.99559249838149,0.989772746530277,0.98781745464669,"ID14",0.927074459274781,"jinID14",0.953409382692888
"36","InsDel_E",0.995468844953502,NA,NA,"Uterus::DRUP01340014T",0.960943721195381,"ID_E",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.985928880207611,0.950982895098882,0.773087063383051,0.981035375612377,NA,NA,NA,NA
"37","InsDel_F",0.998932166823345,NA,NA,"Head::DRUP01030028T",0.986810513388783,"ID_F",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.992588737985841,0.986570525764206,0.936089201810795,0.995222320803457,"ID4",0.928441807163585,"jinID4",0.986852392055639
"38","InsDel_G",0.996905610562691,NA,NA,"Other::DRUP01030015T",0.928329826661788,"ID_G",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.982072361246474,0.866109790099055,0.645229444653891,0.956288683422495,NA,NA,"jinID11b",0.936729598778588
"39","InsDel_H",0.930872311245074,NA,NA,"Bone.SoftTissue::CPCT02010648T",0.850413851972058,"ID_H",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.945368268485134,0.675995300576774,0.746129945546971,0.819795871635397,NA,NA,NA,NA
"40","InsDel_I",0.998465584026839,NA,NA,"CNS::SP107439",0.995254467621926,"ID_I",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.995254467621926,0.997728519333611,0.959775759711831,0.983807389953579,NA,NA,"jinID25",0.928952639111837
"41","InsDel_J",0.999157789152344,NA,NA,"Colon::DRUP01230004T",0.998585593823146,"ID_J",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.999293932377491,0.993154898603039,0.941258954609845,0.0573439955343392,NA,NA,NA,NA
"42","InsDel_K_alpha",0.996471867558548,NA,NA,"Prostate::SP112817",0.984695082908958,"ID_K",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.992277784307894,0.993773664897899,0.559632299427059,0.557852701797722,NA,NA,"jinID26",0.991819220378155
"43","InsDel_K_beta",0.995798184879296,NA,NA,"Colon::SP17905",0.837689830645915,"ID_K",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.993060421503853,0.852573069055459,0.289971648819954,0.547301794595584,NA,NA,"jinID26",0.991819220378155
"44","InsDel_L",NA,"InD26",0.969213303775499,"Pancreas::SP70106",0.66987386568394,"ID_L",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.979628522520594,NA,0.579038811454065,NA,NA,NA,NA,NA
"45","InsDel_M",0.992268994192989,NA,NA,"Prostate::SP112777",0.99790446163642,"ID_M",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.99790446163642,0.994479470566958,0.504211903569637,0.587167215139279,NA,NA,NA,NA
"46","InsDel_N",0.997445021358874,NA,NA,"Stomach::CPCT02030347T",0.994483240560779,"ID_N",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.997256079897702,0.976652004477945,0.92372504933245,0.0475462843338336,NA,NA,NA,NA
"47","InsDel_O",0.963008094039371,"InD1",0.93766289313779,"CNS::CPCT02100101T",0.941081173806262,"ID_O",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.985684205295386,0.968820362778515,0.801500318970652,0.102429900117076,NA,NA,NA,NA
"48","InsDel_P",0.993313546180306,"InD21",0.909292168067431,"Lymphoid::SP59448",0.983675304020195,"ID_P",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.983675304020195,0.963036985482454,0.998475150576667,0.986654622703124,NA,NA,NA,NA
