"InsDel1a_converted"	"InsDel1b_converted"	"InsDel1c_converted"	"InsDel_P_converted"	"InsDel1d_converted"	"InsDel2a_converted"	"InsDel2b_converted"	"InsDel2c_converted"	"InsDel3a_converted"	"InsDel3b_converted"	"InsDel4a_converted"	"InsDel4b_converted"	"InsDel5a_converted"	"InsDel5b_converted"	"InsDel6_converted"	"InsDel7_converted"	"InsDel8_converted"	"InsDel9_converted"	"InsDel10_converted"	"InsDel11_converted"	"InsDel12_converted"	"InsDel13_converted"	"InsDel14_converted"	"InsDel15_converted"	"InsDel16_converted"	"InsDel17_converted"	"InsDel18_converted"	"InsDel19a_converted"	"InsDel19b_converted"	"InsDel19c_converted"	"InsDel23_converted"	"InsDel_A_alpha_converted"	"InsDel_A_beta_converted"	"InsDel_B_converted"	"InsDel_C_converted"	"InsDel_D_converted"	"InsDel_E_converted"	"InsDel_F_converted"	"InsDel_G_converted"	"InsDel_H_converted"	"InsDel_I_converted"	"InsDel_J_converted"	"InsDel_K_alpha_converted"	"InsDel_K_beta_converted"	"InsDel_M_converted"	"InsDel_N_converted"	"InsDel_O_converted"
"DEL:C:1:0"	0.010516418	0.01317354	0.00186506	0.016955507	0.010586629	0.007846712	0.00417805	0.00318881	0.089304575	0.114331465	0.018324579	0.082109736	0.053676874	0.061989736	0.029541998	0.00152383	0.031277494	0.185748448	0.01676879	0.001784071	0.022069431	0.049246869	0.013227453	0.020019197	0	0.010415176	0.004995895	0.035302182	0.017618969	0.036639433	0.027692531	0.322071181	0.375941104	0.054642801	0.016604413	0.014595278	0.022949969	0.004331258	0.054664236	0.013602476	0.153720203	0.002307007	0.027147962	0.025973875	0.139131857	0.001237365	0.0035824
"DEL:C:1:1"	0.005424659	0.011508265	0.001100842	0.0072218	0.007936821	0.002436018	0.001744959	0.001010288	0.119070969	0.168788127	0.012368401	0.040220984	0.042419774	0.088513706	0.011706747	0.000587653	0.014533528	0.075798438	0.009151723	0.0005377714	0.019570718	0.026732217	0.008599058	0.104483752	0	0.005952034	0.003682829	0.021199572	0.011762082	0.029892339	0.109181502	0.135523967	0.071917297	0.044565488	0.003167966	0.006468087	0.009829295	0.00292654	0.034112754	0.013480156	0.0001212	0.000522287	0.016081549	0.017493759	0.017356568	0.00023352	0.001143659
"DEL:C:1:2"	0.002896831	0.00402076	0.001081517	0.002950565	0.008792424	0.001399835	0.002603167	0.00121408	0.093407215	0.152289182	0.005349305	0.017187976	0.031532027	0.055254237	0.008901339	0.001177766	0.004809424	0.027854164	0.010398992	0.000366418	0.009767489	0.011050778	0.004050655	0.134649664	0	0.003621887	0.002533365	0.01083391	0.005288427	0.005947176	0.047911326	0.044182536	0.021681461	0.026212836	0.003042762	0.002660177	0.006176341	0.001750308	0.020242432	0.009685713	0.003576413	0.000673894	0.009579867	0.007068768	0.007691494	0.00024057	0.000567177
"DEL:C:1:3"	0.001722369	0.002472881	0.001968009	0.002945168	0.008696853	0.001142819	0.009298937	0.007400946	0.060867	0.051168367	0.002350575	0.007633906	0.015944174	0.028919724	0.0036202	0.003596716	0.003814118	0.016017148	0.004944852	2.559e-06	0.006556032	0.006347321	0.006868434	0.127519539	0	0.001342257	0.001392176	0.00647506	0.002940677	0.003999365	0.035635629	0.013441468	0.011165355	0.012356507	0.0003444	0.001548471	0.005002435	0.002327995	0.015747232	0.012947619	7.27e-05	0.002339067	0.016231718	0.005434117	0.003404496	0.000673341	0.000556619
"DEL:C:1:4"	0.001833734	0.001365791	0.00160503	0.002893109	0.001353131	0.001039925	0.021324656	0.007071166	0.038172905	0.036350812	0.002599626	0.005042071	0.005793486	0.018097311	0.002949047	0.012567274	0.002680087	0.011596397	0.005960211	2.0564e-06	0.00652994	0.004428212	0.003650457	0.081447963	0	0.000744804	0.001798638	0.004091774	0.00178509	0.003778696	0.013106114	0.005160111	0.00877795	0.004607693	0.0003536	0.001068465	0.002311405	0.002846457	0.007220019	0.006678566	7.26e-05	0.007157509	0.00645662	0.002814676	0.003674886	0.003792584	0.000549958
"DEL:C:1:5+"	0.003982741	0.002006918	0.004650517	0.005235017	0.005652548	0.00725042	0.040733971	0.021084109	0.020008766	0.019420228	0.011955023	0.004154146	0.001705737	0.008157877	0.001679372	0.037148858	0.002651104	0.007321308	0.008326117	0.000370167	0.015528706	0.001511267	0.008183104	0.018099548	0	0.000398848	0.004078029	0.00590188	0.003243691	0.006390144	0.0082319	0.006565404	0.013706731	0.00272611	0.00875247	0.002979633	0.006259746	0.00377808	0.009855852	0.008190334	0.000266512	0.025612053	0.011606832	0.003438138	0.005696508	0.01833167	0.005908256
"DEL:T:1:0"	0.010688573	0.001980437	0.001608421	0.010007172	0.024995721	0.004632528	0.003507359	0.003580744	0.045725556	0.03562544	0.01535147	0.050932314	0.075175931	0.055336331	0.012066725	0.001249886	0.020429312	0.074085892	0.011185523	0.001078786	0.023848937	0.038820836	0.02845551	0.022487317	0	0.018383334	0.083132322	0.028603337	0.017837229	0.011622886	0.234971296	0.020415528	0.016301211	0.064722121	0.27380153	0.013445945	0.015791059	0.003164203	0.015119151	0.018274388	0.127047446	0.001219513	0.016171642	0.00196121	0.044813473	0.000668328	0.001777014
"DEL:T:1:1"	0.005719863	0.004229219	0.001284557	0.005763841	0.010797148	0.004679803	0.003905484	0.003042616	0.054504528	0.033264016	0.005141467	0.029234456	0.06994222	0.044154422	0.004539094	0.00133189	0.011098862	0.035216638	0.011520152	0.00053969	0.020322907	0.343306357	0.034376612	0.077197314	0	0.008633611	0.131755493	0.016902028	0.010942293	0.017235852	0.104704482	0.011900846	0.009818086	0.05206105	0.096690266	0.010078855	0.010218886	0.004320412	0.011056319	0.013852974	0.025302777	0.000947692	0.026487267	0.0108839	0.017071321	0.000443963	0.000655397
"DEL:T:1:2"	0.006008361	0.024164946	0.003030059	0.009187994	0.004967089	0.003698998	0.005568533	0.005253232	0.030956905	0.020583561	0.005698668	0.030726457	0.088294365	0.041045445	0.012080404	0.002696465	0.009777342	0.060183101	0.021575377	0.000537039	0.017382777	0.027996244	0.01688878	0.119840945	0	0.003666058	0.106260497	0.015702726	0.007544587	0.011695236	0.027620321	0.006006859	0.009948679	0.041020772	0.021060297	0.008828011	0.007717189	0.003141982	0.013440881	0.013278868	0.017712982	0.001323983	0.045707063	0.097434885	0.015004327	0.000645702	0.001208026
"DEL:T:1:3"	0.007891059	0.027111441	0.005864527	0.015595697	0.006534838	0.006594336	0.032091009	0.012906833	0.027090574	0.025977409	0.004310928	0.028922383	0.068307174	0.036679778	0.016371586	0.010484632	0.009672337	0.083753066	0.021135974	0.000716845	0.022114581	0.053909233	0.024271768	0.124914302	0	0.000910357	0.232709738	0.010961658	0.006161005	0.00845193	0.011445285	0.007876416	0.015085956	0.024498824	0.045438112	0.01397453	0.008280803	0.005361364	0.009829238	0.023769734	0.01384554	0.006627733	0.094777622	0.110644047	0.015042438	0.004172776	0.001655061
